School Name,Tests Taken,Reading / Writing,Writing,Math
Monomoy Regional School District - Monomoy Regional High School,     150,571,,563
Monson - Monson High School,      35,570,,549
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,     195,529,,515
Mount Greylock - Mt Greylock Regional High,      95,613,,598
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,     128,569,,582
Nantucket - Nantucket High,     176,544,,526
Narragansett - Narragansett Regional High,      60,558,,558
Nashoba - Nashoba Regional,     255,591,,599
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,     118,527,,521
Natick - Natick High,     500,583,,586
Nauset - Nauset Regional High,     257,578,,566
Needham - Needham High,     432,610,,617
New Bedford - New Bedford High,     260,484,,478
New Bedford - Whaling City Junior/Senior High School,       1,,,
Newburyport - Newburyport High,     231,579,,585
Newton - Newton North High,     514,619,,624
Newton - Newton South High,     491,633,,651
Norfolk County Agricultural - Norfolk County Agricultural,     133,537,,512
North Adams - Drury High,      53,514,,500
North Andover - North Andover High,     431,572,,568
North Attleborough - North Attleboro High,     346,564,,562
North Brookfield - North Brookfield High,      26,578,,550
North Middlesex - North Middlesex Regional,     206,566,,548
North Reading - North Reading High,     231,565,,567
Northampton - Northampton High,     231,599,,591
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,      29,484,,471
Northboro-Southboro - Algonquin Regional High,     437,591,,599
Northbridge - Northbridge High,     105,541,,530
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,     164,486,,469
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,      50,513,,496
Norton - Norton High,     200,558,,549
Norwell - Norwell High,     239,588,,577
Norwood - Norwood High,     272,552,,559
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,      68,502,,519
Old Rochester - Old Rochester Regional High,     229,565,,566
Oxford - Oxford High,      70,502,,501
Palmer - Palmer High,      75,545,,539
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,      26,507,,491
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,      36,461,,431
Peabody - Peabody Veterans Memorial High,     328,533,,534
Pembroke - Pembroke High School,     240,557,,557
Pentucket - Pentucket Regional Sr High,     177,576,,574
Phoenix Academy Public Charter High School Lawrence (District) - Phoenix Academy Public Charter High School Lawrence,       4,,,
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,       7,,,
Phoenix Charter Academy (District) - Phoenix Charter Academy,       3,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,      70,573,,624
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),      68,584,,654
Pioneer Valley - Pioneer Valley Regional,      51,555,,520
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,      10,660,,634
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,      68,568,,517
Pittsfield - Pittsfield High,     140,533,,525
Pittsfield - Taconic High,     114,526,,518
Plymouth - Plymouth North High,     544,523,,508
Plymouth - Plymouth South High,     478,507,,495
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,     118,518,,522
Quabbin - Quabbin Regional High School,     164,538,,537
Quaboag Regional - Quaboag Regional High,      46,575,,541
Quincy - North Quincy High,     396,548,,584
Quincy - Quincy High,     359,533,,532
Ralph C Mahar - Pathways Early College Innovation School,      12,636,,620
Ralph C Mahar - Ralph C Mahar Regional,      52,536,,540
Ralph C Mahar - The Gateway to College,       6,,,
Randolph - Randolph High,     116,504,,522
Reading - Reading Memorial High,     414,578,,582
Revere - Revere High,     560,496,,506
Revere - Seacoast School,       2,,,
Rising Tide Charter Public (District) - Rising Tide Charter Public School,      85,564,,537
Rockland - Rockland Senior High,     149,524,,531
Rockport - Rockport High,      99,574,,544
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,     127,498,,523
Sabis International Charter (District) - Sabis International Charter School,     116,531,,524
Salem - New Liberty Innovation School,       1,,,
Salem - Salem High,     237,485,,477
Salem Academy Charter (District) - Salem Academy Charter School,     103,542,,528
Sandwich - Sandwich High,     197,550,,550
Saugus - Saugus High,     188,513,,499
Scituate - Scituate High School,     292,586,,575
Seekonk - Seekonk High,     170,559,,548
Sharon - Sharon High,     310,611,,628
