"School Name","District Name","Reading/Writing Score","Math Score","Tests Taken","# Students SAT ELA Participation"
"Whitman Post Elem School","Rockton SD 140",,,,
,"Rockford SD 205",464.4,439.9,1284,1284
"Auburn High School","Rockford SD 205",495.6,470.5,294,294
"Rockford East High School","Rockford SD 205",444.5,421.8,294,294
"Guilford High School","Rockford SD 205",482.1,451.1,347,347
"Jefferson High School","Rockford SD 205",437.5,417.7,343,343
"West Middle School","Rockford SD 205",,,,
"Eisenhower Middle School","Rockford SD 205",,,,
"Bernard W Flinn Middle School","Rockford SD 205",,,,
"Abraham Lincoln Middle School","Rockford SD 205",,,,
"Kennedy Middle School","Rockford SD 205",,,,
"Barbour Two-Way Lang Immersion","Rockford SD 205",,,,
"C Henry Bloom Elem School","Rockford SD 205",,,,
"Brookview Elem School","Rockford SD 205",,,,
"Clifford P Carlson Elem School","Rockford SD 205",,,,
"Legacy Acad of Excellence Char","Rockford SD 205",,,,
"Conklin Elem School","Rockford SD 205",,,,
"Ellis Elementary School","Rockford SD 205",,,,
"Arthur Froberg Elem School","Rockford SD 205",,,,
"Gregory Elem School","Rockford SD 205",,,,
"Galapagos Rockford Charter Sch","Rockford SD 205",,,,
"Haskell Elementary School","Rockford SD 205",,,,
"Swan Hillman Elem School","Rockford SD 205",,,,
"Maud E Johnson Elem School","Rockford SD 205",,,,
"Jackson Charter School","Rockford SD 205",,,,
"Constance Lane Elementary Scho","Rockford SD 205",,,,
"Julia Lathrop Elem School","Rockford SD 205",,,,
"McIntosh Elementary","Rockford SD 205",,,,
"Riverdahl Elem School","Rockford SD 205",,,,
"Rolling Green","Rockford SD 205",,,,
"Spring Creek Elem School","Rockford SD 205",,,,
"R K Welsh Elem School","Rockford SD 205",,,,
"West View Elem School","Rockford SD 205",,,,
"Whitehead Elem School","Rockford SD 205",,,,
"Cherry Valley Elementary Schoo","Rockford SD 205",,,,
"Thurgood Marshall Elementary","Rockford SD 205",,,,
"Washington Elementary School","Rockford SD 205",,,,
"Lewis Lemon Elementary","Rockford SD 205",,,,
"Montessori Elementary School","Rockford SD 205",,,,
"Rockford Envrnmntl Science Aca","Rockford SD 205",,,,
"Thurgood Marshall School","Rockford SD 205",,,,
"Fairview Early Childhood Cente","Rockford SD 205",,,,
"Roosevelt Center","Rockford SD 205",,,,
"Summerdale Early Childhood Cen","Rockford SD 205",,,,
"Wm Nashold Early Childhood Cen","Rockford SD 205",,,,
"Beyer Early Childhood Center","Rockford SD 205",,,,
,"Hononegah CHD 207",544.4,525.2,467,467
"Hononegah CHD High School","Hononegah CHD 207",544.4,525.2,467,467
,"County of Winnebago SD 320",471.9,473.8,58,58
"South Beloit Sr High School","County of Winnebago SD 320",471.9,473.8,58,58
"South Beloit Jr High School","County of Winnebago SD 320",,,,
"Clark Elementary School","County of Winnebago SD 320",,,,
"Riverview Elementary School","County of Winnebago SD 320",,,,
"Blackhawk Elementary School","County of Winnebago SD 320",,,,
,"Pecatonica CUSD 321",523.4,514.7,59,59
"Pecatonica High School","Pecatonica CUSD 321",523.4,514.7,59,59
"Pecatonica Comm Middle School","Pecatonica CUSD 321",,,,
"Pecatonica Elem School","Pecatonica CUSD 321",,,,
,"Durand CUSD 322",533.5,515.8,40,40
"Durand High School","Durand CUSD 322",533.5,515.8,40,40
"Durand Jr High School","Durand CUSD 322",,,,
"Durand Elem School","Durand CUSD 322",,,,
,"Winnebago CUSD 323",507.3,496.5,107,107
"Winnebago High School","Winnebago CUSD 323",507.3,496.5,107,107
"Winnebago Middle School","Winnebago CUSD 323",,,,
"Dorothy Simon Elem School","Winnebago CUSD 323",,,,
"Jean McNair Elementary School","Winnebago CUSD 323",,,,
,"Palatine CCSD 15",,,,
"Plum Grove Jr High School","Palatine CCSD 15",,,,
"Carl Sandburg Jr High School","Palatine CCSD 15",,,,
"Winston Campus Jr High","Palatine CCSD 15",,,,
"Walter R Sundling Jr High Sch","Palatine CCSD 15",,,,
"Jane Addams Elem School","Palatine CCSD 15",,,,
"Central Road Elem School","Palatine CCSD 15",,,,
"Marion Jordan Elem School","Palatine CCSD 15",,,,
"Kimball Hill Elem School","Palatine CCSD 15",,,,
"Hunting Ridge Elem School","Palatine CCSD 15",,,,
"Lake Louise Elem School","Palatine CCSD 15",,,,
"Lincoln Elementary School","Palatine CCSD 15",,,,
"Stuart R Paddock School","Palatine CCSD 15",,,,
"Pleasant Hill Elem School","Palatine CCSD 15",,,,
"Gray M Sanborn Elem School","Palatine CCSD 15",,,,
"Virginia Lake Elem School","Palatine CCSD 15",,,,
"Willow Bend Elem School","Palatine CCSD 15",,,,
"Winston Campus Elementary","Palatine CCSD 15",,,,
"Thomas Jefferson Elem School","Palatine CCSD 15",,,,
"Frank C Whiteley Elem School","Palatine CCSD 15",,,,
,"Wheeling CCSD 21",,,,
"Cooper Middle School","Wheeling CCSD 21",,,,
"Oliver W Holmes Middle School","Wheeling CCSD 21",,,,
"Jack London Middle School","Wheeling CCSD 21",,,,
"Eugene Field Elem School","Wheeling CCSD 21",,,,
"Robert Frost Elem School","Wheeling CCSD 21",,,,
"Joyce Kilmer Elem School","Wheeling CCSD 21",,,,
"Henry W Longfellow Elem School","Wheeling CCSD 21",,,,
"Edgar A Poe Elem School","Wheeling CCSD 21",,,,
"J W Riley Elem School","Wheeling CCSD 21",,,,
"Booth Tarkington Elem School","Wheeling CCSD 21",,,,
"Mark Twain Elem School","Wheeling CCSD 21",,,,
"Walt Whitman Elem School","Wheeling CCSD 21",,,,
,"Prospect Heights SD 23",,,,
"MacArthur Middle School","Prospect Heights SD 23",,,,
"Dwight D Eisenhower Elem Schoo","Prospect Heights SD 23",,,,
"Betsy Ross Elem School","Prospect Heights SD 23",,,,
"Anne Sullivan Elem School","Prospect Heights SD 23",,,,
,"Arlington Heights SD 25",,,,
"South Middle School","Arlington Heights SD 25",,,,
"Thomas Middle School","Arlington Heights SD 25",,,,
"Dryden Elem School","Arlington Heights SD 25",,,,
"Greenbrier Elem School","Arlington Heights SD 25",,,,
"Ivy Hill Elem School","Arlington Heights SD 25",,,,
"Olive-Mary Stitt School","Arlington Heights SD 25",,,,
"Patton Elem School","Arlington Heights SD 25",,,,
"Westgate Elem School","Arlington Heights SD 25",,,,
"Windsor Elementary School","Arlington Heights SD 25",,,,
,"River Trails SD 26",,,,
"River Trails Middle School","River Trails SD 26",,,,
"Euclid Elem School","River Trails SD 26",,,,
"Indian Grove Elem School","River Trails SD 26",,,,
,"Northbrook ESD 27",,,,
"Wood Oaks Jr High School","Northbrook ESD 27",,,,
"Hickory Point Elem School","Northbrook ESD 27",,,,
"Shabonee School","Northbrook ESD 27",,,,
,"Northbrook SD 28",,,,
"Northbrook Junior High School","Northbrook SD 28",,,,
"Greenbriar Elem School","Northbrook SD 28",,,,
"Meadowbrook Elem School","Northbrook SD 28",,,,
"Westmoor Elem School","Northbrook SD 28",,,,
,"Sunset Ridge SD 29",,,,
"Middlefork Primary School","Sunset Ridge SD 29",,,,
"Sunset Ridge Elem School","Sunset Ridge SD 29",,,,
,"Northbrook/Glenview SD 30",,,,
"Maple School","Northbrook/Glenview SD 30",,,,
"Willowbrook Elem School","Northbrook/Glenview SD 30",,,,
"Wescott Elementary School","Northbrook/Glenview SD 30",,,,
,"West Northfield SD 31",,,,
"Field School","West Northfield SD 31",,,,
"Henry Winkelman Elem School","West Northfield SD 31",,,,
,"Glenview CCSD 34",,,,
"Attea Middle School","Glenview CCSD 34",,,,
"Springman Middle School","Glenview CCSD 34",,,,
"Glen Grove Elem School","Glenview CCSD 34",,,,
"Henking Elem School","Glenview CCSD 34",,,,
"Hoffman Elem School","Glenview CCSD 34",,,,
"Lyon Elem School","Glenview CCSD 34",,,,
"Pleasant Ridge Elem School","Glenview CCSD 34",,,,
"Westbrook Elementary School","Glenview CCSD 34",,,,
,"Glencoe SD 35",,,,
"Central School","Glencoe SD 35",,,,
