School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Charleston High School,Charleston CUSD 1,478.1,460.3,207.0,207.0,Illinois,39.485302,-88.1645073,1615 Lincoln Avenue,61920,Coles County,Charleston,17029,"1615 Lincoln Avenue, Charleston, Illinois, 61920",000701,17029000701,2021.0,701.0,Coles County,Illinois,578.0,8.0,286.0,184.0,100.0,1692.0,15.0,55.0,222.0,391.0,132.0,531.0,346.0,1.4,49.5,31.8,17.3,0.9,3.3,13.1,23.1,7.8,31.4,20.4,1236.0,80464.0,92063.0,2594.0,31.0,1.2,2563.0,98.8,2364.0,91.1,74.0,2.9,12.0,0.5,84.0,3.2,0.0,0.0,0.0,0.0,29.0,1.1
Mattoon High School,Mattoon CUSD 2,467.2,444.7,183.0,183.0,Illinois,39.4745412,-88.38687990000001,2521 Walnut Avenue,61938,Coles County,Mattoon,17029,"2521 Walnut Avenue, Mattoon, Illinois, 61938",001200,17029001200,2021.0,1200.0,Coles County,Illinois,314.0,56.0,76.0,81.0,101.0,2402.0,34.0,174.0,856.0,596.0,311.0,285.0,146.0,17.8,24.2,25.8,32.2,1.4,7.2,35.6,24.8,12.9,11.9,6.1,1478.0,51432.0,65774.0,3320.0,26.0,0.8,3294.0,99.2,3215.0,96.8,47.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0
Oakland High School,Oakland CUSD 5,487.2,462.8,18.0,18.0,Illinois,39.6581103,-88.0214501,310 North Teeter Street,61943,Coles County,Oakland,17029,"310 North Teeter Street, Oakland, Illinois, 61943",000100,17029000100,2021.0,100.0,Coles County,Illinois,177.0,20.0,90.0,56.0,11.0,1845.0,46.0,98.0,679.0,469.0,229.0,232.0,92.0,11.3,50.8,31.6,6.2,2.5,5.3,36.8,25.4,12.4,12.6,5.0,1165.0,54028.0,68139.0,2577.0,35.0,1.4,2542.0,98.6,2507.0,97.3,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.2
Neoga Jr/Sr High School,Neoga CUSD 3,503.5,486.3,51.0,51.0,Illinois,39.3195975,-88.44193659999999,790 East 7th Street,62447,Cumberland County,Neoga,17035,"790 East 7th Street, Neoga, Illinois, 62447",972600,17035972600,2021.0,972600.0,Cumberland County,Illinois,267.0,8.0,97.0,149.0,13.0,2941.0,50.0,73.0,1133.0,620.0,444.0,436.0,185.0,3.0,36.3,55.8,4.9,1.7,2.5,38.5,21.1,15.1,14.8,6.3,1586.0,72414.0,84602.0,4048.0,11.0,0.3,4037.0,99.7,3934.0,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2.5
Cumberland High School,Cumberland CUSD 77,480.6,473.5,63.0,63.0,Illinois,39.2573204,-88.193901,1496 Illinois 121,62428,Cumberland County,Greenup,17035,"1496 Illinois 121, Greenup, Illinois, 62428",972500,17035972500,2021.0,972500.0,Cumberland County,Illinois,271.0,36.0,71.0,164.0,0.0,2304.0,87.0,188.0,959.0,490.0,254.0,201.0,125.0,13.3,26.2,60.5,0.0,3.8,8.2,41.6,21.3,11.0,8.7,5.4,1267.0,68170.0,82412.0,3407.0,104.0,3.1,3303.0,96.9,3198.0,93.9,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,3.0
Tuscola High School,Tuscola CUSD 301,479.7,468.6,64.0,64.0,Illinois,39.7956964,-88.274153,500 South Prairie Street,61953,Douglas County,Tuscola,17041,"500 South Prairie Street, Tuscola, Illinois, 61953",952200,17041952200,2021.0,952200.0,Douglas County,Illinois,458.0,33.0,99.0,289.0,37.0,3134.0,69.0,165.0,870.0,845.0,483.0,440.0,262.0,7.2,21.6,63.1,8.1,2.2,5.3,27.8,27.0,15.4,14.0,8.4,2058.0,59128.0,77217.0,4589.0,115.0,2.5,4474.0,97.5,4182.0,91.1,11.0,0.2,0.0,0.0,84.0,1.8,15.0,0.3,0.0,0.0,182.0,4.0
Villa Grove High School,Villa Grove CUSD 302,475.6,462.9,45.0,45.0,Illinois,39.8686019,-88.16152919999999,400 North Sycamore Street,61956,Douglas County,Villa Grove,17041,"400 North Sycamore Street, Villa Grove, Illinois, 61956",952100,17041952100,2021.0,952100.0,Douglas County,Illinois,320.0,97.0,67.0,135.0,21.0,2980.0,56.0,167.0,1051.0,663.0,279.0,583.0,181.0,30.3,20.9,42.2,6.6,1.9,5.6,35.3,22.2,9.4,19.6,6.1,1700.0,62353.0,72707.0,4081.0,56.0,1.4,4025.0,98.6,3942.0,96.6,48.0,1.2,11.0,0.3,5.0,0.1,0.0,0.0,0.0,0.0,19.0,0.5
Arthur-Lovington-Atwood-Hammon,Arthur CUSD 305,497.1,485.7,68.0,68.0,Illinois,39.806384,-88.4648503,222 West Magnolia Street,61913,Piatt County,Atwood,17147,"222 West Magnolia Street, Atwood, Illinois, 61913",954700,17147954700,2021.0,954700.0,Piatt County,Illinois,225.0,16.0,151.0,49.0,9.0,2200.0,11.0,146.0,972.0,545.0,215.0,236.0,75.0,7.1,67.1,21.8,4.0,0.5,6.6,44.2,24.8,9.8,10.7,3.4,1240.0,60000.0,78404.0,3081.0,25.0,0.8,3056.0,99.2,2991.0,97.1,28.0,0.9,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,35.0,1.1
Arcola High School,Arcola CUSD 306,446.8,441.2,57.0,57.0,Illinois,39.6830188,-88.31663549999999,351 West Washington Street,61910,Douglas County,Arcola,17041,"351 West Washington Street, Arcola, Illinois, 61910",952400,17041952400,2021.0,952400.0,Douglas County,Illinois,354.0,114.0,114.0,112.0,14.0,2221.0,304.0,181.0,835.0,356.0,163.0,222.0,160.0,32.2,32.2,31.6,4.0,13.7,8.1,37.6,16.0,7.3,10.0,7.2,1161.0,68150.0,74295.0,3709.0,1196.0,32.2,2513.0,67.8,2399.0,64.7,79.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.2,26.0,0.7
Shiloh High School,Shiloh CUSD 1,444.8,422.6,27.0,27.0,Illinois,39.756527,-87.89424509999999,,N/A,Edgar County,N/A,17045,,070200,17045070200,2021.0,70200.0,Edgar County,Illinois,110.0,2.0,57.0,40.0,11.0,1365.0,33.0,78.0,622.0,255.0,175.0,146.0,56.0,1.8,51.8,36.4,10.0,2.4,5.7,45.6,18.7,12.8,10.7,4.1,789.0,54077.0,66344.0,1854.0,46.0,2.5,1808.0,97.5,1748.0,94.3,0.0,0.0,10.0,0.5,8.0,0.4,0.0,0.0,0.0,0.0,42.0,2.3
Kansas High School,Kansas CUSD 3,445.0,451.7,12.0,12.0,Illinois,39.5504716,-87.9405347,310 South Front Street,61933,Edgar County,Kansas,17045,"310 South Front Street, Kansas, Illinois, 61933",070500,17045070500,2021.0,70500.0,Edgar County,Illinois,182.0,21.0,53.0,70.0,38.0,2569.0,51.0,144.0,992.0,490.0,384.0,405.0,103.0,11.5,29.1,38.5,20.9,2.0,5.6,38.6,19.1,14.9,15.8,4.0,1485.0,66599.0,75926.0,3422.0,36.0,1.1,3386.0,98.9,3348.0,97.8,3.0,0.1,0.0,0.0,18.0,0.5,0.0,0.0,0.0,0.0,17.0,0.5
Chrisman High School,Edgar County CUD 6,471.3,447.0,23.0,23.0,Illinois,39.8098983,-87.6738204,23231 Illinois 1,61924,Edgar County,Chrisman,17045,"23231 Illinois 1, Chrisman, Illinois, 61924",070100,17045070100,2021.0,70100.0,Edgar County,Illinois,122.0,15.0,52.0,45.0,10.0,1809.0,46.0,76.0,535.0,474.0,243.0,329.0,106.0,12.3,42.6,36.9,8.2,2.5,4.2,29.6,26.2,13.4,18.2,5.9,984.0,72500.0,77522.0,2501.0,0.0,0.0,2501.0,100.0,2393.0,95.7,14.0,0.6,13.0,0.5,29.0,1.2,0.0,0.0,0.0,0.0,52.0,2.1
Paris Cooperative High School,Paris Cooperative High School,474.4,457.4,108.0,108.0,Illinois,39.6450685,-87.7020821,14040 East 1200th Road,61944,Edgar County,Paris,17045,"14040 East 1200th Road, Paris, Illinois, 61944",070300,17045070300,2021.0,70300.0,Edgar County,Illinois,179.0,6.0,98.0,64.0,11.0,2824.0,192.0,186.0,1205.0,605.0,224.0,332.0,80.0,3.4,54.7,35.8,6.1,6.8,6.6,42.7,21.4,7.9,11.8,2.8,1708.0,44762.0,59889.0,3706.0,0.0,0.0,3706.0,100.0,3644.0,98.3,3.0,0.1,0.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,56.0,1.5
Sullivan High School,Sullivan CUSD 300,491.2,467.0,66.0,66.0,Illinois,39.6062461,-88.6083,725 North Main Street,61951,Moultrie County,Sullivan,17139,"725 North Main Street, Sullivan, Illinois, 61951",977200,17139977200,2021.0,977200.0,Moultrie County,Illinois,268.0,29.0,146.0,68.0,25.0,2898.0,104.0,145.0,994.0,742.0,353.0,310.0,250.0,10.8,54.5,25.4,9.3,3.6,5.0,34.3,25.6,12.2,10.7,8.6,1683.0,58714.0,68820.0,4277.0,65.0,1.5,4212.0,98.5,4084.0,95.5,90.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.9
Okaw Valley High School,Okaw Valley CUSD 302,467.9,456.2,39.0,39.0,Illinois,39.6406801,-88.7417966,709 South Saint John Street,61914,Moultrie County,Bethany,17139,"709 South Saint John Street, Bethany, Illinois, 61914",977100,17139977100,2021.0,977100.0,Moultrie County,Illinois,161.0,38.0,36.0,68.0,19.0,2113.0,36.0,75.0,566.0,516.0,276.0,422.0,222.0,23.6,22.4,42.2,11.8,1.7,3.5,26.8,24.4,13.1,20.0,10.5,1236.0,72500.0,93660.0,3113.0,24.0,0.8,3089.0,99.2,3058.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0
Cowden-Herrick Jr/Sr High Scho,Cowden-Herrick CUSD 3A,439.6,432.5,24.0,24.0,Illinois,39.2533622,-88.9222277,,N/A,Shelby County,N/A,17173,,959600,17173959600,2021.0,959600.0,Shelby County,Illinois,199.0,48.0,51.0,81.0,19.0,2299.0,42.0,139.0,1281.0,279.0,233.0,229.0,96.0,24.1,25.6,40.7,9.5,1.8,6.0,55.7,12.1,10.1,10.0,4.2,1254.0,62371.0,73170.0,3101.0,22.0,0.7,3079.0,99.3,2985.0,96.3,8.0,0.3,0.0,0.0,43.0,1.4,0.0,0.0,0.0,0.0,43.0,1.4
Shelbyville High School,Shelbyville CUSD 4,479.2,464.0,78.0,78.0,Illinois,39.413757,-88.8045411,1001 West North 6th Street,62565,Shelby County,Shelbyville,17173,"1001 West North 6th Street, Shelbyville, Illinois, 62565",959300,17173959300,2021.0,959300.0,Shelby County,Illinois,333.0,17.0,61.0,225.0,30.0,3434.0,95.0,276.0,1330.0,890.0,315.0,365.0,163.0,5.1,18.3,67.6,9.0,2.8,8.0,38.7,25.9,9.2,10.6,4.7,2202.0,52053.0,62311.0,4657.0,40.0,0.9,4617.0,99.1,4520.0,97.1,28.0,0.6,0.0,0.0,9.0,0.2,0.0,0.0,0.0,0.0,60.0,1.3
Stewardson-Strasburg High Scho,Stewardson-Strasburg CUD 5A,489.4,474.7,32.0,32.0,Illinois,39.3019645,-88.61816789999999,2806 600 North,62465,Shelby County,Strasburg,17173,"2806 600 North, Strasburg, Illinois, 62465",959500,17173959500,2021.0,959500.0,Shelby County,Illinois,230.0,19.0,66.0,140.0,5.0,2635.0,18.0,74.0,1195.0,523.0,351.0,353.0,121.0,8.3,28.7,60.9,2.2,0.7,2.8,45.4,19.8,13.3,13.4,4.6,1430.0,62108.0,78431.0,3585.0,86.0,2.4,3499.0,97.6,3482.0,97.1,0.0,0.0,0.0,0.0,11.0,0.3,0.0,0.0,0.0,0.0,6.0,0.2
Central A & M High School,Central A & M CUD 21,469.8,446.9,51.0,51.0,Illinois,39.6316906,-89.01706569999999,229 East Pine Street,62550,Shelby County,Moweaqua,17173,"229 East Pine Street, Moweaqua, Illinois, 62550",959100,17173959100,2021.0,959100.0,Shelby County,Illinois,243.0,53.0,50.0,119.0,21.0,2377.0,31.0,118.0,948.0,586.0,245.0,333.0,116.0,21.8,20.6,49.0,8.6,1.3,5.0,39.9,24.7,10.3,14.0,4.9,1353.0,65391.0,74386.0,3502.0,37.0,1.1,3465.0,98.9,3376.0,96.4,33.0,0.9,17.0,0.5,11.0,0.3,0.0,0.0,1.0,0.0,27.0,0.8
Clay City High School,Clay City CUSD 10,534.0,492.0,10.0,10.0,Illinois,38.6838586,-88.35141039999999,607 Walnut Street Southeast,62824,Clay County,Clay City,17025,"607 Walnut Street Southeast, Clay City, Illinois, 62824",972200,17025972200,2021.0,972200.0,Clay County,Illinois,188.0,3.0,127.0,58.0,0.0,1899.0,50.0,115.0,640.0,408.0,349.0,309.0,28.0,1.6,67.6,30.9,0.0,2.6,6.1,33.7,21.5,18.4,16.3,1.5,1106.0,65769.0,105288.0,3029.0,7.0,0.2,3022.0,99.8,2853.0,94.2,9.0,0.3,3.0,0.1,2.0,0.1,0.0,0.0,19.0,0.6,136.0,4.5
North Clay Community High Scho,North Clay CUSD 25,460.6,467.5,48.0,48.0,Illinois,38.7667577,-88.51000739999999,953 Kinmundy Road,62858,Clay County,Louisville,17025,"953 Kinmundy Road, Louisville, Illinois, 62858",972000,17025972000,2021.0,972000.0,Clay County,Illinois,109.0,18.0,67.0,24.0,0.0,2057.0,114.0,174.0,782.0,525.0,272.0,133.0,57.0,16.5,61.5,22.0,0.0,5.5,8.5,38.0,25.5,13.2,6.5,2.8,1163.0,49109.0,59709.0,2831.0,12.0,0.4,2819.0,99.6,2763.0,97.6,33.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.7
Flora High School,Flora CUSD 35,460.4,439.4,77.0,77.0,Illinois,38.663165,-88.482466,600 South Locust Street,62839,Clay County,Flora,17025,"600 South Locust Street, Flora, Illinois, 62839",972100,17025972100,2021.0,972100.0,Clay County,Illinois,535.0,61.0,72.0,378.0,24.0,3663.0,187.0,246.0,1552.0,738.0,358.0,216.0,366.0,11.4,13.5,70.7,4.5,5.1,6.7,42.4,20.1,9.8,5.9,10.0,2228.0,51625.0,66283.0,5034.0,3.0,0.1,5031.0,99.9,4726.0,93.9,17.0,0.3,64.0,1.3,15.0,0.3,0.0,0.0,0.0,0.0,209.0,4.2
Hutsonville High School,Hutsonville CUSD 1,473.6,450.4,28.0,28.0,Illinois,39.1074859,-87.6657271,500 West Clover Street,62433,Crawford County,Hutsonville,17033,"500 West Clover Street, Hutsonville, Illinois, 62433",880100,17033880100,2021.0,880100.0,Crawford County,Illinois,165.0,32.0,116.0,12.0,5.0,1896.0,40.0,87.0,652.0,309.0,306.0,253.0,249.0,19.4,70.3,7.3,3.0,2.1,4.6,34.4,16.3,16.1,13.3,13.1,1137.0,62708.0,106746.0,2527.0,45.0,1.8,2482.0,98.2,2358.0,93.3,6.0,0.2,0.0,0.0,63.0,2.5,0.0,0.0,20.0,0.8,35.0,1.4
Robinson High School,Robinson CUSD 2,473.2,466.1,109.0,109.0,Illinois,39.0186286,-87.7397281,2000 North Cross Street,62454,Crawford County,Robinson,17033,"2000 North Cross Street, Robinson, Illinois, 62454",880300,17033880300,2021.0,880300.0,Crawford County,Illinois,279.0,6.0,146.0,94.0,33.0,2270.0,78.0,147.0,522.0,369.0,352.0,537.0,265.0,2.2,52.3,33.7,11.8,3.4,6.5,23.0,16.3,15.5,23.7,11.7,1442.0,49449.0,72216.0,3086.0,91.0,2.9,2995.0,97.1,2963.0,96.0,6.0,0.2,1.0,0.0,6.0,0.2,0.0,0.0,5.0,0.2,14.0,0.5
Palestine High School,Palestine CUSD 3,471.1,468.3,18.0,18.0,Illinois,39.0032905,-87.6124193,102 North Main Street,62451,Crawford County,Palestine,17033,"102 North Main Street, Palestine, Illinois, 62451",880500,17033880500,2021.0,880500.0,Crawford County,Illinois,324.0,137.0,80.0,102.0,5.0,3360.0,158.0,701.0,866.0,874.0,456.0,221.0,84.0,42.3,24.7,31.5,1.5,4.7,20.9,25.8,26.0,13.6,6.6,2.5,1023.0,57125.0,75440.0,4240.0,249.0,5.9,3991.0,94.1,3072.0,72.5,884.0,20.8,2.0,0.0,4.0,0.1,0.0,0.0,0.0,0.0,29.0,0.7
Oblong High School,Oblong CUSD 4,447.1,453.9,41.0,41.0,Illinois,38.9958292,-87.9092431,700 South Range Street,62449,Crawford County,Oblong,17033,"700 South Range Street, Oblong, Illinois, 62449",880200,17033880200,2021.0,880200.0,Crawford County,Illinois,229.0,9.0,92.0,103.0,25.0,2443.0,46.0,147.0,783.0,538.0,625.0,179.0,125.0,3.9,40.2,45.0,10.9,1.9,6.0,32.1,22.0,25.6,7.3,5.1,1490.0,54356.0,68583.0,3529.0,21.0,0.6,3508.0,99.4,3326.0,94.2,35.0,1.0,1.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,144.0,4.1
Newton Comm High School,Jasper County CUD 1,474.2,469.7,100.0,100.0,Illinois,38.9897041,-88.1742646,201 West End Avenue,62448,Jasper County,Newton,17079,"201 West End Avenue, Newton, Illinois, 62448",977400,17079977400,2021.0,977400.0,Jasper County,Illinois,264.0,10.0,78.0,148.0,28.0,2098.0,39.0,163.0,922.0,357.0,233.0,252.0,132.0,3.8,29.5,56.1,10.6,1.9,7.8,43.9,17.0,11.1,12.0,6.3,1283.0,50771.0,60234.0,2924.0,6.0,0.2,2918.0,99.8,2871.0,98.2,13.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3,26.0,0.9
Red Hill Jr/Sr High School,Red Hill CUSD 10,464.1,442.8,61.0,61.0,Illinois,38.7129393,-87.75742029999999,908 Church Street,62417,Lawrence County,Bridgeport,17101,"908 Church Street, Bridgeport, Illinois, 62417",880900,17101880900,2021.0,880900.0,Lawrence County,Illinois,180.0,6.0,84.0,80.0,10.0,1593.0,41.0,157.0,683.0,293.0,214.0,138.0,67.0,3.3,46.7,44.4,5.6,2.6,9.9,42.9,18.4,13.4,8.7,4.2,951.0,51771.0,84280.0,2466.0,0.0,0.0,2466.0,100.0,2333.0,94.6,121.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5
Lawrenceville High School,Lawrence County CUD 20,468.5,441.6,80.0,80.0,Illinois,38.7230644,-87.6987762,2200 James Street,62439,Lawrence County,Lawrenceville,17101,"2200 James Street, Lawrenceville, Illinois, 62439",881100,17101881100,2021.0,881100.0,Lawrence County,Illinois,221.0,36.0,160.0,25.0,0.0,2459.0,80.0,308.0,790.0,573.0,288.0,178.0,242.0,16.3,72.4,11.3,0.0,3.3,12.5,32.1,23.3,11.7,7.2,9.8,1267.0,43573.0,58395.0,3116.0,0.0,0.0,3116.0,100.0,2724.0,87.4,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,10.6
Richland County High School,Richland County CUSD 1,469.2,466.6,161.0,161.0,Illinois,38.73431890000001,-88.0721355,1200 East Laurel Street,62450,Richland County,Olney,17159,"1200 East Laurel Street, Olney, Illinois, 62450",978100,17159978100,2021.0,978100.0,Richland County,Illinois,379.0,89.0,137.0,153.0,0.0,2898.0,42.0,137.0,917.0,735.0,356.0,456.0,255.0,23.5,36.1,40.4,0.0,1.4,4.7,31.6,25.4,12.3,15.7,8.8,1595.0,59375.0,69916.0,4381.0,220.0,5.0,4161.0,95.0,3984.0,90.9,7.0,0.2,10.0,0.2,0.0,0.0,0.0,0.0,3.0,0.1,157.0,3.6
Carlyle High School,Carlyle CUSD 1,471.4,462.7,63.0,63.0,Illinois,38.6194243,-89.3738741,1461 12th Street,62231,Clinton County,Carlyle,17027,"1461 12th Street, Carlyle, Illinois, 62231",900403,17027900403,2021.0,900403.0,Clinton County,Illinois,550.0,57.0,339.0,154.0,0.0,2575.0,90.0,105.0,907.0,426.0,328.0,598.0,121.0,10.4,61.6,28.0,0.0,3.5,4.1,35.2,16.5,12.7,23.2,4.7,1545.0,58797.0,90411.0,3843.0,62.0,1.6,3781.0,98.4,3490.0,90.8,59.0,1.5,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,227.0,5.9
Wesclin Sr High School,Wesclin CUSD 3,503.6,491.5,89.0,89.0,Illinois,38.5698719,-89.69332159999999,699 Wesclin Road,62293,Clinton County,Trenton,17027,"699 Wesclin Road, Trenton, Illinois, 62293",900602,17027900602,2021.0,900602.0,Clinton County,Illinois,507.0,73.0,180.0,208.0,46.0,4857.0,129.0,145.0,1535.0,1051.0,749.0,927.0,321.0,14.4,35.5,41.0,9.1,2.7,3.0,31.6,21.6,15.4,19.1,6.6,2739.0,87534.0,101923.0,6839.0,379.0,5.5,6460.0,94.5,6124.0,89.5,220.0,3.2,7.0,0.1,38.0,0.6,0.0,0.0,0.0,0.0,71.0,1.0
Central Comm High School,Central CHSD 71,499.1,503.7,159.0,159.0,Illinois,38.6100131,-89.5120084,,N/A,Clinton County,N/A,17027,,900300,17027900300,2021.0,900300.0,Clinton County,Illinois,466.0,27.0,48.0,224.0,167.0,4898.0,145.0,195.0,1454.0,989.0,998.0,766.0,351.0,5.8,10.3,48.1,35.8,3.0,4.0,29.7,20.2,20.4,15.6,7.2,2800.0,71795.0,96296.0,6895.0,211.0,3.1,6684.0,96.9,6508.0,94.4,9.0,0.1,0.0,0.0,63.0,0.9,0.0,0.0,0.0,0.0,104.0,1.5
Waltonville High School,Waltonville CUSD 1,454.8,457.3,33.0,33.0,Illinois,38.2130759,-89.05053760000001,804 West Knob Street,62894,Jefferson County,Waltonville,17081,"804 West Knob Street, Waltonville, Illinois, 62894",050300,17081050300,2021.0,50300.0,Jefferson County,Illinois,303.0,42.0,78.0,164.0,19.0,2945.0,22.0,163.0,862.0,825.0,475.0,378.0,220.0,13.9,25.7,54.1,6.3,0.7,5.5,29.3,28.0,16.1,12.8,7.5,1704.0,63450.0,74093.0,4399.0,80.0,1.8,4319.0,98.2,4146.0,94.2,27.0,0.6,4.0,0.1,21.0,0.5,0.0,0.0,0.0,0.0,121.0,2.8
Mount Vernon High School,Mt Vernon Twp HSD 201,447.5,438.7,240.0,240.0,Illinois,38.3172714,-88.9031201,850-900 Broadway Street,62864,Jefferson County,Mount Vernon,17081,"850-900 Broadway Street, Mount Vernon, Illinois, 62864",051000,17081051000,2021.0,51000.0,Jefferson County,Illinois,160.0,40.0,78.0,42.0,0.0,838.0,56.0,108.0,287.0,164.0,208.0,15.0,0.0,25.0,48.8,26.3,0.0,6.7,12.9,34.2,19.6,24.8,1.8,0.0,526.0,28333.0,49086.0,1416.0,14.0,1.0,1402.0,99.0,660.0,46.6,695.0,49.1,0.0,0.0,23.0,1.6,0.0,0.0,0.0,0.0,24.0,1.7
Woodlawn High School,Woodlawn Unit School District ,488.3,467.7,52.0,52.0,Illinois,38.33174870000001,-89.03612559999999,300 North Central Street,62898,Jefferson County,Woodlawn,17081,"300 North Central Street, Woodlawn, Illinois, 62898",050300,17081050300,2021.0,50300.0,Jefferson County,Illinois,303.0,42.0,78.0,164.0,19.0,2945.0,22.0,163.0,862.0,825.0,475.0,378.0,220.0,13.9,25.7,54.1,6.3,0.7,5.5,29.3,28.0,16.1,12.8,7.5,1704.0,63450.0,74093.0,4399.0,80.0,1.8,4319.0,98.2,4146.0,94.2,27.0,0.6,4.0,0.1,21.0,0.5,0.0,0.0,0.0,0.0,121.0,2.8
Webber High School,Bluford Unit School District 3,456.1,440.0,28.0,28.0,Illinois,38.3241253,-88.7411515,310 South Elm Street,62814,Jefferson County,Bluford,17081,"310 South Elm Street, Bluford, Illinois, 62814",050200,17081050200,2021.0,50200.0,Jefferson County,Illinois,229.0,81.0,93.0,48.0,7.0,1999.0,110.0,190.0,747.0,513.0,241.0,139.0,59.0,35.4,40.6,21.0,3.1,5.5,9.5,37.4,25.7,12.1,7.0,3.0,1140.0,59875.0,65787.0,2970.0,81.0,2.7,2889.0,97.3,2672.0,90.0,0.0,0.0,19.0,0.6,6.0,0.2,0.0,0.0,0.0,0.0,192.0,6.5
Patoka Sr High School,Patoka CUSD 100,485.4,466.9,13.0,13.0,Illinois,38.7553259,-89.09534169999999,,62875,Marion County,Patoka,17121,,951700,17121951700,2021.0,951700.0,Marion County,Illinois,244.0,19.0,55.0,166.0,4.0,1855.0,31.0,113.0,485.0,496.0,265.0,368.0,97.0,7.8,22.5,68.0,1.6,1.7,6.1,26.1,26.7,14.3,19.8,5.2,1063.0,69330.0,86729.0,2659.0,57.0,2.1,2602.0,97.9,2553.0,96.0,0.0,0.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,0.0,43.0,1.6
Centralia High School,Centralia HSD 200,470.6,466.9,143.0,143.0,Illinois,38.5185957,-89.10396300000001,2100 East Calumet Street,62801,Marion County,Centralia,17121,"2100 East Calumet Street, Centralia, Illinois, 62801",952400,17121952400,2021.0,952400.0,Marion County,Illinois,194.0,18.0,56.0,120.0,0.0,2775.0,47.0,122.0,737.0,959.0,219.0,405.0,286.0,9.3,28.9,61.9,0.0,1.7,4.4,26.6,34.6,7.9,14.6,10.3,1686.0,63309.0,71806.0,3925.0,222.0,5.7,3703.0,94.3,3205.0,81.7,373.0,9.5,1.0,0.0,68.0,1.7,0.0,0.0,0.0,0.0,56.0,1.4
Sandoval Sr High School,Sandoval CUSD 501,424.5,407.5,20.0,20.0,Illinois,38.6286632,-89.1134166,,N/A,Marion County,N/A,17121,,951800,17121951800,2021.0,951800.0,Marion County,Illinois,90.0,30.0,30.0,28.0,2.0,1691.0,114.0,272.0,619.0,446.0,113.0,84.0,43.0,33.3,33.3,31.1,2.2,6.7,16.1,36.6,26.4,6.7,5.0,2.5,926.0,38182.0,50213.0,2340.0,91.0,3.9,2249.0,96.1,2147.0,91.8,12.0,0.5,0.0,0.0,2.0,0.1,0.0,0.0,17.0,0.7,71.0,3.0
