unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05007020701,2020,20701,Benton County,Arkansas,367,66,115,186,0,3963,36,117,1107,1031,302,976,394,18.0,31.3,50.7,0.0,0.9,3.0,27.9,26.0,7.6,24.6,9.9
05007020703,2020,20703,Benton County,Arkansas,249,11,89,149,0,3780,5,60,1076,1067,213,938,421,4.4,35.7,59.8,0.0,0.1,1.6,28.5,28.2,5.6,24.8,11.1
05007020704,2020,20704,Benton County,Arkansas,368,22,251,44,51,3038,40,125,771,703,315,709,375,6.0,68.2,12.0,13.9,1.3,4.1,25.4,23.1,10.4,23.3,12.3
05007020801,2020,20801,Benton County,Arkansas,78,2,32,44,0,3948,41,89,1016,979,494,857,472,2.6,41.0,56.4,0.0,1.0,2.3,25.7,24.8,12.5,21.7,12.0
05007020803,2020,20803,Benton County,Arkansas,242,0,84,94,64,3679,26,103,1191,923,300,807,329,0.0,34.7,38.8,26.4,0.7,2.8,32.4,25.1,8.2,21.9,8.9
05007020805,2020,20805,Benton County,Arkansas,274,10,35,205,24,3477,31,126,702,999,294,880,445,3.6,12.8,74.8,8.8,0.9,3.6,20.2,28.7,8.5,25.3,12.8
05007020806,2020,20806,Benton County,Arkansas,250,25,43,164,18,4794,122,160,1060,1030,300,1339,783,10.0,17.2,65.6,7.2,2.5,3.3,22.1,21.5,6.3,27.9,16.3
05007020903,2020,20903,Benton County,Arkansas,302,29,0,205,68,3168,0,80,606,842,117,1026,497,9.6,0.0,67.9,22.5,0.0,2.5,19.1,26.6,3.7,32.4,15.7
05007020904,2020,20904,Benton County,Arkansas,361,69,183,103,6,4145,22,138,945,929,254,1401,456,19.1,50.7,28.5,1.7,0.5,3.3,22.8,22.4,6.1,33.8,11.0
05007020905,2020,20905,Benton County,Arkansas,198,0,69,129,0,1924,30,105,938,377,96,264,114,0.0,34.8,65.2,0.0,1.6,5.5,48.8,19.6,5.0,13.7,5.9
05007020906,2020,20906,Benton County,Arkansas,463,62,244,157,0,2916,33,123,673,962,366,475,284,13.4,52.7,33.9,0.0,1.1,4.2,23.1,33.0,12.6,16.3,9.7
05007021001,2020,21001,Benton County,Arkansas,758,279,194,267,18,3416,87,461,1486,515,189,449,229,36.8,25.6,35.2,2.4,2.5,13.5,43.5,15.1,5.5,13.1,6.7
05007021003,2020,21003,Benton County,Arkansas,248,42,126,76,4,2216,158,150,1089,347,117,300,55,16.9,50.8,30.6,1.6,7.1,6.8,49.1,15.7,5.3,13.5,2.5
05007021004,2020,21004,Benton County,Arkansas,394,52,159,183,0,2937,52,123,922,697,283,657,203,13.2,40.4,46.4,0.0,1.8,4.2,31.4,23.7,9.6,22.4,6.9
