School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Wheeling High School,Township HSD 214,Wheeling,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,461.7,470.5,40.3,39.1,16.1,4.6,44.7,29.6,22.6,3.1,46.6,34.8,14.7,3.9,416.0,417.0
Rolling Meadows High School,Township HSD 214,Rolling Meadows,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,511.3,492.7,22.1,38.2,25.5,14.3,39.2,22.5,30.6,7.6,25.1,39.3,21.9,13.8,498.0,499.0
Buffalo Grove High School,Township HSD 214,Buffalo Grove,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,514.3,520.5,25.1,32.5,26.4,16.0,31.4,22.9,32.6,13.1,31.4,30.6,22.4,15.5,472.0,474.0
Niles North High School,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,504.1,497.5,22.7,40.6,26.3,10.3,30.5,31.5,33.5,4.5,26.2,38.0,24.7,11.1,533.0,534.0
Niles West High School,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,513.5,509.5,17.6,43.7,26.8,11.9,28.5,30.7,34.1,6.7,23.1,42.1,24.7,10.1,629.0,631.0
Glenbrook North High School,Glenbrook HSD 225,Northbrook,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,594.7,596.8,4.0,23.7,34.4,37.9,8.2,20.3,43.2,28.3,3.8,22.1,33.8,40.3,478.0,478.0
Glenbrook South High School,Glenbrook HSD 225,Glenview,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,562.6,555.8,11.3,29.8,30.6,28.3,20.0,21.9,39.3,18.8,11.9,28.0,32.0,28.0,792.0,792.0
Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,Oak Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,552.5,534.2,15.2,27.2,31.1,26.5,25.6,23.0,36.1,15.3,17.1,28.7,28.7,25.5,846.0,851.0
J Sterling Morton East High Sch,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,10 - 12,426.1,415.7,54.3,36.2,8.1,1.4,73.1,20.3,5.9,0.8,55.7,34.5,8.1,1.7,1032.0,1033.0
J Sterling Morton West High Sch,J S Morton HSD 201,Berwyn,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,453.5,432.1,40.5,42.8,13.3,3.5,63.3,24.5,11.5,0.6,45.9,38.5,12.8,2.7,777.0,784.0
Lyons Twp High Sch,Lyons Twp HSD 204,La Grange,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,536.1,538.8,15.9,34.8,30.0,19.4,24.6,22.3,38.8,14.3,17.0,36.8,27.2,18.9,956.0,958.0
Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,Riverside,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,533.2,530.9,13.1,38.0,33.7,15.2,22.4,25.7,40.9,11.1,14.1,42.4,31.4,12.0,390.0,390.0
Proviso East High School,Proviso Twp HSD 209,Maywood,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,407.6,389.6,65.9,31.7,2.2,0.3,84.9,13.7,1.3,0.0,67.9,30.7,1.4,0.0,371.0,372.0
Proviso West High School,Proviso Twp HSD 209,Hillside,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,409.9,386.5,65.3,32.2,2.2,0.2,85.1,12.7,2.2,0.0,65.4,33.0,1.6,0.0,402.0,404.0
Proviso Math and Science Academy,Proviso Twp HSD 209,Forest Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,529.8,529.6,7.0,50.2,31.2,11.6,18.6,30.7,44.2,6.5,11.9,43.6,29.7,14.9,215.0,215.0
East Leyden High School,Leyden CHSD 212,Franklin Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,463.9,465.6,36.1,42.2,17.2,4.4,45.4,27.9,25.3,1.4,39.9,39.9,15.9,4.3,428.0,430.0
West Leyden High School,Leyden CHSD 212,Northlake,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,451.2,430.3,40.0,46.4,11.8,1.8,63.6,25.7,10.0,0.7,41.2,45.1,12.9,0.9,448.0,448.0
