School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Bunker Hill High School,Bunker Hill CUSD 8,Bunker Hill,Macoupin,UNIT,MEDIUM,HIGH SCHOOL,12-Aug,450.5,423.1,40.5,47.6,11.9,0,64.3,23.8,11.9,0,40.9,50,9.1,0,42,42,Illinois,39.0400055,-89.9606966,314 South Meissner Street,62014,Macoupin County,Bunker Hill,17117,"314 South Meissner Street, Bunker Hill, Illinois, 62014",956700,17117956700,2022,956700,Macoupin County,Illinois,351,12,177,64,98,2703,62,228,1122,615,312,243,121,3.4,50.4,18.2,27.9,2.3,8.4,41.5,22.8,11.5,9,4.5,1403,76576,94952,3844,134,3.5,3710,96.5,3424,89.1,223,5.8,5,0.1,23,0.6,0,0,0,0,35,0.9,423.1,450.5
Southwestern High School,Southwestern CUSD 9,Piasa,Macoupin,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,480.8,483.6,28.4,46.6,20.5,4.5,35.2,35.2,26.1,3.4,27.1,50,18.8,4.2,88,88,Illinois,39.1194911,-90.140376,8226 Illinois 111,62079,Macoupin County,Piasa,17117,"8226 Illinois 111, Piasa, Illinois, 62079",956600,17117956600,2022,956600,Macoupin County,Illinois,299,51,91,108,49,3230,38,159,1203,716,451,465,198,17.1,30.4,36.1,16.4,1.2,4.9,37.2,22.2,14,14.4,6.1,1707,74353,91707,4708,52,1.1,4656,98.9,4549,96.6,10,0.2,14,0.3,0,0,0,0,1,0,82,1.7,483.6,480.8
North Mac High School,North Mac CUSD 34,Virden,Macoupin,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,473.8,441.4,32.7,45.2,17.3,4.8,62.5,24,11.5,1.9,31.6,47.4,14,7,104,104,Illinois,40.6331249,-89.3985283,,N/A,Tazewell County,N/A,17179,,21701,17179021701,2022,21701,Tazewell County,Illinois,320,34,116,122,48,4046,24,105,1054,1022,473,962,406,10.6,36.3,38.1,15,0.6,2.6,26.1,25.3,11.7,23.8,10,2364,99375,109090,5894,71,1.2,5823,98.8,5752,97.6,16,0.3,0,0,8,0.1,0,0,0,0,47,0.8,441.4,473.8
Roxana Sr High School,Roxana CUSD 1,Roxana,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,447.3,430.6,47.1,38.7,12.6,1.7,56.3,27.7,16,0,56.7,31.7,11.7,0,119,119,Illinois,38.8500517,-90.0752407,323 Chaffer Avenue,62084,Madison County,Roxana,17119,"323 Chaffer Avenue, Roxana, Illinois, 62084",401000,17119401000,2022,401000,Madison County,Illinois,185,54,66,61,4,1592,8,47,623,405,199,243,67,29.2,35.7,33,2.2,0.5,3,39.1,25.4,12.5,15.3,4.2,1005,52841,71482,2272,12,0.5,2260,99.5,2145,94.4,85,3.7,4,0.2,13,0.6,0,0,0,0,13,0.6,430.6,447.3
Triad High School,Triad CUSD 2,Troy,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,505.3,502,21.8,43.2,24.1,10.9,33.9,27.7,31.2,7.2,30.4,37.8,24.4,7.4,292,294,Illinois,41.4947122,-88.7686382,,N/A,LaSalle County,N/A,17099,,962300,17099962300,2022,962300,LaSalle County,Illinois,541,194,101,213,33,5449,151,712,1853,1192,555,720,266,35.9,18.7,39.4,6.1,2.8,13.1,34,21.9,10.2,13.2,4.9,2307,85545,103342,7029,552,7.9,6477,92.1,5193,73.9,1022,14.5,0,0,36,0.5,0,0,0,0,226,3.2,502,505.3
Highland High School,Highland CUSD 5,Highland,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,489.5,487.4,24.1,49.2,18.6,8,36.7,31.2,26.6,5.5,27.4,48.7,16.8,7.1,199,199,Illinois,38.7562872,-89.6741463,12760 Troxler Avenue,62249,Madison County,Highland,17119,"12760 Troxler Avenue, Highland, Illinois, 62249",403601,17119403601,2022,403601,Madison County,Illinois,52,10,8,22,12,2932,34,80,776,702,338,600,402,19.2,15.4,42.3,23.1,1.2,2.7,26.5,23.9,11.5,20.5,13.7,1712,78500,99072,3828,74,1.9,3754,98.1,3629,94.8,28,0.7,0,0,33,0.9,0,0,0,0,64,1.7,487.4,489.5
Edwardsville High School,Edwardsville CUSD 7,Edwardsville,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,523.8,511,17.4,37.4,32.8,12.4,26.2,30.1,37.5,6.3,21,35.3,33.5,10.3,539,540,Illinois,38.788755,-89.975249,6161 Center Grove Road,62025,Madison County,Edwardsville,17119,"6161 Center Grove Road, Edwardsville, Illinois, 62025",403001,17119403001,2022,403001,Madison County,Illinois,969,17,165,557,230,4189,25,200,948,942,319,1032,723,1.8,17,57.5,23.7,0.6,4.8,22.6,22.5,7.6,24.6,17.3,2518,71061,107747,6334,243,3.8,6091,96.2,5576,88,336,5.3,16,0.3,80,1.3,0,0,0,0,83,1.3,511,523.8
Civic Memorial High School,Bethalto CUSD 8,Bethalto,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,475.8,455.5,29.9,46.5,20.3,3.2,51.9,28.3,19.8,0,33.3,40.9,21.5,4.3,187,187,Illinois,38.9094921,-90.0632053,200 School Street,62010,Madison County,Bethalto,17119,"200 School Street, Bethalto, Illinois, 62010",401721,17119401721,2022,401721,Madison County,Illinois,410,14,163,165,68,3814,31,226,1407,775,409,681,285,3.4,39.8,40.2,16.6,0.8,5.9,36.9,20.3,10.7,17.9,7.5,2209,66725,83239,5601,0,0,5601,100,5406,96.5,21,0.4,0,0,10,0.2,0,0,0,0,164,2.9,455.5,475.8
Granite City High School,Granite City CUSD 9,Granite City,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,431.9,410,51.6,37.6,9.3,1.5,72,19.9,7.9,0.2,55.5,36.2,6.9,1.4,407,407,Illinois,38.7179873,-90.1255238,3101 Madison Avenue,62040,Madison County,Granite City,17119,"3101 Madison Avenue, Granite City, Illinois, 62040",400101,17119400101,2022,400101,Madison County,Illinois,22,0,14,8,0,1956,0,104,714,590,256,192,100,0,63.6,36.4,0,0,5.3,36.5,30.2,13.1,9.8,5.1,1159,67567,69196,2707,99,3.7,2608,96.3,2439,90.1,138,5.1,0,0,12,0.4,0,0,0,0,19,0.7,410,431.9
Collinsville High School,Collinsville CUSD 10,Collinsville,Madison,UNIT,LARGE,HIGH SCHOOL,12-Sep,464.5,449.5,37.8,40.5,16.1,5.5,55.6,23.4,19.1,1.9,42,36.4,16.5,5.2,414,415,Illinois,38.6469424,-90.011673,2201 South Morrison Avenue,62234,St. Clair County,Collinsville,17163,"2201 South Morrison Avenue, Collinsville, Illinois, 62234",503412,17163503412,2022,503412,St. Clair County,Illinois,426,74,168,184,0,4137,142,270,1054,905,549,685,532,17.4,39.4,43.2,0,3.4,6.5,25.5,21.9,13.3,16.6,12.9,2358,79649,93132,5504,528,9.6,4976,90.4,3922,71.3,625,11.4,0,0,143,2.6,0,0,0,0,286,5.2,449.5,464.5
Alton High School,Alton CUSD 11,Alton,Madison,UNIT,LARGE,HIGH SCHOOL,PK - 12,468.3,454,35.2,43.2,17.8,3.8,56.1,20.5,20,3.4,41,39.6,14.9,4.5,444,449,Illinois,38.936015,-90.1593558,4200 Humbert Road,62002,Madison County,Alton,17119,"4200 Humbert Road, Alton, Illinois, 62002",402701,17119402701,2022,402701,Madison County,Illinois,522,12,306,156,48,5225,46,189,1466,1541,742,801,440,2.3,58.6,29.9,9.2,0.9,3.6,28.1,29.5,14.2,15.3,8.4,3080,79131,86603,6761,38,0.6,6723,99.4,5454,80.7,917,13.6,0,0,4,0.1,0,0,0,0,348,5.1,454,468.3
Madison Senior High School,Madison CUSD 12,Madison,Madison,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,397.1,360.3,71,25.8,3.2,0,90.3,9.7,0,0,68.8,25,6.3,0,31,31,Illinois,38.6823289,-90.143275,600 Farrish Street,62060,Madison County,Madison,17119,"600 Farrish Street, Madison, Illinois, 62060",400903,17119400903,2022,400903,Madison County,Illinois,315,173,47,95,0,3016,37,349,854,1002,464,167,143,54.9,14.9,30.2,0,1.2,11.6,28.3,33.2,15.4,5.5,4.7,1904,50688,64800,4388,944,21.5,3444,78.5,2786,63.5,491,11.2,0,0,0,0,0,0,63,1.4,104,2.4,360.3,397.1
East Alton-Wood River High Sch,East Alton-Wood River CHSD 14,Wood River,Madison,HIGH SCHOOL,SMALL,HIGH SCHOOL,12-Sep,444.2,418.3,44.2,37.2,17.7,0.9,70.8,16.8,12.4,0,37,42.6,18.5,1.9,114,114,Illinois,38.871441,-90.098101,777 North Wood River Avenue,62095,Madison County,Wood River,17119,"777 North Wood River Avenue, Wood River, Illinois, 62095",401101,17119401101,2022,401101,Madison County,Illinois,268,40,111,100,17,1767,40,101,937,290,183,118,98,14.9,41.4,37.3,6.3,2.3,5.7,53,16.4,10.4,6.7,5.5,1148,49792,55456,2707,104,3.8,2603,96.2,2201,81.3,199,7.4,12,0.4,0,0,0,0,0,0,191,7.1,418.3,444.2
Johnsburg High School,Johnsburg CUSD 12,Johnsburg,McHenry,UNIT,LARGE,HIGH SCHOOL,12-Sep,493.3,483.2,22.5,46.4,25.8,5.3,34.4,37.1,25.2,3.3,25.9,43.2,27.2,3.7,151,151,Illinois,42.402942,-88.234422,2002 West Ringwood Road,60051,McHenry County,Johnsburg,17111,"2002 West Ringwood Road, Johnsburg, Illinois, 60051",870703,17111870703,2022,870703,McHenry County,Illinois,543,99,151,179,114,3861,59,91,1255,870,321,793,472,18.2,27.8,33,21,1.5,2.4,32.5,22.5,8.3,20.5,12.2,1980,124032,139776,5594,269,4.8,5325,95.2,5030,89.9,61,1.1,0,0,83,1.5,0,0,44,0.8,107,1.9,483.2,493.3
Alden-Hebron High School,Alden Hebron SD 19,Hebron,McHenry,UNIT,SMALL,HIGH SCHOOL,12-Sep,457.1,441.4,42.9,28.6,25,3.6,53.6,25,17.9,3.6,68.8,6.3,18.8,6.3,28,28,Illinois,42.4656818,-88.4309438,9604 Illinois Street,60034,McHenry County,Hebron,17111,"9604 Illinois Street, Hebron, Illinois, 60034",870103,17111870103,2022,870103,McHenry County,Illinois,205,31,68,104,2,1740,44,94,673,441,166,220,102,15.1,33.2,50.7,1,2.5,5.4,38.7,25.3,9.5,12.6,5.9,886,94821,112569,2523,477,18.9,2046,81.1,2000,79.3,22,0.9,0,0,0,0,0,0,1,0,23,0.9,441.4,457.1
Harvard High School,Harvard CUSD 50,Harvard,McHenry,UNIT,LARGE,HIGH SCHOOL,12-Sep,441,421.3,48.8,41.2,8.2,1.8,70,23.5,5.3,1.2,60.4,34.4,3.1,2.1,170,170,Illinois,42.4282907,-88.6095067,1103 North Jefferson Street,60033,McHenry County,Harvard,17111,"1103 North Jefferson Street, Harvard, Illinois, 60033",870302,17111870302,2022,870302,McHenry County,Illinois,256,92,75,80,9,2647,385,355,794,560,182,283,88,35.9,29.3,31.3,3.5,14.5,13.4,30,21.2,6.9,10.7,3.3,1419,62357,69831,4280,2543,59.4,1737,40.6,1617,37.8,35,0.8,0,0,13,0.3,0,0,29,0.7,43,1,421.3,441
Marengo High School,Marengo CHSD 154,Marengo,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,496.3,493,19.6,46.8,29.1,4.4,36.1,25.9,34.2,3.8,18.4,49.4,25.3,6.9,159,159,Illinois,42.2476301,-88.6144839,,N/A,McHenry County,N/A,17111,,871004,17111871004,2022,871004,McHenry County,Illinois,838,0,298,400,140,3911,85,124,1411,1062,258,593,378,0,35.6,47.7,16.7,2.2,3.2,36.1,27.2,6.6,15.2,9.7,2265,91117,106773,6411,576,9,5835,91,5744,89.6,47,0.7,0,0,0,0,0,0,0,0,44,0.7,493,496.3
Crystal Lake Central High School,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,493.2,488.5,27.5,38,23.1,11.4,39.5,24.6,29.2,6.7,31.3,40.1,18.1,10.4,343,343,Illinois,42.2371245,-88.3225418,45 West Franklin Street,60014,McHenry County,Crystal Lake,17111,"45 West Franklin Street, Crystal Lake, Illinois, 60014",871301,17111871301,2022,871301,McHenry County,Illinois,475,36,180,222,37,3211,60,110,655,629,322,971,464,7.6,37.9,46.7,7.8,1.9,3.4,20.4,19.6,10,30.2,14.5,1916,98125,117025,4819,481,10,4338,90,4105,85.2,0,0,8,0.2,70,1.5,0,0,121,2.5,34,0.7,488.5,493.2
Cary-Grove Community High School,CHSD 155,Cary,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,521.2,501.4,15.3,43.4,31.1,10.2,34.9,23.1,35.4,6.7,15.8,45.1,29.9,9.2,373,373,Illinois,42.2211423,-88.2417567,2208 Three Oaks Road,60013,McHenry County,Cary,17111,"2208 Three Oaks Road, Cary, Illinois, 60013",871305,17111871305,2022,871304,McHenry County,Illinois,432,56,95,236,45,3958,31,100,703,743,334,1290,757,13,22,54.6,10.4,0.8,2.5,17.8,18.8,8.4,32.6,19.1,1891,142824,184102,5950,676,11.4,5274,88.6,5092,85.6,26,0.4,0,0,0,0,0,0,26,0.4,130,2.2,501.4,521.2
Crystal Lake South High School,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,513,500.4,18.4,41.6,27.7,12.3,34.5,26.8,31,7.7,20.9,43.1,26.8,9.2,311,311,Illinois,42.2105838,-88.338875,McHenry Avenue,60014,McHenry County,Crystal Lake,17111,"McHenry Avenue, Crystal Lake, Illinois, 60014",871201,17111871201,2022,871201,McHenry County,Illinois,301,0,139,142,20,4832,55,95,1003,1492,357,1186,644,0,46.2,47.2,6.6,1.1,2,20.8,30.9,7.4,24.5,13.3,2694,102927,116957,7196,569,7.9,6627,92.1,6080,84.5,19,0.3,7,0.1,48,0.7,0,0,0,0,473,6.6,500.4,513
Prairie Ridge High School,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,522.4,520.4,18.9,40.4,26.4,14.3,30.4,21.4,38.9,9.3,22.3,42.4,23,12.2,280,280,Illinois,42.2703909,-88.3145925,6000 Dvorak Drive,60012,McHenry County,Crystal Lake,17111,"6000 Dvorak Drive, Crystal Lake, Illinois, 60012",870813,17111870813,2022,870812,McHenry County,Illinois,190,33,43,68,46,3517,22,14,838,918,393,813,519,17.4,22.6,35.8,24.2,0.6,0.4,23.8,26.1,11.2,23.1,14.8,1998,84635,120827,4455,299,6.7,4156,93.3,3968,89.1,70,1.6,0,0,27,0.6,0,0,0,0,91,2,520.4,522.4
McHenry Community High School,McHenry CHSD 156,Mchenry,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,472.7,459.6,32.6,43.7,17.5,6.2,46.2,29.9,22.9,1.1,39.3,39.7,15,6,562,564,Illinois,42.3217242,-88.2655845,,N/A,McHenry County,N/A,17111,,870809,17111870809,2022,870809,McHenry County,Illinois,544,57,88,320,79,5688,220,121,1250,1092,660,1557,788,10.5,16.2,58.8,14.5,3.9,2.1,22,19.2,11.6,27.4,13.9,2832,111042,149951,7702,1221,15.9,6481,84.1,5915,76.8,190,2.5,0,0,182,2.4,0,0,0,0,194,2.5,459.6,472.7
Richmond-Burton High School,Richmond-Burton CHSD 157,Richmond,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,514.5,515.1,18.1,43.1,27.8,11.1,28.7,28,35.7,7.7,25.4,35.8,31.3,7.5,143,144,Illinois,42.4450283,-88.2820333,4213 U.S. 12,60071,McHenry County,Richmond,17111,"4213 U.S. 12, Richmond, Illinois, 60071",870104,17111870104,2022,870104,McHenry County,Illinois,325,26,149,103,47,3460,14,89,916,1004,229,870,338,8,45.8,31.7,14.5,0.4,2.6,26.5,29,6.6,25.1,9.8,2073,75638,117646,4747,355,7.5,4392,92.5,4239,89.3,8,0.2,7,0.1,37,0.8,0,0,0,0,101,2.1,515.1,514.5
Huntley High School,Huntley Community School District 158,Huntley,McHenry,UNIT,LARGE,HIGH SCHOOL,12-Sep,529.7,534.2,13.8,39.4,31.4,15.4,18.5,29,44.8,7.7,18.4,39.5,30.7,11.4,672,675,Illinois,42.1620286,-88.464359,13719 Harmony Road,60142,McHenry County,Huntley,17111,"13719 Harmony Road, Huntley, Illinois, 60142",871501,17111871501,2022,871501,McHenry County,Illinois,37,37,0,0,0,5427,58,62,1567,1613,387,1131,609,100,0,0,0,1.1,1.1,28.9,29.7,7.1,20.8,11.2,3466,76556,104666,6422,173,2.7,6249,97.3,5672,88.3,379,5.9,0,0,67,1,0,0,0,0,131,2,534.2,529.7
Woodstock High School,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,HIGH SCHOOL,12-Sep,513.3,480,20.8,38.4,30.2,10.6,40.7,28.4,28.8,2.1,24.6,38.1,25.4,11.9,243,245,Illinois,42.3118411,-88.4540741,501 West South Street,60098,McHenry County,Woodstock,17111,"501 West South Street, Woodstock, Illinois, 60098",870904,17111870904,2022,870904,McHenry County,Illinois,817,128,38,445,206,3326,182,97,1056,700,339,576,376,15.7,4.7,54.5,25.2,5.5,2.9,31.7,21,10.2,17.3,11.3,1875,92505,95685,5038,1334,26.5,3704,73.5,3529,70,99,2,7,0.1,13,0.3,0,0,0,0,56,1.1,480,513.3
Woodstock North High School,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,HIGH SCHOOL,12-Aug,500.6,484.6,21.8,44.4,25.2,8.5,39.5,29.2,26.2,5.2,24.2,46.9,21.1,7.8,233,234,Illinois,42.3504688,-88.4259654,3000 Raffel Road,60098,McHenry County,Woodstock,17111,"3000 Raffel Road, Woodstock, Illinois, 60098",870404,17111870404,2022,870404,McHenry County,Illinois,268,0,174,90,4,2733,25,137,627,787,293,471,393,0,64.9,33.6,1.5,0.9,5,22.9,28.8,10.7,17.2,14.4,1446,98571,121567,3928,873,22.2,3055,77.8,2957,75.3,0,0,0,0,37,0.9,0,0,40,1,21,0.5,484.6,500.6
Valmeyer High School,Valmeyer CUSD 3,Valmeyer,Monroe,UNIT,SMALL,HIGH SCHOOL,12-Sep,472.3,446.3,30,50,16.7,3.3,53.3,36.7,10,0,30.8,53.8,15.4,0,30,30,Illinois,38.3100771,-90.2780862,300 South Cedar Bluff,62295,Monroe County,Valmeyer,17133,"300 South Cedar Bluff, Valmeyer, Illinois, 62295",600402,17133600402,2022,600402,Monroe County,Illinois,414,68,236,86,24,3421,31,206,1121,760,378,620,305,16.4,57,20.8,5.8,0.9,6,32.8,22.2,11,18.1,8.9,1720,100435,118414,4782,83,1.7,4699,98.3,4651,97.3,6,0.1,0,0,0,0,0,0,0,0,42,0.9,446.3,472.3
Columbia High School,Columbia CUSD 4,Columbia,Monroe,UNIT,LARGE,HIGH SCHOOL,12-Sep,515.1,516.8,17.1,39.2,34.2,9.5,25.3,31,35.4,8.2,17.6,42.6,29.4,10.3,158,158,Illinois,38.446838,-90.216113,77 Veterans Parkway,62236,Monroe County,Columbia,17133,"77 Veterans Parkway, Columbia, Illinois, 62236",600103,17133600103,2022,600103,Monroe County,Illinois,92,0,0,92,0,2321,0,52,478,656,432,415,288,0,0,100,0,0,2.2,20.6,28.3,18.6,17.9,12.4,1472,77558,84645,3327,219,6.6,3108,93.4,2963,89.1,99,3,0,0,11,0.3,0,0,20,0.6,15,0.5,516.8,515.1
Waterloo High School,Waterloo CUSD 5,Waterloo,Monroe,UNIT,LARGE,HIGH SCHOOL,12-Sep,508.3,510.5,18.5,41.8,29.7,9.9,22.8,35.3,37.5,4.3,23.9,44,25.7,6.4,232,232,Illinois,38.319154,-90.1398618,505 East Bulldog,62298,Monroe County,Waterloo,17133,"505 East Bulldog, Waterloo, Illinois, 62298",600501,17133600501,2022,600501,Monroe County,Illinois,490,20,206,222,42,4502,17,115,1302,1000,702,1054,312,4.1,42,45.3,8.6,0.4,2.6,28.9,22.2,15.6,23.4,6.9,2478,93235,116727,6299,21,0.3,6278,99.7,6225,98.8,2,0,0,0,35,0.6,0,0,0,0,16,0.3,510.5,508.3
Coulterville High School,Coulterville USD 1,Coulterville,Randolph,UNIT,SMALL,HIGH SCHOOL,12-Sep,467.1,450.7,42.9,28.6,28.6,0,50,21.4,28.6,0,,,,,14,14,Illinois,38.1869351,-89.6066384,100 North Seventh Street,62237,Randolph County,Coulterville,17157,"100 North Seventh Street, Coulterville, Illinois, 62237",950500,17157950500,2022,950500,Randolph County,Illinois,114,0,50,56,8,1513,42,70,566,439,173,149,74,0,43.9,49.1,7,2.8,4.6,37.4,29,11.4,9.8,4.9,864,62929,71056,2020,13,0.6,2007,99.4,1933,95.7,14,0.7,0,0,14,0.7,0,0,3,0.1,43,2.1,450.7,467.1
Red Bud High School,Red Bud CUSD 132,Red Bud,Randolph,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,488.8,478.2,26.2,40.5,26.2,7.1,47.6,22.6,27.4,2.4,26.7,37.8,24.4,11.1,84,84,Illinois,38.2046594,-89.9959458,815 Locust Street,62278,Randolph County,Red Bud,17157,"815 Locust Street, Red Bud, Illinois, 62278",950800,17157950800,2022,950800,Randolph County,Illinois,231,6,133,57,35,3319,51,141,1113,914,465,287,348,2.6,57.6,24.7,15.2,1.5,4.2,33.5,27.5,14,8.6,10.5,1947,71301,85018,4805,40,0.8,4765,99.2,4502,93.7,6,0.1,0,0,167,3.5,15,0.3,0,0,75,1.6,478.2,488.8
Steeleville High School,Steeleville CUSD 138,Steeleville,Randolph,UNIT,SMALL,HIGH SCHOOL,12-Sep,438.8,437.9,51.5,42.4,3,3,60.6,24.2,15.2,0,52.2,43.5,4.3,0,33,33,Illinois,38.0004543,-89.6603744,701 South Sparta Street,62288,Randolph County,Steeleville,17157,"701 South Sparta Street, Steeleville, Illinois, 62288",951100,17157951100,2022,951100,Randolph County,Illinois,397,79,147,169,2,2464,192,171,848,664,269,152,168,19.9,37,42.6,0.5,7.8,6.9,34.4,26.9,10.9,6.2,6.8,1558,57544,69532,3751,297,7.9,3454,92.1,3370,89.8,15,0.4,0,0,13,0.3,0,0,0,0,56,1.5,437.9,438.8
Chester High School,Chester CUSD 139,Chester,Randolph,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,449.3,419.7,43.5,44.9,10.1,1.4,63.8,26.1,10.1,0,50,40,10,0,69,69,Illinois,37.9200067,-89.8130879,1901 Swanwick Street,62233,Randolph County,Chester,17157,"1901 Swanwick Street, Chester, Illinois, 62233",951201,17157951201,2022,951201,Randolph County,Illinois,109,21,57,31,0,1399,53,38,685,405,91,92,35,19.3,52.3,28.4,0,3.8,2.7,49,28.9,6.5,6.6,2.5,711,71250,79610,1822,48,2.6,1774,97.4,1750,96,4,0.2,0,0,0,0,0,0,0,0,20,1.1,419.7,449.3
Sparta High School,Sparta CUSD 140,Sparta,Randolph,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,443.5,437.6,51.4,30.6,15.3,2.8,62.5,20.8,16.7,0,65.6,28.1,3.1,3.1,72,72,Illinois,38.132086,-89.7053405,205 West Hood Avenue,62286,Randolph County,Sparta,17157,"205 West Hood Avenue, Sparta, Illinois, 62286",950600,17157950600,2022,950600,Randolph County,Illinois,479,58,261,138,22,2607,58,168,955,599,273,325,229,12.1,54.5,28.8,4.6,2.2,6.4,36.6,23,10.5,12.5,8.8,1768,60169,78312,4053,96,2.4,3957,97.6,3193,78.8,539,13.3,0,0,8,0.2,0,0,16,0.4,201,5,437.6,443.5
Dixon High School,Dixon USD 170,Dixon,Lee,UNIT,LARGE,HIGH SCHOOL,12-Sep,464.1,445,32.6,48.6,13.8,5,56.9,24.3,17.1,1.7,41.3,42.4,10.9,5.4,181,181,Illinois,41.8460522,-89.4881091,300 Lincoln Statue Drive,61021,Lee County,Dixon,17103,"300 Lincoln Statue Drive, Dixon, Illinois, 61021",500,17103000500,2022,500,Lee County,Illinois,312,43,118,128,23,3477,19,173,1184,891,387,509,314,13.8,37.8,41,7.4,0.5,5,34.1,25.6,11.1,14.6,9,2221,71273,97335,4658,314,6.7,4344,93.3,3893,83.6,282,6.1,0,0,75,1.6,0,0,0,0,94,2,445,464.1
Amboy High School,Amboy CUSD 272,Amboy,Lee,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,468.1,458.8,35.7,45.2,14.3,4.8,45.2,35.7,19,0,39.1,39.1,17.4,4.3,42,42,Illinois,41.720035,-89.3336113,11 East Hawley Street,61310,Lee County,Amboy,17103,"11 East Hawley Street, Amboy, Illinois, 61310",800,17103000800,2022,800,Lee County,Illinois,310,30,86,177,17,2498,36,112,1080,656,285,211,118,9.7,27.7,57.1,5.5,1.4,4.5,43.2,26.3,11.4,8.4,4.7,1437,67375,84305,3575,108,3,3467,97,3389,94.8,38,1.1,0,0,0,0,0,0,0,0,40,1.1,458.8,468.1
Ashton-Franklin Center HS,Ashton-Franklin Center CUSD 275,Ashton,Lee,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,459.4,431.7,40,45.7,11.4,2.9,57.1,37.1,5.7,0,47.8,47.8,4.3,0,35,35,Illinois,41.8658359,-89.2294711,611 Western Avenue,61006,Lee County,Ashton,17103,"611 Western Avenue, Ashton, Illinois, 61006",100,17103000100,2022,100,Lee County,Illinois,239,34,127,71,7,1819,44,97,581,571,143,271,112,14.2,53.1,29.7,2.9,2.4,5.3,31.9,31.4,7.9,14.9,6.2,978,79911,90275,2651,194,7.3,2457,92.7,2339,88.2,15,0.6,1,0,30,1.1,0,0,0,0,72,2.7,431.7,459.4
