School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Tantasqua - Tantasqua Regional Sr High,7700505,164,570,587,775,11.6,1197,44.4,55.1,1.7,12.7,26,7700000,1.9,1.3,8.8,84.2,0.2,0,3.7,Tantasqua,"          $30,277,696.00",1720.6,"              $17,597.17","          $30,677,716.53",1784.9,"              $17,187.36",2023
Tantasqua - Tantasqua Regional Vocational,7700605,44,521,533,91,12.6,527,36.6,63,1.3,16.3,28.1,7700000,2.7,1.1,7.2,83.3,0.2,0,5.5,Tantasqua,"          $30,277,696.00",1720.6,"              $17,597.17","          $30,677,716.53",1784.9,"              $17,187.36",2023
Taunton - Taunton High,2930505,329,514,489,1055,19.2,2779,48.4,51.5,10.3,17.5,53.3,2930000,25.6,1,14.3,53.2,0.3,0.3,5.3,Taunton,"         $133,515,634.30",7950.5,"              $16,793.36","         $153,317,204.40",8421,"              $18,206.53",2023
Tewksbury - Tewksbury Memorial High,2950505,62,583,568,399,16.6,732,51,48.8,2.2,11.5,20,2950000,5.9,5.3,9.7,77.7,0.1,0,1.2,Tewksbury,"          $64,647,828.93",3263.1,"              $19,811.78","          $75,076,701.01",3440.9,"              $21,818.91",2023
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,8780605,74,538,516,576,16.7,963,41.2,57.6,0.3,28.4,24.8,8780000,2.5,0.8,12.2,80.2,0.1,0.1,4.2,Tri-County Regional Vocational Technical,"          $24,052,796.00",946.9,"              $25,401.62","          $24,062,796.00",949.9,"              $25,331.93",2023
Triton - Triton Regional High School,7730505,113,574,545,346,12.1,553,45.9,53.5,2,18.1,27.9,7730000,1.1,3.3,6.9,87.3,0,0.2,1.3,Triton,"          $50,039,024.00",2191.2,"              $22,836.36","          $55,494,225.06",2383.2,"              $23,285.59",2023
Tyngsborough - Tyngsborough High School,3010505,85,563,585,312,16.6,420,46.7,53.3,2.4,13.8,19.8,3010000,5,10.2,6.4,72.4,0,0,6,Tyngsborough,"          $28,496,847.00",1569.4,"              $18,157.80","          $32,522,468.62",1719.7,"              $18,911.71",2023
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,8790605,35,537,503,380,14.9,804,39.9,59.5,0.3,18,37.3,8790000,2.2,0.9,8,81,0.8,0.1,7.1,Upper Cape Cod Regional Vocational Technical,"          $20,350,119.00",708.9,"              $28,706.61","          $20,366,952.71",712.6,"              $28,581.19",2023
Uxbridge - Uxbridge High,3040505,70,540,535,389,14.2,595,41.9,58.2,3.7,17.5,25.9,3040000,1.3,2.5,8.6,84,0.5,0,3,Uxbridge,"          $31,970,805.54",1637,"              $19,530.12","          $36,994,960.25",1802.9,"              $20,519.70",2023
Wachusett - Wachusett Regional High,7750505,397,575,565,1021,16.3,1859,52.3,47.6,1.6,13.9,15.7,7750000,3.4,3.7,7.5,82.8,0.1,0.1,2.4,Wachusett,"         $108,722,504.60",6723,"              $16,171.72","         $121,507,275.90",6993.7,"              $17,373.82",2023
