unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
08005007704,2017,7704,Arapahoe County,Colorado,1894,44089,50526
08005015100,2017,15100,Arapahoe County,Colorado,1079,117917,126110
08005080000,2017,80000,Arapahoe County,Colorado,1229,50383,57016
08005080100,2017,80100,Arapahoe County,Colorado,1805,38977,54318
08005080200,2017,80200,Arapahoe County,Colorado,2040,78086,91794
08005080300,2017,80300,Arapahoe County,Colorado,2208,69800,82097
08005080400,2017,80400,Arapahoe County,Colorado,2057,63679,77527
08005080500,2017,80500,Arapahoe County,Colorado,1703,60819,69902
08005080600,2017,80600,Arapahoe County,Colorado,1871,48008,52662
08005080700,2017,80700,Arapahoe County,Colorado,1889,62588,68104
08005080800,2017,80800,Arapahoe County,Colorado,1110,49083,55969
08005080900,2017,80900,Arapahoe County,Colorado,1343,59929,70827
08005081000,2017,81000,Arapahoe County,Colorado,2361,33071,41611
08005081100,2017,81100,Arapahoe County,Colorado,2567,38642,46027
08005081200,2017,81200,Arapahoe County,Colorado,1879,48097,57148
08005081300,2017,81300,Arapahoe County,Colorado,1032,56528,67705
08005081400,2017,81400,Arapahoe County,Colorado,1568,65833,73909
08005081500,2017,81500,Arapahoe County,Colorado,2145,36036,47401
08005081600,2017,81600,Arapahoe County,Colorado,1845,67462,70159
08005081700,2017,81700,Arapahoe County,Colorado,989,130250,146645
08005081800,2017,81800,Arapahoe County,Colorado,1549,47656,57075
08005081900,2017,81900,Arapahoe County,Colorado,2331,41499,53171
08005082000,2017,82000,Arapahoe County,Colorado,1752,41518,44591
08005082100,2017,82100,Arapahoe County,Colorado,2310,64253,69464
08005082200,2017,82200,Arapahoe County,Colorado,2151,52205,67825
08005082300,2017,82300,Arapahoe County,Colorado,1395,60363,61643
08005082400,2017,82400,Arapahoe County,Colorado,1489,59236,71864
08005082500,2017,82500,Arapahoe County,Colorado,743,64856,80062
08005082600,2017,82600,Arapahoe County,Colorado,2198,52281,65479
08005082700,2017,82700,Arapahoe County,Colorado,1175,76182,84398
08005082800,2017,82800,Arapahoe County,Colorado,1815,66556,72374
08005082900,2017,82900,Arapahoe County,Colorado,1625,69018,81791
08005083000,2017,83000,Arapahoe County,Colorado,1179,100325,108788
08005083100,2017,83100,Arapahoe County,Colorado,2497,73060,87337
08005083200,2017,83200,Arapahoe County,Colorado,2753,106971,111982
08005083300,2017,83300,Arapahoe County,Colorado,1813,76993,81031
08005083400,2017,83400,Arapahoe County,Colorado,2233,76339,82894
08005083500,2017,83500,Arapahoe County,Colorado,2172,59500,77560
08005083600,2017,83600,Arapahoe County,Colorado,1655,51438,61366
08005083700,2017,83700,Arapahoe County,Colorado,1577,81875,101572
08005083800,2017,83800,Arapahoe County,Colorado,1114,65855,93912
08005083900,2017,83900,Arapahoe County,Colorado,1475,60349,71623
08005084000,2017,84000,Arapahoe County,Colorado,763,87270,107821
08005084100,2017,84100,Arapahoe County,Colorado,1551,65651,72870
08005084200,2017,84200,Arapahoe County,Colorado,1287,70365,78303
08005084300,2017,84300,Arapahoe County,Colorado,1185,76908,86007
08005084400,2017,84400,Arapahoe County,Colorado,1039,71627,81720
08005084500,2017,84500,Arapahoe County,Colorado,1197,57917,68889
08005084600,2017,84600,Arapahoe County,Colorado,1974,65699,81537
08005084700,2017,84700,Arapahoe County,Colorado,1658,75673,87377
08005084800,2017,84800,Arapahoe County,Colorado,1181,82092,90715
08005084900,2017,84900,Arapahoe County,Colorado,1066,148390,180357
08005085000,2017,85000,Arapahoe County,Colorado,593,107917,150984
08005085100,2017,85100,Arapahoe County,Colorado,1998,155403,173657
08005085200,2017,85200,Arapahoe County,Colorado,934,134107,149680
08005085300,2017,85300,Arapahoe County,Colorado,953,100329,151360
08005085400,2017,85400,Arapahoe County,Colorado,1400,123113,120651
08005085500,2017,85500,Arapahoe County,Colorado,1788,112868,121578
08005085600,2017,85600,Arapahoe County,Colorado,993,126550,140790
08005085700,2017,85700,Arapahoe County,Colorado,1704,65571,78652
08005085800,2017,85800,Arapahoe County,Colorado,614,78790,86444
08005085900,2017,85900,Arapahoe County,Colorado,1502,105500,122040
08005086000,2017,86000,Arapahoe County,Colorado,2458,92960,102000
08005086100,2017,86100,Arapahoe County,Colorado,1553,97625,97599
08005086200,2017,86200,Arapahoe County,Colorado,1984,104079,115184
08005086300,2017,86300,Arapahoe County,Colorado,1875,74415,87151
08005086400,2017,86400,Arapahoe County,Colorado,736,162500,200129
08005086500,2017,86500,Arapahoe County,Colorado,1878,81756,124981
08005086600,2017,86600,Arapahoe County,Colorado,2447,84564,103884
08005086700,2017,86700,Arapahoe County,Colorado,1361,145156,172701
08005086800,2017,86800,Arapahoe County,Colorado,3188,55669,78881
08005086900,2017,86900,Arapahoe County,Colorado,1364,52783,57633
08005087000,2017,87000,Arapahoe County,Colorado,2104,49688,62513
08005087100,2017,87100,Arapahoe County,Colorado,1318,39457,47953
08005087200,2017,87200,Arapahoe County,Colorado,2169,52443,74542
08005087300,2017,87300,Arapahoe County,Colorado,3181,57171,99571
08007940400,2017,940400,Archuleta County,Colorado,577,58068,69127
08007974200,2017,974200,Archuleta County,Colorado,2547,47702,57864
08007974300,2017,974300,Archuleta County,Colorado,1379,41674,59499
08007974400,2017,974400,Archuleta County,Colorado,1050,51552,85001
08009964600,2017,964600,Baca County,Colorado,726,40323,50360
08009964700,2017,964700,Baca County,Colorado,877,33218,51722
08011966700,2017,966700,Bent County,Colorado,1760,32500,47396
08013012101,2017,12101,Boulder County,Colorado,1975,99549,150602
08013012102,2017,12102,Boulder County,Colorado,2989,73477,121975
08013012103,2017,12103,Boulder County,Colorado,1655,89455,138653
08013012104,2017,12104,Boulder County,Colorado,1051,107991,134221
08013012105,2017,12105,Boulder County,Colorado,2391,80813,101322
08013012201,2017,12201,Boulder County,Colorado,1710,66250,112347
08013012202,2017,12202,Boulder County,Colorado,3047,38032,58411
08013012203,2017,12203,Boulder County,Colorado,3920,53896,78326
08013012204,2017,12204,Boulder County,Colorado,1886,39864,79813
08013012300,2017,12300,Boulder County,Colorado,707,37313,62110
08013012401,2017,12401,Boulder County,Colorado,1964,19913,57419
08013012501,2017,12501,Boulder County,Colorado,1205,70781,102280
08013012505,2017,12505,Boulder County,Colorado,1605,109698,154211
08013012507,2017,12507,Boulder County,Colorado,1732,60313,85026
08013012508,2017,12508,Boulder County,Colorado,1334,79375,109273
08013012509,2017,12509,Boulder County,Colorado,1308,102778,134648
08013012510,2017,12510,Boulder County,Colorado,1919,115156,150379
08013012511,2017,12511,Boulder County,Colorado,1847,52354,90801
08013012603,2017,12603,Boulder County,Colorado,1489,96387,110710
08013012605,2017,12605,Boulder County,Colorado,724,38077,52609
08013012607,2017,12607,Boulder County,Colorado,2958,22264,29513
08013012608,2017,12608,Boulder County,Colorado,1016,88750,94292
08013012701,2017,12701,Boulder County,Colorado,2343,130150,154741
08013012705,2017,12705,Boulder County,Colorado,2114,63796,90154
08013012707,2017,12707,Boulder County,Colorado,686,93864,142586
08013012708,2017,12708,Boulder County,Colorado,2268,108014,150543
08013012709,2017,12709,Boulder County,Colorado,689,103603,120229
08013012710,2017,12710,Boulder County,Colorado,1531,102344,145720
08013012800,2017,12800,Boulder County,Colorado,3977,117180,139847
08013012903,2017,12903,Boulder County,Colorado,989,131806,172282
08013012904,2017,12904,Boulder County,Colorado,2449,91827,115794
08013012905,2017,12905,Boulder County,Colorado,1288,56779,66094
08013012907,2017,12907,Boulder County,Colorado,1424,77500,95901
08013013003,2017,13003,Boulder County,Colorado,2480,97286,125654
08013013004,2017,13004,Boulder County,Colorado,1298,123017,151280
08013013005,2017,13005,Boulder County,Colorado,1403,80331,103419
08013013006,2017,13006,Boulder County,Colorado,2303,94861,106277
08013013201,2017,13201,Boulder County,Colorado,606,83125,105802
08013013202,2017,13202,Boulder County,Colorado,569,120855,148285
08013013205,2017,13205,Boulder County,Colorado,2112,115682,174068
08013013207,2017,13207,Boulder County,Colorado,1876,86500,103663
08013013208,2017,13208,Boulder County,Colorado,2426,71441,80627
08013013210,2017,13210,Boulder County,Colorado,1826,62560,68243
08013013211,2017,13211,Boulder County,Colorado,2143,118125,143950
08013013212,2017,13212,Boulder County,Colorado,1878,80338,99449
08013013213,2017,13213,Boulder County,Colorado,3049,87264,122205
08013013302,2017,13302,Boulder County,Colorado,2220,69450,92830
08013013305,2017,13305,Boulder County,Colorado,1994,58284,64503
08013013306,2017,13306,Boulder County,Colorado,1727,55120,63076
08013013307,2017,13307,Boulder County,Colorado,1581,45186,59195
08013013308,2017,13308,Boulder County,Colorado,1717,45275,64747
08013013401,2017,13401,Boulder County,Colorado,1473,39008,51640
08013013402,2017,13402,Boulder County,Colorado,2999,70815,84311
08013013503,2017,13503,Boulder County,Colorado,2031,45685,57492
08013013505,2017,13505,Boulder County,Colorado,1664,45109,56264
08013013506,2017,13506,Boulder County,Colorado,1520,95263,106561
08013013507,2017,13507,Boulder County,Colorado,1190,76739,89672
08013013508,2017,13508,Boulder County,Colorado,2554,86750,107646
08013013601,2017,13601,Boulder County,Colorado,1586,95000,116190
08013013602,2017,13602,Boulder County,Colorado,442,77500,98757
08013013701,2017,13701,Boulder County,Colorado,2637,109253,146018
08013013702,2017,13702,Boulder County,Colorado,2673,88988,121483
08013060600,2017,60600,Boulder County,Colorado,2319,107564,121714
08013060700,2017,60700,Boulder County,Colorado,1363,104978,133199
08013060800,2017,60800,Boulder County,Colorado,2979,49498,62031
08013060900,2017,60900,Boulder County,Colorado,1918,70592,91744
08013061300,2017,61300,Boulder County,Colorado,1069,152433,166902
08013061400,2017,61400,Boulder County,Colorado,1211,114750,144459
08014030000,2017,30000,Broomfield County,Colorado,1495,59112,73948
08014030100,2017,30100,Broomfield County,Colorado,926,63750,82815
08014030200,2017,30200,Broomfield County,Colorado,849,73942,77463
08014030300,2017,30300,Broomfield County,Colorado,1689,57679,86464
08014030400,2017,30400,Broomfield County,Colorado,1367,114191,141989
08014030500,2017,30500,Broomfield County,Colorado,2145,120096,147143
08014030600,2017,30600,Broomfield County,Colorado,2183,76659,87297
08014030700,2017,30700,Broomfield County,Colorado,1230,92121,104131
08014030800,2017,30800,Broomfield County,Colorado,1987,85078,98171
08014030900,2017,30900,Broomfield County,Colorado,2285,100801,131212
08014031000,2017,31000,Broomfield County,Colorado,2162,110455,134963
08014031100,2017,31100,Broomfield County,Colorado,2692,64954,73886
08014031200,2017,31200,Broomfield County,Colorado,2159,70670,82123
08014031300,2017,31300,Broomfield County,Colorado,948,166429,208509
08014031400,2017,31400,Broomfield County,Colorado,1821,111836,130882
08014980100,2017,980100,Broomfield County,Colorado,0,-666666666,-666666666
08014980200,2017,980200,Broomfield County,Colorado,0,-666666666,-666666666
08014980300,2017,980300,Broomfield County,Colorado,0,-666666666,-666666666
