unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
48029120301,2022,120301,Bexar County,Texas,1466,114545,144066
48029120302,2022,120302,Bexar County,Texas,1571,230521,360960
48029120401,2022,120401,Bexar County,Texas,1151,74293,122826
48029120402,2022,120402,Bexar County,Texas,955,250001,418186
48029120502,2022,120502,Bexar County,Texas,1838,44773,60118
48029120503,2022,120503,Bexar County,Texas,1692,48051,49119
48029120504,2022,120504,Bexar County,Texas,2587,55361,56532
48029120601,2022,120601,Bexar County,Texas,1372,58000,76409
48029120602,2022,120602,Bexar County,Texas,1922,84659,116850
48029120701,2022,120701,Bexar County,Texas,2656,62500,83466
48029120702,2022,120702,Bexar County,Texas,2545,81110,149593
48029120800,2022,120800,Bexar County,Texas,2622,126293,151308
48029120901,2022,120901,Bexar County,Texas,1008,50469,80101
48029120902,2022,120902,Bexar County,Texas,3333,52291,80826
48029121000,2022,121000,Bexar County,Texas,2527,56940,72676
48029121110,2022,121109,Bexar County,Texas,1953,74583,111482
48029121111,2022,121110,Bexar County,Texas,2653,78538,79417
48029121112,2022,121111,Bexar County,Texas,1870,52110,75537
48029121115,2022,121115,Bexar County,Texas,2143,92309,105755
48029121116,2022,121116,Bexar County,Texas,2130,68715,100357
48029121117,2022,121117,Bexar County,Texas,1968,76791,91698
48029121118,2022,121118,Bexar County,Texas,2442,72976,96767
48029121119,2022,121119,Bexar County,Texas,2184,77814,82835
48029121120,2022,121120,Bexar County,Texas,1694,74695,85220
48029121121,2022,121121,Bexar County,Texas,1040,126406,133230
48029121122,2022,121122,Bexar County,Texas,1773,106985,112874
48029121123,2022,121123,Bexar County,Texas,2276,60735,72304
48029121124,2022,121124,Bexar County,Texas,1036,116563,131590
48029121203,2022,121203,Bexar County,Texas,1786,44754,57199
48029121204,2022,121204,Bexar County,Texas,4047,46809,54007
48029121205,2022,121205,Bexar County,Texas,1655,52820,62585
48029121206,2022,121206,Bexar County,Texas,2539,69911,78633
48029121300,2022,121300,Bexar County,Texas,2355,82545,103091
48029121402,2022,121402,Bexar County,Texas,2679,74275,87442
48029121403,2022,121403,Bexar County,Texas,2018,52190,61303
48029121404,2022,121404,Bexar County,Texas,1940,32685,42447
48029121501,2022,121501,Bexar County,Texas,3492,86250,103141
48029121504,2022,121504,Bexar County,Texas,2880,70091,76529
48029121505,2022,121505,Bexar County,Texas,1799,70821,90023
48029121506,2022,121506,Bexar County,Texas,1741,63381,84604
48029121507,2022,121507,Bexar County,Texas,1737,73906,90383
48029121508,2022,121508,Bexar County,Texas,1367,58523,72253
48029121601,2022,121601,Bexar County,Texas,1986,53000,65286
48029121604,2022,121604,Bexar County,Texas,3586,89122,95613
48029121605,2022,121605,Bexar County,Texas,889,74330,82338
48029121606,2022,121606,Bexar County,Texas,2067,58521,68811
48029121701,2022,121701,Bexar County,Texas,1782,73913,103771
48029121702,2022,121702,Bexar County,Texas,2594,75625,96340
48029121802,2022,121802,Bexar County,Texas,3156,76536,82961
48029121803,2022,121803,Bexar County,Texas,1682,80098,80122
48029121804,2022,121804,Bexar County,Texas,2556,59379,66835
48029121808,2022,121808,Bexar County,Texas,1062,81579,122965
48029121809,2022,121808,Bexar County,Texas,1755,78630,92334
48029121810,2022,121809,Bexar County,Texas,1423,99383,109647
48029121811,2022,121810,Bexar County,Texas,2336,82529,92318
48029121812,2022,121811,Bexar County,Texas,2152,91250,94031
48029121813,2022,121813,Bexar County,Texas,583,89821,90992
48029121903,2022,121903,Bexar County,Texas,2501,114515,124497
48029121904,2022,121904,Bexar County,Texas,1080,107340,134049
48029121905,2022,121905,Bexar County,Texas,2677,107574,158664
48029121906,2022,121906,Bexar County,Texas,2890,86553,109185
48029121908,2022,121908,Bexar County,Texas,1168,135568,155011
48029121909,2022,121908,Bexar County,Texas,3395,94359,99136
48029121910,2022,121909,Bexar County,Texas,2876,98585,127262
48029121911,2022,121910,Bexar County,Texas,2766,132644,155690
48029121912,2022,121911,Bexar County,Texas,4050,116620,130471
48029130200,2022,130200,Bexar County,Texas,503,40402,52946
48029130300,2022,130300,Bexar County,Texas,943,33079,54220
48029130401,2022,130401,Bexar County,Texas,1276,46143,59293
48029130402,2022,130402,Bexar County,Texas,1213,21946,38808
48029130500,2022,130500,Bexar County,Texas,1494,29194,46163
48029130600,2022,130600,Bexar County,Texas,1659,33968,37683
48029130700,2022,130700,Bexar County,Texas,1158,21422,36646
48029130800,2022,130800,Bexar County,Texas,1711,27276,42820
48029130900,2022,130900,Bexar County,Texas,1755,47099,57703
48029131000,2022,131000,Bexar County,Texas,2005,41140,42694
48029131100,2022,131100,Bexar County,Texas,948,34949,50371
48029131200,2022,131200,Bexar County,Texas,1131,38984,55448
48029131300,2022,131300,Bexar County,Texas,2132,45647,57036
48029131401,2022,131401,Bexar County,Texas,3641,80787,82556
48029131402,2022,131402,Bexar County,Texas,969,61211,64759
48029131503,2022,131503,Bexar County,Texas,1285,49867,75614
48029131504,2022,131504,Bexar County,Texas,1280,69938,73961
48029131505,2022,131505,Bexar County,Texas,1673,74330,100716
48029131506,2022,131506,Bexar County,Texas,1866,63859,82820
48029131507,2022,131507,Bexar County,Texas,1792,51106,57981
48029131601,2022,131601,Bexar County,Texas,2637,107031,136083
48029131606,2022,131606,Bexar County,Texas,2716,94375,106397
48029131608,2022,131608,Bexar County,Texas,2529,61195,74376
48029131609,2022,131609,Bexar County,Texas,3255,73583,83689
48029131610,2022,131610,Bexar County,Texas,1518,73786,78636
48029131612,2022,131612,Bexar County,Texas,715,87007,89617
48029131614,2022,131614,Bexar County,Texas,1568,62927,75502
48029131615,2022,131615,Bexar County,Texas,4365,67445,94768
48029131616,2022,131616,Bexar County,Texas,2411,77060,85254
48029131700,2022,131700,Bexar County,Texas,319,127625,133346
48029131801,2022,131801,Bexar County,Texas,1094,103214,116075
48029131802,2022,131802,Bexar County,Texas,2800,76711,97706
48029140100,2022,140100,Bexar County,Texas,489,63179,70265
48029140200,2022,140200,Bexar County,Texas,847,34095,53538
48029140300,2022,140300,Bexar County,Texas,1007,49191,55030
48029140400,2022,140400,Bexar County,Texas,1196,67650,69512
48029140500,2022,140500,Bexar County,Texas,1351,57304,58776
48029140600,2022,140600,Bexar County,Texas,844,57778,60760
48029140700,2022,140700,Bexar County,Texas,1801,43765,56751
48029140800,2022,140800,Bexar County,Texas,1638,50995,55762
48029140900,2022,140900,Bexar County,Texas,747,40281,52348
48029141000,2022,141000,Bexar County,Texas,1337,34973,43894
48029141101,2022,141101,Bexar County,Texas,1587,27253,37732
48029141102,2022,141102,Bexar County,Texas,1541,28990,43591
48029141200,2022,141200,Bexar County,Texas,2419,41382,56829
48029141300,2022,141300,Bexar County,Texas,2651,37817,64129
48029141402,2022,141402,Bexar County,Texas,1900,70893,88192
48029141403,2022,141403,Bexar County,Texas,1950,47121,58851
48029141404,2022,141404,Bexar County,Texas,1661,42102,64123
48029141600,2022,141600,Bexar County,Texas,1432,80112,80886
48029141700,2022,141700,Bexar County,Texas,2043,75212,102703
48029141800,2022,141800,Bexar County,Texas,1524,55083,69603
48029141900,2022,141900,Bexar County,Texas,1996,82031,93670
48029150100,2022,150100,Bexar County,Texas,2092,65909,81078
48029150300,2022,150300,Bexar County,Texas,1206,36136,50640
48029150400,2022,150400,Bexar County,Texas,1570,37478,56288
48029150501,2022,150501,Bexar County,Texas,1339,46069,62610
48029150502,2022,150502,Bexar County,Texas,1124,52528,55649
48029150600,2022,150600,Bexar County,Texas,1453,53445,94337
48029150700,2022,150700,Bexar County,Texas,1954,34488,49032
48029150800,2022,150800,Bexar County,Texas,999,20908,47409
48029150900,2022,150900,Bexar County,Texas,2459,41281,50344
48029151000,2022,151000,Bexar County,Texas,1139,42036,60037
48029151100,2022,151100,Bexar County,Texas,2030,51974,55177
48029151200,2022,151200,Bexar County,Texas,3615,56838,64363
48029151301,2022,151301,Bexar County,Texas,1729,48711,52526
48029151302,2022,151302,Bexar County,Texas,1004,47031,63765
48029151400,2022,151400,Bexar County,Texas,1405,68101,65663
48029151500,2022,151500,Bexar County,Texas,828,41955,54032
48029151600,2022,151600,Bexar County,Texas,2598,56136,61394
48029151700,2022,151700,Bexar County,Texas,2248,59167,67421
48029151900,2022,151900,Bexar County,Texas,2844,70338,79392
48029152000,2022,152000,Bexar County,Texas,847,61917,73671
48029152100,2022,152100,Bexar County,Texas,1797,74797,78196
48029152201,2022,152201,Bexar County,Texas,2937,41466,57964
48029152202,2022,152202,Bexar County,Texas,2328,54176,67905
48029160100,2022,160100,Bexar County,Texas,2416,25408,38319
48029160200,2022,160200,Bexar County,Texas,1012,39038,59675
48029160300,2022,160300,Bexar County,Texas,2146,57797,54114
48029160400,2022,160400,Bexar County,Texas,1603,39125,57089
48029160501,2022,160501,Bexar County,Texas,1225,18338,30029
48029160502,2022,160502,Bexar County,Texas,1255,46287,50712
