District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
CEDAR RIDGE SCHOOL DISTRICT,CEDAR RIDGE HIGH SCHOOL,3212027,53,16.9,11.30%,16.7,35.80%,17.7,22.60%,16.8,9.40%,3.80%,Arkansas,35.7199993,-91.4455801,1500 North Hill Street,72562,Independence County,Newark,5063,"1500 North Hill Street, Newark, Arkansas, 72562",490400,5063490400,2019,490400,Independence County,Arkansas,187,17,102,48,20,2899,94,359,1168,670,263,215,130,9.1,54.5,25.7,10.7,3.2,12.4,40.3,23.1,9.1,7.4,4.5,1814,39583,57865,4118,47,1.1,4071,98.9,3853,93.6,21,0.5,1,0,0,0,0,0,0,0,196,4.8,16.9,17.7
CALICO ROCK SCHOOL DISTRICT,CALICO ROCK HIGH SCHOOL,3301002,23,19.2,30.40%,19.2,52.20%,19.6,30.40%,19.7,21.70%,21.70%,Arkansas,36.1226593,-92.1263721,1 Pirate Place,72519,Izard County,Calico Rock,5065,"1 Pirate Place, Calico Rock, Arkansas, 72519",960300,5065960300,2019,960300,Izard County,Arkansas,279,62,112,105,0,2777,315,403,1088,509,178,228,56,22.2,40.1,37.6,0,11.3,14.5,39.2,18.3,6.4,8.2,2,1078,41667,46169,3626,143,3.9,3483,96.1,2821,77.8,130,3.6,5,0.1,0,0,0,0,0,0,527,14.5,19.2,19.6
MELBOURNE SCHOOL DISTRICT,MELBOURNE HIGH SCHOOL,3302006,44,18.4,20.50%,19.7,68.20%,19.9,34.10%,20.3,29.50%,13.60%,Arkansas,36.0700762,-91.8343653,310 Bearkat Drive,72556,Izard County,Melbourne,5065,"310 Bearkat Drive, Melbourne, Arkansas, 72556",960200,5065960200,2019,960200,Izard County,Arkansas,279,48,82,147,2,3060,298,322,941,717,277,415,90,17.2,29.4,52.7,0.7,9.7,10.5,30.8,23.4,9.1,13.6,2.9,1595,45281,67150,4060,0,0,4060,100,3984,98.1,12,0.3,17,0.4,0,0,0,0,0,0,47,1.2,18.4,19.9
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,IZARD CO. CONS. HIGH SCHOOL,3306015,37,18.6,24.30%,19.1,59.50%,19.5,32.40%,18.6,18.90%,13.50%,Arkansas,36.1548745,-91.9234721,5068 Arkansas 9,72517,Izard County,N/A,5065,"5068 Arkansas 9, N/A, Arkansas, 72517",960200,5065960200,2019,960200,Izard County,Arkansas,279,48,82,147,2,3060,298,322,941,717,277,415,90,17.2,29.4,52.7,0.7,9.7,10.5,30.8,23.4,9.1,13.6,2.9,1595,45281,67150,4060,0,0,4060,100,3984,98.1,12,0.3,17,0.4,0,0,0,0,0,0,47,1.2,18.6,19.5
NEWPORT SCHOOL DISTRICT,NEWPORT HIGH SCHOOL,3403013,78,16.9,12.80%,15.4,29.50%,16.7,19.20%,16.5,7.70%,2.60%,Arkansas,35.6010273,-91.2729184,406 Wilkerson Drive,72112,Jackson County,Newport,5067,"406 Wilkerson Drive, Newport, Arkansas, 72112",480200,5067480200,2019,480200,Jackson County,Arkansas,417,113,251,22,31,1926,79,216,733,411,185,181,121,27.1,60.2,5.3,7.4,4.1,11.2,38.1,21.3,9.6,9.4,6.3,1227,42730,53162,3020,59,2,2961,98,1904,63,670,22.2,0,0,9,0.3,0,0,0,0,378,12.5,16.9,16.7
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN HIGH SCHOOL,3405025,56,17.6,21.40%,18.6,46.40%,18.5,25.00%,18.3,21.40%,12.50%,Arkansas,35.7363403,-91.2003036,300 Dowell Street,72473,Jackson County,Tuckerman,5067,"300 Dowell Street, Tuckerman, Arkansas, 72473",480100,5067480100,2019,480100,Jackson County,Arkansas,247,30,69,148,0,2235,86,193,941,546,97,219,153,12.1,27.9,59.9,0,3.8,8.6,42.1,24.4,4.3,9.8,6.8,1397,44173,58471,3648,23,0.6,3625,99.4,3233,88.6,26,0.7,0,0,0,0,0,0,0,0,366,10,17.6,18.5
DOLLARWAY SCHOOL DISTRICT,DOLLARWAY HIGH SCHOOL,3502010,54,15.6,3.70%,13,14.80%,14.7,5.60%,14.8,1.90%,0.00%,Arkansas,34.2380222,-92.0298031,2602 Fluker Street,71601,Jefferson County,Pine Bluff,5069,"2602 Fluker Street, Pine Bluff, Arkansas, 71601",502,5069000502,2019,501,Jefferson County,Arkansas,1563,0,367,1189,7,886,89,70,171,264,33,126,133,0,23.5,76.1,0.4,10,7.9,19.3,29.8,3.7,14.2,15,681,35428,39383,2834,40,1.4,2794,98.6,253,8.9,2488,87.8,14,0.5,39,1.4,0,0,0,0,0,0,15.6,14.7
PINE BLUFF SCHOOL DISTRICT,PINE BLUFF HIGH SCHOOL,3505042,185,15.6,5.90%,13.4,16.80%,14.9,7.00%,15.3,4.30%,2.20%,Arkansas,34.2192758,-92.0095733,711 West 11th Avenue,71601,Jefferson County,Pine Bluff,5069,"711 West 11th Avenue, Pine Bluff, Arkansas, 71601",1200,5069001200,2019,1200,Jefferson County,Arkansas,145,19,77,49,0,1249,243,132,503,196,31,100,44,13.1,53.1,33.8,0,19.5,10.6,40.3,15.7,2.5,8,3.5,928,21765,74507,1703,0,0,1703,100,175,10.3,1528,89.7,0,0,0,0,0,0,0,0,0,0,15.6,14.9
WATSON CHAPEL SCHOOL DISTRICT,WATSON CHAPEL HIGH SCHOOL,3509067,193,16.6,9.30%,15.4,25.90%,16.7,17.10%,16.3,7.30%,3.60%,Arkansas,34.1887184,-92.0672938,4000 South Camden Road,71603,Jefferson County,Pine Bluff,5069,"4000 South Camden Road, Pine Bluff, Arkansas, 71603",1501,5069001501,2019,1501,Jefferson County,Arkansas,320,32,190,86,12,2311,116,184,749,760,124,224,154,10,59.4,26.9,3.8,5,8,32.4,32.9,5.4,9.7,6.7,1510,37929,42370,3992,120,3,3872,97,232,5.8,3597,90.1,1,0,42,1.1,0,0,0,0,0,0,16.6,16.7
WHITE HALL SCHOOL DISTRICT,WHITE HALL HIGH SCHOOL,3510076,213,18.8,28.20%,18.2,48.40%,19.1,31.50%,19.2,25.40%,14.60%,Arkansas,34.283473,-92.1103403,700 Bulldog Drive,71602,Jefferson County,White Hall,5069,"700 Bulldog Drive, White Hall, Arkansas, 71602",302,5069000302,2019,302,Jefferson County,Arkansas,428,85,145,142,56,3165,178,137,1266,505,226,560,293,19.9,33.9,33.2,13.1,5.6,4.3,40,16,7.1,17.7,9.3,1785,74744,76946,5094,475,9.3,4619,90.7,3514,69,579,11.4,0,0,199,3.9,104,2,0,0,223,4.4,18.8,19.1
RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PIN,QUEST MIDDLE SCHOOL OF PINE BLUFF,3542702,10,14.5,0.00%,12,10.00%,14.7,10.00%,14.8,0.00%,0.00%,Arkansas,34.224908,-92.0033977,,N/A,Jefferson County,Pine Bluff,5069,,1000,5069001000,2019,1000,Jefferson County,Arkansas,138,29,86,20,3,791,40,96,369,177,30,66,13,21,62.3,14.5,2.2,5.1,12.1,46.6,22.4,3.8,8.3,1.6,411,22266,37418,1100,0,0,1100,100,194,17.6,871,79.2,0,0,11,1,0,0,0,0,24,2.2,14.5,14.7
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE HIGH SCHOOL,3601005,175,18.1,21.10%,17.5,44.60%,18.6,25.70%,18.6,19.40%,11.40%,Arkansas,35.492719,-93.5205641,,N/A,Johnson County,N/A,5071,,951900,5071951900,2019,951900,Johnson County,Arkansas,816,41,224,540,11,2018,233,124,718,393,139,156,255,5,27.5,66.2,1.3,11.5,6.1,35.6,19.5,6.9,7.7,12.6,1132,44000,61958,3355,523,15.6,2832,84.4,2439,72.7,99,3,0,0,143,4.3,20,0.6,76,2.3,55,1.6,18.1,18.6
LAMAR SCHOOL DISTRICT,LAMAR HIGH SCHOOL,3604019,81,18.2,22.20%,17.5,46.90%,19.3,33.30%,19.2,19.80%,12.30%,Arkansas,35.4385484,-93.3989373,358 Lewis Street,72846,Johnson County,Lamar,5071,"358 Lewis Street, Lamar, Arkansas, 72846",952200,5071952200,2019,952200,Johnson County,Arkansas,274,29,137,64,44,3323,259,257,1504,540,181,310,272,10.6,50,23.4,16.1,7.8,7.7,45.3,16.3,5.4,9.3,8.2,1930,44773,57857,5217,461,8.8,4756,91.2,4554,87.3,21,0.4,0,0,23,0.4,0,0,0,0,158,3,18.2,19.3
WESTSIDE SCHOOL DIST(JOHNSON),WESTSIDE HIGH SCHOOL,3606026,51,17.1,13.70%,15.2,23.50%,17,17.60%,17.3,11.80%,5.90%,Arkansas,35.8562494,-90.8026742,1630 Arkansas 91,72404,Craighead County,Jonesboro,5031,"1630 Arkansas 91, Jonesboro, Arkansas, 72404",702,5031000702,2019,702,Craighead County,Arkansas,309,48,41,220,0,2270,47,95,936,403,285,332,172,15.5,13.3,71.2,0,2.1,4.2,41.2,17.8,12.6,14.6,7.6,1365,37908,56153,3623,10,0.3,3613,99.7,2404,66.4,1189,32.8,0,0,0,0,0,0,0,0,20,0.6,17.1,17
HOXIE SCHOOL DISTRICT,HOXIE HIGH SCHOOL,3804010,63,18.9,30.20%,20.2,71.40%,19.6,34.90%,19.4,27.00%,19.00%,Arkansas,36.0515763,-90.9807212,602 West Hartigan Street,72433,Lawrence County,Hoxie,5075,"602 West Hartigan Street, Hoxie, Arkansas, 72433",470501,5075470501,2019,470501,Lawrence County,Arkansas,263,38,111,107,7,1660,113,177,697,426,117,103,27,14.4,42.2,40.7,2.7,6.8,10.7,42,25.7,7,6.2,1.6,1174,30414,40045,2584,18,0.7,2566,99.3,2278,88.2,51,2,10,0.4,0,0,0,0,0,0,227,8.8,18.9,19.6
SLOAN-HENDRIX SCHOOL DISTRICT,SLOAN-HENDRIX HIGH SCHOOL,3806019,56,16.9,10.70%,17.9,44.60%,18.3,30.40%,17.6,19.60%,7.10%,Arkansas,36.2014797,-91.1869122,2 Greyhound Circle,72434,Lawrence County,Imboden,5075,"2 Greyhound Circle, Imboden, Arkansas, 72434",470200,5075470200,2019,470200,Lawrence County,Arkansas,393,27,261,88,17,3038,98,236,1220,722,229,395,138,6.9,66.4,22.4,4.3,3.2,7.8,40.2,23.8,7.5,13,4.5,1659,48024,60705,4673,63,1.3,4610,98.7,4513,96.6,0,0,5,0.1,4,0.1,0,0,0,0,88,1.9,16.9,18.3
HILLCREST SCHOOL DISTRICT,HILLCREST HIGH SCHOOL,3809023,28,17.8,25.00%,17.6,50.00%,17.4,21.40%,19,25.00%,17.90%,Arkansas,35.9647845,-91.3231241,146 South Main Street,72469,Lawrence County,Strawberry,5075,"146 South Main Street, Strawberry, Arkansas, 72469",470300,5075470300,2019,470300,Lawrence County,Arkansas,116,15,48,49,4,1355,87,159,500,281,106,173,49,12.9,41.4,42.2,3.4,6.4,11.7,36.9,20.7,7.8,12.8,3.6,789,42313,56777,1844,13,0.7,1831,99.3,1754,95.1,21,1.1,10,0.5,1,0.1,1,0.1,0,0,44,2.4,17.8,17.4
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE HIGH SCHOOL,3810027,64,18.7,29.70%,18.4,48.40%,18.9,29.70%,18.5,20.30%,17.20%,Arkansas,36.0623854,-90.9572707,508 East Free Street,72476,Lawrence County,Walnut Ridge,5075,"508 East Free Street, Walnut Ridge, Arkansas, 72476",470502,5075470502,2019,470502,Lawrence County,Arkansas,303,12,93,150,48,3238,287,244,940,1127,99,297,244,4,30.7,49.5,15.8,8.9,7.5,29,34.8,3.1,9.2,7.5,1829,47782,57485,4443,124,2.8,4319,97.2,4146,93.3,139,3.1,1,0,5,0.1,0,0,0,0,28,0.6,18.7,18.9
LEE COUNTY SCHOOL DISTRICT,LEE HIGH SCHOOL,3904011,44,15.5,4.50%,13.5,22.70%,14.2,6.80%,15.6,2.30%,0.00%,Arkansas,34.7837556,-90.7802006,523 Forrest Avenue,72360,Lee County,Marianna,5077,"523 Forrest Avenue, Marianna, Arkansas, 72360",470300,5077470300,2019,470300,Lee County,Arkansas,350,131,125,94,0,2368,165,338,1080,461,181,102,41,37.4,35.7,26.9,0,7,14.3,45.6,19.5,7.6,4.3,1.7,1483,16909,34713,3524,14,0.4,3510,99.6,633,18,2843,80.7,0,0,0,0,0,0,0,0,34,1,15.5,14.2
STAR CITY SCHOOL DISTRICT,STAR CITY HIGH SCHOOL,4003016,114,17.6,19.30%,17.6,43.90%,17.3,20.20%,17.8,14.00%,8.80%,Arkansas,33.942278,-91.8400634,400 East Arkansas Street,71667,Lincoln County,Star City,5079,"400 East Arkansas Street, Star City, Arkansas, 71667",960500,5079960500,2019,960500,Lincoln County,Arkansas,43,2,16,16,9,1338,92,71,581,275,113,116,90,4.7,37.2,37.2,20.9,6.9,5.3,43.4,20.6,8.4,8.7,6.7,740,62031,69076,1861,54,2.9,1807,97.1,1470,79,318,17.1,13,0.7,0,0,0,0,0,0,6,0.3,17.6,17.3
ASHDOWN SCHOOL DISTRICT,ASHDOWN HIGH SCHOOL,4101004,89,18,23.60%,18.6,49.40%,18.1,21.30%,18.4,16.90%,9.00%,Arkansas,33.6836358,-94.1104449,,N/A,Little River County,N/A,5081,,30104,5081030104,2019,30104,Little River County,Arkansas,288,11,174,93,10,1624,0,140,421,570,103,263,127,3.8,60.4,32.3,3.5,0,8.6,25.9,35.1,6.3,16.2,7.8,1094,30500,50059,2643,0,0,2643,100,1793,67.8,743,28.1,22,0.8,0,0,0,0,0,0,85,3.2,18,18.1
FOREMAN SCHOOL DISTRICT,FOREMAN HIGH SCHOOL,4102010,43,16.9,9.30%,16.6,37.20%,17.8,14.00%,17.2,14.00%,7.00%,Arkansas,33.7126516,-94.3927703,603 East Dollarhide Avenue,71836,Little River County,Foreman,5081,"603 East Dollarhide Avenue, Foreman, Arkansas, 71836",30200,5081030200,2019,30200,Little River County,Arkansas,132,2,37,93,0,2089,68,158,855,610,141,189,68,1.5,28,70.5,0,3.3,7.6,40.9,29.2,6.7,9,3.3,1080,41964,61015,2729,341,12.5,2388,87.5,1767,64.7,504,18.5,53,1.9,0,0,0,0,0,0,64,2.3,16.9,17.8
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE HIGH SCHOOL,4201002,82,19.6,32.90%,18.2,54.90%,19.3,28.00%,19.1,23.20%,13.40%,Arkansas,35.1469868,-93.9091176,945 North Plum Street,72927,Logan County,Booneville,5083,"945 North Plum Street, Booneville, Arkansas, 72927",950500,5083950500,2019,950500,Logan County,Arkansas,444,68,186,172,18,2537,170,244,1134,547,203,155,84,15.3,41.9,38.7,4.1,6.7,9.6,44.7,21.6,8,6.1,3.3,1467,38107,45233,3999,260,6.5,3739,93.5,3444,86.1,122,3.1,71,1.8,0,0,0,0,0,0,102,2.6,19.6,19.3
MAGAZINE SCHOOL DISTRICT,MAGAZINE HIGH SCHOOL,4202008,39,17.7,20.50%,18,48.70%,18.8,28.20%,18.5,20.50%,10.30%,Arkansas,35.1494143,-93.8021863,292 East Priddy Street,72943,Logan County,Magazine,5083,"292 East Priddy Street, Magazine, Arkansas, 72943",950600,5083950600,2019,950600,Logan County,Arkansas,178,22,91,65,0,1796,81,104,806,414,196,152,43,12.4,51.1,36.5,0,4.5,5.8,44.9,23.1,10.9,8.5,2.4,914,46105,61873,2457,30,1.2,2427,98.8,2125,86.5,40,1.6,11,0.4,0,0,0,0,0,0,251,10.2,17.7,18.8
PARIS SCHOOL DISTRICT,PARIS HIGH SCHOOL,4203012,73,17.7,16.40%,17.1,37.00%,17.4,20.50%,18.3,19.20%,9.60%,Arkansas,35.2980308,-93.7059402,2000 East Wood Street,72855,Logan County,Paris,5083,"2000 East Wood Street, Paris, Arkansas, 72855",950300,5083950300,2019,950300,Logan County,Arkansas,254,57,71,126,0,2696,131,259,1181,611,179,213,122,22.4,28,49.6,0,4.9,9.6,43.8,22.7,6.6,7.9,4.5,1605,38323,51095,3728,125,3.4,3603,96.6,3284,88.1,49,1.3,39,1,111,3,0,0,8,0.2,112,3,17.7,17.4
SCRANTON SCHOOL DISTRICT,SCRANTON HIGH SCHOOL,4204019,28,22.2,57.10%,22,78.60%,21.8,46.40%,22.5,42.90%,39.30%,Arkansas,35.3613962,-93.5388009,1003 Olive Street,72863,Logan County,Scranton,5083,"1003 Olive Street, Scranton, Arkansas, 72863",950100,5083950100,2019,950100,Logan County,Arkansas,212,70,28,114,0,3445,138,250,1491,831,274,265,196,33,13.2,53.8,0,4,7.3,43.3,24.1,8,7.7,5.7,1770,47885,56028,4515,84,1.9,4431,98.1,4236,93.8,6,0.1,50,1.1,97,2.1,0,0,1,0,41,0.9,22.2,21.8
LONOKE SCHOOL DISTRICT,LONOKE HIGH SCHOOL,4301029,129,17.7,14.00%,17.2,39.50%,18,26.40%,18.1,15.50%,6.20%,Arkansas,34.7805718,-91.9043295,405 West Academy Street,72086,Lonoke County,Lonoke,5085,"405 West Academy Street, Lonoke, Arkansas, 72086",20500,5085020500,2019,20500,Lonoke County,Arkansas,477,23,187,98,169,3187,190,284,1186,472,504,377,174,4.8,39.2,20.5,35.4,6,8.9,37.2,14.8,15.8,11.8,5.5,2034,42500,64401,5038,150,3,4888,97,3982,79,870,17.3,0,0,8,0.2,0,0,0,0,28,0.6,17.7,18
ENGLAND SCHOOL DISTRICT,ENGLAND HIGH SCHOOL,4302018,56,16.4,5.40%,16.6,33.90%,18.1,23.20%,17.4,10.70%,5.40%,Arkansas,34.5426933,-91.9543822,501 Pine Bluff Highway,72046,Lonoke County,England,5085,"501 Pine Bluff Highway, England, Arkansas, 72046",20700,5085020700,2019,20700,Lonoke County,Arkansas,164,45,61,47,11,2057,70,146,744,596,84,315,102,27.4,37.2,28.7,6.7,3.4,7.1,36.2,29,4.1,15.3,5,1116,46538,69860,2865,32,1.1,2833,98.9,2130,74.3,577,20.1,55,1.9,0,0,0,0,0,0,71,2.5,16.4,18.1
CARLISLE SCHOOL DISTRICT,CARLISLE HIGH SCHOOL,4303013,38,16.7,10.50%,16.4,31.60%,17.1,26.30%,17.3,10.50%,5.30%,Arkansas,34.7794609,-91.7317962,145 Raborn Road,72024,Lonoke County,Carlisle,5085,"145 Raborn Road, Carlisle, Arkansas, 72024",20400,5085020400,2019,20400,Lonoke County,Arkansas,177,29,108,40,0,2121,92,126,1187,236,141,178,161,16.4,61,22.6,0,4.3,5.9,56,11.1,6.6,8.4,7.6,1163,40960,55339,2941,12,0.4,2929,99.6,2471,84,283,9.6,47,1.6,0,0,0,0,0,0,128,4.4,16.7,17.1
CABOT SCHOOL DISTRICT,CABOT HIGH SCHOOL,4304005,683,20,36.50%,19.6,54.50%,20.3,38.70%,20.4,32.20%,22.00%,Arkansas,34.9722833,-92.0113661,401 North Lincoln Street,72023,Lonoke County,Cabot,5085,"401 North Lincoln Street, Cabot, Arkansas, 72023",20202,5085020202,2019,20202,Lonoke County,Arkansas,312,0,160,143,9,2119,89,118,752,538,129,349,144,0,51.3,45.8,2.9,4.2,5.6,35.5,25.4,6.1,16.5,6.8,1386,52136,64353,3341,196,5.9,3145,94.1,2700,80.8,159,4.8,0,0,40,1.2,0,0,0,0,246,7.4,20,20.3
CABOT SCHOOL DISTRICT,ACADEMIC CENTER FOR EXCELLENCE,4304703,69,16.9,8.70%,15.5,27.50%,16.9,14.50%,16.8,8.70%,2.90%,Arkansas,34.9791752,-91.949021,,N/A,Lonoke County,N/A,5085,,20103,5085020103,2019,20103,Lonoke County,Arkansas,372,86,118,139,29,4597,108,120,1375,945,491,944,614,23.1,31.7,37.4,7.8,2.3,2.6,29.9,20.6,10.7,20.5,13.4,2485,79019,91132,7013,146,2.1,6867,97.9,6506,92.8,106,1.5,26,0.4,131,1.9,46,0.7,0,0,52,0.7,16.9,16.9
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE HIGH SCHOOL,4401003,129,19,31.80%,18.6,50.40%,19.1,29.50%,19.1,25.60%,14.00%,Arkansas,36.0809587,-93.7345623,594 South Harris Street,72740,Madison County,Huntsville,5087,"594 South Harris Street, Huntsville, Arkansas, 72740",960200,5087960200,2019,960200,Madison County,Arkansas,286,92,127,52,15,2215,210,334,864,436,110,161,100,32.2,44.4,18.2,5.2,9.5,15.1,39,19.7,5,7.3,4.5,1197,41895,59019,3779,539,14.3,3240,85.7,3012,79.7,16,0.4,0,0,0,0,77,2,0,0,135,3.6,19,19.1
HUNTSVILLE SCHOOL DISTRICT,ST. PAUL HIGH SCHOOL,4401012,12,19.1,25.00%,19.1,50.00%,21,50.00%,21.6,50.00%,25.00%,Arkansas,35.8233988,-93.7658859,232 4th Street,72760,Madison County,Saint Paul,5087,"232 4th Street, Saint Paul, Arkansas, 72760",960400,5087960400,2019,960400,Madison County,Arkansas,191,30,110,51,0,2435,219,116,1341,395,113,114,137,15.7,57.6,26.7,0,9,4.8,55.1,16.2,4.6,4.7,5.6,1373,37679,47352,3346,45,1.3,3301,98.7,2987,89.3,0,0,16,0.5,1,0,25,0.7,0,0,272,8.1,19.1,21
FLIPPIN SCHOOL DISTRICT,FLIPPIN HIGH SCHOOL,4501002,34,17.4,11.80%,16.6,35.30%,18.3,20.60%,18.4,8.80%,2.90%,Arkansas,36.2800767,-92.5998122,103 Alford Street,72634,Marion County,Flippin,5089,"103 Alford Street, Flippin, Arkansas, 72634",960202,5089960202,2019,960202,Marion County,Arkansas,233,53,120,48,12,2726,104,279,1057,645,161,272,208,22.7,51.5,20.6,5.2,3.8,10.2,38.8,23.7,5.9,10,7.6,1401,39505,50784,3757,19,0.5,3738,99.5,3569,95,5,0.1,27,0.7,26,0.7,0,0,0,0,111,3,17.4,18.3
YELLVILLE-SUMMIT SCHOOL DISTRICT.,YELLVILLE-SUMMIT HIGH SCHOOL,4502006,65,18,29.20%,19.2,56.90%,18.4,27.70%,19.3,26.20%,12.30%,Arkansas,36.2414986,-92.6886392,1124 North Panther Avenue,72687,Marion County,Yellville,5089,"1124 North Panther Avenue, Yellville, Arkansas, 72687",960201,5089960201,2019,960201,Marion County,Arkansas,313,64,105,111,33,2330,47,257,933,655,253,145,40,20.4,33.5,35.5,10.5,2,11,40,28.1,10.9,6.2,1.7,1266,40793,47475,3729,112,3,3617,97,3423,91.8,109,2.9,0,0,0,0,0,0,0,0,85,2.3,18,18.4
GENOA CENTRAL SCHOOL DISTRICT,GENOA CENTRAL HIGH SCHOOL,4602006,92,19,25.00%,18.2,51.10%,19.1,28.30%,19.2,21.70%,9.80%,Arkansas,33.3736527,-93.8743089,12472 Arkansas 196,71854,Miller County,Texarkana,5091,"12472 Arkansas 196, Texarkana, Arkansas, 71854",20902,5091020902,2019,20902,Miller County,Arkansas,422,4,211,23,184,4329,176,83,1421,963,393,635,658,0.9,50,5.5,43.6,4.1,1.9,32.8,22.2,9.1,14.7,15.2,2286,54746,72993,6314,50,0.8,6264,99.2,6120,96.9,93,1.5,25,0.4,0,0,0,0,0,0,26,0.4,19,19.1
FOUKE SCHOOL DISTRICT,FOUKE HIGH SCHOOL,4603010,73,17.4,17.80%,17.1,39.70%,18.2,24.70%,17.6,13.70%,11.00%,Arkansas,33.2643567,-93.8826373,403 Panther Dr,71837,Miller County,Fouke,5091,"403 Panther Dr, Fouke, Arkansas, 71837",21002,5091021002,2019,21002,Miller County,Arkansas,553,41,328,166,18,3033,52,398,1162,841,202,309,69,7.4,59.3,30,3.3,1.7,13.1,38.3,27.7,6.7,10.2,2.3,1658,53642,63750,4749,58,1.2,4691,98.8,4497,94.7,20,0.4,38,0.8,57,1.2,0,0,18,0.4,61,1.3,17.4,18.2
TEXARKANA SCHOOL DISTRICT,ARKANSAS HIGH SCHOOL,4605026,251,16.9,13.50%,16.8,35.90%,17.8,22.30%,16.9,14.70%,9.20%,Arkansas,33.4377803,-94.0292036,1500 Jefferson Avenue,71854,Miller County,Texarkana,5091,"1500 Jefferson Avenue, Texarkana, Arkansas, 71854",20702,5091020702,2019,20702,Miller County,Arkansas,285,14,154,117,0,2228,170,108,725,720,174,166,165,4.9,54,41.1,0,7.6,4.8,32.5,32.3,7.8,7.5,7.4,1426,39150,55320,3364,0,0,3364,100,1473,43.8,1876,55.8,0,0,7,0.2,0,0,0,0,8,0.2,16.9,17.8
ARMOREL SCHOOL DISTRICT,ARMOREL HIGH SCHOOL,4701002,36,18.1,19.40%,17.9,58.30%,18.1,30.60%,18.4,16.70%,0.00%,Arkansas,35.9171821,-89.79941,7 S Main St,72310,Mississippi County,Armorel,5093,"7 S Main St, Armorel, Arkansas, 72310",10700,5093010700,2019,10700,Mississippi County,Arkansas,431,44,247,140,0,2843,158,233,1023,617,276,429,107,10.2,57.3,32.5,0,5.6,8.2,36,21.7,9.7,15.1,3.8,1759,72669,80744,4240,101,2.4,4139,97.6,3862,91.1,59,1.4,0,0,40,0.9,0,0,0,0,178,4.2,18.1,18.1
BLYTHEVILLE SCHOOL DISTRICT,BLYTHEVILLE HIGH SCHOOL-A NEW TECH SCHOOL,4702706,139,15.4,5.80%,14.3,22.30%,15.1,8.60%,15.9,8.60%,2.90%,Arkansas,35.933475,-89.9132768,600 North 10th Street,72315,Mississippi County,Blytheville,5093,"600 North 10th Street, Blytheville, Arkansas, 72315",10100,5093010100,2019,10100,Mississippi County,Arkansas,51,0,35,5,11,851,46,130,384,171,38,51,31,0,68.6,9.8,21.6,5.4,15.3,45.1,20.1,4.5,6,3.6,544,28750,29942,1354,44,3.2,1310,96.8,193,14.3,1083,80,0,0,0,0,0,0,5,0.4,29,2.1,15.4,15.1
RIVERCREST SCHOOL DISTRICT 57,RIVERCREST HIGH SCHOOL,4706066,80,17.1,13.80%,17.6,52.50%,16.8,20.00%,18.1,20.00%,5.00%,Arkansas,35.6126658,-90.1064217,1700 State Highway 14,72395,Mississippi County,Wilson,5093,"1700 State Highway 14, Wilson, Arkansas, 72395",11200,5093011200,2019,11200,Mississippi County,Arkansas,203,90,75,25,13,1461,123,195,488,332,54,221,48,44.3,36.9,12.3,6.4,8.4,13.3,33.4,22.7,3.7,15.1,3.3,909,50924,57621,2270,45,2,2225,98,1823,80.3,323,14.2,2,0.1,5,0.2,0,0,0,0,72,3.2,17.1,16.8
