school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
El Dorado High School,9-12,El Dorado School District,18.71,45.0,1306.0,58.0,40.0,11.0,46.0,3.0,60.0,4," 1,306 ",45%,19.02,18.13,17.89,19.26,18.71, 373 , 640 ,45%,0,7001012,7001000,2019.0
Elkins High School,9-12,Elkins School District,19.41,48.0,394.0,38.0,91.0,5.0,1.0,3.0,9.0,1, 394 ,48%,20.08,19.24,17.9,19.73,19.41, 55 , 60 ,33%,0,7201002,7201000,2019.0
Emerson High School,7-12,Emerson-Taylor-Bradley School District,18.6,48.0,134.0,51.0,69.0,5.0,21.0,5.0,31.0,4, 73 ,48%,19.4,18.4,16.67,19.13,18.6, 10 , N<10 ,44%,0,1408002,1408000,2019.0
England High School,7-12,England School District,17.18,46.0,279.0,75.0,48.0,10.0,40.0,2.0,52.0,3, 187 ,46%,17.26,16.8,16.46,17.36,17.18, 53 , 10 ,10%,0,4302018,4302000,2019.0
eStem High School,10-12,eStem Public Charter School,19.91,69.0,567.0,41.0,24.0,10.0,60.0,6.0,76.0,3, 567 ,69%,21.02,19.8,18.45,19.85,19.91, 185 , 309 ,50%,1,6047703,6047700,2019.0
Eureka Springs High School,9-12,Eureka Springs School District,20.6,41.0,201.0,48.0,87.0,7.0,3.0,3.0,13.0,1, 201 ,41%,20.88,20.38,19.64,20.76,20.6, 35 , 48 ,29%,0,802007,802000,2019.0
Farmington Career Academies,10-12,Farmington School District,20.88,68.0,581.0,30.0,84.0,9.0,2.0,4.0,16.0,1, 581 ,68%,21.91,20.35,19.51,21.2,20.88, 177 , 272 ,49%,0,7202703,7202000,2019.0
Fayetteville High School,9-12,Fayetteville School District,24.12,45.0,2628.0,29.0,69.0,12.0,9.0,10.0,31.0,1," 2,628 ",45%,25.26,24.51,22.37,23.72,24.12, 869 ," 1,529 ",69%,0,7203020,7203000,2019.0
Fayetteville Virtual Academy a District Conversion Charter School,K-12,Fayetteville School District,24.65,55.0,154.0,16.0,81.0,4.0,6.0,10.0,19.0,1, 83 ,55%,27.41,25.53,21.88,23.18,24.65, 15 , 13 ,54%,0,7203703,7203000,2019.0
Flippin High School,9-12,Flippin School District,18.25,46.0,263.0,69.0,95.0,2.0,0.0,3.0,5.0,1, 263 ,46%,19.39,17.89,16.55,18.86,18.25, 22 , 24 ,8%,0,4501002,4501000,2019.0
Fordyce High School,7-12,Fordyce School District,17.88,47.0,330.0,61.0,32.0,5.0,61.0,2.0,68.0,4, 216 ,47%,18.18,16.88,17.49,18.24,17.88, 38 , 33 ,6%,0,2002007,2002000,2019.0
Foreman High School,7-12,Foreman School District,19.43,57.0,235.0,67.0,77.0,3.0,12.0,7.0,23.0,4, 157 ,57%,19.48,18.13,19.18,19.95,19.43, 26 , N<10 ,RV,0,4102010,4102000,2019.0
Forrest City High School,9-12,Forrest City School District,14.86,46.0,618.0,74.0,6.0,1.0,93.0,0.0,94.0,2, 618 ,46%,14.39,13.66,15.4,15.35,14.86, 83 , 33 ,18%,0,6201011,6201000,2019.0
Fouke High School,9-12,Fouke School District,18.56,48.0,306.0,51.0,96.0,1.0,1.0,2.0,4.0,4, 306 ,48%,19.04,17.77,18.21,18.54,18.56, 61 , 18 ,39%,0,4603010,4603000,2019.0
