District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
LAKESIDE SCHOOL DIST(CHICOT),LAKESIDE HIGH SCHOOL,0903018,58,15.5,1.7%,13.7,10.3%,14.7,1.7%,14.9,0.0%,0.0%
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA HIGH SCHOOL,1002010,114,18.5,23.7%,17.2,43.9%,18.8,29.8%,18.7,18.4%,8.8%
GURDON SCHOOL DISTRICT,GURDON HIGH SCHOOL,1003018,36,15.9,2.8%,14.9,27.8%,16.5,13.9%,15.6,2.8%,0.0%
CORNING SCHOOL DISTRICT,CORNING HIGH SCHOOL,1101004,48,17.8,22.9%,17.1,39.6%,18.6,22.9%,18.5,22.9%,8.3%
PIGGOTT SCHOOL DISTRICT,PIGGOTT HIGH SCHOOL,1104018,70,16.4,10.0%,16.7,31.4%,17.1,20.0%,16.5,10.0%,2.9%
RECTOR SCHOOL DISTRICT,RECTOR HIGH SCHOOL,1106023,46,17.5,15.2%,16.3,37.0%,18.2,21.7%,18.1,10.9%,4.3%
CONCORD SCHOOL DISTRICT,CONCORD HIGH SCHOOL,1201002,32,20.2,37.5%,18.3,56.3%,18.8,31.3%,19.3,21.9%,12.5%
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS HIGH SCHOOL,1202006,119,19.1,31.1%,19.1,49.6%,20.3,36.1%,19.6,26.9%,18.5%
QUITMAN SCHOOL DISTRICT,QUITMAN HIGH SCHOOL,1203011,60,18.4,21.7%,18.3,41.7%,19.7,30.0%,18.6,21.7%,11.7%
WEST SIDE SCHOOL DIST(CLEBURNE),WEST SIDE HIGH SCHOOL,1204015,29,18.2,27.6%,19.9,62.1%,18.9,37.9%,19.5,27.6%,20.7%
WOODLAWN SCHOOL DISTRICT,WOODLAWN HIGH SCHOOL,1304015,46,18.4,26.1%,18.8,54.3%,19.2,37.0%,19.5,28.3%,13.0%
CLEVELAND COUNTY SCHOOL DISTRICT,RISON HIGH SCHOOL,1305010,64,19.8,40.6%,17.5,43.8%,19.7,32.8%,19.1,26.6%,18.8%
MAGNOLIA SCHOOL DISTRICT,MAGNOLIA HIGH SCHOOL,1402009,171,18.0,25.1%,18.1,45.0%,18.5,28.1%,18.9,30.4%,17.5%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,EMERSON HIGH SCHOOL,1408002,22,18.0,22.7%,16.9,36.4%,16.2,18.2%,16.9,13.6%,9.1%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,BRADLEY HIGH SCHOOL,1408007,23,18.8,30.4%,18.3,56.5%,18.9,30.4%,18.9,13.0%,8.7%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,TAYLOR HIGH SCHOOL,1408019,20,19.1,25.0%,19.2,50.0%,18.6,25.0%,19.6,25.0%,10.0%
NEMO VISTA SCHOOL DISTRICT,NEMO VISTA HIGH SCHOOL,1503017,31,19.3,29.0%,17.7,51.6%,19.4,29.0%,19.1,25.8%,19.4%
WONDERVIEW SCHOOL DISTRICT,WONDERVIEW HIGH SCHOOL,1505026,29,16.6,3.4%,16.4,41.4%,17.9,24.1%,16.8,13.8%,3.4%
SOUTH CONWAY COUNTY SCHOOL DISTRICT,MORRILTON SR. HIGH SCHOOL,1507036,170,17.5,16.5%,17.4,44.7%,17.7,20.0%,18.2,15.3%,7.1%
BAY SCHOOL DISTRICT,BAY HIGH SCHOOL,1601002,39,17.2,7.7%,18.6,61.5%,19.0,23.1%,18.9,28.2%,5.1%
WESTSIDE CONS. SCH DIST(CRAIGH,WESTSIDE HIGH SCHOOL,1602055,115,17.7,20.9%,18.5,45.2%,18.6,23.5%,18.1,17.4%,13.0%
BROOKLAND SCHOOL DISTRICT,BROOKLAND HIGH SCHOOL,1603007,150,18.5,24.7%,18.0,43.3%,18.9,32.7%,19.1,27.3%,13.3%
BUFFALO IS. CENTRAL SCH. DIST.,BUFFALO IS. CENTRAL HS,1605063,61,18.6,26.2%,19.3,59.0%,19.8,41.0%,19.7,31.1%,14.8%
JONESBORO SCHOOL DISTRICT,THE ACADEMIES AT JONESBORO HIGH SCHOOL,1608703,402,17.6,17.9%,16.4,31.1%,17.6,21.6%,17.5,14.4%,10.4%
NETTLETON SCHOOL DISTRICT,NETTLETON HIGH SCHOOL,1611042,231,18.1,20.3%,18.0,48.1%,18.5,25.5%,18.2,19.9%,13.4%
VALLEY VIEW SCHOOL DISTRICT,VALLEY VIEW HIGH SCHOOL,1612048,169,19.9,32.5%,21.6,74.6%,21.7,46.2%,21.3,42.0%,23.7%
RIVERSIDE SCHOOL DISTRICT,RIVERSIDE HIGH SCHOOL,1613021,50,16.3,6.0%,17.2,44.0%,17.0,16.0%,16.9,6.0%,2.0%
ALMA SCHOOL DISTRICT,ALMA HIGH SCHOOL,1701002,229,18.7,24.9%,19.0,59.0%,19.5,35.4%,19.3,26.6%,14.0%
CEDARVILLE SCHOOL DISTRICT,CEDARVILLE HIGH SCHOOL,1702009,65,17.8,18.5%,17.2,38.5%,18.6,29.2%,18.2,15.4%,7.7%
MOUNTAINBURG SCHOOL DISTRICT,MOUNTAINBURG HIGH SCHOOL,1703013,60,17.7,18.3%,17.7,36.7%,18.6,26.7%,18.9,21.7%,15.0%
MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,MULBERRY HIGH SCHOOL,1704017,21,15.6,0.0%,15.5,33.3%,17.3,19.0%,16.8,9.5%,0.0%
VAN BUREN SCHOOL DISTRICT,VAN BUREN HIGH SCHOOL,1705027,396,19.4,34.8%,18.7,57.8%,18.7,31.3%,19.4,30.3%,20.5%
VAN BUREN SCHOOL DISTRICT,IZARD CENTER FOR LEARNING,1705035,14,14.4,0.0%,11.7,0.0%,12.5,0.0%,15.1,0.0%,0.0%
EARLE SCHOOL DISTRICT,EARLE HIGH SCHOOL,1802007,50,15.3,4.0%,13.2,10.0%,15.3,8.0%,15.4,4.0%,0.0%
WEST MEMPHIS SCHOOL DISTRICT,THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,1803703,276,17.0,12.7%,16.4,33.3%,17.1,17.8%,16.7,9.4%,5.1%
MARION SCHOOL DISTRICT,MARION HIGH SCHOOL,1804015,268,18.0,25.0%,17.9,46.3%,18.5,25.0%,18.3,21.3%,12.7%
CROSS COUNTY SCHOOL DISTRICT,CROSS CNTY HIGH A NEW TECH SCH,1901703,41,17.8,22.0%,17.5,41.5%,17.1,22.0%,18.3,22.0%,9.8%
WYNNE SCHOOL DISTRICT,WYNNE HIGH SCHOOL,1905017,178,17.7,15.7%,17.3,38.8%,18.4,24.7%,18.2,14.6%,7.3%
FORDYCE SCHOOL DISTRICT,FORDYCE HIGH SCHOOL,2002007,39,15.4,2.6%,13.7,15.4%,14.8,7.7%,15.4,0.0%,0.0%
DUMAS SCHOOL DISTRICT,DUMAS HIGH SCHOOL,2104021,88,15.9,4.5%,16.0,28.4%,16.6,17.0%,15.9,5.7%,3.4%
MCGEHEE SCHOOL DISTRICT,MCGEHEE HIGH SCHOOL,2105028,71,17.8,18.3%,18.4,47.9%,18.9,35.2%,18.4,23.9%,12.7%
DREW CENTRAL SCHOOL DISTRICT,DREW CENTRAL HIGH SCHOOL,2202005,73,16.9,12.3%,16.0,35.6%,17.4,23.3%,17.4,13.7%,5.5%
MONTICELLO SCHOOL DISTRICT,MONTICELLO HIGH SCHOOL,2203012,144,18.4,24.3%,17.2,38.2%,18.2,25.7%,18.2,20.1%,15.3%
CONWAY SCHOOL DISTRICT,CONWAY HIGH SCHOOL,2301006,657,19.5,34.2%,19.6,56.3%,20.2,37.9%,19.9,32.9%,23.4%
GREENBRIER SCHOOL DISTRICT,GREENBRIER HIGH SCHOOL,2303017,250,21.3,50.4%,21.4,74.8%,20.7,46.8%,21.5,44.8%,33.6%
GUY-PERKINS SCHOOL DISTRICT,GUY-PERKINS HIGH SCHOOL,2304022,30,17.3,16.7%,18.7,56.7%,18.4,30.0%,17.5,10.0%,3.3%
MAYFLOWER SCHOOL DISTRICT,MAYFLOWER HIGH SCHOOL,2305026,86,17.2,12.8%,16.7,44.2%,17.5,24.4%,17.5,3.5%,2.3%
MT. VERNON/ENOLA SCHOOL DISTRICT,MT. VERNON/ENOLA HIGH SCHOOL,2306030,26,21.5,53.8%,21.2,80.8%,20.8,38.5%,20.7,38.5%,23.1%
VILONIA SCHOOL DISTRICT,VILONIA HIGH SCHOOL,2307034,243,18.2,20.2%,18.6,53.9%,19.2,33.7%,19.0,21.4%,10.7%
