unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08071000500,2018,500,Las Animas County,Colorado,1831,1029,56.2,802,43.8,770,42.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,1.7
08071000800,2018,800,Las Animas County,Colorado,2518,698,27.7,1820,72.3,1639,65.1,90,3.6,35,1.4,0,0.0,0,0.0,3,0.1,53,2.1
08073961700,2018,961700,Lincoln County,Colorado,3721,1061,28.5,2660,71.5,2058,55.3,512,13.8,31,0.8,28,0.8,25,0.7,0,0.0,6,0.2
08073961800,2018,961800,Lincoln County,Colorado,1827,142,7.8,1685,92.2,1610,88.1,12,0.7,22,1.2,9,0.5,0,0.0,2,0.1,30,1.6
08075965900,2018,965900,Logan County,Colorado,1144,121,10.6,1023,89.4,1011,88.4,0,0.0,0,0.0,3,0.3,0,0.0,3,0.3,6,0.5
08075966000,2018,966000,Logan County,Colorado,2129,352,16.5,1777,83.5,1681,79.0,0,0.0,40,1.9,8,0.4,0,0.0,0,0.0,48,2.3
08075966100,2018,966100,Logan County,Colorado,7697,992,12.9,6705,87.1,5942,77.2,75,1.0,7,0.1,0,0.0,0,0.0,0,0.0,681,8.8
08075966200,2018,966200,Logan County,Colorado,3997,993,24.8,3004,75.2,2780,69.6,8,0.2,43,1.1,74,1.9,0,0.0,0,0.0,99,2.5
08075966300,2018,966300,Logan County,Colorado,4618,743,16.1,3875,83.9,3731,80.8,9,0.2,0,0.0,77,1.7,0,0.0,7,0.2,51,1.1
08075966400,2018,966400,Logan County,Colorado,2104,242,11.5,1862,88.5,1725,82.0,106,5.0,5,0.2,2,0.1,0,0.0,0,0.0,24,1.1
08077000200,2018,200,Mesa County,Colorado,2030,221,10.9,1809,89.1,1558,76.7,27,1.3,44,2.2,0,0.0,0,0.0,0,0.0,180,8.9
08077000300,2018,300,Mesa County,Colorado,1475,409,27.7,1066,72.3,1040,70.5,0,0.0,8,0.5,0,0.0,0,0.0,5,0.3,13,0.9
08077000400,2018,400,Mesa County,Colorado,3600,807,22.4,2793,77.6,2581,71.7,15,0.4,0,0.0,16,0.4,20,0.6,0,0.0,161,4.5
08077000500,2018,500,Mesa County,Colorado,3155,545,17.3,2610,82.7,2356,74.7,58,1.8,4,0.1,45,1.4,64,2.0,4,0.1,79,2.5
08077000601,2018,601,Mesa County,Colorado,4477,940,21.0,3537,79.0,3422,76.4,51,1.1,0,0.0,15,0.3,0,0.0,0,0.0,49,1.1
08077000602,2018,602,Mesa County,Colorado,4429,758,17.1,3671,82.9,3470,78.3,8,0.2,70,1.6,26,0.6,0,0.0,0,0.0,97,2.2
08077000700,2018,700,Mesa County,Colorado,3945,845,21.4,3100,78.6,2723,69.0,106,2.7,57,1.4,55,1.4,0,0.0,0,0.0,159,4.0
08077000800,2018,800,Mesa County,Colorado,8901,2222,25.0,6679,75.0,6108,68.6,115,1.3,14,0.2,120,1.3,187,2.1,0,0.0,135,1.5
08077000900,2018,900,Mesa County,Colorado,3061,448,14.6,2613,85.4,2403,78.5,123,4.0,24,0.8,56,1.8,0,0.0,0,0.0,7,0.2
08077001001,2018,1001,Mesa County,Colorado,5458,238,4.4,5220,95.6,5158,94.5,0,0.0,41,0.8,0,0.0,0,0.0,0,0.0,21,0.4
08077001002,2018,1002,Mesa County,Colorado,6584,868,13.2,5716,86.8,5522,83.9,0,0.0,0,0.0,154,2.3,0,0.0,40,0.6,0,0.0
08077001101,2018,1101,Mesa County,Colorado,8356,1553,18.6,6803,81.4,6604,79.0,130,1.6,0,0.0,15,0.2,0,0.0,0,0.0,54,0.6
08077001102,2018,1102,Mesa County,Colorado,4828,467,9.7,4361,90.3,4246,87.9,52,1.1,0,0.0,31,0.6,0,0.0,0,0.0,32,0.7
08077001200,2018,1200,Mesa County,Colorado,2246,96,4.3,2150,95.7,2059,91.7,12,0.5,44,2.0,11,0.5,0,0.0,19,0.8,5,0.2
08077001301,2018,1301,Mesa County,Colorado,9070,1807,19.9,7263,80.1,6985,77.0,21,0.2,28,0.3,83,0.9,0,0.0,0,0.0,146,1.6
