unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08077001403,2018,1403,Mesa County,Colorado,203,0,123,41,39,2546,27,104,550,528,232,716,389,0.0,60.6,20.2,19.2,1.1,4.1,21.6,20.7,9.1,28.1,15.3,1479,78750,88818,3423,246,7.2,3177,92.8,3068,89.6,0,0.0,0,0.0,42,1.2,0,0.0,67,2.0,0,0.0
08077001404,2018,1404,Mesa County,Colorado,363,80,71,190,22,3823,11,87,742,783,286,1161,753,22.0,19.6,52.3,6.1,0.3,2.3,19.4,20.5,7.5,30.4,19.7,2072,90378,104396,5049,307,6.1,4742,93.9,4535,89.8,0,0.0,0,0.0,126,2.5,0,0.0,0,0.0,81,1.6
08077001501,2018,1501,Mesa County,Colorado,728,230,244,128,126,8955,419,472,2343,2962,854,1162,743,31.6,33.5,17.6,17.3,4.7,5.3,26.2,33.1,9.5,13.0,8.3,5206,57545,61210,13174,1960,14.9,11214,85.1,10533,80.0,19,0.1,408,3.1,49,0.4,43,0.3,0,0.0,162,1.2
08077001502,2018,1502,Mesa County,Colorado,329,32,104,193,0,5260,80,316,1781,1339,385,892,467,9.7,31.6,58.7,0.0,1.5,6.0,33.9,25.5,7.3,17.0,8.9,2911,63674,90588,7489,510,6.8,6979,93.2,6770,90.4,0,0.0,101,1.3,108,1.4,0,0.0,0,0.0,0,0.0
08077001600,2018,1600,Mesa County,Colorado,253,0,73,151,29,2838,0,119,485,715,269,709,541,0.0,28.9,59.7,11.5,0.0,4.2,17.1,25.2,9.5,25.0,19.1,1601,82563,107998,3835,232,6.0,3603,94.0,3388,88.3,0,0.0,17,0.4,198,5.2,0,0.0,0,0.0,0,0.0
08077001702,2018,1702,Mesa County,Colorado,239,48,87,91,13,3651,104,333,960,1002,266,608,378,20.1,36.4,38.1,5.4,2.8,9.1,26.3,27.4,7.3,16.7,10.4,1895,48528,69657,4707,347,7.4,4360,92.6,4043,85.9,0,0.0,28,0.6,33,0.7,23,0.5,0,0.0,233,5.0
08077001703,2018,1703,Mesa County,Colorado,299,54,125,76,44,2938,92,88,969,964,274,348,203,18.1,41.8,25.4,14.7,3.1,3.0,33.0,32.8,9.3,11.8,6.9,1718,61429,69735,4264,761,17.8,3503,82.2,3205,75.2,0,0.0,13,0.3,25,0.6,0,0.0,34,0.8,226,5.3
08077001705,2018,1705,Mesa County,Colorado,642,13,302,327,0,3593,157,415,1325,1038,303,279,76,2.0,47.0,50.9,0.0,4.4,11.6,36.9,28.9,8.4,7.8,2.1,2238,45042,53305,5586,1174,21.0,4412,79.0,4258,76.2,60,1.1,0,0.0,0,0.0,0,0.0,0,0.0,94,1.7
08077001706,2018,1705,Mesa County,Colorado,629,173,214,223,19,3804,111,405,1380,1227,346,304,31,27.5,34.0,35.5,3.0,2.9,10.6,36.3,32.3,9.1,8.0,0.8,2262,25446,38891,6181,1436,23.2,4745,76.8,4644,75.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,101,1.6
08077001707,2018,1707,Mesa County,Colorado,462,106,259,84,13,3880,223,339,1349,836,402,575,156,22.9,56.1,18.2,2.8,5.7,8.7,34.8,21.5,10.4,14.8,4.0,2369,54754,62614,5595,1153,20.6,4442,79.4,4294,76.7,50,0.9,0,0.0,0,0.0,0,0.0,0,0.0,98,1.8
08077001800,2018,1800,Mesa County,Colorado,349,138,146,53,12,2055,12,172,756,524,134,295,162,39.5,41.8,15.2,3.4,0.6,8.4,36.8,25.5,6.5,14.4,7.9,1147,67232,75175,3087,241,7.8,2846,92.2,2718,88.0,54,1.7,6,0.2,7,0.2,25,0.8,0,0.0,36,1.2
08077001900,2018,1900,Mesa County,Colorado,181,35,26,111,9,3991,84,237,993,1101,241,752,583,19.3,14.4,61.3,5.0,2.1,5.9,24.9,27.6,6.0,18.8,14.6,2166,72809,90071,5202,176,3.4,5026,96.6,4996,96.0,5,0.1,0,0.0,24,0.5,0,0.0,0,0.0,1,0.0
08079973600,2018,973600,Mineral County,Colorado,29,6,1,22,0,716,10,13,138,219,50,188,98,20.7,3.4,75.9,0.0,1.4,1.8,19.3,30.6,7.0,26.3,13.7,375,61058,75049,823,79,9.6,744,90.4,714,86.8,16,1.9,0,0.0,5,0.6,0,0.0,0,0.0,9,1.1
08081000300,2018,300,Moffat County,Colorado,244,0,121,109,14,1902,0,52,866,470,153,239,122,0.0,49.6,44.7,5.7,0.0,2.7,45.5,24.7,8.0,12.6,6.4,1109,71222,95164,2812,14,0.5,2798,99.5,2691,95.7,54,1.9,8,0.3,0,0.0,0,0.0,0,0.0,45,1.6
08081000400,2018,400,Moffat County,Colorado,191,67,50,74,0,3267,183,237,1235,865,201,377,169,35.1,26.2,38.7,0.0,5.6,7.3,37.8,26.5,6.2,11.5,5.2,1829,50361,64172,4655,1206,25.9,3449,74.1,3316,71.2,45,1.0,44,0.9,0,0.0,0,0.0,0,0.0,44,0.9
08081000500,2018,500,Moffat County,Colorado,308,19,184,105,0,2811,58,184,1121,778,206,321,143,6.2,59.7,34.1,0.0,2.1,6.5,39.9,27.7,7.3,11.4,5.1,1744,47273,60372,4234,618,14.6,3616,85.4,3440,81.2,32,0.8,45,1.1,0,0.0,0,0.0,0,0.0,99,2.3
08081000600,2018,600,Moffat County,Colorado,89,30,30,29,0,867,35,54,348,224,63,82,61,33.7,33.7,32.6,0.0,4.0,6.2,40.1,25.8,7.3,9.5,7.0,528,46827,61413,1359,145,10.7,1214,89.3,1150,84.6,0,0.0,0,0.0,0,0.0,28,2.1,0,0.0,36,2.6
08083941100,2018,941100,Montezuma County,Colorado,201,92,59,50,0,870,39,103,474,144,21,67,22,45.8,29.4,24.9,0.0,4.5,11.8,54.5,16.6,2.4,7.7,2.5,593,28886,36470,1655,25,1.5,1630,98.5,135,8.2,13,0.8,1464,88.5,3,0.2,0,0.0,0,0.0,15,0.9
08083969000,2018,969000,Montezuma County,Colorado,154,23,25,105,1,2396,118,112,489,595,167,643,272,14.9,16.2,68.2,0.6,4.9,4.7,20.4,24.8,7.0,26.8,11.4,1427,53851,71418,3293,346,10.5,2947,89.5,2767,84.0,2,0.1,140,4.3,0,0.0,0,0.0,0,0.0,38,1.2
