School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
DeKalb High School,DeKalb CUSD 428,452.3,422.5,418.0,423.0,Illinois,41.9546512,-88.758502,501 West Dresser Road,60115,DeKalb County,DeKalb,17037,"501 West Dresser Road, DeKalb, Illinois, 60115",001004,17037001004,2023.0,1003.0,DeKalb County,Illinois,36.0,9.0,0.0,27.0,0.0,1187.0,66.0,16.0,246.0,267.0,122.0,247.0,223.0,25.0,0.0,75.0,0.0,5.6,1.3,20.7,22.5,10.3,20.8,18.8,638.0,61042.0,107179.0,1767.0,62.0,3.5,1705.0,96.5,1121.0,63.4,271.0,15.3,0.0,0.0,110.0,6.2,0.0,0.0,4.0,0.2,199.0,11.3
Hinckley-Big Rock High School,Hinckley Big Rock CUSD 429,494.4,482.7,52.0,52.0,Illinois,41.7705168,-88.6305496,700 East Lincoln Avenue,60520,DeKalb County,Hinckley,17037,"700 East Lincoln Avenue, Hinckley, Illinois, 60520",001700,17037001700,2023.0,1700.0,DeKalb County,Illinois,462.0,75.0,184.0,134.0,69.0,2279.0,18.0,81.0,609.0,617.0,345.0,399.0,210.0,16.2,39.8,29.0,14.9,0.8,3.6,26.7,27.1,15.1,17.5,9.2,1388.0,91944.0,101805.0,3650.0,269.0,7.4,3381.0,92.6,3208.0,87.9,22.0,0.6,1.0,0.0,20.0,0.5,0.0,0.0,9.0,0.2,121.0,3.3
Sandwich Community High School,Sandwich CUSD 430,476.3,444.9,127.0,127.0,Illinois,41.6394015,-88.6150261,515 Lions Road,60548,DeKalb County,Sandwich,17037,"515 Lions Road, Sandwich, Illinois, 60548",002100,17037002100,2023.0,2100.0,DeKalb County,Illinois,121.0,4.0,56.0,52.0,9.0,1563.0,18.0,125.0,648.0,321.0,162.0,182.0,107.0,3.3,46.3,43.0,7.4,1.2,8.0,41.5,20.5,10.4,11.6,6.8,974.0,66150.0,74558.0,2212.0,213.0,9.6,1999.0,90.4,1842.0,83.3,36.0,1.6,7.0,0.3,69.0,3.1,0.0,0.0,0.0,0.0,45.0,2.0
Somonauk High School,Somonauk CUSD 432,488.4,461.0,63.0,63.0,Illinois,41.6317329,-88.6901245,501 West Market Street,60552,DeKalb County,Somonauk,17037,"501 West Market Street, Somonauk, Illinois, 60552",001900,17037001900,2023.0,1900.0,DeKalb County,Illinois,224.0,26.0,53.0,137.0,8.0,1552.0,21.0,39.0,579.0,425.0,147.0,220.0,121.0,11.6,23.7,61.2,3.6,1.4,2.5,37.3,27.4,9.5,14.2,7.8,879.0,98977.0,117822.0,2203.0,101.0,4.6,2102.0,95.4,2017.0,91.6,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.1,49.0,2.2
Clinton High School,Clinton CUSD 15,456.0,419.3,102.0,102.0,Illinois,40.1457402,-88.978033,1200 Illinois 54,61727,De Witt County,Clinton,17039,"1200 Illinois 54, Clinton, Illinois, 61727",971800,17039971800,2023.0,971800.0,De Witt County,Illinois,357.0,47.0,110.0,120.0,80.0,2390.0,138.0,98.0,1003.0,530.0,171.0,310.0,140.0,13.2,30.8,33.6,22.4,5.8,4.1,42.0,22.2,7.2,13.0,5.9,1661.0,53346.0,79488.0,3435.0,183.0,5.3,3252.0,94.7,3097.0,90.2,0.0,0.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,0.0,149.0,4.3
Blue Ridge High School,Blue Ridge CUSD 18,475.0,442.5,52.0,52.0,Illinois,40.2475142,-88.646897,411 North John Street,61842,De Witt County,Farmer City,17039,"411 North John Street, Farmer City, Illinois, 61842",971400,17039971400,2023.0,971400.0,De Witt County,Illinois,137.0,25.0,57.0,55.0,0.0,1750.0,14.0,90.0,642.0,541.0,173.0,193.0,97.0,18.2,41.6,40.1,0.0,0.8,5.1,36.7,30.9,9.9,11.0,5.5,960.0,78056.0,79543.0,2450.0,17.0,0.7,2433.0,99.3,2394.0,97.7,1.0,0.0,0.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,34.0,1.4
Woodland High School,Woodland CUSD 5,470.9,473.1,35.0,35.0,Illinois,41.0606875,-88.8178214,5800 East 3000 North Road,61364,Livingston County,Streator,17105,"5800 East 3000 North Road, Streator, Illinois, 61364",960300,17105960300,2023.0,960300.0,Livingston County,Illinois,169.0,74.0,30.0,51.0,14.0,2374.0,18.0,194.0,1070.0,591.0,223.0,175.0,103.0,43.8,17.8,30.2,8.3,0.8,8.2,45.1,24.9,9.4,7.4,4.3,1373.0,62969.0,79035.0,2993.0,216.0,7.2,2777.0,92.8,2737.0,91.4,39.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tri-Point High School,Tri Point CUSD 6-J,505.0,484.7,36.0,36.0,Illinois,40.8819168,-88.2683583,100 East Van Alstyne Street,60929,Livingston County,Cullom,17105,"100 East Van Alstyne Street, Cullom, Illinois, 60929",960200,17105960200,2023.0,960200.0,Livingston County,Illinois,215.0,31.0,111.0,65.0,8.0,2123.0,69.0,93.0,814.0,607.0,202.0,271.0,67.0,14.4,51.6,30.2,3.7,3.3,4.4,38.3,28.6,9.5,12.8,3.2,1266.0,87903.0,96234.0,3173.0,78.0,2.5,3095.0,97.5,2966.0,93.5,0.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,126.0,4.0
Prairie Central High School,Prairie Central CUSD 8,474.4,456.1,137.0,137.0,Illinois,40.751677,-88.506211,411 North 7th Street,61739,Livingston County,Fairbury,17105,"411 North 7th Street, Fairbury, Illinois, 61739",960800,17105960800,2023.0,960800.0,Livingston County,Illinois,424.0,124.0,202.0,92.0,6.0,3590.0,137.0,83.0,1337.0,632.0,477.0,687.0,237.0,29.2,47.6,21.7,1.4,3.8,2.3,37.2,17.6,13.3,19.1,6.6,2246.0,75652.0,95094.0,5553.0,275.0,5.0,5278.0,95.0,5127.0,92.3,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.7
Flanagan-Cornell High School,Flanagan-Cornell Dist 74,428.2,410.0,22.0,22.0,Illinois,40.8716333,-88.8572328,202 East Falcon Highway,61740,Livingston County,Flanagan,17105,"202 East Falcon Highway, Flanagan, Illinois, 61740",960400,17105960400,2023.0,960400.0,Livingston County,Illinois,209.0,46.0,96.0,67.0,0.0,2238.0,71.0,71.0,817.0,381.0,306.0,473.0,119.0,22.0,45.9,32.1,0.0,3.2,3.2,36.5,17.0,13.7,21.1,5.3,1294.0,82672.0,98611.0,3182.0,123.0,3.9,3059.0,96.1,2979.0,93.6,13.0,0.4,3.0,0.1,13.0,0.4,0.0,0.0,0.0,0.0,51.0,1.6
Pontiac High School,Pontiac Twp HSD 90,462.1,451.8,147.0,147.0,Illinois,40.9097631,-88.59517509999999,,N/A,Livingston County,N/A,17105,,960200,17105960200,2023.0,960200.0,Livingston County,Illinois,215.0,31.0,111.0,65.0,8.0,2123.0,69.0,93.0,814.0,607.0,202.0,271.0,67.0,14.4,51.6,30.2,3.7,3.3,4.4,38.3,28.6,9.5,12.8,3.2,1266.0,87903.0,96234.0,3173.0,78.0,2.5,3095.0,97.5,2966.0,93.5,0.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,126.0,4.0
Dwight High School,Dwight Twp HSD 230,453.8,446.9,48.0,48.0,Illinois,41.0858605,-88.4263953,801 South Franklin Street,60420,Livingston County,Dwight,17105,"801 South Franklin Street, Dwight, Illinois, 60420",960100,17105960100,2023.0,960100.0,Livingston County,Illinois,417.0,74.0,190.0,92.0,61.0,2550.0,85.0,129.0,1050.0,629.0,131.0,351.0,175.0,17.7,45.6,22.1,14.6,3.3,5.1,41.2,24.7,5.1,13.8,6.9,1557.0,67712.0,91462.0,3794.0,365.0,9.6,3429.0,90.4,3255.0,85.8,28.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,3.8
Hartsburg-Emden Jr-Sr High School,Hartsburg Emden CUSD 21,530.0,524.2,12.0,12.0,Illinois,40.2490973,-89.4440717,400 West Front Street,62643,Logan County,Hartsburg,17107,"400 West Front Street, Hartsburg, Illinois, 62643",953000,17107953000,2023.0,953000.0,Logan County,Illinois,198.0,35.0,87.0,66.0,10.0,1575.0,7.0,26.0,536.0,319.0,211.0,353.0,123.0,17.7,43.9,33.3,5.1,0.4,1.7,34.0,20.3,13.4,22.4,7.8,980.0,82000.0,99533.0,2372.0,66.0,2.8,2306.0,97.2,2155.0,90.9,0.0,0.0,7.0,0.3,20.0,0.8,0.0,0.0,0.0,0.0,124.0,5.2
Mount Pulaski High School,Mt Pulaski CUSD 23,494.4,458.7,39.0,39.0,Illinois,39.9999016,-89.341667,,N/A,Logan County,N/A,17107,,953500,17107953500,2023.0,953500.0,Logan County,Illinois,212.0,70.0,83.0,55.0,4.0,4095.0,133.0,642.0,1340.0,1070.0,295.0,415.0,200.0,33.0,39.2,25.9,1.9,3.2,15.7,32.7,26.1,7.2,10.1,4.9,1092.0,98333.0,104816.0,4878.0,294.0,6.0,4584.0,94.0,3350.0,68.7,990.0,20.3,9.0,0.2,0.0,0.0,1.0,0.0,15.0,0.3,219.0,4.5
Lincoln Comm High School,Lincoln CHSD 404,492.6,459.3,167.0,167.0,Illinois,40.1369548,-89.3571424,1000 Railer Way,62656,Logan County,Lincoln,17107,"1000 Railer Way, Lincoln, Illinois, 62656",953300,17107953300,2023.0,953300.0,Logan County,Illinois,324.0,22.0,82.0,63.0,157.0,2536.0,31.0,156.0,1224.0,689.0,167.0,179.0,90.0,6.8,25.3,19.4,48.5,1.2,6.2,48.3,27.2,6.6,7.1,3.5,1623.0,54786.0,68028.0,3554.0,11.0,0.3,3543.0,99.7,3421.0,96.3,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,3.3
LeRoy High School,LeRoy CUSD 2,477.5,469.1,53.0,53.0,Illinois,40.3467216,-88.7554602,505 East Center Street,61752,McLean County,Le Roy,17113,"505 East Center Street, Le Roy, Illinois, 61752",005501,17113005501,2023.0,5501.0,McLean County,Illinois,241.0,1.0,102.0,121.0,17.0,1593.0,32.0,34.0,556.0,273.0,169.0,379.0,150.0,0.4,42.3,50.2,7.1,2.0,2.1,34.9,17.1,10.6,23.8,9.4,952.0,83889.0,98211.0,2291.0,32.0,1.4,2259.0,98.6,2163.0,94.4,34.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2.7
Tri-Valley High School,Tri Valley CUSD 3,536.3,540.5,78.0,78.0,Illinois,40.3944514,-88.8669409,503 East Washington Street,61736,McLean County,Downs,17113,"503 East Washington Street, Downs, Illinois, 61736",005401,17113005401,2023.0,5401.0,McLean County,Illinois,223.0,3.0,34.0,168.0,18.0,4428.0,15.0,46.0,916.0,569.0,257.0,1883.0,742.0,1.3,15.2,75.3,8.1,0.3,1.0,20.7,12.9,5.8,42.5,16.8,2386.0,143547.0,167729.0,6822.0,359.0,5.3,6463.0,94.7,5942.0,87.1,45.0,0.7,0.0,0.0,326.0,4.8,0.0,0.0,0.0,0.0,150.0,2.2
Heyworth Jr-Sr High School,Heyworth CUSD 4,489.4,472.2,64.0,64.0,Illinois,40.3452065,-88.9796776,,N/A,McLean County,N/A,17113,,005401,17113005401,2023.0,5401.0,McLean County,Illinois,223.0,3.0,34.0,168.0,18.0,4428.0,15.0,46.0,916.0,569.0,257.0,1883.0,742.0,1.3,15.2,75.3,8.1,0.3,1.0,20.7,12.9,5.8,42.5,16.8,2386.0,143547.0,167729.0,6822.0,359.0,5.3,6463.0,94.7,5942.0,87.1,45.0,0.7,0.0,0.0,326.0,4.8,0.0,0.0,0.0,0.0,150.0,2.2
Normal Community High School,McLean County USD 5,515.9,502.0,497.0,497.0,Illinois,40.5331469,-88.91488989999999,3900 East Raab Road,61761,McLean County,Normal,17113,"3900 East Raab Road, Normal, Illinois, 61761",005102,17113005102,2023.0,5102.0,McLean County,Illinois,408.0,13.0,175.0,203.0,17.0,5103.0,35.0,94.0,1358.0,973.0,477.0,1590.0,576.0,3.2,42.9,49.8,4.2,0.7,1.8,26.6,19.1,9.3,31.2,11.3,2826.0,107500.0,137432.0,7460.0,155.0,2.1,7305.0,97.9,6911.0,92.6,93.0,1.2,0.0,0.0,178.0,2.4,0.0,0.0,47.0,0.6,76.0,1.0
Normal Community West High School,McLean County USD 5,493.3,469.3,365.0,365.0,Illinois,40.5227489,-89.02316069999999,501 North Parkside Road,61761,McLean County,Normal,17113,"501 North Parkside Road, Normal, Illinois, 61761",000108,17113000108,2023.0,108.0,McLean County,Illinois,2566.0,0.0,413.0,1880.0,273.0,2280.0,0.0,13.0,536.0,637.0,127.0,687.0,280.0,0.0,16.1,73.3,10.6,0.0,0.6,23.5,27.9,5.6,30.1,12.3,2112.0,29772.0,66523.0,5935.0,260.0,4.4,5675.0,95.6,4150.0,69.9,1362.0,22.9,0.0,0.0,83.0,1.4,0.0,0.0,0.0,0.0,80.0,1.3
YBMC Charter Sch,McLean County USD 5,372.5,364.2,12.0,12.0,Illinois,40.4964232,-89.03390329999999,360 Wylie Drive,61761,McLean County,Normal,17113,"360 Wylie Drive, Normal, Illinois, 61761",000302,17113000302,2023.0,302.0,McLean County,Illinois,439.0,79.0,14.0,150.0,196.0,4046.0,0.0,64.0,977.0,792.0,335.0,1019.0,859.0,18.0,3.2,34.2,44.6,0.0,1.6,24.1,19.6,8.3,25.2,21.2,2560.0,68971.0,113343.0,5581.0,369.0,6.6,5212.0,93.4,4133.0,74.1,1001.0,17.9,0.0,0.0,33.0,0.6,0.0,0.0,0.0,0.0,45.0,0.8
Lexington High School,Lexington CUSD 7,509.0,494.8,31.0,31.0,Illinois,40.6484484,-88.7686382,,N/A,McLean County,N/A,17113,,005700,17113005700,2023.0,5700.0,McLean County,Illinois,531.0,124.0,219.0,155.0,33.0,3269.0,37.0,99.0,1233.0,668.0,204.0,716.0,312.0,23.4,41.2,29.2,6.2,1.1,3.0,37.7,20.4,6.2,21.9,9.5,1984.0,94500.0,127111.0,4989.0,124.0,2.5,4865.0,97.5,4630.0,92.8,100.0,2.0,0.0,0.0,43.0,0.9,0.0,0.0,0.0,0.0,92.0,1.8
Olympia High School,Olympia CUSD 16,482.7,459.8,116.0,116.0,Illinois,40.396282,-89.2469168,7832 North 100 East Road,61774,McLean County,Stanford,17113,"7832 North 100 East Road, Stanford, Illinois, 61774",006000,17113006000,2023.0,6000.0,McLean County,Illinois,290.0,4.0,110.0,150.0,26.0,2370.0,5.0,77.0,879.0,412.0,234.0,445.0,318.0,1.4,37.9,51.7,9.0,0.2,3.2,37.1,17.4,9.9,18.8,13.4,1294.0,96985.0,146037.0,3435.0,90.0,2.6,3345.0,97.4,3227.0,93.9,11.0,0.3,1.0,0.0,20.0,0.6,0.0,0.0,0.0,0.0,86.0,2.5
Ridgeview High School,Ridgeview CUSD 19,440.8,439.7,38.0,38.0,Illinois,40.5636951,-88.6134282,202 East Wood Street,61728,McLean County,Colfax,17113,"202 East Wood Street, Colfax, Illinois, 61728",005601,17113005601,2023.0,5601.0,McLean County,Illinois,126.0,19.0,54.0,53.0,0.0,1227.0,7.0,33.0,496.0,266.0,149.0,192.0,84.0,15.1,42.9,42.1,0.0,0.6,2.7,40.4,21.7,12.1,15.6,6.8,690.0,74375.0,103526.0,1898.0,113.0,6.0,1785.0,94.0,1724.0,90.8,7.0,0.4,1.0,0.1,2.0,0.1,0.0,0.0,0.0,0.0,51.0,2.7
Bloomington High School,Bloomington SD 87,465.6,433.8,333.0,333.0,Illinois,40.4868418,-88.973913,1202 East Locust Street,61701,McLean County,Bloomington,17113,"1202 East Locust Street, Bloomington, Illinois, 61701",001200,17113001200,2023.0,1200.0,McLean County,Illinois,231.0,18.0,97.0,86.0,30.0,1523.0,11.0,44.0,294.0,235.0,244.0,389.0,306.0,7.8,42.0,37.2,13.0,0.7,2.9,19.3,15.4,16.0,25.5,20.1,1137.0,60729.0,93856.0,2347.0,111.0,4.7,2236.0,95.3,1562.0,66.6,390.0,16.6,2.0,0.1,103.0,4.4,8.0,0.3,0.0,0.0,171.0,7.3
Hinsdale Central High School,Hinsdale Twp HSD 86,602.3,609.0,580.0,580.0,Illinois,41.7871129,-87.9318318,5500 South Grant Street,60521,DuPage County,Hinsdale,17043,"5500 South Grant Street, Hinsdale, Illinois, 60521",845401,17043845401,2023.0,845401.0,DuPage County,Illinois,139.0,28.0,23.0,60.0,28.0,2530.0,13.0,83.0,119.0,268.0,149.0,754.0,1144.0,20.1,16.5,43.2,20.1,0.5,3.3,4.7,10.6,5.9,29.8,45.2,1317.0,250001.0,327312.0,3654.0,312.0,8.5,3342.0,91.5,1956.0,53.5,25.0,0.7,0.0,0.0,1233.0,33.7,0.0,0.0,0.0,0.0,128.0,3.5
Hinsdale South High School,Hinsdale Twp HSD 86,532.7,523.5,271.0,271.0,Illinois,41.7537297,-87.9527911,7401 Clarendon Hills Road,60561,DuPage County,Darien,17043,"7401 Clarendon Hills Road, Darien, Illinois, 60561",845811,17043845811,2023.0,845811.0,DuPage County,Illinois,317.0,72.0,59.0,139.0,47.0,2394.0,20.0,156.0,685.0,448.0,220.0,625.0,240.0,22.7,18.6,43.8,14.8,0.8,6.5,28.6,18.7,9.2,26.1,10.0,1377.0,100655.0,114600.0,3382.0,437.0,12.9,2945.0,87.1,2475.0,73.2,121.0,3.6,0.0,0.0,284.0,8.4,0.0,0.0,0.0,0.0,65.0,1.9
Glenbard East High School,Glenbard Twp HSD 87,490.6,472.5,531.0,531.0,Illinois,41.866286,-88.019176,1014 South Main Street,60148,DuPage County,Lombard,17043,"1014 South Main Street, Lombard, Illinois, 60148",844201,17043844201,2023.0,844201.0,DuPage County,Illinois,607.0,57.0,236.0,246.0,68.0,3810.0,20.0,81.0,990.0,814.0,404.0,1020.0,481.0,9.4,38.9,40.5,11.2,0.5,2.1,26.0,21.4,10.6,26.8,12.6,1937.0,109612.0,142461.0,5622.0,668.0,11.9,4954.0,88.1,4043.0,71.9,123.0,2.2,0.0,0.0,362.0,6.4,0.0,0.0,0.0,0.0,426.0,7.6
Glenbard North High School,Glenbard Twp HSD 87,489.2,485.1,496.0,496.0,Illinois,41.9288865,-88.14174679999999,990 Kuhn Road,60188,DuPage County,Carol Stream,17043,"990 Kuhn Road, Carol Stream, Illinois, 60188",841206,17043841206,2023.0,841206.0,DuPage County,Illinois,437.0,60.0,236.0,105.0,36.0,4428.0,67.0,237.0,950.0,880.0,174.0,1571.0,549.0,13.7,54.0,24.0,8.2,1.5,5.4,21.5,19.9,3.9,35.5,12.4,2100.0,116167.0,127108.0,6127.0,1174.0,19.2,4953.0,80.8,3407.0,55.6,56.0,0.9,0.0,0.0,1277.0,20.8,0.0,0.0,0.0,0.0,213.0,3.5
Glenbard West High School,Glenbard Twp HSD 87,537.7,534.7,541.0,543.0,Illinois,41.8794783,-88.0606255,670 Crescent Boulevard,60137,DuPage County,Glen Ellyn,17043,"670 Crescent Boulevard, Glen Ellyn, Illinois, 60137",842000,17043842000,2023.0,842000.0,DuPage County,Illinois,355.0,111.0,87.0,69.0,88.0,2779.0,27.0,0.0,103.0,208.0,66.0,1237.0,1138.0,31.3,24.5,19.4,24.8,1.0,0.0,3.7,7.5,2.4,44.5,40.9,1491.0,206328.0,275178.0,4382.0,230.0,5.2,4152.0,94.8,3724.0,85.0,11.0,0.3,0.0,0.0,66.0,1.5,8.0,0.2,27.0,0.6,316.0,7.2
Glenbard South High School,Glenbard Twp HSD 87,534.0,530.9,242.0,242.0,Illinois,41.8315479,-88.07090939999999,23W200 Butterfield Road,60137,DuPage County,Glen Ellyn,17043,"23W200 Butterfield Road, Glen Ellyn, Illinois, 60137",842710,17043842710,2023.0,842710.0,DuPage County,Illinois,249.0,8.0,101.0,109.0,31.0,2692.0,42.0,9.0,505.0,637.0,219.0,758.0,522.0,3.2,40.6,43.8,12.4,1.6,0.3,18.8,23.7,8.1,28.2,19.4,1756.0,71383.0,98220.0,3584.0,212.0,5.9,3372.0,94.1,2459.0,68.6,235.0,6.6,6.0,0.2,405.0,11.3,0.0,0.0,3.0,0.1,264.0,7.4
Addison Trail High School,DuPage HSD 88,459.4,447.9,474.0,474.0,Illinois,41.931314,-88.02134629999999,213 North Lombard Road,60101,DuPage County,Addison,17043,"213 North Lombard Road, Addison, Illinois, 60101",846604,17043846604,2023.0,846604.0,DuPage County,Illinois,399.0,23.0,180.0,147.0,49.0,2837.0,448.0,199.0,845.0,492.0,289.0,368.0,196.0,5.8,45.1,36.8,12.3,15.8,7.0,29.8,17.3,10.2,13.0,6.9,1417.0,91625.0,106182.0,4120.0,1958.0,47.5,2162.0,52.5,1546.0,37.5,1.0,0.0,0.0,0.0,524.0,12.7,0.0,0.0,20.0,0.5,71.0,1.7
Willowbrook High School,DuPage HSD 88,487.4,477.7,426.0,426.0,Illinois,41.864607,-87.98232279999999,1250 Ardmore Avenue,60181,DuPage County,Villa Park,17043,"1250 Ardmore Avenue, Villa Park, Illinois, 60181",844307,17043844307,2023.0,844307.0,DuPage County,Illinois,259.0,0.0,125.0,70.0,64.0,2703.0,106.0,117.0,845.0,402.0,74.0,811.0,348.0,0.0,48.3,27.0,24.7,3.9,4.3,31.3,14.9,2.7,30.0,12.9,1403.0,87361.0,108747.0,3710.0,632.0,17.0,3078.0,83.0,2046.0,55.1,288.0,7.8,0.0,0.0,657.0,17.7,10.0,0.3,29.0,0.8,48.0,1.3
West Chicago Community High School,CHSD 94,465.2,461.0,491.0,491.0,Illinois,41.8797313,-88.20675519999999,326 Joliet Street,60185,DuPage County,West Chicago,17043,"326 Joliet Street, West Chicago, Illinois, 60185",841501,17043841501,2023.0,841501.0,DuPage County,Illinois,467.0,28.0,249.0,159.0,31.0,3534.0,378.0,356.0,1168.0,572.0,268.0,551.0,241.0,6.0,53.3,34.0,6.6,10.7,10.1,33.1,16.2,7.6,15.6,6.8,1548.0,77383.0,97588.0,5331.0,3169.0,59.4,2162.0,40.6,1685.0,31.6,259.0,4.9,0.0,0.0,116.0,2.2,0.0,0.0,0.0,0.0,102.0,1.9
Comm H S Dist 99 - North H S,CHSD 99,539.8,544.6,505.0,505.0,Illinois,41.8054332,-88.0113143,4436 Main Street,60515,DuPage County,Downers Grove,17043,"4436 Main Street, Downers Grove, Illinois, 60515",844802,17043844802,2023.0,844802.0,DuPage County,Illinois,247.0,11.0,63.0,113.0,60.0,2302.0,14.0,48.0,340.0,475.0,178.0,672.0,575.0,4.5,25.5,45.7,24.3,0.6,2.1,14.8,20.6,7.7,29.2,25.0,1474.0,86111.0,172304.0,3415.0,155.0,4.5,3260.0,95.5,2994.0,87.7,34.0,1.0,0.0,0.0,108.0,3.2,9.0,0.3,58.0,1.7,57.0,1.7
Comm H S Dist 99 - South High Sch,CHSD 99,514.2,523.1,648.0,649.0,Illinois,41.7637423,-88.0314174,,N/A,DuPage County,N/A,17043,,845703,17043845703,2023.0,845703.0,DuPage County,Illinois,265.0,16.0,90.0,58.0,101.0,3164.0,54.0,44.0,612.0,562.0,154.0,1161.0,577.0,6.0,34.0,21.9,38.1,1.7,1.4,19.3,17.8,4.9,36.7,18.2,1798.0,100000.0,125802.0,4278.0,457.0,10.7,3821.0,89.3,2906.0,67.9,305.0,7.1,0.0,0.0,448.0,10.5,0.0,0.0,0.0,0.0,162.0,3.8
Fenton High School,Fenton CHSD 100,459.6,452.9,309.0,309.0,Illinois,41.9572054,-87.9564209,1000 West Green Street,60106,DuPage County,Bensenville,17043,"1000 West Green Street, Bensenville, Illinois, 60106",840802,17043840802,2023.0,840802.0,DuPage County,Illinois,643.0,51.0,281.0,220.0,91.0,3807.0,445.0,292.0,1076.0,948.0,301.0,516.0,229.0,7.9,43.7,34.2,14.2,11.7,7.7,28.3,24.9,7.9,13.6,6.0,2117.0,81537.0,95230.0,5575.0,2803.0,50.3,2772.0,49.7,2568.0,46.1,59.0,1.1,20.0,0.4,111.0,2.0,0.0,0.0,0.0,0.0,14.0,0.3
Lake Park High School,Lake Park CHSD 108,514.8,510.3,653.0,653.0,Illinois,41.9734015,-88.0536037,600 Medinah Road,60172,DuPage County,Roselle,17043,"600 Medinah Road, Roselle, Illinois, 60172",841003,17043841003,2023.0,841003.0,DuPage County,Illinois,225.0,47.0,108.0,30.0,40.0,2550.0,20.0,223.0,539.0,583.0,227.0,655.0,303.0,20.9,48.0,13.3,17.8,0.8,8.7,21.1,22.9,8.9,25.7,11.9,1461.0,88494.0,124404.0,3258.0,318.0,9.8,2940.0,90.2,2587.0,79.4,67.0,2.1,0.0,0.0,240.0,7.4,0.0,0.0,0.0,0.0,46.0,1.4
Wheaton Warrenville South H S,CUSD 200,526.1,515.8,433.0,434.0,Illinois,41.833686,-88.1485749,1993 Tiger Trail,60189,DuPage County,Wheaton,17043,"1993 Tiger Trail, Wheaton, Illinois, 60189",841603,17043841603,2023.0,841603.0,DuPage County,Illinois,373.0,89.0,73.0,182.0,29.0,3353.0,345.0,233.0,501.0,603.0,291.0,708.0,672.0,23.9,19.6,48.8,7.8,10.3,6.9,14.9,18.0,8.7,21.1,20.0,1852.0,86071.0,124678.0,4845.0,1857.0,38.3,2988.0,61.7,2400.0,49.5,241.0,5.0,22.0,0.5,325.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Wheaton North High School,CUSD 200,536.4,529.5,412.0,412.0,Illinois,41.8830088,-88.1170836,701 West Thomas Road,60187,DuPage County,Wheaton,17043,"701 West Thomas Road, Wheaton, Illinois, 60187",841802,17043841802,2023.0,841802.0,DuPage County,Illinois,341.0,17.0,144.0,123.0,57.0,3657.0,54.0,100.0,515.0,416.0,313.0,1282.0,977.0,5.0,42.2,36.1,16.7,1.5,2.7,14.1,11.4,8.6,35.1,26.7,1901.0,142216.0,177347.0,5505.0,297.0,5.4,5208.0,94.6,4577.0,83.1,76.0,1.4,0.0,0.0,346.0,6.3,0.0,0.0,18.0,0.3,191.0,3.5
