School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Mark Twain Elem School,Wheeling CCSD 21,,,,
Walt Whitman Elem School,Wheeling CCSD 21,,,,
,Prospect Heights SD 23,,,,
MacArthur Middle School,Prospect Heights SD 23,,,,
Dwight D Eisenhower Elem School,Prospect Heights SD 23,,,,
Betsy Ross Elem School,Prospect Heights SD 23,,,,
Anne Sullivan Elem School,Prospect Heights SD 23,,,,
,Arlington Heights SD 25,,,,
South Middle School,Arlington Heights SD 25,,,,
Thomas Middle School,Arlington Heights SD 25,,,,
Dryden Elem School,Arlington Heights SD 25,,,,
Greenbrier Elem School,Arlington Heights SD 25,,,,
Ivy Hill Elem School,Arlington Heights SD 25,,,,
Olive-Mary Stitt School,Arlington Heights SD 25,,,,
Patton Elem School,Arlington Heights SD 25,,,,
Westgate Elem School,Arlington Heights SD 25,,,,
Windsor Elementary School,Arlington Heights SD 25,,,,
,River Trails SD 26,,,,
River Trails Middle School,River Trails SD 26,,,,
Euclid Elem School,River Trails SD 26,,,,
Indian Grove Elem School,River Trails SD 26,,,,
Prairie Trails School,River Trails SD 26,,,,
,Northbrook ESD 27,,,,
Wood Oaks Jr High School,Northbrook ESD 27,,,,
Hickory Point Elem School,Northbrook ESD 27,,,,
Shabonee School,Northbrook ESD 27,,,,
,Northbrook SD 28,,,,
Northbrook Junior High School,Northbrook SD 28,,,,
Greenbriar Elem School,Northbrook SD 28,,,,
Meadowbrook Elem School,Northbrook SD 28,,,,
Westmoor Elem School,Northbrook SD 28,,,,
,Sunset Ridge SD 29,,,,
Middlefork Primary School,Sunset Ridge SD 29,,,,
Sunset Ridge Elem School,Sunset Ridge SD 29,,,,
,Northbrook/Glenview SD 30,,,,
Maple School,Northbrook/Glenview SD 30,,,,
Willowbrook Elem School,Northbrook/Glenview SD 30,,,,
Wescott Elementary School,Northbrook/Glenview SD 30,,,,
,West Northfield SD 31,,,,
Field School,West Northfield SD 31,,,,
Henry Winkelman Elem School,West Northfield SD 31,,,,
,Glenview CCSD 34,,,,
Attea Middle School,Glenview CCSD 34,,,,
Springman Middle School,Glenview CCSD 34,,,,
Glen Grove Elem School,Glenview CCSD 34,,,,
Henking Elem School,Glenview CCSD 34,,,,
Hoffman Elem School,Glenview CCSD 34,,,,
Lyon Elem School,Glenview CCSD 34,,,,
Pleasant Ridge Elem School,Glenview CCSD 34,,,,
Westbrook Elementary School,Glenview CCSD 34,,,,
,Glencoe SD 35,,,,
Central School,Glencoe SD 35,,,,
West School,Glencoe SD 35,,,,
South Elem School,Glencoe SD 35,,,,
,Winnetka SD 36,,,,
Carleton W Washburne School,Winnetka SD 36,,,,
Crow Island Elem School,Winnetka SD 36,,,,
Greeley Elem School,Winnetka SD 36,,,,
Hubbard Woods Elem School,Winnetka SD 36,,,,
The Skokie School,Winnetka SD 36,,,,
,Avoca SD 37,,,,
Marie Murphy School,Avoca SD 37,,,,
Avoca West Elem School,Avoca SD 37,,,,
,Kenilworth SD 38,,,,
The Joseph Sears School,Kenilworth SD 38,,,,
,Wilmette SD 39,,,,
Wilmette Junior High School,Wilmette SD 39,,,,
Central Elem School,Wilmette SD 39,,,,
Harper Elem School,Wilmette SD 39,,,,
McKenzie Elem School,Wilmette SD 39,,,,
Romona Elem School,Wilmette SD 39,,,,
Highcrest Middle School,Wilmette SD 39,,,,
,Schaumburg CCSD 54,,,,
Jane Addams JHS,Schaumburg CCSD 54,,,,
Robert Frost JHS,Schaumburg CCSD 54,,,,
Dwight D Eisenhower JHS,Schaumburg CCSD 54,,,,
Margaret Mead JHS,Schaumburg CCSD 54,,,,
Helen Keller JHS,Schaumburg CCSD 54,,,,
Buzz Aldrin Elem School,Schaumburg CCSD 54,,,,
Neil Armstrong Elem School,Schaumburg CCSD 54,,,,
Campanelli Elem School,Schaumburg CCSD 54,,,,
Winston Churchill Elem School,Schaumburg CCSD 54,,,,
Michael Collins Elem School,Schaumburg CCSD 54,,,,
