tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
8.06,Craighead County,Arkansas,4.6%,95.4%,89.8%,5.2%,0.0%,0.0%,0.0%,0.4%,0.0%,4262.0,198,4064,3826,221,0,0,0,17,0
9,Craighead County,Arkansas,1.4%,98.6%,90.5%,3.3%,0.2%,0.0%,0.0%,0.0%,4.6%,6130.0,84,6046,5547,204,14,0,0,0,281
10,Craighead County,Arkansas,7.6%,92.4%,88.9%,0.2%,0.0%,0.3%,0.0%,0.0%,3.0%,3840.0,290,3550,3413,9,1,12,0,0,115
11.01,Craighead County,Arkansas,0.2%,99.8%,91.8%,0.0%,0.4%,0.7%,0.0%,0.0%,6.9%,5023.0,9,5014,4611,0,19,35,0,0,349
11.02,Craighead County,Arkansas,1.7%,98.3%,90.1%,2.1%,0.1%,0.3%,0.0%,0.0%,5.7%,4841.0,81,4760,4362,100,7,14,0,0,277
12,Craighead County,Arkansas,2.1%,97.9%,90.2%,6.2%,0.0%,0.3%,0.0%,0.3%,1.0%,4572.0,95,4477,4123,284,0,14,0,12,44
201.01,Crawford County,Arkansas,0.5%,99.5%,78.1%,0.0%,1.1%,0.0%,0.0%,0.0%,20.3%,2927.0,16,2911,2286,0,32,0,0,0,593
201.02,Crawford County,Arkansas,1.5%,98.5%,94.2%,0.2%,1.2%,0.0%,0.0%,0.0%,2.9%,2568.0,39,2529,2418,6,31,0,0,0,74
202.04,Crawford County,Arkansas,6.8%,93.2%,77.4%,0.0%,0.1%,3.4%,0.0%,4.2%,8.2%,6042.0,408,5634,4677,0,5,207,0,251,494
202.05,Crawford County,Arkansas,7.7%,92.3%,82.0%,0.0%,0.3%,3.9%,0.0%,0.0%,6.0%,3987.0,308,3679,3269,0,13,156,0,0,241
202.06,Crawford County,Arkansas,1.6%,98.4%,88.9%,0.0%,1.2%,0.8%,0.0%,0.0%,7.6%,1733.0,28,1705,1540,0,20,14,0,0,131
202.07,Crawford County,Arkansas,5.2%,94.8%,87.6%,1.4%,1.7%,0.0%,0.0%,0.1%,4.0%,3892.0,203,3689,3410,53,67,0,0,4,155
202.08,Crawford County,Arkansas,6.9%,93.1%,74.6%,2.9%,0.3%,1.0%,0.0%,2.9%,11.3%,3673.0,255,3418,2740,107,12,35,0,108,416
203.01,Crawford County,Arkansas,9.7%,90.3%,80.6%,1.6%,0.7%,3.1%,0.0%,0.2%,4.2%,4185.0,407,3778,3372,67,29,128,0,7,175
203.02,Crawford County,Arkansas,23.1%,76.9%,66.6%,2.5%,0.3%,0.5%,0.0%,0.0%,7.0%,4358.0,1008,3350,2902,111,13,20,0,0,304
204.01,Crawford County,Arkansas,3.5%,96.5%,90.2%,0.0%,2.2%,0.0%,0.0%,0.0%,4.2%,5269.0,185,5084,4751,0,114,0,0,0,219
204.02,Crawford County,Arkansas,2.7%,97.3%,88.1%,0.9%,2.1%,0.0%,0.0%,0.0%,6.1%,4182.0,114,4068,3684,37,89,2,0,0,256
205.01,Crawford County,Arkansas,30.3%,69.7%,56.3%,0.0%,0.6%,2.2%,0.0%,2.8%,7.8%,4290.0,1298,2992,2417,0,26,95,0,118,336
205.02,Crawford County,Arkansas,8.9%,91.1%,79.5%,1.0%,3.1%,0.7%,0.0%,0.0%,6.8%,4676.0,414,4262,3718,49,144,35,0,0,316
206.01,Crawford County,Arkansas,1.6%,98.4%,83.7%,0.9%,0.0%,0.8%,0.0%,0.0%,13.0%,2128.0,34,2094,1782,19,0,17,0,0,276
206.02,Crawford County,Arkansas,3.4%,96.6%,84.0%,3.7%,0.6%,0.0%,0.1%,0.7%,7.4%,6882.0,233,6649,5781,257,44,0,5,51,511
301.01,Crittenden County,Arkansas,0.0%,100.0%,3.2%,93.5%,0.0%,0.0%,0.0%,0.0%,3.2%,2163.0,0,2163,70,2023,0,0,0,0,70
301.02,Crittenden County,Arkansas,3.0%,97.0%,4.5%,89.2%,0.0%,0.0%,0.0%,0.7%,2.6%,2561.0,77,2484,116,2284,0,0,0,18,66
302.01,Crittenden County,Arkansas,1.5%,98.5%,67.7%,21.7%,0.0%,0.0%,0.0%,0.0%,9.0%,5298.0,82,5216,3588,1150,0,0,0,0,478
302.02,Crittenden County,Arkansas,0.2%,99.8%,66.7%,29.3%,0.2%,2.5%,0.0%,0.0%,1.0%,3312.0,7,3305,2209,971,8,83,0,0,34
303.01,Crittenden County,Arkansas,2.4%,97.6%,21.3%,74.2%,0.4%,0.0%,0.0%,0.0%,1.7%,2743.0,66,2677,584,2035,10,0,0,0,48
303.02,Crittenden County,Arkansas,1.0%,99.0%,9.2%,87.7%,0.0%,0.0%,0.0%,0.0%,2.0%,2867.0,29,2838,265,2515,0,0,0,0,58
305.03,Crittenden County,Arkansas,7.4%,92.6%,1.4%,86.7%,0.0%,0.6%,0.0%,0.0%,3.9%,1732.0,128,1604,25,1502,0,10,0,0,67
306.01,Crittenden County,Arkansas,0.3%,99.7%,25.1%,70.0%,0.0%,0.0%,0.0%,0.3%,4.2%,597.0,2,595,150,418,0,0,0,2,25
306.02,Crittenden County,Arkansas,0.9%,99.1%,44.2%,50.5%,0.0%,0.3%,0.0%,0.0%,4.2%,3540.0,33,3507,1563,1786,0,9,0,0,149
307.01,Crittenden County,Arkansas,9.3%,90.7%,55.2%,24.4%,0.0%,1.0%,0.0%,0.0%,10.0%,1170.0,109,1061,646,286,0,12,0,0,117
307.02,Crittenden County,Arkansas,1.6%,98.4%,21.6%,58.3%,0.0%,1.0%,0.0%,0.0%,17.5%,1008.0,16,992,218,588,0,10,0,0,176
307.03,Crittenden County,Arkansas,18.5%,81.5%,58.7%,14.3%,0.0%,0.0%,0.0%,0.0%,8.5%,1055.0,195,860,619,151,0,0,0,0,90
308.03,Crittenden County,Arkansas,1.9%,98.1%,63.8%,26.9%,0.2%,0.0%,0.0%,0.0%,7.2%,1798.0,34,1764,1148,483,3,0,0,0,130
308.04,Crittenden County,Arkansas,6.5%,93.5%,36.0%,48.0%,0.0%,1.5%,0.0%,0.0%,8.0%,4469.0,292,4177,1607,2145,0,67,0,0,358
308.05,Crittenden County,Arkansas,0.7%,99.3%,59.3%,32.3%,0.8%,2.7%,0.0%,0.0%,4.2%,3345.0,23,3322,1983,1081,27,90,0,0,141
308.06,Crittenden County,Arkansas,5.2%,94.8%,56.1%,32.0%,0.0%,1.0%,0.0%,0.0%,5.7%,3930.0,204,3726,2205,1257,0,39,0,0,225
308.07,Crittenden County,Arkansas,3.5%,96.5%,45.5%,41.4%,0.0%,0.0%,0.0%,0.0%,9.6%,1649.0,58,1591,750,682,0,0,0,0,159
310,Crittenden County,Arkansas,5.6%,94.4%,59.5%,21.9%,0.0%,0.0%,0.0%,0.0%,13.1%,1185.0,66,1119,705,259,0,0,0,0,155
311,Crittenden County,Arkansas,1.2%,98.8%,13.9%,70.9%,0.0%,0.0%,0.0%,0.0%,14.0%,1610.0,20,1590,224,1141,0,0,0,0,225
312,Crittenden County,Arkansas,2.2%,97.8%,3.7%,79.4%,0.5%,0.8%,0.0%,0.0%,13.4%,1577.0,35,1542,59,1252,8,12,0,0,211
9501,Cross County,Arkansas,0.0%,100.0%,43.5%,46.7%,0.0%,0.0%,0.0%,0.0%,9.8%,899.0,0,899,391,420,0,0,0,0,88
9502,Cross County,Arkansas,0.9%,99.1%,92.0%,2.0%,0.9%,0.3%,0.0%,0.0%,3.8%,3069.0,28,3041,2822,62,29,10,0,0,118
9503,Cross County,Arkansas,0.1%,99.9%,80.3%,0.0%,0.0%,0.0%,0.0%,0.0%,19.6%,1518.0,2,1516,1219,0,0,0,0,0,297
9504,Cross County,Arkansas,0.2%,99.8%,93.4%,2.2%,0.0%,0.0%,0.0%,0.0%,4.2%,2617.0,6,2611,2444,57,0,0,0,0,110
