tract_number,tract_county,tract_state,total_households,Median income (dollars),Mean income (dollars)
201.05,Lonoke County,Arkansas,"2,319","111,811","122,691"
201.06,Lonoke County,Arkansas,884,"62,700","91,883"
201.07,Lonoke County,Arkansas,907,"51,847","93,177"
201.08,Lonoke County,Arkansas,"1,746","81,923","117,805"
202.01,Lonoke County,Arkansas,"1,363","89,205","103,026"
202.02,Lonoke County,Arkansas,"1,271","61,359","76,759"
202.04,Lonoke County,Arkansas,"2,210","55,809","66,056"
202.05,Lonoke County,Arkansas,"1,791","66,604","77,742"
202.06,Lonoke County,Arkansas,"1,938","65,127","80,637"
203.01,Lonoke County,Arkansas,"1,737","61,169","77,553"
203.02,Lonoke County,Arkansas,"1,481","93,542","97,715"
204,Lonoke County,Arkansas,"1,102","48,115","68,227"
205,Lonoke County,Arkansas,"2,116","51,078","80,156"
206,Lonoke County,Arkansas,626,"50,556","68,860"
207,Lonoke County,Arkansas,"1,133","48,324","66,294"
208,Lonoke County,Arkansas,429,"54,028","58,758"
9601,Madison County,Arkansas,"1,387","73,299","87,426"
9602,Madison County,Arkansas,"1,482","53,250","76,266"
9603,Madison County,Arkansas,"2,223","43,828","67,241"
9604,Madison County,Arkansas,"1,289","58,854","68,033"
9601,Marion County,Arkansas,"1,992","51,654","64,622"
9602.01,Marion County,Arkansas,"1,290","52,115","65,865"
9602.02,Marion County,Arkansas,"1,539","52,188","61,025"
9603.01,Marion County,Arkansas,"1,008","35,625","50,442"
9603.02,Marion County,Arkansas,"1,467","42,903","63,839"
201,Miller County,Arkansas,"1,500","37,294","46,220"
202,Miller County,Arkansas,"1,168","30,227","43,682"
204,Miller County,Arkansas,850,"33,942","59,252"
205,Miller County,Arkansas,832,"34,048","58,657"
206,Miller County,Arkansas,822,"23,771","26,981"
207.01,Miller County,Arkansas,"1,612","54,093","60,581"
207.02,Miller County,Arkansas,"1,635","48,692","68,107"
208.01,Miller County,Arkansas,"1,018","98,750","121,011"
208.02,Miller County,Arkansas,983,"70,906","76,315"
209.01,Miller County,Arkansas,837,"59,095","87,271"
209.02,Miller County,Arkansas,"2,238","56,635","73,107"
210.01,Miller County,Arkansas,"1,306","63,592","83,586"
210.02,Miller County,Arkansas,"1,475","71,163","82,759"
9800,Miller County,Arkansas,35,-,N
101,Mississippi County,Arkansas,576,"27,174","39,502"
102,Mississippi County,Arkansas,"1,948","44,929","60,574"
103,Mississippi County,Arkansas,"1,033","32,050","41,867"
106.01,Mississippi County,Arkansas,"1,780","76,406","105,841"
106.02,Mississippi County,Arkansas,513,"41,994","73,491"
107,Mississippi County,Arkansas,"1,543","88,393","102,654"
108.01,Mississippi County,Arkansas,"1,262","54,717","78,202"
108.02,Mississippi County,Arkansas,"1,093","65,103","109,774"
109,Mississippi County,Arkansas,682,"34,435","50,186"
110,Mississippi County,Arkansas,"1,426","32,913","56,051"
111,Mississippi County,Arkansas,"1,244","58,093","74,642"
112,Mississippi County,Arkansas,866,"65,441","77,399"
113,Mississippi County,Arkansas,643,"39,047","79,889"
114,Mississippi County,Arkansas,772,"59,277","74,795"
9501,Monroe County,Arkansas,"1,343","37,998","44,494"
9502,Monroe County,Arkansas,826,"48,611","68,595"
9503,Monroe County,Arkansas,650,"62,569","69,610"
9530,Montgomery County,Arkansas,"1,500","47,531","69,990"
9531,Montgomery County,Arkansas,857,"43,212","55,153"
9532,Montgomery County,Arkansas,"1,395","55,793","67,041"
901,Nevada County,Arkansas,985,"57,148","65,829"
902,Nevada County,Arkansas,"1,705","40,126","48,045"
903,Nevada County,Arkansas,712,"32,278","44,334"
1801,Newton County,Arkansas,"1,497","52,917","62,197"
1802,Newton County,Arkansas,"1,552","46,270","66,989"
9501.01,Ouachita County,Arkansas,858,"55,761","63,861"
9501.02,Ouachita County,Arkansas,"1,023","48,569","67,278"
9502,Ouachita County,Arkansas,956,"42,262","62,458"
9503.01,Ouachita County,Arkansas,715,"45,700","59,298"
9503.02,Ouachita County,Arkansas,957,"63,304","68,678"
9504,Ouachita County,Arkansas,"1,270","63,902","68,470"
9505,Ouachita County,Arkansas,"1,466","46,111","68,542"
9506,Ouachita County,Arkansas,"1,345","50,364","48,366"
9527,Perry County,Arkansas,"1,897","61,422","79,337"
9528,Perry County,Arkansas,"1,213","55,750","66,175"
9529,Perry County,Arkansas,730,"62,250","80,773"
