tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
207.03,Benton County,Arkansas,11.9%,62.8%,25.2%,0.0%,2.8%,0.2%,17.9%,23.8%,9.0%,27.6%,18.7%,218,26,137,55,0,3905,109,9,698,929,353,1078,729
207.04,Benton County,Arkansas,9.7%,52.8%,28.4%,9.1%,1.0%,2.2%,21.7%,24.0%,6.1%,32.5%,12.5%,341,33,180,97,31,3188,32,70,693,766,195,1035,397
208.01,Benton County,Arkansas,0.0%,0.0%,0.0%,100.0%,0.2%,3.9%,24.6%,28.5%,8.9%,24.8%,9.1%,48,0,0,0,48,3894,8,151,959,1108,347,965,356
208.03,Benton County,Arkansas,0.0%,39.3%,32.8%,27.9%,0.7%,3.5%,29.4%,19.1%,11.6%,28.1%,7.7%,122,0,48,40,34,4238,28,148,1244,808,492,1192,326
208.05,Benton County,Arkansas,19.2%,21.2%,59.6%,0.0%,0.0%,0.4%,19.2%,23.6%,10.8%,29.9%,16.0%,411,79,87,245,0,3570,0,15,685,844,387,1067,572
208.06,Benton County,Arkansas,0.0%,72.4%,19.0%,8.6%,1.2%,5.9%,23.4%,17.1%,6.4%,28.2%,17.8%,326,0,236,62,28,5042,61,296,1179,862,325,1420,899
209.03,Benton County,Arkansas,16.6%,19.8%,63.6%,0.0%,2.2%,0.9%,26.2%,22.4%,8.6%,22.8%,16.9%,429,71,85,273,0,3581,78,31,938,803,308,818,605
209.04,Benton County,Arkansas,8.6%,33.5%,57.8%,0.0%,0.6%,3.8%,19.8%,27.1%,7.1%,29.1%,12.5%,474,41,159,274,0,4934,30,187,977,1336,349,1436,619
209.05,Benton County,Arkansas,53.4%,3.4%,43.3%,0.0%,2.1%,4.8%,42.5%,14.2%,4.2%,17.8%,14.5%,326,174,11,141,0,2089,43,100,888,296,88,372,302
209.06,Benton County,Arkansas,8.2%,40.2%,51.6%,0.0%,1.1%,3.6%,25.2%,26.7%,7.3%,26.6%,9.6%,498,41,200,257,0,3757,40,136,946,1002,274,999,360
210.01,Benton County,Arkansas,50.5%,15.9%,33.7%,0.0%,6.4%,12.7%,46.9%,11.6%,8.3%,9.7%,4.4%,630,318,100,212,0,3548,226,452,1663,410,295,345,157
210.03,Benton County,Arkansas,26.8%,45.9%,27.4%,0.0%,4.6%,12.8%,44.3%,14.0%,8.1%,12.3%,3.8%,157,42,72,43,0,1830,85,235,811,257,148,225,69
210.04,Benton County,Arkansas,15.3%,38.3%,35.9%,10.5%,5.9%,6.0%,31.6%,26.3%,6.5%,20.5%,3.2%,541,83,207,194,57,2696,159,161,853,709,174,553,87
211.01,Benton County,Arkansas,17.3%,46.4%,31.9%,4.4%,10.4%,7.5%,30.6%,19.1%,6.7%,19.9%,5.8%,502,87,233,160,22,3515,367,262,1076,670,237,698,205
211.02,Benton County,Arkansas,34.6%,29.6%,24.1%,11.7%,21.4%,4.5%,27.7%,19.6%,5.3%,12.9%,8.5%,162,56,48,39,19,2388,512,107,662,468,127,309,203
