tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
9502,Logan County,Arkansas,9.5%,26.1%,51.2%,13.3%,3.5%,6.4%,46.8%,22.1%,5.1%,12.4%,3.7%,211,20,55,108,28,2604,91,166,1219,576,134,322,96
9503,Logan County,Arkansas,31.4%,37.7%,30.9%,0.0%,2.5%,5.4%,49.4%,16.8%,6.9%,12.7%,6.2%,175,55,66,54,0,2756,68,150,1362,464,191,351,170
9504,Logan County,Arkansas,28.9%,54.3%,11.6%,5.2%,4.1%,9.1%,38.7%,22.9%,12.3%,9.6%,3.3%,232,67,126,27,12,2225,92,202,861,509,274,214,73
9505,Logan County,Arkansas,18.8%,25.0%,56.3%,0.0%,3.0%,8.8%,43.8%,26.2%,7.5%,6.6%,4.1%,549,103,137,309,0,2430,72,213,1065,636,183,161,100
9506,Logan County,Arkansas,22.5%,36.0%,41.6%,0.0%,1.8%,8.9%,46.1%,20.9%,10.7%,9.2%,2.5%,89,20,32,37,0,2142,39,190,987,447,229,197,53
201.02,Lonoke County,Arkansas,17.0%,29.0%,41.2%,12.9%,2.4%,6.9%,30.4%,31.0%,11.5%,11.1%,6.7%,459,78,133,189,59,3601,87,250,1093,1115,414,401,241
201.03,Lonoke County,Arkansas,4.5%,48.6%,43.4%,3.5%,1.7%,5.9%,25.1%,21.1%,13.9%,20.6%,11.8%,629,28,306,273,22,5179,86,303,1299,1093,719,1068,611
201.05,Lonoke County,Arkansas,14.9%,29.3%,45.4%,10.4%,2.8%,3.9%,23.0%,15.5%,9.0%,29.0%,16.9%,249,37,73,113,26,4357,121,168,1004,676,390,1262,736
201.06,Lonoke County,Arkansas,42.9%,42.9%,14.3%,0.0%,1.2%,14.4%,46.0%,24.6%,3.2%,6.4%,4.2%,84,36,36,12,0,1936,24,278,890,477,62,123,82
201.07,Lonoke County,Arkansas,42.6%,23.4%,34.0%,0.0%,2.8%,17.0%,49.1%,16.6%,7.2%,5.9%,1.4%,47,20,11,16,0,1849,52,314,908,307,133,110,25
201.08,Lonoke County,Arkansas,6.0%,54.1%,39.9%,0.0%,1.6%,5.7%,38.0%,19.3%,12.6%,15.4%,7.5%,885,53,479,353,0,3594,56,204,1365,693,453,553,270
202.01,Lonoke County,Arkansas,8.5%,62.3%,22.5%,6.8%,0.4%,3.0%,26.6%,23.6%,12.5%,27.1%,6.8%,236,20,147,53,16,2634,10,80,700,622,329,715,178
202.02,Lonoke County,Arkansas,0.0%,59.1%,40.9%,0.0%,1.9%,5.5%,45.3%,20.9%,11.2%,10.6%,4.6%,137,0,81,56,0,2196,42,121,994,459,246,232,102
202.04,Lonoke County,Arkansas,19.9%,18.8%,52.1%,9.2%,3.1%,5.9%,40.3%,21.9%,11.9%,13.7%,3.3%,532,106,100,277,49,3276,103,193,1319,716,390,448,107
202.05,Lonoke County,Arkansas,29.5%,33.6%,36.9%,0.0%,1.5%,5.8%,31.6%,30.3%,15.7%,10.4%,4.7%,447,132,150,165,0,3122,48,182,986,947,489,324,146
202.06,Lonoke County,Arkansas,5.9%,32.9%,53.9%,7.2%,3.8%,2.0%,37.4%,27.9%,9.0%,13.1%,6.7%,471,28,155,254,34,3395,129,68,1271,946,307,446,228
203.01,Lonoke County,Arkansas,10.6%,74.8%,11.7%,2.9%,2.2%,12.2%,49.9%,18.4%,7.7%,6.6%,2.9%,452,48,338,53,13,3072,69,375,1533,566,237,202,90
203.02,Lonoke County,Arkansas,2.4%,49.9%,43.2%,4.5%,5.3%,4.6%,37.4%,28.9%,9.5%,10.4%,4.0%,421,10,210,182,19,2879,153,132,1076,832,273,299,114
204,Lonoke County,Arkansas,36.9%,56.9%,6.2%,0.0%,2.2%,7.5%,49.8%,15.9%,6.8%,10.4%,7.4%,130,48,74,8,0,2054,45,155,1023,326,140,213,152
205,Lonoke County,Arkansas,13.3%,42.3%,13.8%,30.7%,6.7%,7.6%,45.3%,16.3%,11.2%,7.7%,5.1%,407,54,172,56,125,3307,223,251,1499,538,371,255,170
206,Lonoke County,Arkansas,24.3%,37.1%,38.6%,0.0%,16.0%,5.1%,38.5%,14.8%,8.9%,12.0%,4.7%,70,17,26,27,0,1095,175,56,422,162,98,131,51
207,Lonoke County,Arkansas,0.0%,48.0%,41.0%,11.0%,4.5%,5.0%,39.5%,27.2%,3.2%,13.6%,6.8%,100,0,48,41,11,1869,85,94,739,509,60,254,128
208,Lonoke County,Arkansas,57.5%,32.5%,10.0%,0.0%,13.8%,8.3%,57.1%,10.6%,0.0%,7.4%,2.8%,40,23,13,4,0,856,118,71,489,91,0,63,24
9601,Madison County,Arkansas,8.1%,63.1%,28.2%,0.6%,6.4%,8.5%,48.7%,18.3%,5.6%,9.3%,3.2%,347,28,219,98,2,2763,176,235,1346,505,154,258,89
9602,Madison County,Arkansas,21.7%,35.2%,37.1%,6.0%,6.1%,11.9%,47.5%,14.4%,5.1%,11.2%,3.8%,318,69,112,118,19,2609,159,311,1239,376,133,293,98
9603,Madison County,Arkansas,13.3%,86.7%,0.0%,0.0%,4.6%,6.9%,55.4%,17.6%,3.8%,7.6%,4.1%,377,50,327,0,0,4056,185,279,2246,714,156,308,168
9604,Madison County,Arkansas,4.5%,90.9%,4.5%,0.0%,4.9%,9.2%,53.4%,18.1%,1.7%,7.0%,5.7%,44,2,40,2,0,2536,124,233,1355,458,44,177,145
9601,Marion County,Arkansas,10.3%,34.4%,55.3%,0.0%,7.2%,6.7%,35.0%,28.1%,8.3%,9.0%,5.7%,273,28,94,151,0,3283,238,219,1150,921,272,297,186
9602.01,Marion County,Arkansas,23.6%,37.0%,23.6%,15.9%,3.4%,7.0%,40.1%,24.7%,8.8%,6.2%,9.7%,276,65,102,65,44,2386,81,168,956,590,211,149,231
9602.02,Marion County,Arkansas,23.0%,34.2%,32.1%,10.7%,7.5%,7.3%,37.4%,19.8%,8.3%,11.3%,8.3%,196,45,67,63,21,2731,206,199,1022,540,227,309,228
9603.01,Marion County,Arkansas,27.4%,47.6%,25.0%,0.0%,4.3%,13.2%,31.6%,37.8%,8.0%,2.3%,2.8%,84,23,40,21,0,1994,86,264,631,753,159,45,56
9603.02,Marion County,Arkansas,21.4%,41.1%,37.5%,0.0%,2.4%,9.9%,36.1%,23.7%,8.6%,14.5%,4.9%,56,12,23,21,0,2625,62,259,947,623,225,380,129
201,Miller County,Arkansas,26.4%,41.5%,26.4%,5.7%,2.1%,7.4%,47.8%,27.4%,4.4%,4.4%,6.5%,212,56,88,56,12,2400,51,177,1147,657,106,106,156
202,Miller County,Arkansas,49.3%,15.2%,35.4%,0.0%,2.5%,9.2%,49.9%,20.4%,7.8%,8.5%,1.8%,302,149,46,107,0,1921,48,177,958,392,149,163,34
204,Miller County,Arkansas,20.2%,39.4%,40.4%,0.0%,12.7%,12.4%,44.2%,25.3%,2.0%,2.3%,1.1%,282,57,111,114,0,1982,252,246,877,501,39,45,22
205,Miller County,Arkansas,3.5%,72.0%,24.6%,0.0%,6.4%,14.8%,50.3%,19.8%,1.8%,4.2%,2.7%,403,14,290,99,0,1558,100,230,783,309,28,66,42
206,Miller County,Arkansas,0.0%,100.0%,0.0%,0.0%,3.9%,16.0%,39.7%,19.5%,5.6%,9.4%,6.0%,245,0,245,0,0,1109,43,177,440,216,62,104,67
207.01,Miller County,Arkansas,13.4%,21.3%,65.3%,0.0%,1.3%,10.5%,35.7%,20.5%,12.0%,15.1%,4.9%,202,27,43,132,0,2814,37,295,1006,576,337,426,137
207.02,Miller County,Arkansas,3.8%,63.9%,28.4%,3.8%,2.5%,2.2%,35.7%,28.0%,7.7%,13.3%,10.7%,313,12,200,89,12,2367,59,51,845,662,182,314,254
208.01,Miller County,Arkansas,5.4%,52.6%,35.4%,6.5%,0.4%,8.6%,28.5%,18.6%,10.0%,22.9%,10.9%,367,20,193,130,24,1754,7,151,500,327,176,401,192
208.02,Miller County,Arkansas,0.0%,60.6%,39.4%,0.0%,7.1%,5.5%,43.6%,24.2%,9.0%,4.8%,5.8%,33,0,20,13,0,1808,129,99,788,437,163,87,105
209.01,Miller County,Arkansas,7.8%,91.5%,0.8%,0.0%,5.9%,13.8%,32.6%,19.3%,3.1%,12.1%,13.2%,129,10,118,1,0,1759,103,243,574,340,55,212,232
209.02,Miller County,Arkansas,0.7%,72.1%,6.2%,21.0%,2.3%,3.8%,44.7%,25.0%,8.2%,7.5%,8.5%,563,4,406,35,118,4021,94,152,1796,1006,329,303,341
210.01,Miller County,Arkansas,0.0%,36.9%,40.9%,22.2%,4.3%,12.8%,34.1%,25.3%,7.4%,9.3%,6.9%,225,0,83,92,50,2555,109,328,871,646,188,237,176
210.02,Miller County,Arkansas,8.7%,56.1%,26.5%,8.7%,5.8%,9.4%,38.2%,20.9%,10.8%,8.7%,6.2%,378,33,212,100,33,2763,160,259,1056,578,299,240,171
9800,Miller County,Arkansas,-,-,-,-,0.0%,0.0%,51.7%,41.7%,6.7%,0.0%,0.0%,0,0,0,0,0,60,0,0,31,25,4,0,0
101,Mississippi County,Arkansas,23.6%,34.8%,41.6%,0.0%,1.8%,12.1%,55.6%,24.2%,0.2%,1.7%,4.3%,89,21,31,37,0,1041,19,126,579,252,2,18,45
102,Mississippi County,Arkansas,19.6%,25.0%,55.4%,0.0%,7.2%,4.6%,49.7%,15.9%,7.4%,9.0%,6.1%,276,54,69,153,0,3263,234,149,1623,520,242,295,200
103,Mississippi County,Arkansas,14.1%,13.0%,41.3%,31.5%,12.1%,15.7%,34.2%,18.8%,8.5%,4.3%,6.3%,92,13,12,38,29,1581,191,249,540,298,135,68,100
106.01,Mississippi County,Arkansas,1.8%,23.7%,74.5%,0.0%,0.9%,4.3%,33.1%,32.4%,9.7%,12.1%,7.5%,333,6,79,248,0,2843,27,122,940,922,275,344,213
106.02,Mississippi County,Arkansas,2.6%,50.0%,47.4%,0.0%,1.5%,3.2%,56.9%,20.5%,2.8%,8.8%,6.3%,38,1,19,18,0,1113,17,36,633,228,31,98,70
107,Mississippi County,Arkansas,0.6%,46.3%,47.2%,5.8%,5.0%,5.0%,38.8%,20.6%,9.5%,14.5%,6.5%,326,2,151,154,19,2564,129,127,995,529,244,373,167
108.01,Mississippi County,Arkansas,4.7%,73.2%,10.2%,11.8%,6.7%,19.2%,37.7%,11.6%,7.4%,13.0%,4.4%,127,6,93,13,15,2036,136,390,768,236,151,265,90
108.02,Mississippi County,Arkansas,2.9%,88.8%,8.3%,0.0%,2.7%,8.5%,43.7%,12.9%,21.6%,8.5%,2.1%,241,7,214,20,0,2261,60,192,988,292,489,192,48
109,Mississippi County,Arkansas,16.0%,61.7%,5.7%,16.6%,9.2%,20.2%,42.0%,16.7%,5.6%,5.8%,0.4%,175,28,108,10,29,1419,131,287,596,237,79,83,6
110,Mississippi County,Arkansas,12.5%,74.4%,11.8%,1.3%,5.3%,13.1%,53.1%,19.1%,4.2%,4.5%,0.8%,559,70,416,66,7,1966,104,257,1043,375,83,88,16
111,Mississippi County,Arkansas,9.9%,74.9%,15.3%,0.0%,5.6%,7.9%,40.6%,27.9%,6.0%,9.0%,3.1%,557,55,417,85,0,2127,119,167,863,593,128,191,66
112,Mississippi County,Arkansas,19.2%,39.4%,24.4%,16.9%,3.1%,12.0%,33.9%,24.9%,5.2%,17.6%,3.3%,213,41,84,52,36,1377,42,165,467,343,71,243,46
113,Mississippi County,Arkansas,9.0%,50.3%,28.2%,12.4%,4.6%,9.4%,47.0%,23.5%,6.0%,7.0%,2.4%,177,16,89,50,22,1144,53,107,538,269,69,80,28
114,Mississippi County,Arkansas,14.2%,70.4%,15.5%,0.0%,4.4%,3.5%,36.7%,28.7%,6.3%,8.7%,11.7%,226,32,159,35,0,1192,53,42,437,342,75,104,139
9501,Monroe County,Arkansas,22.4%,21.0%,52.4%,4.2%,7.8%,9.9%,48.7%,18.8%,1.2%,9.8%,3.7%,143,32,30,75,6,2171,170,214,1058,409,27,212,81
9502,Monroe County,Arkansas,16.7%,54.0%,27.8%,1.6%,7.1%,9.1%,31.0%,23.1%,9.9%,15.4%,4.4%,126,21,68,35,2,1501,106,136,466,347,149,231,66
9503,Monroe County,Arkansas,31.6%,10.3%,58.1%,0.0%,8.2%,6.7%,37.7%,19.4%,13.8%,12.0%,2.2%,136,43,14,79,0,1060,87,71,400,206,146,127,23
9530,Montgomery County,Arkansas,0.0%,43.6%,56.4%,0.0%,6.7%,7.7%,32.3%,31.9%,5.7%,12.9%,2.8%,149,0,65,84,0,2535,170,195,820,808,144,326,72
9531,Montgomery County,Arkansas,8.9%,14.1%,74.8%,2.2%,5.7%,7.2%,36.0%,16.6%,14.0%,13.6%,6.9%,135,12,19,101,3,1445,82,104,520,240,203,197,99
9532,Montgomery County,Arkansas,34.5%,25.6%,32.3%,7.6%,3.9%,6.3%,42.1%,23.6%,8.2%,11.9%,4.0%,223,77,57,72,17,2526,99,158,1064,597,206,301,101
901,Nevada County,Arkansas,5.1%,45.7%,46.9%,2.3%,6.4%,5.5%,55.4%,18.7%,5.5%,5.3%,3.2%,175,9,80,82,4,1757,113,96,974,329,96,93,56
902,Nevada County,Arkansas,2.1%,74.8%,23.1%,0.0%,2.8%,6.3%,45.2%,18.5%,12.1%,12.5%,2.6%,516,11,386,119,0,2698,75,170,1219,500,326,337,71
903,Nevada County,Arkansas,2.2%,53.3%,42.2%,2.2%,3.8%,4.9%,47.1%,33.4%,2.3%,6.8%,1.7%,90,2,48,38,2,1149,44,56,541,384,27,78,19
1801,Newton County,Arkansas,20.5%,35.3%,41.1%,3.0%,2.7%,12.2%,30.0%,28.9%,8.6%,9.9%,7.5%,331,68,117,136,10,2547,70,312,763,737,220,253,192
1802,Newton County,Arkansas,0.0%,36.4%,60.8%,2.8%,4.6%,9.5%,46.6%,20.6%,7.5%,8.7%,2.5%,250,0,91,152,7,2680,124,255,1248,553,200,234,66
9501.01,Ouachita County,Arkansas,8.1%,52.5%,30.6%,8.8%,0.4%,5.6%,44.9%,28.2%,8.2%,6.6%,6.1%,297,24,156,91,26,1421,5,79,638,401,117,94,87
9501.02,Ouachita County,Arkansas,52.5%,23.0%,24.6%,0.0%,2.4%,10.4%,51.7%,19.8%,5.8%,7.2%,2.7%,122,64,28,30,0,1954,46,203,1011,387,113,141,53
9502,Ouachita County,Arkansas,25.3%,57.1%,17.6%,0.0%,0.9%,7.2%,27.5%,25.8%,9.1%,18.1%,11.3%,91,23,52,16,0,1918,18,139,527,495,174,348,217
9503.01,Ouachita County,Arkansas,12.2%,40.5%,20.3%,27.0%,2.4%,4.8%,47.3%,13.3%,20.1%,6.2%,5.8%,74,9,30,15,20,1236,30,59,585,165,248,77,72
9503.02,Ouachita County,Arkansas,0.6%,84.5%,9.1%,5.8%,2.8%,4.8%,53.3%,23.6%,5.8%,5.7%,3.9%,342,2,289,31,20,2165,61,105,1154,512,125,123,85
9504,Ouachita County,Arkansas,6.3%,77.6%,13.3%,2.7%,0.0%,5.8%,43.1%,28.2%,5.1%,12.1%,5.6%,255,16,198,34,7,2124,0,123,916,599,109,257,120
9505,Ouachita County,Arkansas,18.6%,49.2%,25.1%,7.1%,2.7%,17.0%,33.0%,23.2%,8.4%,8.7%,7.1%,183,34,90,46,13,2588,69,439,854,600,217,224,185
9506,Ouachita County,Arkansas,15.7%,25.0%,56.8%,2.5%,3.8%,12.4%,41.4%,23.9%,6.0%,8.7%,3.8%,324,51,81,184,8,2255,86,280,934,539,135,196,85
9527,Perry County,Arkansas,41.7%,35.0%,19.6%,3.6%,3.9%,4.8%,47.3%,19.4%,5.7%,13.7%,5.2%,331,138,116,65,12,3705,146,179,1751,717,213,508,191
9528,Perry County,Arkansas,14.6%,61.8%,20.8%,2.8%,2.8%,5.5%,43.0%,30.2%,5.0%,9.7%,3.7%,212,31,131,44,6,2200,62,122,945,665,110,214,82
9529,Perry County,Arkansas,16.3%,26.1%,57.6%,0.0%,1.6%,5.3%,37.8%,26.0%,10.9%,12.0%,6.4%,92,15,24,53,0,1333,21,71,504,347,145,160,85
4801,Phillips County,Arkansas,8.5%,21.1%,54.9%,15.5%,6.7%,9.4%,28.0%,26.0%,6.0%,17.1%,6.7%,71,6,15,39,11,1865,125,176,523,485,112,319,125
4802.01,Phillips County,Arkansas,20.5%,37.7%,41.8%,0.0%,6.8%,10.5%,35.1%,21.2%,14.1%,5.5%,6.8%,268,55,101,112,0,1323,90,139,464,280,187,73,90
4802.02,Phillips County,Arkansas,4.6%,31.8%,63.6%,0.0%,2.2%,9.3%,35.9%,23.5%,9.6%,14.0%,5.6%,151,7,48,96,0,1338,29,124,480,314,129,187,75
4803,Phillips County,Arkansas,39.1%,30.3%,21.5%,9.1%,10.3%,9.4%,30.2%,19.9%,19.8%,8.1%,2.3%,353,138,107,76,32,2800,287,264,845,557,555,227,65
4804,Phillips County,Arkansas,18.5%,70.7%,10.9%,0.0%,3.9%,17.9%,35.3%,21.7%,7.0%,6.5%,7.7%,92,17,65,10,0,1046,41,187,369,227,73,68,81
4805,Phillips County,Arkansas,7.0%,40.8%,42.5%,9.6%,2.9%,8.9%,46.9%,13.6%,17.9%,7.2%,2.7%,228,16,93,97,22,1127,33,100,528,153,202,81,30
4806,Phillips County,Arkansas,12.1%,50.0%,37.9%,0.0%,10.7%,12.4%,31.7%,29.5%,5.5%,5.6%,4.6%,58,7,29,22,0,933,100,116,296,275,51,52,43
9533,Pike County,Arkansas,3.2%,38.4%,44.3%,14.1%,13.4%,4.6%,30.9%,25.8%,6.9%,12.8%,5.5%,411,13,158,182,58,2396,321,111,741,619,166,307,131
9534,Pike County,Arkansas,5.3%,72.0%,22.8%,0.0%,6.3%,5.3%,40.9%,16.0%,7.9%,12.4%,11.1%,189,10,136,43,0,1594,101,85,652,255,126,198,177
9535,Pike County,Arkansas,0.9%,43.2%,40.1%,15.8%,3.9%,5.7%,39.4%,26.9%,5.7%,14.8%,3.7%,222,2,96,89,35,3101,120,176,1221,834,176,460,114
4901,Poinsett County,Arkansas,28.5%,16.2%,39.7%,15.6%,7.3%,10.1%,43.4%,17.9%,5.2%,13.3%,2.7%,365,104,59,145,57,2670,196,271,1160,478,140,354,71
4902,Poinsett County,Arkansas,23.2%,51.6%,25.3%,0.0%,13.9%,21.3%,35.3%,12.9%,4.1%,5.5%,7.0%,95,22,49,24,0,938,130,200,331,121,38,52,66
4903,Poinsett County,Arkansas,27.2%,44.1%,19.9%,8.8%,7.7%,12.9%,56.7%,14.2%,4.3%,2.9%,1.2%,136,37,60,27,12,2168,168,280,1230,308,94,63,25
4904,Poinsett County,Arkansas,0.0%,43.6%,38.6%,17.8%,12.0%,5.0%,37.6%,24.2%,4.8%,10.7%,5.7%,381,0,166,147,68,2977,357,149,1120,719,142,320,170
4905.01,Poinsett County,Arkansas,25.2%,59.2%,14.1%,1.5%,3.8%,12.6%,53.6%,18.9%,2.9%,7.5%,0.7%,341,86,202,48,5,1900,73,239,1018,359,55,142,14
4905.02,Poinsett County,Arkansas,6.4%,17.0%,71.7%,4.9%,2.8%,6.3%,53.4%,21.3%,7.0%,5.5%,3.8%,283,18,48,203,14,2315,64,146,1236,492,163,127,87
4906,Poinsett County,Arkansas,12.6%,47.1%,31.0%,9.2%,3.6%,11.0%,44.5%,23.3%,5.9%,8.0%,3.6%,87,11,41,27,8,935,34,103,416,218,55,75,34
4907,Poinsett County,Arkansas,47.8%,27.4%,12.4%,12.4%,6.2%,14.4%,38.3%,21.8%,3.7%,11.3%,4.3%,113,54,31,14,14,1552,96,223,594,338,58,176,67
9501,Polk County,Arkansas,24.8%,52.4%,22.9%,0.0%,5.0%,11.2%,36.2%,24.5%,5.6%,11.4%,6.0%,105,26,55,24,0,3066,154,344,1111,752,172,349,184
9502.01,Polk County,Arkansas,56.3%,43.8%,0.0%,0.0%,0.1%,3.8%,33.7%,35.9%,8.3%,11.5%,6.8%,112,63,49,0,0,1369,1,52,461,491,114,157,93
9502.02,Polk County,Arkansas,7.3%,81.7%,5.7%,5.3%,1.1%,7.1%,29.1%,34.5%,8.8%,17.1%,2.2%,262,19,214,15,14,2185,24,156,636,754,192,374,49
9503,Polk County,Arkansas,20.4%,11.2%,68.4%,0.0%,3.3%,11.6%,35.8%,30.1%,6.1%,7.5%,5.6%,98,20,11,67,0,1921,63,223,688,578,118,144,107
9504,Polk County,Arkansas,43.5%,21.6%,34.9%,0.0%,2.9%,4.4%,43.1%,19.9%,2.9%,16.7%,9.9%,430,187,93,150,0,2069,61,92,892,412,61,346,205
9505,Polk County,Arkansas,23.7%,48.0%,28.3%,0.0%,5.3%,11.4%,41.1%,24.3%,5.7%,8.9%,3.2%,152,36,73,43,0,1463,78,167,601,356,84,130,47
9506,Polk County,Arkansas,33.9%,32.2%,33.9%,0.0%,10.4%,9.6%,31.5%,28.2%,10.5%,7.1%,2.8%,283,96,91,96,0,1472,153,141,464,415,154,104,41
9507,Pope County,Arkansas,4.2%,32.7%,55.2%,7.9%,13.5%,13.3%,45.7%,14.7%,3.1%,6.6%,3.0%,165,7,54,91,13,2929,394,390,1340,431,92,193,89
9508,Pope County,Arkansas,15.6%,30.4%,51.8%,2.2%,7.0%,6.6%,34.9%,25.8%,4.3%,18.0%,3.4%,224,35,68,116,5,3723,260,244,1301,962,159,671,126
9509.01,Pope County,Arkansas,10.7%,42.0%,38.3%,9.1%,1.5%,5.2%,39.4%,23.5%,4.3%,20.5%,5.6%,243,26,102,93,22,1907,28,100,752,448,82,391,106
9509.02,Pope County,Arkansas,11.9%,46.8%,37.3%,4.0%,4.6%,10.8%,33.3%,26.0%,10.1%,12.4%,2.7%,126,15,59,47,5,2926,134,317,975,762,295,364,79
9510,Pope County,Arkansas,21.1%,36.2%,42.7%,0.0%,4.3%,12.5%,45.9%,12.0%,14.5%,7.7%,3.1%,213,45,77,91,0,2996,130,375,1374,360,435,230,92
9511,Pope County,Arkansas,18.8%,5.8%,44.2%,31.2%,4.4%,5.9%,37.7%,31.2%,7.6%,7.9%,5.4%,138,26,8,61,43,2773,121,163,1045,865,210,218,151
9512.01,Pope County,Arkansas,0.0%,28.4%,71.6%,0.0%,3.8%,4.8%,19.3%,18.7%,4.7%,28.8%,19.9%,102,0,29,73,0,2336,89,111,452,436,110,672,466
9512.02,Pope County,Arkansas,7.8%,61.9%,19.4%,10.9%,3.7%,4.9%,41.4%,13.8%,9.5%,17.5%,9.2%,386,30,239,75,42,3317,123,162,1373,459,314,581,305
9513.01,Pope County,Arkansas,5.1%,14.5%,69.9%,10.5%,3.1%,31.7%,34.6%,8.9%,3.9%,13.2%,4.6%,256,13,37,179,27,775,24,246,268,69,30,102,36
9513.02,Pope County,Arkansas,4.7%,15.2%,76.1%,4.0%,16.3%,16.8%,33.8%,17.6%,4.5%,9.6%,1.5%,427,20,65,325,17,2136,348,358,721,375,97,206,31
9513.03,Pope County,Arkansas,7.7%,31.2%,59.3%,1.8%,0.6%,8.0%,26.7%,18.5%,5.4%,27.2%,13.6%,509,39,159,302,9,1930,12,154,516,357,104,525,262
9514,Pope County,Arkansas,1.6%,10.3%,86.3%,1.7%,5.1%,13.0%,40.4%,14.6%,8.0%,12.5%,6.3%,2795,46,288,2413,48,1578,80,205,638,230,127,198,100
9515.01,Pope County,Arkansas,50.0%,7.0%,37.3%,5.7%,1.9%,6.0%,18.3%,18.4%,6.3%,31.2%,17.9%,158,79,11,59,9,2551,48,154,468,469,160,796,456
9515.03,Pope County,Arkansas,5.0%,41.9%,19.0%,34.1%,2.1%,4.8%,17.5%,23.7%,2.5%,28.7%,20.7%,258,13,108,49,88,1991,42,95,349,472,50,571,412
9515.04,Pope County,Arkansas,10.2%,39.4%,34.2%,16.3%,4.1%,8.9%,29.3%,15.9%,10.5%,14.0%,17.4%,609,62,240,208,99,3025,123,270,886,481,317,423,525
9516.01,Pope County,Arkansas,12.0%,18.5%,59.5%,10.0%,4.5%,7.5%,44.9%,16.1%,7.0%,13.2%,6.8%,810,97,150,482,81,3938,176,297,1768,634,275,519,269
9516.02,Pope County,Arkansas,13.2%,21.1%,57.9%,7.9%,3.6%,3.3%,44.8%,32.1%,7.3%,7.2%,1.6%,114,15,24,66,9,669,24,22,300,215,49,48,11
4601,Prairie County,Arkansas,17.3%,29.8%,44.0%,8.9%,7.2%,9.3%,48.3%,12.3%,9.7%,7.8%,5.3%,225,39,67,99,20,2664,193,249,1286,329,258,207,142
4602,Prairie County,Arkansas,6.4%,46.6%,24.1%,22.9%,3.8%,5.8%,36.9%,24.2%,4.9%,17.2%,7.2%,266,17,124,64,61,2057,79,120,759,497,101,353,148
4603,Prairie County,Arkansas,60.0%,24.4%,15.6%,0.0%,6.6%,9.4%,46.2%,20.1%,6.0%,8.4%,3.2%,90,54,22,14,0,1211,80,114,560,243,73,102,39
5,Pulaski County,Arkansas,0.0%,76.4%,15.7%,7.9%,0.0%,23.6%,32.4%,22.4%,8.5%,6.3%,6.7%,178,0,136,28,14,1201,0,284,389,269,102,76,81
11,Pulaski County,Arkansas,0.0%,87.0%,13.0%,0.0%,3.0%,10.1%,44.8%,20.0%,3.5%,12.1%,6.5%,247,0,215,32,0,1194,36,120,535,239,42,144,78
12,Pulaski County,Arkansas,29.4%,34.9%,35.8%,0.0%,3.9%,12.1%,40.5%,33.0%,2.9%,5.4%,2.1%,109,32,38,39,0,1474,58,178,597,487,43,80,31
13,Pulaski County,Arkansas,19.2%,36.0%,10.8%,34.0%,1.2%,10.5%,41.0%,26.3%,10.2%,7.3%,3.4%,250,48,90,27,85,1416,17,149,581,373,145,103,48
15.01,Pulaski County,Arkansas,3.0%,0.0%,30.4%,66.6%,0.4%,0.5%,8.7%,8.6%,3.9%,39.4%,38.6%,299,9,0,91,199,2744,12,13,238,235,107,1081,1058
15.02,Pulaski County,Arkansas,0.0%,13.4%,18.1%,68.5%,3.2%,3.2%,9.9%,10.3%,10.8%,34.0%,28.6%,425,0,57,77,291,2811,91,89,278,290,304,956,803
16,Pulaski County,Arkansas,3.3%,29.7%,32.1%,34.9%,0.0%,0.6%,6.2%,12.3%,5.1%,43.9%,32.0%,421,14,125,135,147,4106,0,24,253,504,208,1802,1315
18,Pulaski County,Arkansas,16.0%,62.2%,20.1%,1.8%,3.4%,8.4%,36.9%,22.2%,6.8%,17.6%,4.7%,394,63,245,79,7,2973,102,251,1098,659,201,523,139
19,Pulaski County,Arkansas,4.2%,35.0%,50.9%,9.9%,4.9%,9.5%,43.4%,15.3%,13.8%,6.8%,6.3%,1018,43,356,518,101,1988,97,189,862,305,275,135,125
20.01,Pulaski County,Arkansas,33.6%,42.2%,4.7%,19.6%,12.9%,11.5%,26.8%,20.4%,8.8%,15.3%,4.3%,751,252,317,35,147,3434,442,396,919,702,303,524,148
20.02,Pulaski County,Arkansas,18.9%,23.6%,57.5%,0.0%,4.5%,7.7%,47.3%,24.6%,5.1%,7.1%,3.7%,530,100,125,305,0,2196,99,169,1038,540,112,157,81
21.02,Pulaski County,Arkansas,19.7%,35.9%,37.6%,6.8%,1.4%,9.4%,28.3%,27.3%,6.4%,20.4%,6.8%,740,146,266,278,50,2512,36,235,712,685,160,513,171
