School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Lakeside High School,Lakeside,GARLAND,34.4741704,-92.9970904,11601,116.01,11601GARLAND,9-12,22%,65%,45%,30%,15%,"1,114",40%,71%,13%,8%,8%,29%,3,268,242,90%,18.4,19.9,21.2,20.1,0,GARLAND,2606044,2606000,0.114,0.886,0.739,0.079,0,0.023,0,0,0.046,4930,560,4370,3643,389,0,112,0,0,226,0.07,0.557,0.342,0.03,0.015,0.028,0.25,0.202,0.104,0.249,0.152,558,39,311,191,17,3251,50,90,812,658,338,810,493,1982,70732,94115
Lamar High School,Lamar,JOHNSON,35.4385484,-93.3989373,952200,9522.00,952200JOHNSON,9-12,37%,49%,34%,29%,19%,360,70%,87%,8%,2%,4%,13%,1,93,65,70%,19.9,17.8,18.7,19.9,0,JOHNSON,3604019,3604000,0.046,0.954,0.911,0.008,0,0.002,0,0,0.033,4998,231,4767,4555,38,0,8,0,0,166,0.31,0.37,0.26,0.06,0.048,0.09,0.433,0.193,0.062,0.123,0.052,200,62,74,52,12,3371,161,303,1460,649,208,415,175,2011,58069,63208
Lavaca High School,Lavaca,SEBASTIAN,35.3318303,-94.1752146,10101,101.01,10101SEBASTIAN,9-12,18%,50%,35%,19%,13%,268,45%,81%,9%,0%,10%,19%,1,71,68,96%,17.5,17.7,18.9,18.5,0,SEBASTIAN,6605057,6605000,0.038,0.962,0.901,0.003,0.002,0.001,0,0,0.055,5780,219,5561,5207,20,10,8,0,0,316,0.12,0.417,0.398,0.064,0.084,0.052,0.366,0.281,0.065,0.103,0.05,357,43,149,142,23,3979,333,205,1455,1120,257,410,199,2311,71678,93058
Lead Hill High School,Lead Hill,BOONE,36.4050121,-92.9089864,790200,7902.00,790200BOONE,7-12,5%,50%,35%,10%,5%,178,72%,93%,2%,0%,6%,7%,1,32,20,63%,15.9,17.8,18.7,18.2,0,BOONE,506032,506000,0.02,0.98,0.915,0.005,0.005,0.01,0,0.004,0.04,6220,127,6093,5691,28,31,65,2,26,250,0.118,0.419,0.445,0.019,0.022,0.081,0.333,0.283,0.136,0.109,0.036,485,57,203,216,9,4223,93,342,1407,1195,575,460,151,2246,60244,80876
Lee High School,Lee County,LEE,34.7737082,-90.7576112,470300,4703.00,470300LEE,7-12,RV,7%,4%,RV,RV,279,87%,7%,5%,87%,1%,93%,5,48,45,94%,13.9,11.8,13.5,14.2,0,LEE,3904011,3904000,0.001,0.999,0.161,0.803,0,0,0,0,0.035,3577,4,3573,575,2874,0,0,0,0,124,0.051,0.72,0.23,0,0.027,0.1,0.414,0.294,0.096,0.051,0.018,453,23,326,104,0,2168,59,216,897,638,208,111,39,1257,20860,39550
Lincoln High School,Lincoln,WASHINGTON,35.9468219,-94.4051173,11002,110.02,11002WASHINGTON,9-12,12%,49%,40%,23%,12%,359,64%,75%,13%,1%,10%,25%,1,99,57,58%,17,17.7,19.4,19.2,0,WASHINGTON,7205706,7205000,0.055,0.945,0.76,0,0.006,0.004,0,0.006,0.17,5750,314,5436,4369,0,33,22,0,34,978,0.524,0.202,0.27,0.004,0.025,0.073,0.472,0.171,0.113,0.101,0.046,511,268,103,138,2,3793,94,278,1791,647,427,383,173,2118,62283,74399
Little Rock Hall Steam Magnet High School,Little Rock,PULASKI,34.7605212,-92.3474361,2104,21.04,2104PULASKI,9-12,9%,27%,21%,11%,2%,305,77%,9%,10%,80%,2%,91%,3,87,44,51%,15.6,15,16.2,16.3,0,PULASKI,6001083,6001000,0,1,0.787,0.142,0.005,0.023,0,0,0.043,5289,0,5289,4161,750,27,123,0,0,228,0,0.258,0.619,0.124,0.004,0.016,0.152,0.108,0.024,0.447,0.248,194,0,50,120,24,3932,17,62,598,426,96,1757,976,2291,116197,130696
Little Rock Southwest High School,Little Rock,PULASKI,34.6622517,-92.3858553,4105,41.05,4105PULASKI,9-12,3%,16%,9%,3%,1%,"2,163",81%,5%,34%,60%,2%,95%,3,506,340,67%,14.4,12.9,14.4,15.8,0,PULASKI,6001082,6001000,0.345,0.655,0.106,0.535,0.003,0,0,0.004,0.008,6702,2311,4391,708,3583,22,0,0,24,54,0.104,0.664,0.232,0,0.098,0.096,0.349,0.256,0.04,0.092,0.068,482,50,320,112,0,3916,385,374,1368,1004,157,361,267,2367,51125,59885
Little Rock West High School Of Innovation,Little Rock,PULASKI,34.8074017,-92.4591332,4205,42.05,4205PULASKI,9-12,9%,21%,19%,8%,2%,270,63%,32%,9%,56%,4%,68%,3,76,67,88%,15.5,14.6,16.2,15.6,0,PULASKI,6001081,6001000,0.062,0.938,0.577,0.174,0,0.124,0,0,0.063,4868,302,4566,2808,849,0,604,0,0,305,0.039,0.182,0.293,0.487,0.003,0.062,0.125,0.198,0.041,0.337,0.233,335,13,61,98,163,3121,10,195,390,619,128,1052,727,2231,68446,93930
Lonoke High School,Lonoke,LONOKE,34.7805718,-91.9043295,20500,205.00,20500LONOKE,9-12,5%,28%,22%,14%,1%,493,59%,59%,10%,27%,3%,41%,3,130,96,74%,16.1,15.6,17.1,17.8,0,LONOKE,4301029,4301000,0.054,0.946,0.774,0.153,0,0.001,0,0,0.018,5064,274,4790,3918,773,0,7,0,0,92,0.133,0.423,0.138,0.307,0.067,0.076,0.453,0.163,0.112,0.077,0.051,407,54,172,56,125,3307,223,251,1499,538,371,255,170,2116,51078,80156
Magazine High School,Magazine,LOGAN,35.1494143,-93.8021863,950600,9506.00,950600LOGAN,7-12,25%,41%,38%,34%,19%,203,70%,93%,2%,0%,4%,7%,1,36,32,89%,18.3,17.4,19.9,19,0,LOGAN,4202008,4202000,0.073,0.927,0.798,0.017,0.007,0,0,0,0.105,2816,206,2610,2246,48,19,0,0,0,297,0.225,0.36,0.416,0,0.018,0.089,0.461,0.209,0.107,0.092,0.025,89,20,32,37,0,2142,39,190,987,447,229,197,53,1037,63750,88038
Magnet Cove High School,Magnet Cove,HOT SPRING,34.4452518,-92.8357306,20101,201.01,20101HOT,7-12,23%,65%,36%,32%,13%,311,47%,92%,1%,1%,6%,8%,3,40,31,78%,18.8,19.2,19.9,20.7,0,HOT SPRING,3003014,3003000,0.07,0.93,0.897,0.004,0,0,0,0,0.029,3235,226,3009,2902,12,0,0,0,0,95,0.095,0.402,0.488,0.015,0.022,0.033,0.388,0.215,0.084,0.173,0.085,336,32,135,164,5,2316,51,77,899,498,195,400,196,1362,56786,66284
Magnolia High School,Magnolia,COLUMBIA,33.2793107,-93.222648,950401,9504.01,950401COLUMBIA,9-12,12%,31%,21%,17%,9%,807,71%,35%,7%,54%,4%,65%,4,201,173,86%,16.8,15.7,17.5,17.9,0,COLUMBIA,1402009,1402000,0.103,0.897,0.612,0.23,0.005,0.006,0,0.003,0.04,4330,447,3883,2648,998,23,26,0,13,175,0,0.132,0.8,0.067,0.006,0.047,0.272,0.247,0.099,0.211,0.117,1884,0,249,1508,127,1698,11,80,462,420,168,358,199,1059,68620,79142
Malvern High School,Malvern,HOT SPRING,34.3556676,-92.8050971,20400,204.00,20400HOT,9-12,17%,42%,20%,18%,10%,575,74%,45%,12%,32%,11%,55%,3,150,114,76%,17.3,17.1,17.3,18.3,0,HOT SPRING,3004023,3004000,0.01,0.99,0.733,0.202,0.003,0,0,0,0.051,5759,59,5700,4223,1165,17,0,0,0,295,0.18,0.416,0.29,0.114,0.016,0.079,0.468,0.186,0.092,0.111,0.048,466,84,194,135,53,3960,64,313,1855,735,365,438,190,2263,50260,57603
Mammoth Spring High School,Mammoth Spring,FULTON,36.490791,-91.5418359,550102,5501.02,550102FULTON,7-12,10%,43%,38%,14%,5%,220,72%,96%,1%,0%,2%,4%,2,41,21,51%,16.9,16.6,19.1,16.7,0,FULTON,2501002,2501000,0.005,0.995,0.928,0,0,0,0,0,0.067,2189,10,2179,2032,0,0,0,0,0,147,0.386,0.211,0.325,0.079,0.013,0.105,0.393,0.265,0.084,0.104,0.036,114,44,24,37,9,1673,21,175,658,444,141,174,60,868,40375,55144
Manila High School,Manila,MISSISSIPPI,35.8792135,-90.1569828,10802,108.02,10802MISSISSIPPI,7-12,9%,29%,29%,10%,4%,493,52%,97%,3%,0%,0%,3%,2,81,70,86%,16.4,15.6,16.8,17.1,0,MISSISSIPPI,4712044,4712000,0,1,0.967,0.005,0,0,0,0,0.028,3566,0,3566,3448,17,0,0,0,0,101,0.029,0.888,0.083,0,0.027,0.085,0.437,0.129,0.216,0.085,0.021,241,7,214,20,0,2261,60,192,988,292,489,192,48,1093,65103,109774
Mansfield High School,Mansfield,SEBASTIAN,35.0679629,-94.222523,950100,9501.00,950100SEBASTIAN,9-12,5%,43%,19%,12%,5%,225,70%,84%,4%,2%,10%,16%,1,58,42,72%,16,17,18.1,18.1,0,SEBASTIAN,6606062,6606000,Error With ID: 950100SEBASTIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion High School,Marion,CRITTENDEN,35.1951097,-90.1965686,30804,308.04,30804CRITTENDEN,10-12,7%,31%,16%,8%,3%,904,81%,32%,6%,57%,4%,68%,2,310,277,89%,15.6,15.1,16.6,16.4,0,CRITTENDEN,1804015,1804000,0.065,0.935,0.36,0.48,0,0.015,0,0,0.08,4469,292,4177,1607,2145,0,67,0,0,358,0.137,0.263,0.501,0.099,0.038,0.036,0.368,0.278,0.096,0.052,0.132,335,46,88,168,33,2736,104,98,1007,761,264,141,361,1749,76633,80440
Marked Tree High School,Marked Tree,POINSETT,35.5276217,-90.4209489,490700,4907.00,490700POINSETT,7-12,6%,16%,22%,6%,RV,220,70%,57%,5%,38%,0%,43%,2,39,32,82%,15.3,13.8,16.2,15.8,0,POINSETT,5604017,5604000,0.069,0.931,0.709,0.127,0.049,0.001,0,0.003,0.042,2124,147,1977,1505,270,104,2,0,6,90,0.478,0.274,0.124,0.124,0.062,0.144,0.383,0.218,0.037,0.113,0.043,113,54,31,14,14,1552,96,223,594,338,58,176,67,848,45263,50827
Marmaduke High School,Marmaduke,GREENE,36.1930301,-90.3937388,480100,4801.00,480100GREENE,7-12,12%,58%,39%,24%,9%,281,55%,96%,2%,0%,1%,4%,2,43,33,77%,17.5,17.3,19.5,19.2,0,GREENE,2803017,2803000,0.014,0.986,0.873,0,0,0,0,0.093,0.02,2985,41,2944,2607,0,0,0,0,277,60,0.083,0.674,0.15,0.093,0.067,0.134,0.445,0.11,0.076,0.135,0.032,193,16,130,29,18,2017,136,271,897,221,154,273,65,1204,51967,60571
Marshall High School,Searcy,SEARCY,35.2437536,-91.7364422,70802,708.02,70802SEARCY,7-12,22%,55%,33%,28%,10%,361,70%,91%,4%,1%,4%,9%,1,57,51,89%,18.4,19.3,19.1,19.2,0,SEARCY,6502006,6502000,Error With ID: 70802SEARCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maumelle High School,Pulaski County Special,PULASKI,34.8627538,-92.384935,4309,43.09,4309PULASKI,9-12,10%,37%,23%,17%,8%,844,41%,34%,7%,51%,8%,66%,3,208,190,91%,16.2,16,17.7,18,0,PULASKI,6003151,6003000,0.022,0.978,0.747,0.191,0,0.034,0,0,0.006,3389,74,3315,2533,647,0,114,0,0,21,0.098,0.875,0.027,0,0.014,0.03,0.112,0.177,0.032,0.315,0.32,224,22,196,6,0,2367,33,70,266,420,75,746,757,1531,88429,91045
Mayflower High School,Mayflower,FAULKNER,34.9572533,-92.4444232,31102,311.02,31102FAULKNER,9-12,4%,31%,22%,12%,4%,345,56%,76%,4%,11%,10%,24%,3,95,74,78%,15.7,15,17.4,16.9,0,FAULKNER,2305026,2305000,0.003,0.997,0.781,0.186,0.002,0.005,0,0,0.024,5108,14,5094,3989,948,10,24,0,0,123,0.078,0.351,0.376,0.195,0.115,0.028,0.352,0.207,0.041,0.176,0.082,359,28,126,135,70,3629,416,102,1279,751,148,637,296,1783,61932,77761
Maynard High School,Maynard,RANDOLPH,36.4179869,-90.899011,960100,9601.00,960100RANDOLPH,7-12,4%,32%,18%,14%,4%,251,70%,93%,5%,0%,2%,7%,2,33,28,85%,15.9,14.7,16.7,17.7,0,RANDOLPH,6102006,6102000,0.049,0.951,0.913,0,0.003,0,0.001,0.005,0.027,4300,212,4088,3928,2,13,1,6,20,118,0.204,0.419,0.204,0.172,0.065,0.097,0.38,0.215,0.125,0.091,0.026,279,57,117,57,48,3027,197,295,1151,652,378,274,80,1622,46635,58912
McCrory High School,McCrory,WOODRUFF,35.2620742,-91.197941,490100,4901.00,490100WOODRUFF,7-12,22%,60%,38%,32%,19%,248,58%,87%,3%,10%,0%,13%,2,42,37,88%,18,19.1,19.7,19.8,0,WOODRUFF,7403013,7403000,0.004,0.996,0.741,0.225,0,0,0.001,0,0.029,3883,14,3869,2879,873,0,0,3,0,114,0.229,0.615,0.156,0,0.067,0.116,0.463,0.12,0.077,0.091,0.067,262,60,161,41,0,2749,183,319,1272,329,211,250,185,1682,44138,63951
McGehee High School,McGehee,DESHA,33.6455327,-91.3840798,950500,9505.00,950500DESHA,9-12,5%,24%,15%,9%,3%,324,69%,42%,8%,47%,4%,58%,5,84,67,80%,16.1,14.6,16.1,16.2,0,DESHA,2105028,2105000,0.016,0.984,0.591,0.337,0,0,0,0.003,0.053,1574,25,1549,930,531,0,0,0,4,84,0,0.433,0.313,0.254,0.031,0.099,0.384,0.164,0.064,0.146,0.111,67,0,29,21,17,1070,33,106,411,176,69,156,119,620,44679,69033
Melbourne High School,Melbourne,IZARD,36.0700762,-91.8343653,960200,9602.00,960200IZARD,7-12,39%,78%,59%,50%,28%,370,51%,96%,2%,0%,2%,4%,2,70,64,91%,19.8,22,22.2,22.3,0,IZARD,3302006,3302000,0.007,0.993,0.934,0.002,0.016,0.01,0,0,0.031,4877,32,4845,4555,10,78,51,0,0,151,0.157,0.426,0.383,0.033,0.053,0.07,0.311,0.228,0.117,0.17,0.05,420,66,179,161,14,3218,171,225,1002,734,377,547,162,1702,41316,64838
Mena High School,Mena,POLK,34.5800952,-94.2180163,950400,9504.00,950400POLK,9-12,21%,38%,30%,19%,13%,493,56%,85%,7%,1%,7%,15%,4,126,112,89%,18.2,16.8,18.1,18.8,0,POLK,5703012,5703000,0.026,0.974,0.902,0.003,0.027,0,0,0,0.042,3075,81,2994,2773,10,82,0,0,0,129,0.435,0.216,0.349,0,0.029,0.044,0.431,0.199,0.029,0.167,0.099,430,187,93,150,0,2069,61,92,892,412,61,346,205,1121,45764,65795
Midland High School,Midland,INDEPENDENCE,31.9995797,-102.0756701,10200,102.00,10200INDEPENDENCE,7-12,3%,23%,20%,17%,3%,240,60%,94%,3%,1%,1%,6%,2,39,35,90%,15.6,14.2,16.6,17.2,0,INDEPENDENCE,3211035,3211000,Error With ID: 10200INDEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mills University Studies High School,Pulaski County Special,PULASKI,34.6738395,-92.2573013,4001,40.01,4001PULASKI,9-12,5%,24%,20%,13%,5%,671,58%,14%,22%,60%,5%,86%,3,141,120,85%,15.2,14.5,16.2,16.9,0,PULASKI,6003125,6003000,0,1,0.171,0.825,0.001,0,0,0,0.003,2959,0,2959,507,2441,2,0,0,0,9,0.23,0.194,0.576,0,0.061,0.061,0.391,0.194,0.107,0.15,0.037,417,96,81,240,0,1626,99,99,635,315,174,244,60,799,69403,68259
Mineral Springs High School,Mineral Springs,HOWARD,33.8782324,-93.9179431,950200,9502.00,950200HOWARD,7-12,RV,13%,7%,3%,RV,195,87%,13%,12%,73%,2%,87%,4,36,31,86%,14.6,13.6,15,15.5,0,HOWARD,3104006,3104000,0.135,0.865,0.481,0.345,0.001,0.001,0,0,0.037,4709,637,4072,2266,1625,5,3,0,0,173,0.097,0.566,0.236,0.101,0.033,0.06,0.444,0.207,0.125,0.113,0.017,318,31,180,75,32,3111,102,188,1381,645,390,353,52,1765,61250,72097
Monticello High School,Monticello,DREW,33.6116737,-91.8117934,490300,4903.00,490300DREW,9-12,10%,30%,23%,13%,4%,506,49%,55%,5%,39%,2%,45%,5,130,115,88%,16.5,15.3,17.3,17.7,0,DREW,2203012,2203000,0.007,0.993,0.717,0.242,0,0.021,0,0,0.012,5632,39,5593,4037,1365,0,121,0,0,70,0.101,0.162,0.614,0.122,0.014,0.064,0.367,0.128,0.058,0.229,0.139,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,2237,29756,63607
Morrilton Sr. High School,South Side,CONWAY,35.1526163,-92.7437844,950300,9503.00,950300CONWAY,9-12,21%,58%,33%,23%,12%,719,68%,66%,10%,19%,5%,34%,1,163,130,80%,17.9,18.6,18.8,19.2,0,CONWAY,1507036,1507000,0.028,0.972,0.836,0.105,0,0,0,0,0.031,5231,145,5086,4372,551,0,0,0,0,163,0,0.686,0.264,0.05,0.01,0.091,0.443,0.207,0.09,0.124,0.035,625,0,429,165,31,3440,34,313,1523,713,310,426,121,2048,43241,62257
Mount Ida High School,Mount Ida,MONTGOMERY,34.5565539,-93.6377032,953000,9530.00,953000MONTGOMERY,7-12,21%,52%,27%,12%,9%,203,62%,87%,5%,0%,7%,13%,4,45,33,73%,17.6,17.1,19.2,18.5,0,MONTGOMERY,4902007,4902000,0.012,0.988,0.936,0.01,0.021,0,0,0,0.021,3180,37,3143,2977,32,67,0,0,0,67,0,0.436,0.564,0,0.067,0.077,0.323,0.319,0.057,0.129,0.028,149,0,65,84,0,2535,170,195,820,808,144,326,72,1500,47531,69990
Mountain Home Career Academies,Mountain Home,BAXTER,36.3315465,-92.3969759,950400,9504.00,950400BAXTER,8-12,24%,59%,38%,34%,16%,"1,517",38%,91%,4%,0%,5%,9%,1,300,239,80%,18.6,19,20.1,20.4,0,BAXTER,303703,303000,0.016,0.984,0.91,0.018,0.007,0.004,0.004,0,0.04,3345,55,3290,3043,61,24,15,13,0,134,0.215,0.257,0.528,0,0.024,0.051,0.354,0.172,0.168,0.158,0.074,413,89,106,218,0,2380,56,122,842,409,401,375,175,1491,44492,88179
Mountain Pine High School,Mountain Home,GARLAND,36.3400904,-92.385217,950200,9502.00,950200GARLAND,7-12,2%,33%,23%,16%,RV,294,80%,79%,5%,9%,7%,21%,3,53,43,81%,15.5,15.4,16.8,17.7,0,GARLAND,2607047,2607000,Error With ID: 950200GARLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain View High School,Mountain Home,STONE,36.3400904,-92.385217,950200,9502.00,950200STONE,9-12,10%,45%,32%,15%,8%,329,63%,94%,2%,0%,3%,6%,2,73,62,85%,16.2,17.5,19.1,18,0,STONE,6901007,6901000,Error With ID: 950200STONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountainburg High School,Mountainburg,CRAWFORD,35.630561,-94.1717322,20101,201.01,20101CRAWFORD,9-12,5%,40%,26%,16%,3%,185,68%,91%,4%,1%,5%,9%,1,43,38,88%,15.7,16.1,18.9,17.4,0,CRAWFORD,1703013,1703000,0.005,0.995,0.781,0,0.011,0,0,0,0.203,2927,16,2911,2286,0,32,0,0,0,593,0.364,0.5,0.136,0,0.033,0.08,0.322,0.268,0.097,0.162,0.038,140,51,70,19,0,2043,68,163,658,547,199,331,77,1115,66161,76441
Mt. Judea K-12 School,Deer/Mt. Judea,NEWTON,35.8987234,-93.0375914,180200,1802.00,180200NEWTON,K-12,RV,15%,8%,RV,RV,166,79%,92%,4%,0%,4%,8%,1,15,13,87%,14.2,13.6,14.2,16.5,0,NEWTON,5106004,5106000,0.024,0.976,0.914,0,0.018,0,0,0,0.043,3488,85,3403,3189,0,63,0,0,0,151,0,0.364,0.608,0.028,0.046,0.095,0.466,0.206,0.075,0.087,0.025,250,0,91,152,7,2680,124,255,1248,553,200,234,66,1552,46270,66989
Mt. Vernon/Enola High School,Mt. Vernon/Enola*,FAULKNER,35.2263069,-92.1313247,30202,302.02,30202FAULKNER,7-12,26%,58%,45%,36%,23%,250,70%,95%,1%,3%,1%,5%,3,35,31,89%,19.5,18.8,19.7,19.9,0,FAULKNER,2306030,2306000,0.015,0.985,0.956,0,0.007,0,0,0,0.022,2548,39,2509,2435,0,17,0,0,1,56,0.243,0.365,0.392,0,0.081,0.123,0.324,0.184,0.081,0.122,0.085,181,44,66,71,0,1785,145,219,579,329,145,217,151,1109,58506,72666
Mulberry High School,Mulberry/Pleasant View,CRAWFORD,35.500534,-94.0549468,20402,204.02,20402CRAWFORD,9-12,23%,46%,39%,23%,15%,117,56%,92%,3%,0%,5%,8%,1,24,13,54%,17.4,17.9,17.6,17.8,0,CRAWFORD,1704017,1704000,0.027,0.973,0.881,0.009,0.021,0,0,0,0.061,4182,114,4068,3684,37,89,2,0,0,256,0.12,0.542,0.324,0.013,0.026,0.135,0.375,0.219,0.088,0.119,0.038,450,54,244,146,6,2935,76,397,1100,644,258,348,112,1707,60509,75068
Murfreesboro High School,South Side,PIKE,34.0619026,-93.6900654,953500,9535.00,953500PIKE,7-12,4%,44%,20%,11%,4%,323,71%,81%,7%,6%,6%,19%,4,52,46,88%,15.8,16.4,17.3,18.3,0,PIKE,5504015,5504000,0.034,0.966,0.831,0.075,0,0,0,0.001,0.058,4281,147,4134,3559,319,1,0,0,5,250,0.009,0.432,0.401,0.158,0.039,0.057,0.394,0.269,0.057,0.148,0.037,222,2,96,89,35,3101,120,176,1221,834,176,460,114,1860,50756,59212
Nashville High School,Nashville,HOWARD,33.9562806,-93.8517684,950200,9502.00,950200HOWARD,10-12,13%,40%,22%,17%,7%,480,71%,52%,28%,18%,3%,48%,4,162,149,92%,16.6,16.7,17.2,17.9,0,HOWARD,3105011,3105000,0.135,0.865,0.481,0.345,0.001,0.001,0,0,0.037,4709,637,4072,2266,1625,5,3,0,0,173,0.097,0.566,0.236,0.101,0.033,0.06,0.444,0.207,0.125,0.113,0.017,318,31,180,75,32,3111,102,188,1381,645,390,353,52,1765,61250,72097
Nemo Vista High School,Nemo Vista,CONWAY,35.3695343,-92.5621316,950100,9501.00,950100CONWAY,9-12,27%,70%,50%,20%,13%,129,49%,88%,4%,0%,9%,12%,1,30,30,100%,18.6,19.1,19.9,19.4,0,CONWAY,1503017,1503000,0.002,0.998,0.865,0.077,0.001,0,0,0.014,0.041,4653,9,4644,4023,358,6,0,0,67,190,0.104,0.415,0.223,0.259,0.032,0.052,0.449,0.144,0.134,0.131,0.057,193,20,80,43,50,3540,115,183,1588,511,475,465,203,1944,64362,76469
Nettleton High School,Nettleton,CRAIGHEAD,35.8123011,-90.648507,401,4.01,401CRAIGHEAD,9-12,7%,36%,19%,15%,5%,"1,041",55%,28%,11%,53%,8%,72%,2,246,199,81%,16.3,15.9,17,17.1,0,CRAIGHEAD,1611042,1611000,0.196,0.804,0.549,0.201,0,0.012,0,0,0.043,6389,1250,5139,3508,1283,0,74,0,0,274,0.062,0.809,0.083,0.046,0.043,0.088,0.403,0.154,0.084,0.131,0.097,325,20,263,27,15,4032,173,354,1624,620,339,530,392,2433,63894,66413
Nevada High  School,Nevada,NEVADA,35.20105,-91.8318334,71001,710.01,71001NEVADA,7-12,13%,25%,17%,4%,4%,206,75%,59%,3%,34%,4%,41%,4,28,24,86%,15.7,15,15.9,16.8,0,NEVADA,5008014,5008000,Error With ID: 71001NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport High School,Newport,JACKSON,35.6010273,-91.2729184,480200,4802.00,480200JACKSON,6-12,6%,31%,19%,11%,3%,564,76%,48%,9%,35%,8%,52%,2,84,64,76%,15.9,15.6,18,17.6,0,JACKSON,3403013,3403000,0.009,0.991,0.652,0.268,0,0.001,0,0,0.07,3392,32,3360,2212,910,0,2,0,0,236,0.286,0.509,0.078,0.127,0.022,0.171,0.433,0.136,0.086,0.075,0.076,346,99,176,27,44,2199,49,377,952,300,190,164,167,1284,42162,60291
Norfork High School,Norfork,BAXTER,36.1955167,-92.269522,950500,9505.00,950500BAXTER,7-12,18%,33%,33%,18%,12%,203,59%,98%,1%,0%,0%,2%,1,40,33,83%,17.1,16,18.8,18,0,BAXTER,304022,304000,0.034,0.966,0.929,0.013,0.002,0.001,0,0,0.021,5294,182,5112,4919,70,10,3,0,0,110,0.041,0.532,0.413,0.014,0.017,0.099,0.352,0.22,0.1,0.147,0.065,293,12,156,121,4,3821,65,378,1344,841,383,562,248,2146,48404,64722
North Little Rock Center Of Excellence,North Little Rock,PULASKI,34.756104,-92.2677497,2500,25.00,2500PULASKI,9-12,12%,37%,24%,15%,9%,465,74%,25%,16%,55%,5%,75%,3,83,67,81%,16.5,16,17.3,18.2,0,PULASKI,6002703,6002000,0.022,0.978,0.524,0.345,0,0.043,0.005,0,0.061,1259,28,1231,660,434,0,54,6,0,77,0,0.308,0.247,0.445,0.041,0.014,0.181,0.176,0.123,0.24,0.225,182,0,56,45,81,1007,41,14,182,177,124,242,227,890,51563,62165
North Little Rock High School,North Little Rock,PULASKI,34.7765663,-92.2690704,2900,29.00,2900PULASKI,9-12,20%,43%,31%,21%,15%,"1,680",70%,24%,13%,57%,5%,76%,3,458,329,72%,17.6,17.1,18.6,18.7,0,PULASKI,6002082,6002000,0.144,0.856,0.068,0.771,0,0,0,0,0.017,1241,179,1062,84,957,0,0,0,0,21,0.462,0.538,0,0,0.021,0.141,0.333,0.319,0.041,0.112,0.034,182,84,98,0,0,715,15,101,238,228,29,80,24,567,32745,35716
Northside High School,Fort Smith,SEBASTIAN,35.3783893,-94.4056193,800,8.00,800SEBASTIAN,9-12,17%,39%,26%,18%,8%,"2,253",75%,21%,53%,14%,12%,79%,1,580,404,70%,17,16.3,17.6,18.1,0,SEBASTIAN,6601024,6601000,0.224,0.776,0.571,0.09,0.003,0.015,0,0,0.097,4201,941,3260,2398,378,13,62,0,0,409,0.144,0.308,0.507,0.041,0.025,0.148,0.296,0.291,0.05,0.105,0.087,617,89,190,313,25,2599,64,384,769,756,129,272,225,1862,34333,55139
