school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
South Side High School,7-12,South Side School District (Van Buren),14,27,27,11,11,247.0,47.0,92.0,3.0,1.0,4.0,8.0,1,40,37.0,93.0,16.4,15.6,18.8,16.8,0,VAN BUREN,7105019,7105000,2023.0
Southside Charter High School,10-12,Southside School District (Independence),19,44,25,20,6,444.0,50.0,88.0,9.0,1.0,2.0,12.0,2,168,129.0,77.0,18.4,18.0,18.2,19.1,0,INDEPENDENCE,3209703,3209000,2023.0
Southside High School,9-12,Fort Smith School District,29,59,40,30,19,1970.0,47.0,55.0,21.0,6.0,18.0,45.0,1,471,429.0,91.0,18.8,19.7,19.8,19.8,0,SEBASTIAN,6601025,6601000,2023.0
Spring Hill High School,7-12,Spring Hill School District,6,36,19,11,4,286.0,55.0,87.0,7.0,0.0,6.0,13.0,4,54,53.0,98.0,16.4,16.8,17.4,16.8,0,HEMPSTEAD,2906026,2906000,2023.0
Springdale High School,10-12,Springdale School District,17,37,25,18,12,2195.0,85.0,15.0,58.0,3.0,24.0,85.0,1,800,320.0,40.0,17.3,16.3,17.2,17.8,0,WASHINGTON,7207049,7207000,2023.0
St. Paul High School,7-12,Huntsville School District,18,36,27,18,9,107.0,75.0,84.0,6.0,1.0,9.0,16.0,1,12,11.0,92.0,16.9,16.3,17.5,18.7,0,MADISON,4401012,4401000,2023.0
Star City High School,9-12,Star City School District,10,22,21,15,5,416.0,74.0,67.0,10.0,17.0,5.0,33.0,5,99,95.0,96.0,16.0,14.5,17.1,17.2,0,LINCOLN,4003016,4003000,2023.0
Strong-Huttig Schools,K-12,Strong-Huttig School District,RV,10,3,3,RV,309.0,94.0,18.0,1.0,79.0,2.0,82.0,4,31,30.0,97.0,14.2,12.3,13.3,14.0,0,UNION,7009050,7009000,2023.0
Stuttgart High School,9-12,Stuttgart School District,11,28,19,15,10,501.0,40.0,46.0,10.0,41.0,3.0,54.0,5,106,100.0,94.0,16.7,15.2,17.1,17.1,0,ARKANSAS,104025,104000,2023.0
Sylvan Hills High School,10-12,Pulaski County Special School District,17,50,30,21,12,1090.0,40.0,39.0,8.0,46.0,7.0,61.0,3,355,277.0,78.0,17.1,17.8,18.2,18.4,0,PULASKI,6003128,6003000,2023.0
Taylor High School,7-12,Emerson-Taylor-Bradley School District,2,38,26,24,2,259.0,27.0,94.0,3.0,0.0,2.0,6.0,4,47,42.0,89.0,16.5,16.7,19.0,19.1,0,COLUMBIA,1408019,1408000,2023.0
The Academies At Jonesboro High School,10-12,Jonesboro School District,12,38,27,19,9,1435.0,66.0,35.0,16.0,43.0,5.0,65.0,2,482,402.0,83.0,16.5,16.1,17.6,18.1,0,CRAIGHEAD,1608027,1608000,2023.0
The Academies Of West Memphis Charter School,10-12,West Memphis School District,6,29,16,5,3,944.0,72.0,16.0,2.0,80.0,1.0,84.0,2,319,208.0,65.0,15.6,15.3,16.2,16.3,0,CRITTENDEN,1803703,1803000,2023.0
Timbo High School,7-12,Mountain View School District,RV,35,18,12,RV,103.0,87.0,93.0,4.0,1.0,2.0,7.0,2,18,17.0,94.0,16.4,15.8,17.9,18.8,0,STONE,6901016,6901000,2023.0
Trumann High School,9-12,Trumann School District,10,28,13,11,7,453.0,70.0,74.0,7.0,15.0,4.0,26.0,2,100,98.0,98.0,15.9,14.8,16.6,17.3,0,POINSETT,5605023,5605000,2023.0
Tuckerman High School,8-12,Jackson Co. School District,14,47,37,23,12,306.0,65.0,85.0,3.0,6.0,6.0,15.0,2,48,43.0,90.0,17.1,19.1,19.1,17.5,0,JACKSON,3405025,3405000,2023.0
Two Rivers High School,5-12,Two Rivers School District,7,41,30,24,2,435.0,78.0,74.0,17.0,0.0,8.0,26.0,1,61,46.0,75.0,16.2,16.7,18.2,18.8,0,YELL,7510019,7510000,2023.0
Valley Springs High School,9-12,Valley Springs School District,22,60,28,25,13,264.0,42.0,96.0,3.0,0.0,1.0,4.0,1,61,60.0,98.0,17.7,18.9,18.8,19.5,0,BOONE,505027,505000,2023.0
Valley View High School,10-12,Valley View School District,32,70,53,46,25,673.0,20.0,84.0,5.0,4.0,7.0,16.0,2,214,199.0,93.0,19.7,21.1,22.0,21.5,0,CRAIGHEAD,1612048,1612000,2023.0
Van Buren High School,10-12,Van Buren School District,24,50,31,26,16,1228.0,50.0,63.0,23.0,2.0,12.0,37.0,1,395,362.0,92.0,18.1,17.7,18.2,19.0,0,CRAWFORD,1705027,1705000,2023.0
Vilonia High School,9-12,Vilonia School District,29,55,39,36,23,840.0,36.0,92.0,6.0,2.0,1.0,8.0,3,214,197.0,92.0,18.7,19.2,19.5,20.2,0,FAULKNER,2307034,2307000,2023.0
Vilonia Pathways Academy,K-12,Vilonia School District,8,31,10,13,3,173.0,41.0,89.0,7.0,1.0,3.0,11.0,3,56,39.0,70.0,15.9,15.3,16.0,17.8,0,FAULKNER,2307703,2307000,2023.0
Viola High School,7-12,Viola School District,18,55,27,23,14,182.0,69.0,95.0,2.0,1.0,3.0,5.0,2,31,22.0,71.0,18.4,17.0,19.4,19.2,0,FULTON,2503010,2503000,2023.0
Waldron High School,9-12,Waldron School District,10,44,18,11,3,399.0,68.0,75.0,16.0,1.0,7.0,25.0,1,88,62.0,70.0,16.6,17.1,18.0,18.0,0,SCOTT,6401003,6401000,2023.0
Walnut Ridge High School,7-12,Lawrence County School District,6,51,29,24,4,463.0,48.0,86.0,5.0,0.0,8.0,14.0,2,68,55.0,81.0,16.4,17.8,19.1,18.6,0,LAWRENCE,3810027,3810000,2023.0
Warren High School,9-12,Warren School District,2,21,9,5,1,480.0,70.0,35.0,26.0,35.0,4.0,65.0,5,108,87.0,81.0,15.5,13.9,15.7,16.5,0,BRADLEY,602019,602000,2023.0
Watson Chapel High School,9-12,Watson Chapel School District,2,17,10,4,1,639.0,65.0,7.0,3.0,87.0,3.0,93.0,3,163,153.0,94.0,14.4,13.2,14.7,15.8,0,JEFFERSON,3509067,3509000,2023.0
West Fork High School,9-12,West Fork School District,8,45,27,18,7,273.0,35.0,85.0,6.0,0.0,9.0,15.0,1,77,73.0,95.0,16.1,17.4,17.6,17.8,0,WASHINGTON,7208062,7208000,2023.0
West Side High School,7-12,West Side School District (Cleburne),RV,47,27,17,RV,224.0,66.0,97.0,2.0,0.0,1.0,3.0,2,34,30.0,88.0,16.4,16.7,17.6,16.9,0,CLEBURNE,1204015,1204000,2023.0
Western Yell Co. High School,7-12,Western Yell Co. School District,4,30,30,26,RV,151.0,91.0,74.0,16.0,1.0,10.0,26.0,1,25,23.0,92.0,15.3,16.6,18.6,17.6,0,YELL,7509033,7509000,2023.0
Westside High School,8-12,Westside Cons. School District (Craighead),6,34,21,15,5,694.0,49.0,92.0,3.0,3.0,2.0,8.0,2,133,125.0,94.0,16.2,15.7,17.6,17.6,0,CRAIGHEAD,1602055,1602000,2023.0
Westside High School,6-12,Westside School District (Johnson),3,24,15,12,3,332.0,67.0,91.0,6.0,0.0,3.0,9.0,1,34,33.0,97.0,15.3,14.3,17.0,17.1,0,JOHNSON,3606026,3606000,2023.0
White Co. Central High School,7-12,White Co. Central School District,22,39,27,16,8,331.0,57.0,85.0,11.0,0.0,4.0,15.0,2,51,49.0,96.0,17.5,16.5,17.4,17.8,0,WHITE,7304019,7304000,2023.0
White Hall High School,9-12,White Hall School District,9,32,19,7,3,975.0,49.0,61.0,3.0,31.0,5.0,39.0,3,217,180.0,83.0,16.3,15.3,17.3,17.1,0,JEFFERSON,3510076,3510000,2023.0
Wonderview High School,7-12,Wonderview School District,7,39,29,16,3,222.0,53.0,94.0,2.0,1.0,3.0,6.0,1,34,31.0,91.0,16.1,15.8,18.3,17.8,0,CONWAY,1505026,1505000,2023.0
Woodlawn High School,7-12,Woodlawn School District,16,38,22,18,8,269.0,49.0,90.0,6.0,1.0,3.0,10.0,5,52,50.0,96.0,16.9,16.4,17.6,18.8,0,CLEVELAND,1304015,1304000,2023.0
Wynne High School,9-12,Wynne School District,12,49,26,17,8,744.0,52.0,68.0,4.0,26.0,2.0,32.0,2,191,129.0,68.0,17.1,17.4,18.3,17.9,0,CROSS,1905017,1905000,2023.0
Yellville-Summit High School,9-12,Yellville-Summit School District,13,46,27,18,13,337.0,71.0,95.0,1.0,1.0,2.0,5.0,1,92,78.0,85.0,16.7,17.9,17.9,18.7,0,MARION,4502006,4502000,2023.0
