Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
106,Glen Rose High School,12-Sep,Glen Rose School District,0.222,0.463,0.352,0.185,0.111,301,0.412,0.8804,0.0598,0,0.06,0.12,3,70,54,0.771428571,18.4,18.2,19.6,19.8,0,HOT SPRING,3002009,3002000,Arkansas,34.4568119,-92.7310722,14334 U.S. 67,72104,Hot Spring County,Malvern,5059,"14334 U.S. 67, Malvern, Arkansas, 72104",20102,5059020102,2023,20102,Hot Spring County,Arkansas,486,70,218,198,0,2486,116,280,1010,416,227,271,166,14.4,44.9,40.7,0,4.7,11.3,40.6,16.7,9.1,10.9,6.7,1349,65469,86238,4153,367,8.8,3786,91.2,3631,87.4,35,0.8,0,0,0,0,0,0,10,0.2,110,2.6,18.4,19.6
107,Gosnell High School,12-Jul,Gosnell School District,0.164,0.443,0.279,0.213,0.148,606,0.7327,0.5924,0.0858,0.2673,0.05,0.41,2,91,61,0.67032967,17.1,18.7,18.6,19.2,0,MISSISSIPPI,4708031,4708000,Arkansas,35.9643325,-89.9665908,630 Arkansas 181,72315,Mississippi County,Blytheville,5093,"630 Arkansas 181, Blytheville, Arkansas, 72315",11400,5093011400,2023,11400,Mississippi County,Arkansas,226,32,159,35,0,1192,53,42,437,342,75,104,139,14.2,70.4,15.5,0,4.4,3.5,36.7,28.7,6.3,8.7,11.7,772,59277,74795,1801,38,2.1,1763,97.9,1372,76.2,299,16.6,0,0,64,3.6,0,0,0,0,28,1.6,17.1,18.6
108,Gravette High School,12-Sep,Gravette School District,0.303,0.652,0.455,0.379,0.25,625,0.3376,0.824,0.072,0.0064,0.1,0.18,1,146,132,0.904109589,19.3,19.6,20.8,20.7,0,BENTON,404022,404000,Arkansas,36.4208184,-94.4351717,325 Lion Drive South,72736,Benton County,Gravette,5007,"325 Lion Drive South, Gravette, Arkansas, 72736",20905,5007020905,2023,20905,Benton County,Arkansas,326,174,11,141,0,2089,43,100,888,296,88,372,302,53.4,3.4,43.3,0,2.1,4.8,42.5,14.2,4.2,17.8,14.5,1138,73102,111332,3228,85,2.6,3143,97.4,2450,75.9,12,0.4,46,1.4,0,0,0,0,0,0,635,19.7,19.3,20.8
109,Green Forest High School,12-Sep,Green Forest School District,0.061,0.195,0.122,0.098,0.037,434,0.7396,0.3756,0.4793,0.0046,0.14,0.62,1,119,82,0.68907563,15.6,14.7,16.7,16,0,CARROLL,803012,803000,Arkansas,36.3293203,-93.4345152,800 Tommy Ratzlaff Avenue,72638,Carroll County,Green Forest,5015,"800 Tommy Ratzlaff Avenue, Green Forest, Arkansas, 72638",950502,5015950502,2023,950502,Carroll County,Arkansas,528,220,209,35,64,3013,611,353,1052,392,171,310,124,41.7,39.6,6.6,12.1,20.3,11.7,34.9,13,5.7,10.3,4.1,1425,48065,64438,4889,1983,40.6,2906,59.4,2169,44.4,0,0,17,0.3,244,5,257,5.3,0,0,219,4.5,15.6,16.7
110,Greenbrier High School,12-Oct,Greenbrier School District,0.322,0.661,0.449,0.392,0.251,814,0.3256,0.9005,0.043,0.0246,0.03,0.1,3,298,283,0.94966443,19.4,20,20.7,21,0,FAULKNER,2303017,2303000,Arkansas,35.22303,-92.4041571,72 Green Valley Drive,72058,Faulkner County,Greenbrier,5045,"72 Green Valley Drive, Greenbrier, Arkansas, 72058",30104,5045030104,2023,30104,Faulkner County,Arkansas,391,19,148,210,14,3210,87,50,1222,861,189,538,263,4.9,37.9,53.7,3.6,2.7,1.6,38.1,26.8,5.9,16.8,8.2,1800,87500,108433,5048,0,0,5048,100,4920,97.5,44,0.9,0,0,0,0,10,0.2,0,0,74,1.5,19.4,20.7
111,Greene Cty Tech High School,12-Oct,Greene County Tech School District,0.145,0.379,0.299,0.206,0.098,807,0.4002,0.9071,0.0384,0.0235,0.03,0.09,2,250,214,0.856,17.2,16.5,18.7,18.4,0,GREENE,2807008,2807000,Arkansas,36.0069915,-90.5306031,4601 Linwood Drive,72450,Greene County,Paragould,5055,"4601 Linwood Drive, Paragould, Arkansas, 72450",480802,5055480802,2023,480802,Greene County,Arkansas,732,91,392,162,87,3540,42,354,1353,675,340,506,270,12.4,53.6,22.1,11.9,1.2,10,38.2,19.1,9.6,14.3,7.6,2018,60696,77966,5493,218,4,5275,96,4891,89,116,2.1,0,0,147,2.7,0,0,0,0,121,2.2,17.2,18.7
112,Greenland High School,12-Sep,Greenland School District,0.116,0.465,0.209,0.209,0.093,249,0.6827,0.8594,0.0803,0,0.06,0.14,1,74,43,0.581081081,16.7,17.1,17.9,18.9,0,WASHINGTON,7204028,7204000,Arkansas,35.9940458,-94.1724213,30 North Sandy Avenue,72737,Washington County,Greenland,5143,"30 North Sandy Avenue, Greenland, Arkansas, 72737",11105,5143011105,2023,11105,Washington County,Arkansas,2147,73,325,1561,188,2172,138,153,788,592,91,298,112,3.4,15.1,72.7,8.8,6.4,7,36.3,27.3,4.2,13.7,5.2,1807,36427,47487,5064,896,17.7,4168,82.3,3114,61.5,432,8.5,19,0.4,48,0.9,45,0.9,0,0,510,10.1,16.7,17.9
113,Greenwood High School,12-Sep,Greenwood School District,0.413,0.697,0.531,0.443,0.295,1181,0.2413,0.8095,0.0601,0.0085,0.12,0.19,1,302,271,0.897350993,20.8,21.2,21.7,21.7,0,SEBASTIAN,6602043,6602000,Arkansas,35.2198584,-94.2522473,501 Bulldog Loop,72936,Sebastian County,Greenwood,5131,"501 Bulldog Loop, Greenwood, Arkansas, 72936",10201,5131010201,2023,10201,Sebastian County,Arkansas,500,59,229,196,16,3566,40,337,1070,870,365,591,293,11.8,45.8,39.2,3.2,1.1,9.5,30,24.4,10.2,16.6,8.2,2097,65605,101624,5138,144,2.8,4994,97.2,4510,87.8,9,0.2,53,1,9,0.2,0,0,0,0,413,8,20.8,21.7
114,Gurdon High School,12-Jul,Gurdon School District,0.048,0.238,0.19,0.095,0.048,251,0.757,0.49,0.2231,0.259,0.03,0.51,4,48,21,0.4375,15.5,15.4,16.9,16.4,0,CLARK,1003018,1003000,Arkansas,33.9082021,-93.1906511,7777 U.S. 67,71743,Clark County,Gurdon,5019,"7777 U.S. 67, Gurdon, Arkansas, 71743",953902,5019953902,2023,953902,Clark County,Arkansas,220,17,130,68,5,1991,110,139,791,532,103,244,72,7.7,59.1,30.9,2.3,5.5,7,39.7,26.7,5.2,12.3,3.6,1226,53750,58267,3001,316,10.5,2685,89.5,1901,63.3,755,25.2,0,0,0,0,0,0,0,0,29,1,15.5,16.9
115,Guy-Perkins High School,12-Jul,Guy-Perkins School District,0.192,0.385,0.231,0.346,0.077,150,0.6533,0.8533,0.02,0.1,0.03,0.15,3,32,26,0.8125,16.9,15.5,18.2,18.9,0,FAULKNER,2304022,2304000,Arkansas,35.3235473,-92.3249893,492 Arkansas 25,72061,Faulkner County,Guy,5045,"492 Arkansas 25, Guy, Arkansas, 72061",30101,5045030101,2023,30101,Faulkner County,Arkansas,179,22,68,73,16,2091,44,101,925,530,127,208,156,12.3,38,40.8,8.9,2.1,4.8,44.2,25.3,6.1,9.9,7.5,1143,70972,90375,3002,41,1.4,2961,98.6,2662,88.7,164,5.5,44,1.5,0,0,0,0,0,0,91,3,16.9,18.2
116,Haas Hall Academy,12-Jul,Haas Hall Academy,0.759,0.926,0.759,0.759,0.593,499,0.0862,0.6313,0.0902,0.0341,0.24,0.37,1,72,54,0.75,24.8,27.4,25.8,25.3,1,WASHINGTON,7240703,7240700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,24.8,25.8
117,Haas Hall Academy At The Lane,12-Jul,Haas Hall Academy,0.487,0.795,0.667,0.513,0.385,256,0.125,0.625,0.1953,0.0234,0.16,0.38,1,47,39,0.829787234,21.6,24,24.1,22.8,1,WASHINGTON,7240709,7240700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,21.6,24.1
118,Haas Hall Academy Fort Smith,12-Jul,Haas Hall Academy,N<10,N<10,N<10,N<10,N<10,67,0.1194,0.5522,0.0896,0.0448,0.31,0.45,1,7,N<10,N<10,N<10,N<10,N<10,N<10,1,SEBASTIAN,7240715,7240700,Arkansas,35.2803718,-94.4268763,1000 Fianna Way,72916,Sebastian County,Fort Smith,5131,"1000 Fianna Way, Fort Smith, Arkansas, 72916",1311,5131001311,2023,1311,Sebastian County,Arkansas,316,51,35,170,60,2809,33,83,517,486,359,685,646,16.1,11.1,53.8,19,1.2,3,18.4,17.3,12.8,24.4,23,1535,105066,124488,3964,72,1.8,3892,98.2,3448,87,80,2,42,1.1,146,3.7,0,0,0,0,176,4.4,,
119,Haas Hall Academy Jones Center,12-Jul,Haas Hall Academy,0.577,0.769,0.577,0.5,0.308,157,0.2548,0.4586,0.4076,0.0127,0.12,0.54,1,28,26,0.928571429,22.3,22.6,23.1,22.3,1,WASHINGTON,7240706,7240700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,22.3,23.1
120,Haas Hall Bentonville,12-Jul,Haas Hall Academy,0.644,0.889,0.756,0.689,0.578,443,0.0226,0.4695,0.0813,0.0542,0.4,0.53,1,58,45,0.775862069,25.2,27.1,27.4,25.4,1,WASHINGTON,7240712,7240700,Arkansas,36.3444024,-94.1981489,2600 Southeast J Street,72712,Benton County,Bentonville,5007,"2600 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2023,20503,Benton County,Arkansas,469,130,174,95,70,2744,218,68,578,514,172,744,450,27.7,37.1,20.3,14.9,7.9,2.5,21.1,18.7,6.3,27.1,16.4,1936,61684,76147,4329,901,20.8,3428,79.2,1758,40.6,97,2.2,7,0.2,833,19.2,220,5.1,23,0.5,490,11.3,25.2,27.4
121,Hackett High School,12-Jul,Hackett School District,0.081,0.676,0.405,0.216,0.081,327,0.6391,0.8716,0.0459,0,0.08,0.13,1,66,37,0.560606061,17.3,19.8,19.9,18.9,0,SEBASTIAN,6603048,6603000,Arkansas,35.1866287,-94.4092473,102 North Oak Street,72937,Sebastian County,Hackett,5131,"102 North Oak Street, Hackett, Arkansas, 72937",10301,5131010301,2023,10301,Sebastian County,Arkansas,213,11,56,92,54,4473,176,493,1438,1158,348,488,372,5.2,26.3,43.2,25.4,3.9,11,32.1,25.9,7.8,10.9,8.3,2380,60909,108099,6024,258,4.3,5766,95.7,5037,83.6,163,2.7,17,0.3,73,1.2,0,0,0,0,476,7.9,17.3,19.9
122,Hamburg High School,12-Sep,Hamburg School District,0.127,0.351,0.254,0.134,0.082,511,0.6047,0.5558,0.227,0.1996,0.02,0.44,5,139,134,0.964028777,16.6,15.4,17.1,17.4,0,ASHLEY,203018,203000,Arkansas,33.2078742,-91.7967227,1119 South Main Street,71646,Ashley County,Hamburg,5003,"1119 South Main Street, Hamburg, Arkansas, 71646",960300,5003960300,2023,960300,Ashley County,Arkansas,373,136,159,78,0,2867,177,302,1550,358,177,212,91,36.5,42.6,20.9,0,6.2,10.5,54.1,12.5,6.2,7.4,3.2,1647,35387,56087,4372,652,14.9,3720,85.1,2883,65.9,803,18.4,0,0,0,0,0,0,12,0.3,22,0.5,16.6,17.1
123,Hampton High School,12-Jul,Hampton School District,0.13,0.435,0.217,0.087,0.043,256,0.7109,0.6719,0.0547,0.2695,0,0.33,4,48,23,0.479166667,15.9,16.2,16.5,16.9,0,CALHOUN,701002,701000,Arkansas,33.5367924,-92.4638249,419 Main,71744,Calhoun County,Hampton,5013,"419 Main, Hampton, Arkansas, 71744",480100,5013480100,2023,480100,Calhoun County,Arkansas,165,0,46,116,3,1705,36,253,675,301,97,220,123,0,27.9,70.3,1.8,2.1,14.8,39.6,17.7,5.7,12.9,7.2,856,59000,69305,2263,85,3.8,2178,96.2,1775,78.4,378,16.7,11,0.5,0,0,0,0,0,0,14,0.6,15.9,16.5
124,Har-Ber High School,12-Oct,Springdale School District,0.207,0.488,0.304,0.232,0.136,2306,0.5954,0.4011,0.4488,0.0252,0.12,0.6,1,763,642,0.841415465,17.7,18.3,18.6,19.1,0,WASHINGTON,7207062,7207000,Arkansas,36.1842731,-94.2130412,300 Jones Road,72762,Washington County,Springdale,5143,"300 Jones Road, Springdale, Arkansas, 72762",10518,5143010518,2023,10518,Washington County,Arkansas,393,23,88,156,126,2816,129,48,402,440,257,857,683,5.9,22.4,39.7,32.1,4.6,1.7,14.3,15.6,9.1,30.4,24.3,1667,100134,150156,4196,450,10.7,3746,89.3,2796,66.6,20,0.5,0,0,184,4.4,135,3.2,1,0,610,14.5,17.7,18.6
125,Harmony Grove High School,12-Jul,Harmony Grove School District (Ouachita),0.047,0.359,0.234,0.156,0.016,421,0.3682,0.7767,0.0475,0.1354,0.04,0.22,4,68,64,0.941176471,16.2,16.1,18.1,18.3,0,OUACHITA,5205029,5205000,Arkansas,33.6514941,-92.7799058,401 Ouachita Road 88,71701,Ouachita County,Camden,5103,"401 Ouachita Road 88, Camden, Arkansas, 71701",950102,5103950102,2023,950102,Ouachita County,Arkansas,122,64,28,30,0,1954,46,203,1011,387,113,141,53,52.5,23,24.6,0,2.4,10.4,51.7,19.8,5.8,7.2,2.7,1023,48569,67278,2817,42,1.5,2775,98.5,1805,64.1,931,33,0,0,0,0,0,0,0,0,39,1.4,16.2,18.1
126,Harmony Grove High School,12-Oct,Harmony Grove School District (Saline),0.133,0.456,0.333,0.267,0.056,306,0.2614,0.8922,0.0523,0.0294,0.03,0.11,3,101,90,0.891089109,17.7,17.7,18.5,18.7,0,SALINE,6304030,6304000,Arkansas,34.508336,-92.6435323,2621 Arkansas 229,72015,Saline County,Benton,5125,"2621 Arkansas 229, Benton, Arkansas, 72015",10514,5125010514,2023,10514,Saline County,Arkansas,218,31,153,25,9,2470,82,276,834,434,178,368,298,14.2,70.2,11.5,4.1,3.3,11.2,33.8,17.6,7.2,14.9,12.1,1027,84990,90690,3283,336,10.2,2947,89.8,2588,78.8,182,5.5,1,0,7,0.2,0,0,53,1.6,116,3.5,17.7,18.5
127,Harrisburg High School,12-Jun,Harrisburg School District,0.046,0.369,0.262,0.108,0.031,523,0.7036,0.8929,0.0574,0.0325,0.02,0.11,2,79,65,0.82278481,16.4,15.8,17.5,17.4,0,POINSETT,5602009,5602000,Arkansas,35.5634925,-90.7259613,401 West South,72432,Poinsett County,Harrisburg,5111,"401 West South, Harrisburg, Arkansas, 72432",490501,5111490501,2023,490501,Poinsett County,Arkansas,341,86,202,48,5,1900,73,239,1018,359,55,142,14,25.2,59.2,14.1,1.5,3.8,12.6,53.6,18.9,2.9,7.5,0.7,1053,53580,60562,2972,25,0.8,2947,99.2,2840,95.6,58,2,0,0,0,0,3,0.1,0,0,46,1.5,16.4,17.5
128,Harrison High School,12-Sep,Harrison School District,0.262,0.614,0.391,0.267,0.183,841,0.4495,0.9037,0.0547,0.0036,0.04,0.1,1,224,202,0.901785714,18.5,19.3,20.6,19.7,0,BOONE,503019,503000,Arkansas,36.2394152,-93.1333448,925 Goblin Drive,72601,Boone County,Harrison,5009,"925 Goblin Drive, Harrison, Arkansas, 72601",790501,5009790501,2023,790501,Boone County,Arkansas,379,129,73,148,29,3226,59,159,1133,842,380,476,177,34,19.3,39.1,7.7,1.8,4.9,35.1,26.1,11.8,14.8,5.5,1866,52250,71116,4536,137,3,4399,97,4239,93.5,10,0.2,0,0,12,0.3,36,0.8,0,0,102,2.2,18.5,20.6
129,Hazen High School,12-Jul,Hazen School District,0.103,0.462,0.179,0.128,0.051,252,0.6746,0.8135,0.0198,0.1429,0.02,0.19,5,47,39,0.829787234,17.3,17.1,17.9,18.1,0,PRAIRIE,5903012,5903000,Arkansas,34.7843835,-91.580752,477 North Hazen Avenue,72064,Prairie County,Hazen,5117,"477 North Hazen Avenue, Hazen, Arkansas, 72064",460200,5117460200,2023,460200,Prairie County,Arkansas,266,17,124,64,61,2057,79,120,759,497,101,353,148,6.4,46.6,24.1,22.9,3.8,5.8,36.9,24.2,4.9,17.2,7.2,1119,66953,88218,3056,57,1.9,2999,98.1,2540,83.1,356,11.6,4,0.1,0,0,0,0,12,0.4,87,2.8,17.3,17.9
130,Heber Springs High School,12-Sep,Heber Springs School District,0.323,0.688,0.458,0.292,0.198,478,0.3264,0.8996,0.0649,0.0021,0.03,0.1,2,122,96,0.786885246,19.7,20.6,20,20.2,0,CLEBURNE,1202006,1202000,Arkansas,35.4962133,-92.038822,1100 West Pine Street,72543,Cleburne County,Heber Springs,5023,"1100 West Pine Street, Heber Springs, Arkansas, 72543",480302,5023480302,2023,480302,Cleburne County,Arkansas,198,35,82,81,0,2207,11,189,686,586,300,330,105,17.7,41.4,40.9,0,0.5,8.6,31.1,26.6,13.6,15,4.8,1460,60357,89429,2979,44,1.5,2935,98.5,2844,95.5,26,0.9,11,0.4,0,0,0,0,0,0,54,1.8,19.7,20
131,Hector High School,12-Jul,Hector School District,0.091,0.333,0.273,0.182,0.091,324,0.7222,0.9414,0.0401,0,0.02,0.06,1,54,33,0.611111111,16.2,16.8,17.5,19.6,0,POPE,5803010,5803000,Arkansas,35.4696088,-92.9737878,11601 Arkansas 27,72843,Pope County,Hector,5115,"11601 Arkansas 27, Hector, Arkansas, 72843",950700,5115950700,2023,950700,Pope County,Arkansas,165,7,54,91,13,2929,394,390,1340,431,92,193,89,4.2,32.7,55.2,7.9,13.5,13.3,45.7,14.7,3.1,6.6,3,1627,41536,56351,4037,18,0.4,4019,99.6,3838,95.1,14,0.3,8,0.2,0,0,0,0,0,0,159,3.9,16.2,17.5
132,Hermitage High School,12-Jul,Hermitage School District,0.049,0.244,0.073,0.024,0.024,202,0.6881,0.5891,0.2673,0.1386,0,0.41,5,43,41,0.953488372,15.8,14.6,15,16.7,0,BRADLEY,601007,601000,Arkansas,33.4519677,-92.1703737,,71647,Bradley County,Hermitage,5011,,950500,5011950500,2023,950500,Bradley County,Arkansas,104,54,31,10,9,1289,56,37,639,217,151,107,82,51.9,29.8,9.6,8.7,4.3,2.9,49.6,16.8,11.7,8.3,6.4,763,35568,52944,2010,177,8.8,1833,91.2,1525,75.9,238,11.8,0,0,0,0,0,0,0,0,70,3.5,15.8,15
133,Highland High School,12-Sep,Highland School District,0.2,0.444,0.256,0.233,0.089,515,0.7049,0.9359,0.0369,0.0058,0.02,0.06,2,113,90,0.796460177,18.1,17.5,18.4,19.1,0,SHARP,6804010,6804000,Arkansas,36.2617891,-91.5314326,1 Rebel Circle,72542,Sharp County,Highland,5135,"1 Rebel Circle, Highland, Arkansas, 72542",470202,5135470202,2023,470202,Sharp County,Arkansas,133,23,108,2,0,2346,46,225,851,687,202,238,97,17.3,81.2,1.5,0,2,9.6,36.3,29.3,8.6,10.1,4.1,1272,36409,46783,3053,82,2.7,2971,97.3,2775,90.9,8,0.3,1,0,21,0.7,0,0,0,0,166,5.4,18.1,18.4
134,Hillcrest High School,12-Jul,Hillcrest School District,0.16,0.48,0.28,0.2,0.12,181,0.7956,0.9613,0.0276,0,0.01,0.04,2,29,25,0.862068966,16.6,18.5,18.8,18.3,0,LAWRENCE,3809023,3809000,Arkansas,35.9647845,-91.3231241,146 South Main Street,72469,Lawrence County,Strawberry,5075,"146 South Main Street, Strawberry, Arkansas, 72469",470300,5075470300,2023,470300,Lawrence County,Arkansas,87,18,42,27,0,1299,69,153,485,330,80,107,75,20.7,48.3,31,0,5.3,11.8,37.3,25.4,6.2,8.2,5.8,757,50972,66938,1661,21,1.3,1640,98.7,1596,96.1,21,1.3,4,0.2,1,0.1,0,0,0,0,18,1.1,16.6,18.8
135,Hope High School,12-Sep,Hope School District,0.084,0.26,0.16,0.099,0.046,606,0.7294,0.2376,0.3614,0.3845,0.02,0.76,4,155,131,0.84516129,15.2,14.5,16.1,16.9,0,HEMPSTEAD,2903012,2903000,Arkansas,33.6527043,-93.5848795,1701 South Main Street,71801,Hempstead County,Hope,5057,"1701 South Main Street, Hope, Arkansas, 71801",480302,5057480302,2023,480302,Hempstead County,Arkansas,298,0,111,126,61,2004,40,190,968,351,114,230,111,0,37.2,42.3,20.5,2,9.5,48.3,17.5,5.7,11.5,5.5,1175,56875,65411,3427,448,13.1,2979,86.9,1651,48.2,1306,38.1,22,0.6,0,0,0,0,0,0,0,0,15.2,16.1
136,Horatio High School,12-Jul,Horatio School District,0.119,0.286,0.143,0.167,0.071,328,0.8018,0.6616,0.2774,0.0183,0.04,0.34,4,55,42,0.763636364,17.4,15.6,17.5,18.9,0,SEVIER,6703013,6703000,Arkansas,33.9479754,-94.347479,1101 Metcalf Lane,71842,Sevier County,Horatio,5133,"1101 Metcalf Lane, Horatio, Arkansas, 71842",80200,5133080200,2023,80200,Sevier County,Arkansas,326,4,98,201,23,2539,358,236,766,677,146,212,144,1.2,30.1,61.7,7.1,14.1,9.3,30.2,26.7,5.8,8.3,5.7,1359,52292,78760,3867,1150,29.7,2717,70.3,2269,58.7,50,1.3,130,3.4,45,1.2,0,0,40,1,183,4.7,17.4,17.5
137,Hot Springs World Class High School,12-Oct,Hot Springs School District,0.047,0.31,0.197,0.164,0.038,767,0.7275,0.3207,0.236,0.3325,0.11,0.68,3,269,213,0.791821561,15.7,15.8,16.9,17.6,0,GARLAND,2603703,2603000,Arkansas,34.4754828,-93.0699854,701 Emory Street,71913,Garland County,Hot Springs,5051,"701 Emory Street, Hot Springs, Arkansas, 71913",11300,5051011300,2023,11300,Garland County,Arkansas,282,34,161,58,29,3693,114,193,1210,982,326,638,230,12.1,57.1,20.6,10.3,3.1,5.2,32.8,26.6,8.8,17.3,6.2,2318,41937,54786,5103,768,15,4335,85,2934,57.5,1158,22.7,0,0,0,0,0,0,16,0.3,227,4.4,15.7,16.9
138,Hoxie High School,12-Jul,Hoxie School District,0.155,0.5,0.224,0.19,0.052,345,0.6725,0.9333,0.0232,0.0087,0.03,0.07,2,69,58,0.84057971,17,17.6,17.3,18.1,0,LAWRENCE,3804010,3804000,Arkansas,36.0515763,-90.9807212,602 West Hartigan Street,72433,Lawrence County,Hoxie,5075,"602 West Hartigan Street, Hoxie, Arkansas, 72433",470501,5075470501,2023,470501,Lawrence County,Arkansas,255,21,91,134,9,1770,166,147,884,395,105,57,16,8.2,35.7,52.5,3.5,9.4,8.3,49.9,22.3,5.9,3.2,0.9,1183,35441,48548,2715,76,2.8,2639,97.2,2314,85.2,34,1.3,0,0,0,0,13,0.5,0,0,278,10.2,17,17.3
139,Huntsville High School,12-Sep,Huntsville School District,0.173,0.445,0.227,0.173,0.073,604,0.6523,0.7914,0.1175,0.0116,0.08,0.21,1,171,110,0.643274854,16.9,16.4,18,18.4,0,MADISON,4401003,4401000,Arkansas,36.0809587,-93.7345623,594 South Harris Street,72740,Madison County,Huntsville,5087,"594 South Harris Street, Huntsville, Arkansas, 72740",960200,5087960200,2023,960200,Madison County,Arkansas,318,69,112,118,19,2609,159,311,1239,376,133,293,98,21.7,35.2,37.1,6,6.1,11.9,47.5,14.4,5.1,11.2,3.8,1482,53250,76266,4409,410,9.3,3999,90.7,3153,71.5,31,0.7,41,0.9,11,0.2,105,2.4,0,0,658,14.9,16.9,18
140,Izard Co. Cons. High School,12-Sep,Izard County Consolidated School District,0.2,0.36,0.34,0.22,0.16,191,0.7173,0.9634,0.0157,0.0105,0.01,0.04,2,59,50,0.847457627,17.3,17.1,18.9,17.8,0,IZARD,3306015,3306000,Arkansas,36.1548745,-91.9234721,5068 Arkansas 9,72517,Izard County,N/A,5065,"5068 Arkansas 9, N/A, Arkansas, 72517",960200,5065960200,2023,960200,Izard County,Arkansas,420,66,179,161,14,3218,171,225,1002,734,377,547,162,15.7,42.6,38.3,3.3,5.3,7,31.1,22.8,11.7,17,5,1702,41316,64838,4877,32,0.7,4845,99.3,4555,93.4,10,0.2,78,1.6,51,1,0,0,0,0,151,3.1,17.3,18.9
141,Jacksonville High School,12-Sep,Jacksonville North Pulaski School District,0.029,0.184,0.15,0.068,0.014,1165,0.5717,0.2738,0.0944,0.576,0.06,0.73,3,276,207,0.75,15.3,13.7,15.8,16.4,0,PULASKI,6004009,6004000,Arkansas,34.8674331,-92.1270445,,N/A,Pulaski County,Jacksonville,5119,,3605,5119003605,2023,3604,Pulaski County,Arkansas,467,0,311,119,37,3914,163,350,1385,671,340,670,335,0,66.6,25.5,7.9,4.2,8.9,35.4,17.1,8.7,17.1,8.6,2510,47330,64277,5855,537,9.2,5318,90.8,2187,37.4,2921,49.9,0,0,58,1,0,0,24,0.4,128,2.2,15.3,15.8
