tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
9601.0,St. Francis County,Arkansas,6.9%,93.1%,45.4%,42.5%,0.0%,0.0%,0.0%,0.0%,5.2%,2040.0,140,1900,926,867,0,0,0,0,107,15.3%,28.4%,34.1%,22.2%,6.3%,11.0%,47.3%,19.1%,7.3%,3.9%,5.1%,176,27,50,60,39,1576,99,173,746,301,115,61,81,830,"43,036","54,292"
9602.01,St. Francis County,Arkansas,1.8%,98.2%,76.8%,17.0%,0.2%,0.3%,0.0%,0.0%,4.0%,1941.0,35,1906,1490,330,3,5,0,0,78,64.2%,10.8%,20.8%,4.2%,3.4%,8.1%,39.3%,25.7%,11.4%,5.9%,6.2%,120,77,13,25,5,1365,46,110,537,351,156,80,85,773,"44,578","60,803"
9602.02,St. Francis County,Arkansas,1.5%,98.5%,61.0%,33.6%,0.0%,0.0%,0.0%,1.2%,2.6%,2730.0,41,2689,1666,917,0,0,0,34,72,0.0%,53.8%,37.5%,8.8%,2.5%,7.7%,42.3%,18.0%,7.9%,10.3%,11.3%,80,0,43,30,7,2194,54,168,929,395,173,227,248,"1,200","53,333","74,991"
9603.0,St. Francis County,Arkansas,0.7%,99.3%,63.8%,33.4%,0.0%,0.0%,0.0%,0.0%,2.0%,2416.0,18,2398,1542,807,0,0,0,0,49,32.1%,34.2%,33.7%,0.0%,4.0%,6.8%,48.9%,21.8%,5.9%,10.3%,2.3%,184,59,63,62,0,1625,65,111,795,354,96,167,37,904,"50,058","69,116"
9604.0,St. Francis County,Arkansas,0.0%,100.0%,7.9%,91.5%,0.0%,0.0%,0.0%,0.0%,0.7%,4348.0,0,4348,342,3977,0,0,0,0,29,61.3%,18.4%,20.3%,0.0%,3.2%,15.0%,36.4%,32.6%,7.3%,5.1%,0.3%,483,296,89,98,0,2435,78,366,887,795,178,123,8,"1,516","28,568","60,170"
9605.0,St. Francis County,Arkansas,5.8%,94.2%,40.9%,52.5%,0.0%,0.0%,0.0%,0.0%,0.7%,2992.0,175,2817,1225,1572,0,0,0,0,20,40.8%,16.6%,20.2%,22.4%,5.8%,11.6%,27.1%,20.3%,7.9%,18.3%,9.1%,223,91,37,45,50,2085,120,241,564,424,165,381,190,"1,224","46,596","54,690"
9606.0,St. Francis County,Arkansas,5.6%,94.4%,28.6%,63.7%,0.8%,0.2%,1.1%,0.0%,0.0%,6273.0,351,5922,1793,3996,53,14,66,0,0,16.7%,54.0%,23.1%,6.3%,4.8%,9.2%,55.0%,18.7%,4.2%,2.9%,5.2%,480,80,259,111,30,4863,234,446,2674,909,205,140,255,"1,434","34,943","45,645"
101.01,Saline County,Arkansas,6.3%,93.7%,86.2%,6.5%,0.1%,0.1%,0.0%,0.0%,0.9%,3762.0,237,3525,3242,243,5,2,0,0,33,16.5%,55.6%,21.2%,6.7%,2.1%,12.8%,37.0%,24.6%,8.5%,11.0%,4.0%,448,74,249,95,30,2655,56,340,982,654,226,291,106,"1,727","53,295","61,375"
101.04,Saline County,Arkansas,1.9%,98.1%,65.9%,25.2%,0.3%,0.4%,0.0%,0.0%,6.2%,4293.0,80,4213,2829,1083,15,18,0,0,268,12.9%,39.9%,40.4%,6.7%,0.6%,2.9%,27.6%,17.8%,15.7%,22.4%,12.9%,178,23,71,72,12,2829,17,83,781,504,444,634,366,"1,527","87,708","105,908"
101.05,Saline County,Arkansas,3.7%,96.3%,89.8%,3.5%,0.0%,0.0%,0.0%,0.0%,3.0%,5289.0,196,5093,4748,186,0,0,0,0,159,8.1%,43.9%,44.5%,3.5%,0.9%,2.5%,33.9%,28.7%,9.4%,17.9%,6.7%,371,30,163,165,13,3808,35,95,1291,1094,357,681,255,"2,325","80,841","108,641"
101.06,Saline County,Arkansas,2.1%,97.9%,75.8%,11.6%,0.0%,3.7%,0.0%,0.0%,6.7%,3230.0,68,3162,2449,375,0,121,0,0,217,0.0%,53.8%,46.2%,0.0%,1.2%,0.2%,41.0%,22.4%,9.6%,14.1%,11.4%,130,0,70,60,0,2335,27,5,958,524,225,329,267,"1,296","66,768","80,711"
101.07,Saline County,Arkansas,4.3%,95.7%,77.1%,10.1%,0.5%,2.6%,0.0%,0.2%,5.2%,6082.0,260,5822,4689,613,31,161,0,13,315,6.6%,34.1%,50.5%,8.8%,2.5%,4.3%,38.3%,18.1%,10.7%,18.0%,8.1%,662,44,226,334,58,3594,90,154,1378,650,384,646,292,"2,705","61,938","75,650"
103.01,Saline County,Arkansas,7.1%,92.9%,77.9%,9.4%,0.0%,0.6%,0.0%,0.0%,5.0%,4927.0,349,4578,3840,463,0,31,0,0,244,11.6%,31.3%,53.7%,3.4%,0.0%,0.6%,34.4%,25.7%,10.4%,19.7%,9.2%,948,110,297,509,32,2950,0,17,1016,759,307,581,270,"2,274","61,364","84,317"
103.02,Saline County,Arkansas,9.7%,90.3%,80.5%,1.7%,0.0%,4.2%,0.0%,0.0%,3.8%,4113.0,401,3712,3310,71,0,174,0,0,157,6.8%,0.0%,88.7%,4.5%,5.7%,4.1%,32.7%,22.6%,6.0%,18.4%,10.5%,265,18,0,235,12,2762,157,114,903,624,167,508,289,"1,620","72,387","101,615"
103.03,Saline County,Arkansas,3.2%,96.8%,89.2%,1.0%,0.2%,3.9%,0.0%,0.0%,2.6%,4364.0,139,4225,3891,43,8,170,0,0,113,29.6%,19.8%,50.6%,0.0%,0.0%,1.7%,23.2%,23.8%,6.9%,31.0%,13.4%,520,154,103,263,0,2841,0,48,659,677,197,880,380,"1,557","114,375","121,011"
104.05,Saline County,Arkansas,4.4%,95.6%,76.7%,13.4%,0.0%,2.7%,0.0%,2.5%,0.3%,4927.0,218,4709,3779,660,0,135,0,122,13,33.4%,49.9%,12.4%,4.3%,1.1%,6.4%,37.7%,20.0%,10.9%,15.3%,8.6%,533,178,266,66,23,3494,38,223,1318,699,382,534,300,"1,822","83,571","95,624"
104.06,Saline County,Arkansas,9.4%,90.6%,83.5%,2.5%,1.1%,0.0%,0.0%,0.0%,3.5%,5378.0,507,4871,4491,132,61,0,0,0,187,21.0%,35.6%,43.4%,0.0%,7.0%,5.8%,36.9%,25.4%,4.3%,13.7%,6.9%,267,56,95,116,0,3647,255,213,1347,926,156,500,250,"1,966","63,942","81,235"
104.07,Saline County,Arkansas,8.3%,91.7%,87.4%,0.5%,0.1%,0.0%,0.0%,0.0%,3.7%,4844.0,403,4441,4232,25,6,0,0,0,178,7.8%,62.0%,30.2%,0.0%,1.0%,6.1%,39.5%,24.3%,10.9%,13.6%,4.6%,321,25,199,97,0,3337,34,203,1319,811,364,454,152,"1,873","73,527","91,207"
104.08,Saline County,Arkansas,4.8%,95.2%,67.4%,21.0%,0.0%,0.5%,0.0%,0.0%,6.4%,7523.0,362,7161,5070,1579,0,34,0,0,478,17.0%,25.0%,53.7%,4.3%,5.4%,5.3%,37.1%,22.3%,17.2%,8.7%,4.0%,324,55,81,174,14,5458,296,291,2024,1215,937,474,221,"3,087","68,580","85,728"
104.09,Saline County,Arkansas,13.9%,86.1%,65.3%,15.4%,0.0%,0.0%,0.0%,0.0%,5.4%,2869.0,400,2469,1874,441,0,0,0,0,154,20.9%,48.0%,11.7%,19.4%,2.6%,9.7%,38.0%,25.9%,6.1%,13.0%,4.7%,196,41,94,23,38,1841,47,179,699,477,113,239,87,"1,143","68,153","82,184"
104.1,Saline County,Arkansas,17.0%,83.0%,51.6%,27.4%,0.7%,0.0%,0.0%,2.8%,0.6%,2635.0,447,2188,1359,721,19,0,0,74,15,0.0%,28.4%,37.0%,34.6%,5.3%,10.5%,15.7%,11.6%,17.8%,34.8%,4.3%,81,0,23,30,28,1857,99,195,291,215,330,647,80,"1,038","74,353","88,255"
104.11,Saline County,Arkansas,2.5%,97.5%,75.1%,12.3%,0.2%,2.8%,0.0%,1.8%,5.3%,6139.0,155,5984,4612,755,11,169,0,111,326,6.5%,30.7%,56.8%,5.9%,3.9%,3.8%,26.1%,17.4%,6.4%,27.7%,14.5%,322,21,99,183,19,4158,163,159,1087,725,267,1153,604,"2,102","94,500","125,512"
105.07,Saline County,Arkansas,4.6%,95.4%,93.3%,0.0%,0.6%,0.0%,0.0%,0.2%,1.4%,4256.0,196,4060,3969,0,25,0,0,8,58,3.4%,62.0%,33.1%,1.5%,1.3%,3.2%,41.0%,20.4%,6.5%,19.9%,7.7%,610,21,378,202,9,2910,38,92,1193,595,190,578,224,"1,497","83,194","110,729"
105.08,Saline County,Arkansas,0.7%,99.3%,91.9%,0.0%,0.0%,0.8%,0.0%,0.0%,6.5%,4653.0,34,4619,4277,0,0,38,0,0,304,15.6%,12.4%,56.1%,15.9%,2.0%,6.4%,32.0%,21.8%,8.9%,19.9%,9.0%,403,63,50,226,64,3504,70,226,1120,763,312,698,315,"2,024","76,364","86,094"
105.09,Saline County,Arkansas,8.9%,91.1%,80.5%,5.8%,0.0%,0.0%,0.0%,1.5%,3.3%,5953.0,529,5424,4790,344,0,0,0,92,198,17.3%,53.6%,16.3%,12.8%,1.7%,2.7%,26.6%,19.1%,12.1%,22.9%,14.9%,539,93,289,88,69,3769,63,101,1003,721,455,863,563,"1,923","96,813","124,121"
105.11,Saline County,Arkansas,5.4%,94.6%,84.6%,6.2%,0.0%,0.0%,0.0%,0.0%,3.8%,6902.0,370,6532,5839,431,0,0,0,0,262,13.5%,39.6%,42.6%,4.3%,4.0%,5.5%,23.6%,18.7%,7.4%,27.8%,13.1%,599,81,237,255,26,4559,182,249,1077,852,336,1268,595,"2,583","88,705","112,554"
105.12,Saline County,Arkansas,0.8%,99.2%,94.7%,0.6%,0.0%,0.6%,0.0%,2.1%,1.2%,3272.0,25,3247,3099,21,0,18,0,70,39,37.8%,32.2%,24.5%,5.6%,0.4%,4.1%,38.6%,23.5%,4.9%,19.1%,9.4%,143,54,46,35,8,2544,10,105,983,598,124,486,238,"1,196","98,182","102,787"
105.13,Saline County,Arkansas,1.9%,98.1%,95.3%,0.2%,0.0%,0.6%,0.0%,0.3%,1.7%,3057.0,59,2998,2914,5,0,18,0,8,53,52.8%,28.9%,16.9%,1.4%,0.0%,5.9%,36.6%,29.3%,13.9%,12.1%,2.2%,142,75,41,24,2,2088,0,123,764,612,291,253,45,"1,145","86,382","84,217"
105.14,Saline County,Arkansas,10.2%,89.8%,78.8%,5.5%,0.0%,0.2%,0.0%,1.6%,3.5%,3283.0,336,2947,2588,182,1,7,0,53,116,14.2%,70.2%,11.5%,4.1%,3.3%,11.2%,33.8%,17.6%,7.2%,14.9%,12.1%,218,31,153,25,9,2470,82,276,834,434,178,368,298,"1,027","84,990","90,690"
105.15,Saline County,Arkansas,2.0%,98.0%,90.0%,1.8%,0.0%,0.6%,0.0%,1.0%,4.6%,2508.0,50,2458,2257,46,0,14,0,26,115,-,-,-,-,0.0%,0.5%,18.1%,29.9%,6.8%,31.4%,13.3%,0,0,0,0,0,2426,0,12,440,725,165,762,322,"1,251","74,844","91,042"
105.16,Saline County,Arkansas,1.4%,98.6%,98.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1820.0,26,1794,1788,6,0,0,0,0,0,0.0%,0.0%,100.0%,0.0%,0.1%,3.4%,26.7%,29.5%,3.0%,24.2%,13.2%,24,0,0,24,0,1755,1,60,468,518,53,424,231,"1,002","78,913","95,262"
105.17,Saline County,Arkansas,0.0%,100.0%,97.7%,0.0%,0.2%,1.6%,0.0%,0.5%,0.0%,3156.0,0,3156,3083,0,7,51,0,15,0,0.0%,0.0%,100.0%,0.0%,1.9%,0.3%,32.3%,22.6%,14.2%,18.1%,10.5%,15,0,0,15,0,2927,56,10,945,662,417,529,308,"1,613","81,059","105,420"
105.18,Saline County,Arkansas,29.7%,70.3%,63.9%,1.3%,0.8%,1.9%,0.0%,0.0%,2.4%,3648.0,1084,2564,2331,47,31,69,0,0,86,4.5%,38.3%,17.7%,39.6%,5.4%,2.6%,33.1%,16.9%,10.7%,18.6%,12.7%,379,17,145,67,150,2148,115,56,711,364,230,400,272,"1,224","110,096","122,876"
105.19,Saline County,Arkansas,10.4%,89.6%,70.0%,15.3%,0.2%,0.7%,0.0%,0.5%,2.9%,5010.0,520,4490,3507,768,8,36,0,25,146,8.1%,75.6%,9.6%,6.7%,1.4%,1.8%,24.5%,17.6%,12.3%,29.7%,12.6%,135,11,102,13,9,3329,47,61,816,587,408,989,421,"1,854","87,700","90,082"
105.2,Saline County,Arkansas,41.2%,58.8%,43.5%,13.5%,0.0%,0.0%,0.0%,0.0%,1.8%,1909.0,786,1123,831,258,0,0,0,0,34,19.1%,49.6%,31.3%,0.0%,12.1%,11.2%,33.6%,11.3%,2.2%,23.0%,6.6%,115,22,57,36,0,1128,137,126,379,127,25,259,75,701,"68,125","63,213"
106.01,Saline County,Arkansas,10.9%,89.1%,65.0%,15.8%,0.2%,0.8%,0.0%,0.0%,7.3%,3416.0,373,3043,2222,539,6,27,0,0,249,26.7%,29.7%,43.6%,0.0%,7.1%,5.1%,42.8%,25.5%,7.2%,8.3%,4.0%,266,71,79,116,0,2306,164,118,987,587,166,192,92,"1,471","49,847","58,839"
106.02,Saline County,Arkansas,6.6%,93.4%,74.5%,13.4%,0.0%,0.0%,0.0%,0.0%,5.4%,2506.0,166,2340,1868,336,0,0,0,0,136,0.0%,58.1%,41.9%,0.0%,0.0%,11.3%,44.7%,18.3%,8.6%,13.7%,3.4%,74,0,43,31,0,1688,0,190,754,309,145,232,58,"1,016","53,077","62,112"
9501.0,Scott County,Arkansas,0.5%,99.5%,89.5%,0.0%,0.3%,2.0%,0.0%,0.0%,7.6%,3853.0,20,3833,3450,0,11,78,0,0,294,5.4%,50.0%,36.7%,7.8%,4.4%,8.4%,47.3%,24.6%,7.5%,6.0%,1.8%,166,9,83,61,13,2843,125,239,1346,698,214,170,51,"1,557","48,150","62,936"
9502.0,Scott County,Arkansas,18.7%,81.3%,76.4%,0.0%,0.0%,0.0%,0.1%,0.0%,4.7%,3899.0,730,3169,2980,0,0,0,5,0,184,16.6%,50.1%,17.3%,15.9%,7.9%,11.1%,43.2%,20.3%,8.2%,8.6%,0.7%,415,69,208,72,66,2568,202,284,1110,522,211,221,18,"1,493","41,801","49,217"
9503.0,Scott County,Arkansas,0.9%,99.1%,86.1%,7.1%,0.6%,2.7%,0.0%,0.0%,2.6%,2087.0,18,2069,1797,148,12,57,0,0,55,25.3%,68.7%,6.0%,0.0%,3.1%,11.3%,35.1%,21.8%,9.5%,14.2%,5.1%,83,21,57,5,0,1497,46,169,525,327,142,212,76,877,"50,346","60,571"
9701.0,Searcy County,Arkansas,2.3%,97.7%,90.0%,0.0%,0.3%,0.0%,0.0%,0.0%,7.5%,2207.0,50,2157,1986,0,6,0,0,0,165,11.4%,27.6%,60.0%,1.0%,7.0%,8.2%,33.4%,29.2%,6.7%,12.7%,2.9%,105,12,29,63,1,1605,112,132,536,468,107,204,46,842,"43,938","55,230"
9702.0,Searcy County,Arkansas,2.3%,97.7%,84.4%,0.2%,0.6%,0.0%,0.0%,0.0%,12.5%,3587.0,82,3505,3028,6,22,0,0,0,449,2.1%,78.0%,18.3%,1.7%,13.4%,10.4%,38.9%,20.3%,6.1%,7.4%,3.5%,241,5,188,44,4,2620,351,272,1019,533,159,195,91,"1,405","31,670","48,707"
9703.0,Searcy County,Arkansas,1.9%,98.1%,92.8%,0.0%,3.1%,0.8%,0.0%,0.0%,1.3%,2067.0,40,2027,1918,0,65,17,0,0,27,13.2%,45.3%,20.8%,20.8%,5.8%,12.6%,35.6%,16.5%,13.1%,10.9%,5.5%,159,21,72,33,33,1517,88,191,540,250,198,166,84,805,"50,506","58,357"
1.0,Sebastian County,Arkansas,43.7%,56.3%,24.9%,11.0%,0.7%,15.7%,0.0%,0.0%,4.0%,6758.0,2955,3803,1682,744,47,1058,0,0,272,17.7%,64.5%,17.9%,0.0%,15.0%,14.1%,39.6%,17.7%,6.3%,5.4%,1.9%,453,80,292,81,0,4095,613,579,1623,725,257,222,76,"2,181","36,956","45,134"
2.0,Sebastian County,Arkansas,42.0%,58.0%,30.7%,7.5%,1.2%,10.4%,0.0%,0.0%,8.2%,5740.0,2409,3331,1760,431,70,597,0,0,473,0.0%,70.7%,18.5%,10.9%,15.7%,17.8%,42.0%,14.4%,5.1%,4.6%,0.5%,818,0,578,151,89,3444,539,612,1445,497,174,160,17,"1,941","47,121","56,486"
3.0,Sebastian County,Arkansas,46.1%,53.9%,27.2%,10.8%,0.7%,1.2%,0.0%,0.7%,13.2%,2416.0,1114,1302,658,261,17,30,0,16,320,8.4%,42.9%,39.6%,9.1%,18.4%,9.5%,31.5%,21.7%,1.5%,11.5%,5.9%,154,13,66,61,14,1615,297,154,509,350,25,185,95,877,"42,201","52,273"
4.0,Sebastian County,Arkansas,36.4%,63.6%,28.0%,19.2%,0.0%,3.2%,0.0%,0.3%,12.9%,3066.0,1117,1949,860,588,0,97,0,9,395,15.2%,44.3%,40.5%,0.0%,18.2%,32.9%,24.8%,12.2%,5.6%,5.4%,0.8%,264,40,117,107,0,2099,383,691,521,257,118,113,16,"1,268","29,842","42,014"
5.01,Sebastian County,Arkansas,49.8%,50.2%,35.8%,6.4%,0.3%,5.2%,0.0%,0.0%,2.5%,5482.0,2729,2753,1960,352,15,287,0,0,139,0.0%,80.6%,19.4%,0.0%,26.6%,15.9%,28.0%,20.2%,3.1%,4.7%,1.5%,360,0,290,70,0,3108,827,494,871,627,95,146,48,"1,763","35,754","45,975"
5.02,Sebastian County,Arkansas,35.5%,64.5%,35.5%,18.5%,1.9%,6.3%,0.0%,1.2%,1.0%,2573.0,914,1659,914,475,49,162,0,32,27,13.9%,81.7%,0.0%,4.4%,11.4%,15.0%,29.5%,23.1%,7.8%,7.6%,5.6%,180,25,147,0,8,1652,189,247,487,381,129,126,93,"1,006","50,333","65,761"
6.0,Sebastian County,Arkansas,5.4%,94.6%,80.6%,5.0%,0.1%,0.5%,0.0%,0.0%,8.3%,5086.0,273,4813,4099,256,7,27,0,0,424,0.0%,64.6%,25.4%,10.1%,1.4%,1.7%,23.8%,24.2%,9.3%,22.8%,16.7%,536,0,346,136,54,3481,50,60,827,844,325,794,581,"2,339","47,730","97,380"
7.0,Sebastian County,Arkansas,24.2%,75.8%,56.5%,8.0%,0.8%,3.1%,0.0%,0.0%,7.4%,4620.0,1119,3501,2609,370,39,141,0,0,342,6.2%,33.9%,52.1%,7.8%,8.1%,10.6%,32.9%,31.9%,3.0%,7.7%,5.7%,1233,77,418,642,96,2854,231,302,939,910,87,221,164,"2,010","43,500","56,039"
8.0,Sebastian County,Arkansas,22.4%,77.6%,57.1%,9.0%,0.3%,1.5%,0.0%,0.0%,9.7%,4201.0,941,3260,2398,378,13,62,0,0,409,14.4%,30.8%,50.7%,4.1%,2.5%,14.8%,29.6%,29.1%,5.0%,10.5%,8.7%,617,89,190,313,25,2599,64,384,769,756,129,272,225,"1,862","34,333","55,139"
10.01,Sebastian County,Arkansas,13.9%,86.1%,69.8%,4.9%,0.4%,2.6%,3.8%,0.0%,4.5%,4096.0,570,3526,2860,201,17,107,157,0,184,21.4%,61.4%,17.1%,0.0%,6.7%,6.3%,36.4%,30.4%,2.3%,13.6%,4.2%,280,60,172,48,0,2992,199,188,1090,910,70,408,127,"2,100","37,444","50,948"
10.02,Sebastian County,Arkansas,6.2%,93.8%,82.1%,4.1%,0.9%,0.0%,0.0%,0.0%,6.6%,2551.0,159,2392,2095,104,24,0,0,0,169,14.2%,28.9%,46.4%,10.4%,2.1%,4.2%,17.3%,17.7%,9.3%,30.4%,19.1%,211,30,61,98,22,1802,38,75,311,319,167,548,344,"1,041","98,284","110,332"
11.01,Sebastian County,Arkansas,10.4%,89.6%,64.7%,12.6%,2.3%,3.7%,0.0%,0.0%,6.3%,4299.0,447,3852,2780,543,101,158,0,0,270,1.3%,25.9%,60.3%,12.6%,9.5%,7.3%,28.0%,18.0%,11.8%,16.1%,9.4%,390,5,101,235,49,2927,277,215,819,526,344,471,275,"1,896","49,408","76,743"
11.02,Sebastian County,Arkansas,13.9%,86.1%,54.9%,17.8%,0.6%,2.5%,0.0%,0.0%,10.2%,3493.0,485,3008,1918,622,21,89,0,0,358,24.5%,44.9%,25.5%,5.1%,3.5%,3.1%,24.4%,31.2%,9.6%,17.7%,10.5%,432,106,194,110,22,2249,78,69,549,702,216,398,237,"1,457","62,339","79,714"
12.01,Sebastian County,Arkansas,10.8%,89.2%,78.5%,5.9%,0.9%,1.6%,0.0%,0.0%,2.3%,4095.0,441,3654,3215,243,37,65,0,0,94,7.4%,43.7%,42.7%,6.2%,2.2%,7.6%,25.2%,27.9%,4.7%,20.3%,12.2%,323,24,141,138,20,2443,54,185,616,681,115,495,297,"1,472","58,258","92,496"
12.02,Sebastian County,Arkansas,2.7%,97.3%,54.4%,19.1%,0.4%,5.4%,0.0%,0.0%,18.0%,2737.0,75,2662,1488,523,11,147,0,0,493,0.9%,54.6%,30.0%,14.5%,7.9%,10.7%,39.9%,23.6%,6.1%,8.5%,3.2%,227,2,124,68,33,1976,156,212,788,467,121,168,64,"1,150","41,250","54,496"
13.01,Sebastian County,Arkansas,1.5%,98.5%,83.1%,4.3%,0.4%,3.2%,0.0%,3.0%,4.4%,2527.0,37,2490,2100,108,11,82,0,77,112,2.6%,54.8%,42.6%,0.0%,0.0%,6.3%,23.1%,22.7%,7.9%,16.8%,23.1%,115,3,63,49,0,1815,0,115,420,412,143,305,420,"1,052","96,809","116,107"
13.05,Sebastian County,Arkansas,6.9%,93.1%,83.4%,0.3%,0.1%,4.4%,0.0%,0.0%,4.8%,4735.0,328,4407,3950,14,7,207,0,0,229,4.3%,49.6%,41.0%,5.1%,0.6%,3.6%,23.9%,17.8%,13.3%,22.9%,18.0%,395,17,196,162,20,3351,20,119,800,595,446,767,604,"2,037","66,924","96,975"
13.06,Sebastian County,Arkansas,7.3%,92.7%,67.8%,4.3%,0.0%,7.8%,0.0%,1.2%,11.7%,4873.0,355,4518,3303,209,0,378,0,59,569,3.5%,14.7%,78.5%,3.2%,2.1%,2.1%,15.0%,15.1%,9.3%,37.9%,18.4%,312,11,46,245,10,3402,72,73,512,514,315,1291,625,"1,843","104,100","272,565"
13.07,Sebastian County,Arkansas,4.4%,95.6%,76.0%,4.7%,0.2%,8.4%,0.0%,0.0%,6.2%,3410.0,151,3259,2590,161,8,287,0,0,213,0.0%,13.2%,34.3%,52.5%,1.5%,2.1%,25.6%,20.1%,6.8%,24.2%,19.5%,242,0,32,83,127,2533,39,54,649,510,173,614,494,"1,592","57,011","103,134"
13.08,Sebastian County,Arkansas,12.6%,87.4%,73.7%,2.5%,0.0%,7.9%,0.0%,0.0%,3.3%,3994.0,504,3490,2942,99,0,317,0,0,132,26.7%,33.0%,37.9%,2.4%,5.6%,7.3%,42.5%,17.5%,2.7%,18.7%,5.8%,546,146,180,207,13,2660,148,193,1131,465,72,498,153,"1,976","52,917","72,444"
13.09,Sebastian County,Arkansas,6.3%,93.7%,52.7%,8.4%,1.2%,25.0%,0.0%,0.2%,6.2%,1658.0,104,1554,874,139,20,414,0,4,103,0.0%,100.0%,0.0%,0.0%,13.0%,2.5%,42.8%,22.6%,4.4%,8.9%,6.0%,56,0,56,0,0,1258,163,31,538,284,55,112,75,841,"44,604","59,183"
13.1,Sebastian County,Arkansas,11.9%,88.1%,73.4%,1.9%,1.1%,3.0%,0.0%,0.0%,8.7%,4921.0,586,4335,3611,94,56,147,0,0,427,28.3%,56.5%,15.2%,0.0%,0.8%,5.0%,29.8%,31.3%,7.8%,12.1%,13.3%,138,39,78,21,0,3615,30,181,1077,1130,281,436,480,"2,057","62,409","83,567"
13.11,Sebastian County,Arkansas,1.8%,98.2%,87.0%,2.0%,1.1%,3.7%,0.0%,0.0%,4.4%,3964.0,72,3892,3448,80,42,146,0,0,176,16.1%,11.1%,53.8%,19.0%,1.2%,3.0%,18.4%,17.3%,12.8%,24.4%,23.0%,316,51,35,170,60,2809,33,83,517,486,359,685,646,"1,535","105,066","124,488"
13.12,Sebastian County,Arkansas,11.1%,88.9%,74.2%,0.3%,2.8%,5.0%,0.0%,0.0%,6.6%,3993.0,445,3548,2961,12,112,201,0,0,262,20.8%,56.3%,2.8%,20.1%,4.5%,6.2%,24.3%,23.4%,12.6%,22.3%,6.8%,288,60,162,8,58,2969,134,183,720,695,375,661,201,"1,712","57,372","86,950"
101.01,Sebastian County,Arkansas,3.8%,96.2%,90.1%,0.3%,0.2%,0.1%,0.0%,0.0%,5.5%,5780.0,219,5561,5207,20,10,8,0,0,316,12.0%,41.7%,39.8%,6.4%,8.4%,5.2%,36.6%,28.1%,6.5%,10.3%,5.0%,357,43,149,142,23,3979,333,205,1455,1120,257,410,199,"2,311","71,678","93,058"
101.02,Sebastian County,Arkansas,7.6%,92.4%,85.1%,1.7%,0.3%,0.1%,0.0%,0.3%,4.9%,5840.0,446,5394,4971,102,15,3,0,15,288,11.2%,39.0%,38.8%,11.0%,1.0%,4.6%,32.8%,20.1%,11.3%,15.0%,15.2%,410,46,160,159,45,3750,36,174,1231,752,424,563,570,"2,114","83,077","86,501"
102.01,Sebastian County,Arkansas,2.8%,97.2%,87.8%,0.2%,1.0%,0.2%,0.0%,0.0%,8.0%,5138.0,144,4994,4510,9,53,9,0,0,413,11.8%,45.8%,39.2%,3.2%,1.1%,9.5%,30.0%,24.4%,10.2%,16.6%,8.2%,500,59,229,196,16,3566,40,337,1070,870,365,591,293,"2,097","65,605","101,624"
102.02,Sebastian County,Arkansas,10.0%,90.0%,84.8%,0.2%,0.6%,0.0%,0.0%,0.0%,4.4%,3940.0,393,3547,3343,6,23,0,0,0,175,20.7%,28.7%,43.0%,7.6%,1.7%,6.9%,29.4%,34.7%,4.9%,14.5%,7.9%,251,52,72,108,19,2726,47,189,802,946,133,395,214,"1,660","62,262","80,559"
103.01,Sebastian County,Arkansas,4.3%,95.7%,83.6%,2.7%,0.3%,1.2%,0.0%,0.0%,7.9%,6024.0,258,5766,5037,163,17,73,0,0,476,5.2%,26.3%,43.2%,25.4%,3.9%,11.0%,32.1%,25.9%,7.8%,10.9%,8.3%,213,11,56,92,54,4473,176,493,1438,1158,348,488,372,"2,380","60,909","108,099"
103.03,Sebastian County,Arkansas,4.0%,96.0%,86.0%,1.2%,0.9%,2.9%,0.0%,0.1%,4.9%,2857.0,115,2742,2456,34,26,83,0,4,139,11.1%,37.9%,51.0%,0.0%,7.0%,9.3%,36.8%,23.8%,6.4%,5.1%,11.5%,298,33,113,152,0,1737,122,162,639,414,112,88,200,"1,068","45,962","57,077"
