School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Polo Comm High School,Polo CUSD 222,505,497.1,38,38,Illinois,41.9858937,-89.568095,100 South Union Avenue,61064,Ogle County,Polo,17141,"100 South Union Avenue, Polo, Illinois, 61064",961500,17141961500,2019,961500,Ogle County,Illinois,273,38,79,134,22,3081,78,140,1289,590,392,350,242,13.9,28.9,49.1,8.1,2.5,4.5,41.8,19.1,12.7,11.4,7.9,1845,63081,71933,4382,244,5.6,4138,94.4,3989,91,111,2.5,0,0,29,0.7,0,0,0,0,9,0.2
Illini West High School,Illini West H S Dist 307,475.4,445.7,74,74,Illinois,40.421283,-91.133222,600 Miller Street,62321,Hancock County,Carthage,17067,"600 Miller Street, Carthage, Illinois, 62321",953800,17067953800,2019,953800,Hancock County,Illinois,141,2,73,55,11,1973,27,82,539,390,176,573,186,1.4,51.8,39,7.8,1.4,4.2,27.3,19.8,8.9,29,9.4,1197,70813,79272,2543,97,3.8,2446,96.2,2339,92,9,0.4,0,0,9,0.4,0,0,0,0,89,3.5
Glenwood High School,Ball Chatham CUSD 5,531.2,534.8,312,312,Illinois,39.6899374,-89.6894066,1501 Plummer Boulevard,62629,Sangamon County,Chatham,17167,"1501 Plummer Boulevard, Chatham, Illinois, 62629",3201,17167003201,2019,3201,Sangamon County,Illinois,305,59,88,115,43,2952,18,64,462,553,239,963,653,19.3,28.9,37.7,14.1,0.6,2.2,15.7,18.7,8.1,32.6,22.1,1759,97933,111412,4353,50,1.1,4303,98.9,3938,90.5,38,0.9,0,0,265,6.1,0,0,0,0,62,1.4
Carlyle High School,Carlyle CUSD 1,485.7,479.7,65,65,Illinois,38.6194243,-89.3738741,1461 12th Street,62231,Clinton County,Carlyle,17027,"1461 12th Street, Carlyle, Illinois, 62231",900403,17027900403,2019,900403,Clinton County,Illinois,711,64,455,192,0,2562,132,116,929,466,295,539,85,9,64,27,0,5.2,4.5,36.3,18.2,11.5,21,3.3,1594,55154,68857,3961,94,2.4,3867,97.6,3568,90.1,56,1.4,0,0,0,0,0,0,0,0,243,6.1
West Leyden High School,Leyden CHSD 212,471.8,462.1,397,397,Illinois,41.926648,-87.9054261,1000 Wolf Road,60164,Cook County,Northlake,17031,"1000 Wolf Road, Northlake, Illinois, 60164",811702,17031811702,2019,811702,Cook County,Illinois,844,42,458,266,78,3269,354,303,1257,525,377,315,138,5,54.3,31.5,9.2,10.8,9.3,38.5,16.1,11.5,9.6,4.2,1876,55673,65845,5612,3227,57.5,2385,42.5,1923,34.3,237,4.2,10,0.2,215,3.8,0,0,0,0,0,0
Hinsdale South High School,Hinsdale Twp HSD 86,522,530,326,326,Illinois,41.7537297,-87.9527911,7401 Clarendon Hills Road,60561,DuPage County,Darien,17043,"7401 Clarendon Hills Road, Darien, Illinois, 60561",845811,17043845811,2019,845811,DuPage County,Illinois,272,17,82,105,68,2363,0,33,579,466,203,697,385,6.3,30.1,38.6,25,0,1.4,24.5,19.7,8.6,29.5,16.3,1353,84177,93408,3359,175,5.2,3184,94.8,2632,78.4,233,6.9,8,0.2,265,7.9,0,0,0,0,46,1.4
Astoria High School,Astoria CUSD 1,464.4,414.4,27,27,Illinois,40.2294616,-90.3524925,402 North Jefferson Street,61501,Fulton County,Astoria,17057,"402 North Jefferson Street, Astoria, Illinois, 61501",953900,17057953900,2019,953900,Fulton County,Illinois,203,14,115,74,0,1868,46,108,858,429,224,145,58,6.9,56.7,36.5,0,2.5,5.8,45.9,23,12,7.8,3.1,1277,41719,55606,2684,46,1.7,2638,98.3,2609,97.2,4,0.1,3,0.1,0,0,0,0,19,0.7,3,0.1
Joliet Central High School,Joliet Twp HSD 204,446.4,439.5,773,773,Illinois,41.5256805,-88.0751192,201 East Jefferson Street,60432,Will County,Joliet,17197,"201 East Jefferson Street, Joliet, Illinois, 60432",882000,17197882000,2019,882000,Will County,Illinois,374,92,220,62,0,1708,270,264,707,352,60,35,20,24.6,58.8,16.6,0,15.8,15.5,41.4,20.6,3.5,2,1.2,678,32212,40379,2550,1216,47.7,1334,52.3,383,15,829,32.5,7,0.3,8,0.3,0,0,0,0,107,4.2
Bartlett High School,SD U-46,496,494.8,535,535,Illinois,41.9504308,-88.1920698,701 West Schick Road,60103,DuPage County,Bartlett,17043,"701 West Schick Road, Bartlett, Illinois, 60103",841327,17043841327,2019,841327,DuPage County,Illinois,377,0,95,221,61,2729,36,34,600,580,201,868,410,0,25.2,58.6,16.2,1.3,1.2,22,21.3,7.4,31.8,15,1275,132384,149759,3897,42,1.1,3855,98.9,3284,84.3,0,0,0,0,521,13.4,5,0.1,0,0,45,1.2
Sangamon Valley High School,Sangamon Valley CUSD 9,492.8,489.7,64,64,Illinois,39.8567345,-89.1605232,398 North Illinois Street,62551,Macon County,Niantic,17115,"398 North Illinois Street, Niantic, Illinois, 62551",2800,17115002800,2019,2800,Macon County,Illinois,355,52,106,174,23,2789,76,100,1009,685,280,433,206,14.6,29.9,49,6.5,2.7,3.6,36.2,24.6,10,15.5,7.4,1649,63006,74312,4161,147,3.5,4014,96.5,3868,93,8,0.2,1,0,9,0.2,0,0,2,0,126,3
Iroquois West High School,Iroquois West CUSD 10,470,461.4,84,84,Illinois,40.7695039,-87.9853067,529 East 2nd Street,60938,Iroquois County,Gilman,17075,"529 East 2nd Street, Gilman, Illinois, 60938",950600,17075950600,2019,950600,Iroquois County,Illinois,239,65,89,72,13,2110,310,190,773,406,192,145,94,27.2,37.2,30.1,5.4,14.7,9,36.6,19.2,9.1,6.9,4.5,1197,53494,62586,3095,989,32,2106,68,1994,64.4,28,0.9,6,0.2,4,0.1,0,0,19,0.6,55,1.8
Beecher City Jr-Sr High School,Beecher City CUSD 20,471.1,498.9,19,19,Illinois,39.1682823,-88.7301525,,N/A,Effingham County,N/A,17049,,950200,17049950200,2019,950200,Effingham County,Illinois,245,30,67,102,46,3145,42,57,863,627,439,784,333,12.2,27.3,41.6,18.8,1.3,1.8,27.4,19.9,14,24.9,10.6,1872,71250,109900,4551,33,0.7,4518,99.3,4462,98,7,0.2,18,0.4,0,0,0,0,0,0,31,0.7
Kansas High School,Kansas CUSD 3,469.2,438.3,12,12,Illinois,39.5504716,-87.9405347,310 South Front Street,61933,Edgar County,Kansas,17045,"310 South Front Street, Kansas, Illinois, 61933",70500,17045070500,2019,70500,Edgar County,Illinois,133,13,43,47,30,2668,57,172,1030,489,410,411,99,9.8,32.3,35.3,22.6,2.1,6.4,38.6,18.3,15.4,15.4,3.7,1550,61118,68255,3541,52,1.5,3489,98.5,3413,96.4,14,0.4,0,0,25,0.7,0,0,0,0,37,1
Centennial High School,Champaign CUSD 4,490.5,492.4,339,339,Illinois,40.1059565,-88.2823141,913 Crescent Drive,61821,Champaign County,Champaign,17019,"913 Crescent Drive, Champaign, Illinois, 61821",1201,17019001201,2019,1201,Champaign County,Illinois,923,54,285,452,132,4531,63,315,1143,1066,257,796,891,5.9,30.9,49,14.3,1.4,7,25.2,23.5,5.7,17.6,19.7,3004,46642,57414,7197,282,3.9,6915,96.1,3062,42.5,2501,34.8,0,0,880,12.2,0,0,38,0.5,434,6
Pleasant Plains High School,Pleasant Plains CUSD 8,539.8,530.3,90,90,Illinois,39.8769,-89.9188546,500 North Cartwright Street,62677,Sangamon County,Pleasant Plains,17167,"500 North Cartwright Street, Pleasant Plains, Illinois, 62677",3500,17167003500,2019,3500,Sangamon County,Illinois,340,78,147,107,8,3453,45,272,867,959,388,593,329,22.9,43.2,31.5,2.4,1.3,7.9,25.1,27.8,11.2,17.2,9.5,2029,64456,77616,5001,31,0.6,4970,99.4,4880,97.6,45,0.9,5,0.1,11,0.2,0,0,0,0,29,0.6
Milford High School Campus,Milford Area Public Schools District 124,506.5,485.9,49,49,Illinois,41.7228282,-87.7024817,,60805,Cook County,Evergreen Park,17031,,821800,17031821800,2019,821800,Cook County,Illinois,425,23,91,265,46,3708,76,138,700,860,378,981,575,5.4,21.4,62.4,10.8,2,3.7,18.9,23.2,10.2,26.5,15.5,2085,73179,90472,5246,685,13.1,4561,86.9,2790,53.2,1590,30.3,0,0,3,0.1,0,0,65,1.2,113,2.2
Plainfield East High School,Plainfield SD 202,514.6,526.3,551,551,Illinois,41.6647599,-88.1747279,12001 Naperville Road,60585,Will County,Plainfield,17197,"12001 Naperville Road, Plainfield, Illinois, 60585",880317,17197880317,2019,880317,Will County,Illinois,259,43,43,112,61,3374,65,71,448,532,272,930,1056,16.6,16.6,43.2,23.6,1.9,2.1,13.3,15.8,8.1,27.6,31.3,1570,138750,181818,5191,518,10,4673,90,2776,53.5,717,13.8,0,0,1072,20.7,0,0,0,0,108,2.1
Grant Park High School,Grant Park CUSD 6,469.8,455.1,47,47,Illinois,41.2451986,-87.6500923,421 Esson Farm Road,60940,Kankakee County,Grant Park,17091,"421 Esson Farm Road, Grant Park, Illinois, 60940",10100,17091010100,2019,10100,Kankakee County,Illinois,158,0,64,85,9,1539,31,82,665,413,156,134,58,0,40.5,53.8,5.7,2,5.3,43.2,26.8,10.1,8.7,3.8,834,67708,81178,2135,43,2,2092,98,2052,96.1,2,0.1,0,0,0,0,0,0,0,0,38,1.8
Brooks College Prep Academy HS,City of Chicago SD 299,565.8,559.6,209,209,Illinois,41.6940833,-87.6158523,250 East 111th Street,60628,Cook County,Chicago,17031,"250 East 111th Street, Chicago, Illinois, 60628",490901,17031490901,2019,490901,Cook County,Illinois,265,53,73,139,0,2017,98,298,541,635,181,186,78,20,27.5,52.5,0,4.9,14.8,26.8,31.5,9,9.2,3.9,1237,31406,44090,2928,66,2.3,2862,97.7,1,0,2852,97.4,0,0,0,0,0,0,0,0,9,0.3
Riverdale Sr High School,Riverdale CUSD 100,494.3,495.3,83,83,Illinois,41.6178935,-90.268585,9622 256th Street North,61275,Rock Island County,Port Byron,17161,"9622 256th Street North, Port Byron, Illinois, 61275",20102,17161020102,2019,20102,Rock Island County,Illinois,239,13,64,125,37,2794,29,153,723,594,382,629,284,5.4,26.8,52.3,15.5,1,5.5,25.9,21.3,13.7,22.5,10.2,1535,81103,101885,4201,222,5.3,3979,94.7,3820,90.9,25,0.6,56,1.3,0,0,0,0,0,0,78,1.9
El Paso-Gridley High School,El Paso-Gridley CUSD 11,530.3,488.4,92,92,Illinois,40.7444565,-89.0188231,600 North Elm Street,61738,Woodford County,El Paso,17203,"600 North Elm Street, El Paso, Illinois, 61738",30700,17203030700,2019,30700,Woodford County,Illinois,372,43,148,149,32,2784,40,168,1110,570,265,484,147,11.6,39.8,40.1,8.6,1.4,6,39.9,20.5,9.5,17.4,5.3,1531,68063,97062,4145,36,0.9,4109,99.1,4010,96.7,46,1.1,5,0.1,5,0.1,0,0,0,0,43,1
Raby High School,City of Chicago SD 299,391.1,385.3,62,62,Illinois,41.8861417,-87.7153641,3545 West Fulton Boulevard,60624,Cook County,Chicago,17031,"3545 West Fulton Boulevard, Chicago, Illinois, 60624",836800,17031836800,2019,836800,Cook County,Illinois,348,26,322,0,0,1180,97,400,319,153,58,107,46,7.5,92.5,0,0,8.2,33.9,27,13,4.9,9.1,3.9,811,13733,24388,2149,0,0,2149,100,187,8.7,1962,91.3,0,0,0,0,0,0,0,0,0,0
Ridgeview High School,Ridgeview CUSD 19,494.3,494,35,35,Illinois,40.5636951,-88.6134282,202 East Wood Street,61728,McLean County,Colfax,17113,"202 East Wood Street, Colfax, Illinois, 61728",5601,17113005601,2019,5601,McLean County,Illinois,118,13,73,32,0,1216,0,30,535,276,122,165,88,11,61.9,27.1,0,0,2.5,44,22.7,10,13.6,7.2,636,58500,72842,2011,222,11,1789,89,1727,85.9,0,0,4,0.2,0,0,0,0,0,0,58,2.9
Meridian High School,Meridian CUSD 15,474.5,467.2,53,53,Illinois,39.7028054,-88.9969049,728 South Wall Street,62544,Macon County,Macon,17115,"728 South Wall Street, Macon, Illinois, 62544",2602,17115002602,2019,2602,Macon County,Illinois,143,16,30,67,30,1255,23,54,508,334,95,191,50,11.2,21,46.9,21,1.8,4.3,40.5,26.6,7.6,15.2,4,689,69063,79569,1748,13,0.7,1735,99.3,1673,95.7,8,0.5,0,0,0,0,0,0,21,1.2,33,1.9
R O W V A Jr and  Sr High School,R O W V A CUSD 208,477.3,443.8,37,37,Illinois,41.0744824,-90.2202308,346 E Rova Drive,61467,Knox County,Oneida,17095,"346 E Rova Drive, Oneida, Illinois, 61467",100,17095000100,2019,100,Knox County,Illinois,233,10,42,135,46,1863,29,56,596,388,268,379,147,4.3,18,57.9,19.7,1.6,3,32,20.8,14.4,20.3,7.9,1135,66518,70811,2744,24,0.9,2720,99.1,2625,95.7,81,3,0,0,1,0,0,0,0,0,13,0.5
Lincoln-Way Central High School,Lincoln Way CHSD 210,548.5,555.5,480,480,Illinois,41.5130867,-87.9283308,1801 East Lincoln Highway,60451,Will County,New Lenox,17197,"1801 East Lincoln Highway, New Lenox, Illinois, 60451",881116,17197881116,2019,881116,Will County,Illinois,426,32,72,279,43,2629,0,35,536,500,307,728,523,7.5,16.9,65.5,10.1,0,1.3,20.4,19,11.7,27.7,19.9,1311,145115,149659,4178,114,2.7,4064,97.3,3994,95.6,0,0,0,0,16,0.4,0,0,23,0.6,31,0.7
Richmond-Burton High School,Richmond-Burton CHSD 157,526.6,533.6,168,168,Illinois,42.4450283,-88.2820333,4213 U.S. 12,60071,McHenry County,Richmond,17111,"4213 U.S. 12, Richmond, Illinois, 60071",870104,17111870104,2019,870104,McHenry County,Illinois,353,32,148,126,47,3559,24,121,1114,949,296,814,241,9.1,41.9,35.7,13.3,0.7,3.4,31.3,26.7,8.3,22.9,6.8,2032,69344,106283,4958,387,7.8,4571,92.2,4358,87.9,33,0.7,9,0.2,42,0.8,0,0,0,0,129,2.6
John Hersey High School,Township HSD 214,572.5,584.3,486,486,Illinois,42.1038234,-87.9590565,1900 East Thomas Street,60004,Cook County,Arlington Heights,17031,"1900 East Thomas Street, Arlington Heights, Illinois, 60004",802608,17031802608,2019,802608,Cook County,Illinois,264,50,47,36,131,4627,116,66,1071,929,331,1397,717,18.9,17.8,13.6,49.6,2.5,1.4,23.1,20.1,7.2,30.2,15.5,2892,66947,94990,6039,183,3,5856,97,5217,86.4,223,3.7,0,0,404,6.7,0,0,0,0,12,0.2
Massac County High School,Massac UD 1,484,473.6,141,141,Illinois,37.182648,-88.722288,2841 Old Marion Road,62960,Massac County,Metropolis,17127,"2841 Old Marion Road, Metropolis, Illinois, 62960",970100,17127970100,2019,970100,Massac County,Illinois,285,58,68,159,0,3117,88,171,951,967,514,338,88,20.4,23.9,55.8,0,2.8,5.5,30.5,31,16.5,10.8,2.8,1647,62240,75225,4583,75,1.6,4508,98.4,4067,88.7,277,6,8,0.2,0,0,0,0,0,0,156,3.4
Mundelein Cons High School,Mundelein Cons HSD 120,508.3,502.7,502,502,Illinois,42.2712241,-88.0215527,1350 West Hawley Street,60060,Lake County,Mundelein,17097,"1350 West Hawley Street, Mundelein, Illinois, 60060",864105,17097864105,2019,864104,Lake County,Illinois,577,77,190,248,62,4613,101,107,686,664,258,1592,1205,13.3,32.9,43,10.7,2.2,2.3,14.9,14.4,5.6,34.5,26.1,2396,118333,144131,6330,905,14.3,5425,85.7,4135,65.3,18,0.3,11,0.2,1030,16.3,0,0,0,0,231,3.6
Lincoln-Way East High School,Lincoln Way CHSD 210,551.7,558.5,692,692,Illinois,41.5129712,-87.8544503,201 Colorado Avenue,60423,Will County,Frankfort,17197,"201 Colorado Avenue, Frankfort, Illinois, 60423",883515,17197883515,2019,883515,Will County,Illinois,438,0,138,144,156,3118,15,47,449,688,327,837,755,0,31.5,32.9,35.6,0.5,1.5,14.4,22.1,10.5,26.8,24.2,1580,140000,146381,4670,381,8.2,4289,91.8,4080,87.4,106,2.3,0,0,86,1.8,0,0,0,0,17,0.4
Auburn High School,Rockford SD 205,481,467.7,391,391,Illinois,42.2867708,-89.138098,5110 Auburn Street,61101,Winnebago County,Rockford,17201,"5110 Auburn Street, Rockford, Illinois, 61101",2301,17201002301,2019,2301,Winnebago County,Illinois,158,35,73,0,50,1361,56,193,496,413,67,98,38,22.2,46.2,0,31.6,4.1,14.2,36.4,30.3,4.9,7.2,2.8,778,35429,49174,2055,254,12.4,1801,87.6,972,47.3,712,34.6,0,0,0,0,0,0,6,0.3,111,5.4
Round Lake Senior High School,Round Lake CUSD 116,449.2,438.9,505,505,Illinois,42.3629221,-88.0935023,800 Panther Boulevard,60073,Lake County,Round Lake Beach,17097,"800 Panther Boulevard, Round Lake Beach, Illinois, 60073",861403,17097861403,2019,861403,Lake County,Illinois,253,20,81,152,0,1252,126,105,513,278,97,106,27,7.9,32,60.1,0,10.1,8.4,41,22.2,7.7,8.5,2.2,719,54375,61415,2411,1210,50.2,1201,49.8,914,37.9,45,1.9,5,0.2,25,1,0,0,170,7.1,42,1.7
Metamora High School,County of Woodford School,525.4,539.9,236,236,Illinois,40.7946741,-89.3639219,101 West Madison Street,61548,Woodford County,Metamora,17203,"101 West Madison Street, Metamora, Illinois, 61548",30400,17203030400,2019,30400,Woodford County,Illinois,412,0,130,251,31,3809,71,127,862,869,320,1044,516,0,31.6,60.9,7.5,1.9,3.3,22.6,22.8,8.4,27.4,13.5,2181,83832,104773,5555,47,0.8,5508,99.2,5323,95.8,19,0.3,0,0,74,1.3,0,0,0,0,92,1.7
J Sterling Morton West High Sch,J S Morton HSD 201,458.3,430.1,814,814,Illinois,41.845527,-87.7989553,2400 Home Avenue,60402,Cook County,Berwyn,17031,"2400 Home Avenue, Berwyn, Illinois, 60402",814800,17031814800,2019,814800,Cook County,Illinois,424,49,217,126,32,4326,428,436,1050,1108,461,571,272,11.6,51.2,29.7,7.5,9.9,10.1,24.3,25.6,10.7,13.2,6.3,2196,55226,72316,5781,2884,49.9,2897,50.1,1749,30.3,770,13.3,0,0,361,6.2,0,0,0,0,17,0.3
Hillsboro High School,Hillsboro CUSD 3,485.8,453.4,130,130,Illinois,39.1527446,-89.4877793,522 East Tremont Street,62049,Montgomery County,Hillsboro,17135,"522 East Tremont Street, Hillsboro, Illinois, 62049",957900,17135957900,2019,957900,Montgomery County,Illinois,321,15,155,97,54,3022,99,267,846,801,249,459,301,4.7,48.3,30.2,16.8,3.3,8.8,28,26.5,8.2,15.2,10,1917,57423,63119,4359,45,1,4314,99,4194,96.2,16,0.4,3,0.1,0,0,0,0,44,1,57,1.3
Hirsch Metropolitan High School,City of Chicago SD 299,392.8,374.1,46,46,Illinois,41.753991,-87.601927,7740 South Ingleside Avenue,60619,Cook County,Chicago,17031,"7740 South Ingleside Avenue, Chicago, Illinois, 60619",691500,17031691500,2019,691500,Cook County,Illinois,191,19,110,62,0,1232,37,171,470,285,67,179,23,9.9,57.6,32.5,0,3,13.9,38.1,23.1,5.4,14.5,1.9,874,19470,27958,2072,47,2.3,2025,97.7,61,2.9,1963,94.7,0,0,0,0,1,0,0,0,0,0
Senn High School,City of Chicago SD 299,489.3,487.9,336,336,Illinois,41.9890128,-87.6667743,5900 North Glenwood Avenue,60660,Cook County,Chicago,17031,"5900 North Glenwood Avenue, Chicago, Illinois, 60660",30500,17031030500,2019,30500,Cook County,Illinois,416,0,23,90,303,5500,183,240,472,628,396,2075,1506,0,5.5,21.6,72.8,3.3,4.4,8.6,11.4,7.2,37.7,27.4,2933,101607,117182,6870,1357,19.8,5513,80.2,4243,61.8,352,5.1,0,0,469,6.8,14,0.2,0,0,435,6.3
Stark County High School,Stark County CUSD 100,455,447.6,46,46,Illinois,41.0894749,-89.8637371,418 South Franklin Street,61483,Stark County,Toulon,17175,"418 South Franklin Street, Toulon, Illinois, 61483",951400,17175951400,2019,951400,Stark County,Illinois,197,20,86,80,11,2066,70,168,865,466,201,179,117,10.2,43.7,40.6,5.6,3.4,8.1,41.9,22.6,9.7,8.7,5.7,1240,51667,58479,2934,31,1.1,2903,98.9,2772,94.5,32,1.1,0,0,35,1.2,0,0,0,0,64,2.2
Amos Alonzo Stagg High School,Cons HSD 230,507.5,512.5,566,566,Illinois,41.6878991,-87.8185898,8015 West 111th Street,60465,Cook County,Palos Hills,17031,"8015 West 111th Street, Palos Hills, Illinois, 60465",823805,17031823805,2019,823804,Cook County,Illinois,148,2,13,111,22,2449,129,21,727,554,217,628,173,1.4,8.8,75,14.9,5.3,0.9,29.7,22.6,8.9,25.6,7.1,1475,55655,69960,2918,500,17.1,2418,82.9,2268,77.7,38,1.3,0,0,61,2.1,0,0,0,0,51,1.7
Winchester High School,Winchester CUSD 1,466.3,444.8,40,40,Illinois,39.6275071,-90.4595794,200 West Cross Street,62694,Scott County,Winchester,17171,"200 West Cross Street, Winchester, Illinois, 62694",970700,17171970700,2019,970700,Scott County,Illinois,220,21,81,91,27,2269,45,77,1092,337,236,352,130,9.5,36.8,41.4,12.3,2,3.4,48.1,14.9,10.4,15.5,5.7,1274,57833,67756,3188,19,0.6,3169,99.4,3127,98.1,21,0.7,8,0.3,0,0,0,0,0,0,13,0.4
Evergreen Park High School,Evergreen Park CHSD 231,501.3,503.7,199,199,Illinois,41.7128974,-87.7005257,9901 South Kedzie Avenue,60805,Cook County,Evergreen Park,17031,"9901 South Kedzie Avenue, Evergreen Park, Illinois, 60805",821900,17031821900,2019,821900,Cook County,Illinois,375,26,95,199,55,3395,113,131,791,908,261,727,464,6.9,25.3,53.1,14.7,3.3,3.9,23.3,26.7,7.7,21.4,13.7,1648,86121,96943,5012,682,13.6,4330,86.4,3311,66.1,715,14.3,0,0,171,3.4,0,0,51,1,82,1.6
Herrin High School,Herrin CUSD 4,477.9,471.9,172,172,Illinois,37.809813,-89.0220426,700 North 10th Street,62948,Williamson County,Herrin,17199,"700 North 10th Street, Herrin, Illinois, 62948",20500,17199020500,2019,20500,Williamson County,Illinois,289,48,156,72,13,2529,24,118,772,640,233,446,296,16.6,54,24.9,4.5,0.9,4.7,30.5,25.3,9.2,17.6,11.7,1581,49123,61639,3600,32,0.9,3568,99.1,3383,94,112,3.1,20,0.6,30,0.8,0,0,0,0,23,0.6
Wheaton North High School,CUSD 200,545.4,548.3,501,501,Illinois,41.8830088,-88.1170836,701 West Thomas Road,60187,DuPage County,Wheaton,17043,"701 West Thomas Road, Wheaton, Illinois, 60187",841802,17043841802,2019,841802,DuPage County,Illinois,318,10,108,146,54,3570,58,38,555,557,195,1242,925,3.1,34,45.9,17,1.6,1.1,15.5,15.6,5.5,34.8,25.9,1820,129900,150157,5387,198,3.7,5189,96.3,4707,87.4,127,2.4,0,0,275,5.1,0,0,16,0.3,64,1.2
School of Social Justice HS,City of Chicago SD 299,425.6,434.1,61,61,Illinois,41.8348999,-87.7356033,3120 South Kostner Avenue,60623,Cook County,Chicago,17031,"3120 South Kostner Avenue, Chicago, Illinois, 60623",830500,17031830500,2019,830500,Cook County,Illinois,336,35,180,103,18,2274,820,191,652,337,115,159,0,10.4,53.6,30.7,5.4,36.1,8.4,28.7,14.8,5.1,7,0,1037,37306,52638,3910,3867,98.9,43,1.1,43,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Oakwood High School,Oakwood CUSD 76,474.7,463.5,78,78,Illinois,40.1130751,-87.8281417,5870 U.S. 150,61844,Vermilion County,Fithian,17183,"5870 U.S. 150, Fithian, Illinois, 61844",10800,17183010800,2019,10800,Vermilion County,Illinois,190,6,85,99,0,2219,25,84,918,475,335,225,157,3.2,44.7,52.1,0,1.1,3.8,41.4,21.4,15.1,10.1,7.1,1294,60000,75116,3302,97,2.9,3205,97.1,3183,96.4,10,0.3,2,0.1,0,0,0,0,0,0,10,0.3
Western High School,Western CUSD 12,493.5,494.7,34,34,Illinois,39.6971968,-91.044325,401 McDonough Street,62312,Pike County,Barry,17149,"401 McDonough Street, Barry, Illinois, 62312",952500,17149952500,2019,952500,Pike County,Illinois,172,22,85,44,21,1875,36,50,894,474,171,171,79,12.8,49.4,25.6,12.2,1.9,2.7,47.7,25.3,9.1,9.1,4.2,1088,53625,61489,2757,23,0.8,2734,99.2,2694,97.7,0,0,0,0,8,0.3,0,0,3,0.1,29,1.1
Normal Community West High School,McLean County USD 5,506.7,496.1,371,371,Illinois,40.5227489,-89.0231607,501 North Parkside Road,61761,McLean County,Normal,17113,"501 North Parkside Road, Normal, Illinois, 61761",108,17113000108,2019,108,McLean County,Illinois,2232,20,91,1776,345,2661,43,26,793,524,224,798,253,0.9,4.1,79.6,15.5,1.6,1,29.8,19.7,8.4,30,9.5,2173,25118,43913,6138,463,7.5,5675,92.5,3947,64.3,1216,19.8,0,0,199,3.2,0,0,0,0,313,5.1
Collinsville High School,Collinsville CUSD 10,476.2,466.6,442,442,Illinois,38.6469424,-90.011673,2201 South Morrison Avenue,62234,St. Clair County,Collinsville,17163,"2201 South Morrison Avenue, Collinsville, Illinois, 62234",503412,17163503412,2019,503412,St. Clair County,Illinois,397,60,115,171,51,3782,151,121,1116,959,199,736,500,15.1,29,43.1,12.8,4,3.2,29.5,25.4,5.3,19.5,13.2,2148,76305,89457,5133,365,7.1,4768,92.9,3887,75.7,481,9.4,0,0,354,6.9,0,0,0,0,46,0.9
Madison Senior High School,Madison CUSD 12,396.5,379.8,48,48,Illinois,38.6823289,-90.143275,600 Farrish Street,62060,Madison County,Madison,17119,"600 Farrish Street, Madison, Illinois, 62060",400903,17119400903,2019,400903,Madison County,Illinois,319,108,126,75,10,3101,122,429,921,868,380,275,106,33.9,39.5,23.5,3.1,3.9,13.8,29.7,28,12.3,8.9,3.4,1922,47045,57781,4612,700,15.2,3912,84.8,3491,75.7,311,6.7,0,0,13,0.3,0,0,39,0.8,58,1.3
Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,473.4,431.9,67,67,Illinois,40.8044833,-90.4017954,,61410,Knox County,Abingdon,17095,,1500,17095001500,2019,1500,Knox County,Illinois,260,7,187,43,23,2721,56,316,1038,650,274,290,97,2.7,71.9,16.5,8.8,2.1,11.6,38.1,23.9,10.1,10.7,3.6,1608,45948,50535,3997,178,4.5,3819,95.5,3696,92.5,82,2.1,0,0,0,0,0,0,0,0,41,1
