School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Sterling High School,Sterling CUSD 5,474.8,475.3,230.0,230.0
Chicago Excel Academy HS,City of Chicago SD 299,399.5,375.4,57.0,57.0
Sandoval Sr High School,Sandoval CUSD 501,447.9,403.2,19.0,19.0
Bogan High School,City of Chicago SD 299,406.1,400.3,230.0,230.0
Elk Grove High School,Township HSD 214,500.0,508.2,463.0,463.0
Barrington High School,Barrington CUSD 220,565.0,582.1,764.0,764.0
Somonauk High School,Somonauk CUSD 432,494.5,500.5,75.0,75.0
YCCS-Jane Addams Alternative HS,City of Chicago SD 299,414.5,395.2,42.0,42.0
J B Conant High School,Township HSD 211,535.8,563.0,576.0,576.0
Proviso Math and Science Academy,Proviso Twp HSD 209,574.4,579.3,165.0,165.0
Webber High School,Bluford Unit School District 318,480.7,464.8,29.0,29.0
Proviso East High School,Proviso Twp HSD 209,421.1,404.9,367.0,367.0
Knoxville Sr High School,Knoxville CUSD 202,493.4,478.5,79.0,79.0
Rushville-Industry High School,Schuyler-Industry CUSD 5,479.2,460.7,86.0,86.0
Peoria Heights High School,Peoria Heights CUSD 325,447.3,449.0,48.0,48.0
Lindblom Math & Science Acad HS,City of Chicago SD 299,543.3,545.9,266.0,266.0
Palestine High School,Palestine CUSD 3,501.4,465.2,21.0,21.0
Carrollton High School,Carrollton CUSD 1,504.5,516.3,38.0,38.0
CICS - Longwood Campus,City of Chicago SD 299,401.7,386.2,115.0,115.0
Acero Chtr Sch Network Victoria Soto Campus,City of Chicago SD 299,424.9,426.1,142.0,142.0
Williamsville High School,Williamsville CUSD 15,535.1,535.9,98.0,98.0
Foreman High School,City of Chicago SD 299,393.4,392.6,207.0,207.0
Auburn High School,Auburn CUSD 10,499.3,468.0,105.0,105.0
Chicago HS for the Arts,City of Chicago SD 299,506.9,473.3,143.0,143.0
Rockford East High School,Rockford SD 205,441.1,421.7,431.0,431.0
Univ of Chicago Chtr-Woodlawn,City of Chicago SD 299,422.5,427.8,91.0,91.0
Walter Henri Dyett High School for the Arts,City of Chicago SD 299,431.2,414.9,137.0,137.0
Rich South Campus High School,Rich Twp HSD 227,442.4,428.1,204.0,204.0
Martinsville Jr-Sr High School,Martinsville CUSD 3C,491.0,468.6,21.0,21.0
Harvard High School,Harvard CUSD 50,457.8,445.5,170.0,170.0
Bloom High School,Bloom Twp HSD 206,447.8,434.7,392.0,392.0
Eugene Field School,McLean County USD 5,455.0,380.0,,
Kelvyn Park High School,City of Chicago SD 299,419.1,416.2,69.0,69.0
Milledgeville High School,Chadwick-Milledgeville CUSD 399,494.0,464.8,42.0,42.0
Adlai E Stevenson High School,Adlai E Stevenson HSD 125,599.0,623.4,1006.0,1006.0
Tri-City High School,Tri City CUSD 1,446.6,456.3,35.0,35.0
Sycamore High School,Sycamore CUSD 427,524.2,516.6,320.0,320.0
Northside College Preparatory Hs,City of Chicago SD 299,662.1,663.2,269.0,269.0
Windsor Jr & Sr High School,Windsor CUSD 1,451.6,440.5,19.0,19.0
Harry D Jacobs High School,CUSD 300,519.8,528.2,480.0,480.0
Mount Pulaski High School,Mt Pulaski CUSD 23,480.2,465.6,50.0,50.0
Curie Metropolitan High School,City of Chicago SD 299,443.0,449.7,583.0,583.0
Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,City of Chicago SD 299,447.6,444.8,25.0,25.0
Clark Acad Prep Magnet High Schl,City of Chicago SD 299,408.5,391.6,117.0,117.0
Monmouth-Roseville High Sch,Monmouth-Roseville CUSD 238,452.4,461.4,128.0,128.0
Thornridge High School,Thornton Twp HSD 205,413.6,396.6,260.0,260.0
YCCS-Scholastic Achievement HS,City of Chicago SD 299,383.2,358.3,63.0,63.0
Sherrard High School,Sherrard CUSD 200,503.0,491.7,104.0,104.0
Leland High School,Leland CUSD 1,460.4,424.4,25.0,25.0
Glenbrook South High School,Northfield Twp HSD 225,569.4,583.7,772.0,772.0
Roosevelt High School,City of Chicago SD 299,421.9,421.1,220.0,220.0
Highland Park High School,Twp HSD 113,554.7,570.6,508.0,508.0
Cahokia High School,Cahokia CUSD 187,404.4,388.0,135.0,135.0
