unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05017080300,2023,80300,Chicot County,Arkansas,248,22,138,80,8,1871,143,167,688,384,131,203,155,8.9,55.6,32.3,3.2,7.6,8.9,36.8,20.5,7.0,10.8,8.3,1074,45179,57712,2816,332,11.8,2484,88.2,1086,38.6,1328,47.2,0,0.0,18,0.6,0,0.0,0,0.0,52,1.8
05017080400,2023,80400,Chicot County,Arkansas,122,71,51,0,0,1495,63,301,608,218,99,132,74,58.2,41.8,0.0,0.0,4.2,20.1,40.7,14.6,6.6,8.8,4.9,982,27197,44613,1950,0,0.0,1950,100.0,171,8.8,1762,90.4,0,0.0,0,0.0,0,0.0,0,0.0,17,0.9
05019953601,2023,953601,Clark County,Arkansas,1869,3,331,1433,102,2291,23,49,660,635,128,488,308,0.2,17.7,76.7,5.5,1.0,2.1,28.8,27.7,5.6,21.3,13.4,1892,41792,58976,5133,327,6.4,4806,93.6,2964,57.7,1588,30.9,9,0.2,23,0.4,22,0.4,11,0.2,189,3.7
05019953602,2023,953602,Clark County,Arkansas,1795,22,259,1383,131,1668,75,90,405,315,118,323,342,1.2,14.4,77.0,7.3,4.5,5.4,24.3,18.9,7.1,19.4,20.5,1164,63333,79217,4084,200,4.9,3884,95.1,3068,75.1,624,15.3,0,0.0,72,1.8,19,0.5,3,0.1,98,2.4
05019953700,2023,953700,Clark County,Arkansas,333,34,162,118,19,2736,92,325,1028,504,232,485,70,10.2,48.6,35.4,5.7,3.4,11.9,37.6,18.4,8.5,17.7,2.6,1594,48182,67824,3927,146,3.7,3781,96.3,3229,82.2,458,11.7,0,0.0,0,0.0,0,0.0,0,0.0,94,2.4
05019953800,2023,953800,Clark County,Arkansas,380,0,139,215,26,2205,96,97,712,670,110,271,249,0.0,36.6,56.6,6.8,4.4,4.4,32.3,30.4,5.0,12.3,11.3,1412,46154,55099,3253,144,4.4,3109,95.6,1747,53.7,1239,38.1,0,0.0,0,0.0,0,0.0,0,0.0,123,3.8
05019953901,2023,953901,Clark County,Arkansas,190,0,159,24,7,1486,3,143,452,508,77,224,79,0.0,83.7,12.6,3.7,0.2,9.6,30.4,34.2,5.2,15.1,5.3,859,67361,103453,1980,13,0.7,1967,99.3,1557,78.6,388,19.6,4,0.2,0,0.0,0,0.0,0,0.0,18,0.9
05019953902,2023,953902,Clark County,Arkansas,220,17,130,68,5,1991,110,139,791,532,103,244,72,7.7,59.1,30.9,2.3,5.5,7.0,39.7,26.7,5.2,12.3,3.6,1226,53750,58267,3001,316,10.5,2685,89.5,1901,63.3,755,25.2,0,0.0,0,0.0,0,0.0,0,0.0,29,1.0
05021950100,2023,950100,Clay County,Arkansas,122,41,53,28,0,1410,44,95,635,258,103,158,117,33.6,43.4,23.0,0.0,3.1,6.7,45.0,18.3,7.3,11.2,8.3,814,45556,55159,1891,4,0.2,1887,99.8,1695,89.6,0,0.0,1,0.1,2,0.1,0,0.0,0,0.0,189,10.0
05021950200,2023,950200,Clay County,Arkansas,121,15,82,21,3,1553,86,169,659,251,187,129,72,12.4,67.8,17.4,2.5,5.5,10.9,42.4,16.2,12.0,8.3,4.6,832,56215,81542,2094,1,0.0,2093,100.0,2055,98.1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,37,1.8
05021950300,2023,950300,Clay County,Arkansas,179,79,79,17,4,1319,84,135,622,147,214,67,50,44.1,44.1,9.5,2.2,6.4,10.2,47.2,11.1,16.2,5.1,3.8,742,62188,72057,1771,1,0.1,1770,99.9,1720,97.1,0,0.0,0,0.0,3,0.2,0,0.0,0,0.0,47,2.7
05021950400,2023,950400,Clay County,Arkansas,197,14,95,66,22,2215,97,159,1054,342,123,262,178,7.1,48.2,33.5,11.2,4.4,7.2,47.6,15.4,5.6,11.8,8.0,1366,44034,60810,3151,34,1.1,3117,98.9,2876,91.3,0,0.0,24,0.8,0,0.0,0,0.0,0,0.0,217,6.9
05021950500,2023,950500,Clay County,Arkansas,135,7,29,71,28,1309,98,209,534,261,34,77,96,5.2,21.5,52.6,20.7,7.5,16.0,40.8,19.9,2.6,5.9,7.3,862,45104,51721,1744,5,0.3,1739,99.7,1638,93.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,101,5.8
05021950600,2023,950600,Clay County,Arkansas,266,25,124,111,6,2462,66,129,1069,639,161,269,129,9.4,46.6,41.7,2.3,2.7,5.2,43.4,26.0,6.5,10.9,5.2,1500,48889,62763,3748,75,2.0,3673,98.0,3524,94.0,13,0.3,22,0.6,0,0.0,0,0.0,0,0.0,114,3.0
05023480100,2023,480100,Cleburne County,Arkansas,211,55,59,97,0,2831,133,289,1156,522,194,363,174,26.1,28.0,46.0,0.0,4.7,10.2,40.8,18.4,6.9,12.8,6.1,1517,55685,69279,3735,62,1.7,3673,98.3,3514,94.1,2,0.1,65,1.7,16,0.4,0,0.0,0,0.0,76,2.0
05023480201,2023,480201,Cleburne County,Arkansas,28,0,7,21,0,1402,33,41,464,439,125,147,153,0.0,25.0,75.0,0.0,2.4,2.9,33.1,31.3,8.9,10.5,10.9,800,55000,69140,1779,46,2.6,1733,97.4,1644,92.4,0,0.0,37,2.1,0,0.0,0,0.0,0,0.0,52,2.9
05023480203,2023,480203,Cleburne County,Arkansas,132,45,66,21,0,1620,105,114,640,358,171,158,74,34.1,50.0,15.9,0.0,6.5,7.0,39.5,22.1,10.6,9.8,4.6,905,57104,66528,2087,0,0.0,2087,100.0,2005,96.1,0,0.0,7,0.3,0,0.0,9,0.4,0,0.0,66,3.2
05023480204,2023,480204,Cleburne County,Arkansas,15,0,15,0,0,755,32,39,401,187,32,36,28,0.0,100.0,0.0,0.0,4.2,5.2,53.1,24.8,4.2,4.8,3.7,391,83454,103218,997,9,0.9,988,99.1,916,91.9,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,70,7.0
05023480301,2023,480301,Cleburne County,Arkansas,59,14,31,14,0,1627,11,135,846,205,198,160,72,23.7,52.5,23.7,0.0,0.7,8.3,52.0,12.6,12.2,9.8,4.4,982,50556,66040,2160,11,0.5,2149,99.5,1957,90.6,11,0.5,3,0.1,0,0.0,0,0.0,0,0.0,178,8.2
