unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17201000300,2020,300,Winnebago County,Illinois,297,67,168,49,13,2730,45,190,1116,719,292,313,55,22.6,56.6,16.5,4.4,1.6,7.0,40.9,26.3,10.7,11.5,2.0
17201000401,2020,401,Winnebago County,Illinois,135,5,80,36,14,1733,115,34,381,291,278,364,270,3.7,59.3,26.7,10.4,6.6,2.0,22.0,16.8,16.0,21.0,15.6
17201000402,2020,401,Winnebago County,Illinois,110,10,77,16,7,2354,90,158,686,347,215,524,334,9.1,70.0,14.5,6.4,3.8,6.7,29.1,14.7,9.1,22.3,14.2
17201000403,2020,403,Winnebago County,Illinois,157,10,109,25,13,3374,47,139,999,832,222,745,390,6.4,69.4,15.9,8.3,1.4,4.1,29.6,24.7,6.6,22.1,11.6
17201000501,2020,501,Winnebago County,Illinois,157,0,47,86,24,3423,119,147,939,908,327,684,299,0.0,29.9,54.8,15.3,3.5,4.3,27.4,26.5,9.6,20.0,8.7
17201000502,2020,501,Winnebago County,Illinois,398,48,85,236,29,2726,378,338,589,571,214,383,253,12.1,21.4,59.3,7.3,13.9,12.4,21.6,20.9,7.9,14.0,9.3
17201000506,2020,505,Winnebago County,Illinois,424,33,83,260,48,3193,90,149,707,893,252,660,442,7.8,19.6,61.3,11.3,2.8,4.7,22.1,28.0,7.9,20.7,13.8
17201000507,2020,507,Winnebago County,Illinois,428,15,121,274,18,2337,70,82,806,564,135,425,255,3.5,28.3,64.0,4.2,3.0,3.5,34.5,24.1,5.8,18.2,10.9
17201000510,2020,509,Winnebago County,Illinois,345,26,60,139,120,2626,124,82,338,393,202,822,665,7.5,17.4,40.3,34.8,4.7,3.1,12.9,15.0,7.7,31.3,25.3
17201000511,2020,511,Winnebago County,Illinois,100,19,27,30,24,1882,32,162,501,270,174,476,267,19.0,27.0,30.0,24.0,1.7,8.6,26.6,14.3,9.2,25.3,14.2
17201000512,2020,512,Winnebago County,Illinois,325,2,37,170,116,3722,10,142,742,878,157,974,819,0.6,11.4,52.3,35.7,0.3,3.8,19.9,23.6,4.2,26.2,22.0
17201000513,2020,513,Winnebago County,Illinois,279,50,126,27,76,3190,65,225,1083,667,326,434,390,17.9,45.2,9.7,27.2,2.0,7.1,33.9,20.9,10.2,13.6,12.2
17201000514,2020,514,Winnebago County,Illinois,250,0,113,114,23,2919,60,146,903,614,251,714,231,0.0,45.2,45.6,9.2,2.1,5.0,30.9,21.0,8.6,24.5,7.9
17201000515,2020,515,Winnebago County,Illinois,336,0,8,180,148,1691,41,45,316,439,221,346,283,0.0,2.4,53.6,44.0,2.4,2.7,18.7,26.0,13.1,20.5,16.7
17201000516,2020,516,Winnebago County,Illinois,219,28,24,158,9,2853,74,51,558,577,214,653,726,12.8,11.0,72.1,4.1,2.6,1.8,19.6,20.2,7.5,22.9,25.4
17201000600,2020,600,Winnebago County,Illinois,294,34,109,134,17,2918,23,178,684,760,227,758,288,11.6,37.1,45.6,5.8,0.8,6.1,23.4,26.0,7.8,26.0,9.9
17201000700,2020,700,Winnebago County,Illinois,209,24,115,54,16,2153,18,156,388,706,234,395,256,11.5,55.0,25.8,7.7,0.8,7.2,18.0,32.8,10.9,18.3,11.9
17201000800,2020,800,Winnebago County,Illinois,249,97,43,93,16,1510,26,92,598,475,155,130,34,39.0,17.3,37.3,6.4,1.7,6.1,39.6,31.5,10.3,8.6,2.3
17201001000,2020,1000,Winnebago County,Illinois,193,120,23,50,0,1672,33,190,721,402,140,102,84,62.2,11.9,25.9,0.0,2.0,11.4,43.1,24.0,8.4,6.1,5.0
17201001100,2020,1100,Winnebago County,Illinois,103,28,37,31,7,1099,55,157,432,171,77,166,41,27.2,35.9,30.1,6.8,5.0,14.3,39.3,15.6,7.0,15.1,3.7
17201001200,2020,1200,Winnebago County,Illinois,275,83,150,42,0,1428,167,256,558,264,102,76,5,30.2,54.5,15.3,0.0,11.7,17.9,39.1,18.5,7.1,5.3,0.4
17201001300,2020,1300,Winnebago County,Illinois,304,73,142,72,17,1250,78,207,371,376,48,149,21,24.0,46.7,23.7,5.6,6.2,16.6,29.7,30.1,3.8,11.9,1.7
17201001400,2020,1400,Winnebago County,Illinois,486,100,221,155,10,2533,31,457,869,677,180,229,90,20.6,45.5,31.9,2.1,1.2,18.0,34.3,26.7,7.1,9.0,3.6
