school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
GENOA CENTRAL HIGH SCHOOL,9-12,GENOA CENTRAL SCHOOL DISTRICT,21.0,56.0,40.0,26.0,15.0,394.0,35.0,97.0,1.0,0.0,2.0,3.0,4,97,82.0,85.0,18.2,18.7,19.7,19.3,0,MILLER,4602006,4602000,2021.0
GLEN ROSE HIGH SCHOOL,9-12,GLEN ROSE SCHOOL DISTRICT,19.0,44.0,36.0,24.0,14.0,321.0,49.0,90.0,3.0,1.0,6.0,10.0,3,73,62.0,85.0,18.0,16.9,18.2,18.9,0,HOT SPRING,3002009,3002000,2021.0
GOSNELL HIGH SCHOOL,7-12,GOSNELL SCHOOL DISTRICT,25.0,61.0,34.0,19.0,16.0,607.0,74.0,62.0,9.0,24.0,5.0,38.0,2,91,64.0,70.0,18.7,19.0,19.0,19.4,0,MISSISSIPPI,4708031,4708000,2021.0
GRAVETTE HIGH SCHOOL,9-12,GRAVETTE SCHOOL DISTRICT,22.0,54.0,35.0,29.0,18.0,595.0,37.0,84.0,8.0,0.0,8.0,16.0,1,137,125.0,91.0,18.6,18.6,19.5,19.7,0,BENTON,404022,404000,2021.0
GREEN FOREST HIGH SCHOOL,9-12,GREEN FOREST SCHOOL DISTRICT,12.0,26.0,17.0,14.0,7.0,433.0,78.0,39.0,48.0,0.0,13.0,61.0,1,89,77.0,87.0,16.3,14.2,16.5,16.9,0,CARROLL,803012,803000,2021.0
GREENBRIER HIGH SCHOOL,10-12,GREENBRIER SCHOOL DISTRICT,37.0,63.0,44.0,38.0,23.0,790.0,37.0,91.0,3.0,1.0,4.0,9.0,3,247,237.0,96.0,20.0,20.1,20.3,20.5,0,FAULKNER,2303017,2303000,2021.0
GREENE COUNTY TECH HIGH SCHOOL,10-12,GREENE COUNTY TECH SCHOOL DISTRICT,22.0,41.0,27.0,25.0,12.0,804.0,41.0,92.0,4.0,2.0,2.0,8.0,2,283,259.0,92.0,17.9,16.9,18.6,18.8,0,GREENE,2807008,2807000,2021.0
GREENLAND HIGH SCHOOL,9-12,GREENLAND SCHOOL DISTRICT,10.0,61.0,31.0,18.0,4.0,232.0,69.0,85.0,9.0,0.0,6.0,15.0,1,78,51.0,65.0,16.8,18.4,19.2,18.6,0,WASHINGTON,7204028,7204000,2021.0
GREENWOOD HIGH SCHOOL,10-12,GREENWOOD SCHOOL DISTRICT,37.0,62.0,45.0,39.0,27.0,874.0,23.0,86.0,6.0,1.0,7.0,14.0,1,266,245.0,92.0,20.0,20.5,20.5,20.9,0,SEBASTIAN,6602043,6602000,2021.0
GURDON HIGH SCHOOL,9-12,GURDON SCHOOL DISTRICT,4.0,22.0,26.0,30.0,4.0,208.0,68.0,49.0,22.0,25.0,4.0,51.0,4,47,27.0,57.0,15.5,15.4,17.9,18.3,0,CLARK,1003018,1003000,2021.0
GUY-PERKINS HIGH SCHOOL,7-12,GUY-PERKINS SCHOOL DISTRICT,7.0,24.0,17.0,14.0,7.0,149.0,65.0,79.0,1.0,16.0,4.0,21.0,3,32,29.0,91.0,16.8,15.1,16.6,17.5,0,FAULKNER,2304022,2304000,2021.0
HAAS HALL ACADEMY,7-12,HAAS HALL ACADEMY,71.0,90.0,75.0,77.0,62.0,455.0,12.0,69.0,10.0,2.0,19.0,31.0,1,64,52.0,81.0,25.7,27.4,26.4,26.3,1,WASHINGTON,7240703,7240700,2021.0
HAAS HALL ACADEMY AT THE LANE,7-12,HAAS HALL ACADEMY,72.0,82.0,74.0,69.0,62.0,287.0,11.0,60.0,20.0,3.0,18.0,40.0,1,41,39.0,95.0,24.5,26.6,27.0,25.1,1,WASHINGTON,7240709,7240700,2021.0
HAAS HALL ACADEMY JONES CENTER,7-12,HAAS HALL ACADEMY,53.0,69.0,59.0,50.0,44.0,182.0,18.0,54.0,28.0,4.0,14.0,46.0,1,34,32.0,94.0,21.8,21.9,22.2,21.4,1,WASHINGTON,7240706,7240700,2021.0
HAAS HALL BENTONVILLE,7-12,HAAS HALL ACADEMY,80.0,91.0,78.0,78.0,69.0,407.0,5.0,57.0,9.0,2.0,32.0,43.0,1,51,45.0,88.0,25.4,26.5,27.4,25.4,1,WASHINGTON,7240712,7240700,2021.0
HACKETT HIGH SCHOOL,7-12,HACKETT SCHOOL DISTRICT,9.0,56.0,22.0,16.0,6.0,359.0,64.0,86.0,4.0,1.0,9.0,14.0,1,61,32.0,52.0,16.8,17.6,18.9,18.3,0,SEBASTIAN,6603048,6603000,2021.0
HAMBURG HIGH SCHOOL,9-12,HAMBURG SCHOOL DISTRICT,14.0,31.0,16.0,13.0,7.0,479.0,57.0,60.0,20.0,19.0,1.0,40.0,5,105,104.0,99.0,16.8,16.0,17.0,17.1,0,ASHLEY,203018,203000,2021.0
HAMPTON HIGH SCHOOL,7-12,HAMPTON SCHOOL DISTRICT,3.0,27.0,27.0,10.0,3.0,239.0,67.0,71.0,5.0,23.0,2.0,29.0,4,34,30.0,88.0,15.3,15.3,16.9,18.1,0,CALHOUN,701002,701000,2021.0
HAR-BER HIGH SCHOOL,10-12,SPRINGDALE SCHOOL DISTRICT,30.0,62.0,45.0,32.0,22.0,2280.0,51.0,44.0,41.0,2.0,13.0,56.0,1,758,508.0,67.0,19.2,20.0,20.3,20.1,0,WASHINGTON,7207062,7207000,2021.0
HARMONY GROVE HIGH SCHOOL,7-12,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),7.0,42.0,20.0,9.0,4.0,378.0,49.0,74.0,4.0,19.0,3.0,26.0,4,59,55.0,93.0,16.5,16.8,17.1,17.3,0,OUACHITA,5205029,5205000,2021.0
HARMONY GROVE HIGH SCHOOL,10-12,HARMONY GROVE SCHOOL DISTRICT (SALINE),17.0,44.0,23.0,19.0,13.0,295.0,31.0,93.0,3.0,2.0,2.0,7.0,3,98,88.0,90.0,17.2,16.7,17.6,18.0,0,SALINE,6304030,6304000,2021.0
HARRISON HIGH SCHOOL CONVERSION CHARTER,9-12,HARRISON SCHOOL DISTRICT,33.0,63.0,37.0,32.0,19.0,848.0,39.0,93.0,3.0,0.0,3.0,7.0,1,209,202.0,97.0,19.6,19.6,20.2,19.7,0,BOONE,503703,503000,2021.0
HAZEN HIGH SCHOOL,7-12,HAZEN SCHOOL DISTRICT,12.0,33.0,26.0,12.0,7.0,262.0,66.0,77.0,2.0,18.0,3.0,23.0,5,47,43.0,91.0,16.6,15.3,16.4,16.4,0,PRAIRIE,5903012,5903000,2021.0
HEBER SPRINGS HIGH SCHOOL,9-12,HEBER SPRINGS SCHOOL DISTRICT,27.0,76.0,44.0,39.0,17.0,445.0,42.0,92.0,6.0,0.0,2.0,8.0,2,97,75.0,77.0,19.2,20.5,20.4,20.7,0,CLEBURNE,1202006,1202000,2021.0
HECTOR HIGH SCHOOL,7-12,HECTOR SCHOOL DISTRICT,14.0,45.0,31.0,10.0,10.0,305.0,72.0,93.0,4.0,0.0,2.0,7.0,1,44,29.0,66.0,17.8,18.6,20.0,19.2,0,POPE,5803010,5803000,2021.0
HERMITAGE HIGH SCHOOL,7-12,HERMITAGE SCHOOL DISTRICT,9.0,19.0,6.0,0.0,0.0,210.0,69.0,57.0,32.0,10.0,0.0,43.0,5,35,32.0,91.0,16.0,13.5,14.2,15.6,0,BRADLEY,601007,601000,2021.0
HIGHLAND HIGH SCHOOL,9-12,HIGHLAND SCHOOL DISTRICT,17.0,42.0,25.0,20.0,12.0,503.0,71.0,94.0,4.0,1.0,2.0,6.0,2,129,105.0,81.0,17.5,16.8,17.8,17.9,0,SHARP,6804010,6804000,2021.0
HILLCREST HIGH SCHOOL,7-12,HILLCREST SCHOOL DISTRICT,8.0,46.0,21.0,21.0,4.0,173.0,57.0,97.0,3.0,0.0,1.0,3.0,2,27,24.0,89.0,16.3,16.7,16.7,17.3,0,LAWRENCE,3809023,3809000,2021.0
HOPE HIGH SCHOOL,9-12,HOPE SCHOOL DISTRICT,7.0,30.0,22.0,12.0,5.0,630.0,73.0,20.0,36.0,43.0,1.0,80.0,4,130,106.0,82.0,15.4,15.1,17.0,16.8,0,HEMPSTEAD,2903012,2903000,2021.0
HORATIO HIGH SCHOOL,7-12,HORATIO SCHOOL DISTRICT,3.0,32.0,22.0,11.0,0.0,312.0,76.0,69.0,26.0,1.0,4.0,31.0,4,41,37.0,90.0,16.0,15.3,17.7,17.3,0,SEVIER,6703013,6703000,2021.0
HOT SPRINGS WORLD CLASS HIGH SCHOOL,10-12,HOT SPRINGS SCHOOL DISTRICT,9.0,39.0,22.0,13.0,4.0,733.0,73.0,37.0,20.0,34.0,10.0,63.0,3,253,180.0,71.0,16.2,15.9,17.2,17.3,0,GARLAND,2603703,2603000,2021.0
HOXIE HIGH SCHOOL,7-12,HOXIE SCHOOL DISTRICT,5.0,48.0,25.0,7.0,3.0,379.0,67.0,92.0,2.0,1.0,4.0,8.0,2,72,61.0,85.0,16.2,17.2,17.5,17.0,0,LAWRENCE,3804010,3804000,2021.0
HUNTSVILLE HIGH SCHOOL,9-12,HUNTSVILLE SCHOOL DISTRICT,14.0,36.0,17.0,18.0,10.0,620.0,49.0,80.0,10.0,1.0,9.0,20.0,1,132,110.0,83.0,16.3,16.0,16.8,17.4,0,MADISON,4401003,4401000,2021.0
IZARD COUNTY CONSOLIDATED HIGH SCHOOL,9-12,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,23.0,36.0,23.0,21.0,13.0,206.0,77.0,95.0,2.0,1.0,1.0,5.0,2,47,39.0,83.0,17.3,16.1,17.0,17.6,0,IZARD,3306015,3306000,2021.0
JACKSONVILLE HIGH SCHOOL,9-12,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,6.0,23.0,18.0,8.0,5.0,1072.0,57.0,29.0,6.0,61.0,4.0,71.0,3,268,199.0,74.0,15.6,14.1,16.0,16.1,0,PULASKI,6004009,6004000,2021.0
JACKSONVILLE LIGHTHOUSE COLLEGE PREPARATORY ACADEM,7-12,JACKSONVILLE LIGHTHOUSE CHARTER,8.0,39.0,19.0,12.0,4.0,239.0,49.0,15.0,9.0,73.0,3.0,85.0,3,32,26.0,81.0,15.1,15.1,16.1,16.7,1,PULASKI,6050703,6050700,2021.0
JASPER HIGH SCHOOL,7-12,JASPER SCHOOL DISTRICT,9.0,35.0,18.0,6.0,3.0,204.0,69.0,98.0,0.0,2.0,0.0,2.0,1,38,34.0,89.0,16.1,15.1,16.1,16.4,0,NEWTON,5102006,5102000,2021.0
JESSIEVILLE HIGH SCHOOL,9-12,JESSIEVILLE SCHOOL DISTRICT,22.0,57.0,30.0,26.0,13.0,283.0,66.0,83.0,5.0,3.0,10.0,17.0,3,67,54.0,81.0,18.1,18.2,19.2,19.3,0,GARLAND,2604030,2604000,2021.0
JOE T. ROBINSON HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,19.0,50.0,39.0,27.0,14.0,710.0,41.0,53.0,9.0,35.0,4.0,47.0,3,185,175.0,95.0,17.6,18.9,19.6,19.2,0,PULASKI,6003127,6003000,2021.0
JUNCTION CITY HIGH SCHOOL,7-12,JUNCTION CITY SCHOOL DISTRICT,2.0,27.0,8.0,4.0,2.0,309.0,65.0,58.0,3.0,38.0,1.0,42.0,4,46,48.0,104.0,15.5,14.8,16.0,15.4,0,UNION,7003028,7003000,2021.0
KINGSTON HIGH SCHOOL,7-12,JASPER SCHOOL DISTRICT,0.0,13.0,13.0,7.0,0.0,119.0,62.0,92.0,2.0,0.0,7.0,8.0,1,19,15.0,79.0,14.5,14.6,16.1,16.5,0,NEWTON,5102008,5102000,2021.0
KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,7-12,KIPP DELTA PUBLIC SCHOOLS,13.0,50.0,13.0,19.0,6.0,123.0,85.0,8.0,6.0,80.0,7.0,92.0,5,18,16.0,89.0,16.5,17.4,16.8,16.9,1,PHILLIPS,5440706,5440700,2021.0
KIPP:DELTA COLLEGIATE HIGH SCHOOL,9-12,KIPP DELTA PUBLIC SCHOOLS,4.0,25.0,7.0,4.0,0.0,191.0,88.0,3.0,1.0,96.0,1.0,97.0,5,36,28.0,78.0,15.4,14.4,14.7,16.5,1,PHILLIPS,5440703,5440700,2021.0
KIRBY HIGH SCHOOL,7-12,KIRBY SCHOOL DISTRICT,13.0,26.0,17.0,22.0,9.0,183.0,58.0,82.0,13.0,0.0,5.0,18.0,4,23,23.0,100.0,16.4,15.2,16.3,16.3,0,PIKE,5503011,5503000,2021.0
LAFAYETTE COUNTY HIGH SCHOOL,7-12,LAFAYETTE COUNTY SCHOOL DISTRICT,3.0,17.0,13.0,7.0,3.0,242.0,84.0,34.0,3.0,60.0,3.0,66.0,4,33,30.0,91.0,15.3,13.7,15.8,16.7,0,LAFAYETTE,3704013,3704000,2021.0
LAKE HAMILTON HIGH SCHOOL,10-12,LAKE HAMILTON SCHOOL DISTRICT,20.0,54.0,36.0,28.0,12.0,951.0,47.0,77.0,13.0,3.0,7.0,23.0,3,337,269.0,80.0,18.0,18.3,19.2,19.2,0,GARLAND,2605034,2605000,2021.0
LAKESIDE HIGH SCHOOL,9-12,LAKESIDE SCHOOL DISTRICT (CHICOT),0.0,13.0,8.0,7.0,0.0,249.0,78.0,10.0,17.0,72.0,1.0,90.0,5,66,62.0,94.0,14.7,13.0,14.5,15.8,0,CHICOT,903018,903000,2021.0
LAKESIDE HIGH SCHOOL,9-12,LAKESIDE SCHOOL DISTRICT (GARLAND),22.0,58.0,38.0,25.0,16.0,1054.0,34.0,73.0,12.0,8.0,7.0,27.0,3,236,208.0,88.0,18.0,19.3,19.7,19.4,0,GARLAND,2606044,2606000,2021.0
LAMAR HIGH SCHOOL,9-12,LAMAR SCHOOL DISTRICT,6.0,39.0,30.0,17.0,5.0,364.0,66.0,87.0,6.0,1.0,5.0,13.0,1,85,64.0,75.0,17.0,16.5,17.8,18.7,0,JOHNSON,3604019,3604000,2021.0
LAVACA HIGH SCHOOL,9-12,LAVACA SCHOOL DISTRICT,30.0,50.0,33.0,28.0,20.0,256.0,45.0,81.0,8.0,1.0,10.0,19.0,1,58,54.0,93.0,18.2,17.8,19.0,18.8,0,SEBASTIAN,6605057,6605000,2021.0
LEAD HILL HIGH SCHOOL,7-12,LEAD HILL SCHOOL DISTRICT,25.0,75.0,69.0,19.0,19.0,198.0,72.0,91.0,2.0,1.0,7.0,9.0,1,32,16.0,50.0,18.8,21.2,22.6,20.5,0,BOONE,506032,506000,2021.0
LEE HIGH SCHOOL,7-12,LEE COUNTY SCHOOL DISTRICT,5.0,9.0,9.0,5.0,5.0,271.0,87.0,7.0,2.0,90.0,0.0,93.0,5,30,22.0,73.0,14.8,12.5,12.5,14.7,0,LEE,3904011,3904000,2021.0
LINCOLN HIGH SCHOOL,9-12,LINCOLN SCHOOL DISTRICT,15.0,49.0,39.0,26.0,8.0,357.0,60.0,77.0,11.0,1.0,11.0,23.0,1,86,61.0,71.0,16.7,17.5,19.3,19.3,0,WASHINGTON,7205706,7205000,2021.0
LISA ACADEMY NORTH HIGH SCHOOL,9-12,LISA ACADEMY,22.0,43.0,22.0,18.0,14.0,282.0,57.0,26.0,24.0,40.0,9.0,74.0,3,72,63.0,88.0,18.5,18.3,18.1,18.6,1,PULASKI,6041706,6041700,2021.0
LISA ACADEMY WEST HIGH SCHOOL,9-12,LISA ACADEMY,16.0,35.0,19.0,13.0,5.0,451.0,63.0,16.0,33.0,43.0,7.0,84.0,3,121,105.0,87.0,17.2,15.9,16.7,17.6,1,PULASKI,6041703,6041700,2021.0
LITTLE ROCK HALL STEAM MAGNET HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,0.0,14.0,8.0,2.0,0.0,259.0,86.0,7.0,16.0,75.0,2.0,93.0,3,74,66.0,89.0,14.1,13.2,15.0,15.5,0,PULASKI,6001083,6001000,2021.0
LITTLE ROCK SOUTHWEST HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,1.0,9.0,5.0,2.0,0.0,2154.0,86.0,5.0,27.0,66.0,1.0,95.0,3,445,291.0,65.0,14.4,12.3,13.3,14.5,0,PULASKI,6001082,6001000,2021.0
LITTLE ROCK WEST HIGH SCHOOL OF INNOVATION,9-12,LITTLE ROCK SCHOOL DISTRICT,10.0,28.0,18.0,16.0,6.0,234.0,42.0,35.0,4.0,53.0,8.0,65.0,3,66,51.0,77.0,16.4,14.7,16.7,16.7,0,PULASKI,6001081,6001000,2021.0
LONOKE HIGH SCHOOL,9-12,LONOKE SCHOOL DISTRICT,16.0,47.0,37.0,27.0,11.0,479.0,64.0,62.0,9.0,25.0,4.0,38.0,3,112,73.0,65.0,17.8,17.6,19.9,19.4,0,LONOKE,4301029,4301000,2021.0
MAGAZINE HIGH SCHOOL,7-12,MAGAZINE SCHOOL DISTRICT,3.0,35.0,24.0,14.0,0.0,224.0,81.0,91.0,4.0,0.0,4.0,9.0,1,37,29.0,78.0,16.8,16.2,17.6,18.3,0,LOGAN,4202008,4202000,2021.0
MAGNET COVE HIGH SCHOOL,7-12,MAGNET COVE SCHOOL DISTRICT,14.0,57.0,27.0,27.0,5.0,327.0,38.0,91.0,3.0,1.0,4.0,9.0,3,51,37.0,73.0,17.5,18.5,18.3,18.9,0,HOT SPRING,3003014,3003000,2021.0
MAGNOLIA HIGH SCHOOL,9-12,MAGNOLIA SCHOOL DISTRICT,14.0,35.0,20.0,19.0,9.0,808.0,65.0,38.0,6.0,51.0,5.0,62.0,4,195,165.0,85.0,16.5,16.1,16.3,17.2,0,COLUMBIA,1402009,1402000,2021.0
MALVERN HIGH SCHOOL,9-12,MALVERN SCHOOL DISTRICT,10.0,36.0,22.0,14.0,6.0,594.0,72.0,52.0,10.0,28.0,10.0,48.0,3,126,83.0,66.0,16.7,16.1,17.8,18.0,0,HOT SPRING,3004023,3004000,2021.0
MAMMOTH SPRING HIGH SCHOOL,7-12,MAMMOTH SPRING SCHOOL DISTRICT,16.0,32.0,32.0,11.0,5.0,231.0,72.0,97.0,1.0,0.0,2.0,3.0,2,26,19.0,73.0,17.2,16.1,18.4,17.6,0,FULTON,2501002,2501000,2021.0
MANILA HIGH SCHOOL,7-12,MANILA SCHOOL DISTRICT,13.0,43.0,28.0,21.0,10.0,488.0,58.0,94.0,5.0,0.0,1.0,6.0,2,75,61.0,81.0,17.1,16.8,18.1,18.1,0,MISSISSIPPI,4712044,4712000,2021.0
MANSFIELD HIGH SCHOOL,9-12,MANSFIELD SCHOOL DISTRICT,24.0,35.0,28.0,20.0,8.0,246.0,63.0,83.0,6.0,2.0,9.0,17.0,1,73,51.0,70.0,17.7,16.7,19.2,18.3,0,SEBASTIAN,6606062,6606000,2021.0
MARION HIGH SCHOOL,10-12,MARION SCHOOL DISTRICT,12.0,35.0,25.0,13.0,8.0,850.0,71.0,37.0,7.0,52.0,4.0,63.0,2,293,241.0,82.0,16.6,16.3,17.2,17.1,0,CRITTENDEN,1804015,1804000,2021.0
MARKED TREE HIGH SCHOOL,7-12,MARKED TREE SCHOOL DISTRICT,0.0,3.0,14.0,6.0,0.0,236.0,81.0,58.0,3.0,39.0,0.0,42.0,2,45,35.0,78.0,15.2,12.0,15.4,15.4,0,POINSETT,5604017,5604000,2021.0
MARMADUKE HIGH SCHOOL,7-12,MARMADUKE SCHOOL DISTRICT,7.0,28.0,26.0,14.0,7.0,333.0,59.0,95.0,3.0,0.0,2.0,5.0,2,60,43.0,72.0,16.3,15.7,17.1,18.5,0,GREENE,2803017,2803000,2021.0
MARSHALL HIGH SCHOOL,7-12,SEARCY COUNTY SCHOOL DISTRICT,8.0,46.0,35.0,15.0,4.0,367.0,69.0,93.0,3.0,0.0,4.0,7.0,1,60,52.0,87.0,16.5,17.8,18.0,17.3,0,SEARCY,6502006,6502000,2021.0
MARVELL-ELAINE HIGH SCHOOL,6-12,MARVELL-ELAINE SCHOOL DISTRICT,0.0,8.0,0.0,0.0,0.0,165.0,96.0,9.0,4.0,86.0,1.0,91.0,5,32,25.0,78.0,13.5,11.5,12.9,14.7,0,PHILLIPS,5404032,5404000,2021.0
MAUMELLE CHARTER HIGH SCHOOL,6-12,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,32.0,60.0,40.0,33.0,23.0,641.0,17.0,73.0,5.0,13.0,9.0,27.0,3,63,60.0,95.0,19.3,20.6,20.6,20.4,1,PULASKI,6040703,6040700,2021.0
MAUMELLE HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,14.0,40.0,24.0,17.0,9.0,875.0,32.0,41.0,7.0,48.0,5.0,59.0,3,204,176.0,86.0,16.6,16.7,17.6,18.1,0,PULASKI,6003151,6003000,2021.0
MAYFLOWER HIGH SCHOOL,9-12,MAYFLOWER SCHOOL DISTRICT,9.0,42.0,19.0,16.0,6.0,333.0,53.0,77.0,4.0,11.0,8.0,23.0,3,78,69.0,88.0,17.0,16.7,16.6,17.8,0,FAULKNER,2305026,2305000,2021.0
MAYNARD HIGH SCHOOL,7-12,MAYNARD SCHOOL DISTRICT,3.0,41.0,12.0,9.0,3.0,235.0,70.0,97.0,3.0,0.0,0.0,3.0,2,39,34.0,87.0,15.5,15.6,16.7,18.1,0,RANDOLPH,6102006,6102000,2021.0
MCCRORY HIGH SCHOOL,7-12,MCCRORY SCHOOL DISTRICT,19.0,51.0,38.0,35.0,16.0,264.0,51.0,85.0,2.0,13.0,1.0,15.0,2,42,37.0,88.0,18.1,18.4,19.8,19.2,0,WOODRUFF,7403013,7403000,2021.0
MCGEHEE HIGH SCHOOL,9-12,MCGEHEE SCHOOL DISTRICT,10.0,31.0,15.0,12.0,8.0,341.0,69.0,43.0,8.0,45.0,4.0,57.0,5,77,61.0,79.0,16.5,17.0,16.7,17.6,0,DESHA,2105028,2105000,2021.0
MELBOURNE HIGH SCHOOL,7-12,MELBOURNE SCHOOL DISTRICT,41.0,74.0,47.0,45.0,29.0,404.0,50.0,95.0,2.0,1.0,1.0,5.0,2,69,49.0,71.0,20.4,21.8,21.8,22.2,0,IZARD,3302006,3302000,2021.0
MENA HIGH SCHOOL,9-12,MENA SCHOOL DISTRICT,20.0,33.0,20.0,17.0,9.0,494.0,58.0,85.0,7.0,1.0,6.0,15.0,4,141,118.0,84.0,17.7,16.0,17.7,18.0,0,POLK,5703012,5703000,2021.0
MIDLAND HIGH SCHOOL,7-12,MIDLAND SCHOOL DISTRICT,0.0,21.0,31.0,3.0,0.0,230.0,65.0,91.0,4.0,3.0,2.0,9.0,2,33,29.0,88.0,15.5,14.1,18.3,17.1,0,INDEPENDENCE,3211035,3211000,2021.0
MILLS UNIVERSITY STUDIES HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,3.0,21.0,11.0,3.0,1.0,568.0,58.0,18.0,19.0,60.0,3.0,82.0,3,117,108.0,92.0,14.7,13.4,14.8,15.7,0,PULASKI,6003125,6003000,2021.0
MINERAL SPRINGS HIGH SCHOOL,7-12,MINERAL SPRINGS SCHOOL DISTRICT,5.0,14.0,19.0,5.0,5.0,157.0,87.0,18.0,12.0,67.0,3.0,82.0,4,24,21.0,88.0,14.5,13.0,14.7,15.2,0,HOWARD,3104006,3104000,2021.0
MONTICELLO HIGH SCHOOL,9-12,MONTICELLO SCHOOL DISTRICT,16.0,42.0,34.0,26.0,12.0,513.0,47.0,59.0,5.0,35.0,2.0,41.0,5,118,106.0,90.0,17.0,16.7,19.0,18.9,0,DREW,2203012,2203000,2021.0
MORRILTON SENIOR HIGH SCHOOL,9-12,SOUTH CONWAY COUNTY SCHOOL DISTRICT,11.0,39.0,18.0,17.0,7.0,711.0,68.0,71.0,8.0,15.0,5.0,29.0,6,165,140.0,85.0,16.8,16.6,17.6,18.3,0,CONWAY,1507036,1507000,2021.0
MOUNT IDA HIGH SCHOOL,7-12,MOUNT IDA SCHOOL DISTRICT,18.0,36.0,27.0,23.0,14.0,194.0,62.0,92.0,3.0,1.0,5.0,8.0,4,26,22.0,85.0,17.7,16.8,17.2,18.3,0,MONTGOMERY,4902007,4902000,2021.0
MOUNTAIN HOME CAREER ACADEMIES,8-12,MOUNTAIN HOME SCHOOL DISTRICT,23.0,55.0,38.0,29.0,14.0,1593.0,45.0,89.0,5.0,0.0,5.0,11.0,1,311,249.0,80.0,18.2,18.7,19.6,19.9,0,BAXTER,303703,303000,2021.0
MOUNTAIN PINE HIGH SCHOOL,7-12,MOUNTAIN PINE SCHOOL DISTRICT,14.0,43.0,50.0,29.0,14.0,305.0,80.0,79.0,5.0,7.0,10.0,21.0,3,57,14.0,25.0,16.5,17.5,20.1,20.4,0,GARLAND,2607047,2607000,2021.0
MOUNTAIN VIEW HIGH SCHOOL,9-12,MOUNTAIN VIEW SCHOOL DISTRICT,11.0,51.0,40.0,32.0,10.0,355.0,63.0,95.0,3.0,1.0,2.0,5.0,2,81,73.0,90.0,17.1,18.4,19.7,19.5,0,STONE,6901007,6901000,2021.0
MOUNTAINBURG HIGH SCHOOL,9-12,MOUNTAINBURG SCHOOL DISTRICT,5.0,33.0,28.0,14.0,5.0,201.0,68.0,90.0,3.0,0.0,6.0,10.0,1,54,43.0,80.0,16.0,15.8,18.6,17.7,0,CRAWFORD,1703013,1703000,2021.0
MT. VERNON-ENOLA HIGH SCHOOL,7-12,MT. VERNON-ENOLA SCHOOL DISTRICT,30.0,44.0,33.0,33.0,7.0,265.0,55.0,96.0,1.0,2.0,2.0,4.0,3,31,27.0,87.0,18.5,17.6,19.1,19.2,0,FAULKNER,2306030,2306000,2021.0
MULBERRY HIGH SCHOOL,9-12,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,8.0,45.0,18.0,13.0,5.0,126.0,56.0,94.0,1.0,1.0,5.0,6.0,1,41,38.0,93.0,15.6,16.0,17.2,18.0,0,CRAWFORD,1704017,1704000,2021.0
MURFREESBORO HIGH SCHOOL,7-12,SOUTH PIKE COUNTY SCHOOL DISTRICT,4.0,54.0,29.0,25.0,0.0,318.0,67.0,84.0,6.0,6.0,4.0,16.0,4,30,24.0,80.0,16.2,17.3,18.2,18.9,0,PIKE,5504015,5504000,2021.0
NASHVILLE HIGH SCHOOL,10-12,NASHVILLE SCHOOL DISTRICT,13.0,40.0,22.0,15.0,7.0,444.0,73.0,49.0,28.0,19.0,4.0,51.0,4,153,140.0,92.0,16.6,16.9,17.3,17.7,0,HOWARD,3105011,3105000,2021.0
NEMO VISTA HIGH SCHOOL,9-12,NEMO VISTA SCHOOL DISTRICT,31.0,58.0,54.0,46.0,23.0,118.0,61.0,87.0,3.0,1.0,8.0,13.0,6,33,26.0,79.0,19.8,19.3,19.9,20.2,0,CONWAY,1503017,1503000,2021.0
NETTLETON HIGH SCHOOL,9-12,NETTLETON SCHOOL DISTRICT,8.0,38.0,21.0,14.0,7.0,1005.0,69.0,36.0,10.0,48.0,6.0,64.0,2,220,193.0,88.0,16.1,16.9,17.5,17.6,0,CRAIGHEAD,1611042,1611000,2021.0
NEVADA HIGH  SCHOOL,7-12,NEVADA SCHOOL DISTRICT,8.0,31.0,15.0,4.0,0.0,173.0,75.0,58.0,2.0,32.0,7.0,42.0,4,26,26.0,100.0,15.7,15.8,16.5,17.7,0,NEVADA,5008014,5008000,2021.0
