District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
CARLISLE SCHOOL DISTRICT,CARLISLE HIGH SCHOOL,33,16.8,36.4%,16.8,6.1%,18.4,24.2%,17.9,18.2%,3.0%
CABOT SCHOOL DISTRICT,CABOT HIGH SCHOOL,649,18.6,54.4%,18.9,25.9%,19.7,38.5%,19.5,28.4%,17.1%
CABOT SCHOOL DISTRICT,ACADEMIC CENTER FOR EXCELLENCE,77,13.6,15.6%,15.8,1.3%,15.7,14.3%,15.4,1.3%,1.3%
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE HIGH SCHOOL,86,18.3,47.7%,18.3,16.3%,18.2,27.9%,20.0,29.1%,15.1%
HUNTSVILLE SCHOOL DISTRICT,ST. PAUL HIGH SCHOOL,15,15.9,33.3%,15.5,13.3%,17.0,26.7%,18.3,13.3%,13.3%
FLIPPIN SCHOOL DISTRICT,FLIPPIN HIGH SCHOOL,43,16.8,41.9%,16.9,11.6%,19.4,39.5%,18.4,20.9%,9.3%
YELLVILLE-SUMMIT SCHOOL DISTRICT,YELLVILLE-SUMMIT HIGH SCHOOL,61,18.4,52.5%,17.3,13.1%,19.0,29.5%,19.3,27.9%,9.8%
GENOA CENTRAL SCHOOL DISTRICT,GENOA CENTRAL HIGH SCHOOL,77,17.8,48.1%,18.7,26.0%,19.0,35.1%,18.5,19.5%,9.1%
FOUKE SCHOOL DISTRICT,FOUKE HIGH SCHOOL,61,16.9,44.3%,17.3,11.5%,18.4,24.6%,18.9,24.6%,6.6%
TEXARKANA SCHOOL DISTRICT,ARKANSAS HIGH SCHOOL,192,15.7,32.8%,16.3,9.4%,16.6,17.2%,17.2,10.4%,5.7%
ARMOREL SCHOOL DISTRICT,ARMOREL HIGH SCHOOL,30,18.1,50.0%,17.5,23.3%,17.2,26.7%,19.4,26.7%,16.7%
BLYTHEVILLE SCHOOL DISTRICT,BLYTHEVILLE HIGH SCHOOL-A NEW TECH SCHOOL,72,13.8,23.6%,14.5,1.4%,14.9,6.9%,16.0,4.2%,1.4%
RIVERCREST SCHOOL DISTRICT,RIVERCREST HIGH SCHOOL,63,15.8,28.6%,16.4,7.9%,16.6,12.7%,17.8,14.3%,3.2%
GOSNELL SCHOOL DISTRICT,GOSNELL HIGH SCHOOL,56,18.6,55.4%,18.3,19.6%,18.0,23.2%,19.3,19.6%,10.7%
MANILA SCHOOL DISTRICT,MANILA HIGH SCHOOL,71,16.0,36.6%,17.3,12.7%,16.6,19.7%,17.7,15.5%,5.6%
OSCEOLA SCHOOL DISTRICT,OSCEOLA HIGH SCHOOL,73,12.8,9.6%,14.8,1.4%,13.4,2.7%,14.1,2.7%,0.0%
BRINKLEY SCHOOL DISTRICT,BRINKLEY HIGH SCHOOL,19,11.9,0.0%,14.5,0.0%,14.0,5.3%,14.6,0.0%,0.0%
CLARENDON SCHOOL DISTRICT,CLARENDON HIGH SCHOOL,24,13.6,8.3%,15.9,4.2%,13.9,4.2%,15.5,4.2%,0.0%
