District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
RIVERCREST SCHOOL DISTRICT,RIVERCREST HIGH SCHOOL,63,15.8,28.60%,16.4,7.90%,16.6,12.70%,17.8,14.30%,3.20%,Arkansas,35.6126658,-90.1064217,1700 State Highway 14,72395,Mississippi County,Wilson,5093,"1700 State Highway 14, Wilson, Arkansas, 72395",11200,5093011200,2021,11200,Mississippi County,Arkansas,226,76,81,41,28,1310,88,188,442,286,57,201,48,33.6,35.8,18.1,12.4,6.7,14.4,33.7,21.8,4.4,15.3,3.7,847,54152,63450,2123,18,0.8,2105,99.2,1710,80.5,295,13.9,0,0,4,0.2,0,0,0,0,96,4.5,16.4,16.6
GOSNELL SCHOOL DISTRICT,GOSNELL HIGH SCHOOL,56,18.6,55.40%,18.3,19.60%,18,23.20%,19.3,19.60%,10.70%,Arkansas,35.9643325,-89.9665908,630 Arkansas 181,72315,Mississippi County,Blytheville,5093,"630 Arkansas 181, Blytheville, Arkansas, 72315",11400,5093011400,2021,11400,Mississippi County,Arkansas,144,27,83,34,0,1247,76,169,391,412,89,58,52,18.8,57.6,23.6,0,6.1,13.6,31.4,33,7.1,4.7,4.2,734,50532,56818,1782,104,5.8,1678,94.2,1320,74.1,337,18.9,0,0,4,0.2,0,0,0,0,17,1,18.3,18
MANILA SCHOOL DISTRICT,MANILA HIGH SCHOOL,71,16,36.60%,17.3,12.70%,16.6,19.70%,17.7,15.50%,5.60%,Arkansas,35.8792135,-90.1569828,419 Olympia Avenue,72442,Mississippi County,Manila,5093,"419 Olympia Avenue, Manila, Arkansas, 72442",10802,5093010802,2021,10802,Mississippi County,Arkansas,300,43,192,65,0,2356,175,146,1020,297,424,189,105,14.3,64,21.7,0,7.4,6.2,43.3,12.6,18,8,4.5,1244,57929,79123,3431,0,0,3431,100,3312,96.5,18,0.5,0,0,0,0,0,0,0,0,101,2.9,17.3,16.6
OSCEOLA SCHOOL DISTRICT,OSCEOLA HIGH SCHOOL,73,12.8,9.60%,14.8,1.40%,13.4,2.70%,14.1,2.70%,0.00%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,14.8,13.4
BRINKLEY SCHOOL DISTRICT,BRINKLEY HIGH SCHOOL,19,11.9,0.00%,14.5,0.00%,14,5.30%,14.6,0.00%,0.00%,Arkansas,34.877241,-91.1944922,100 Tigers Dr,72021,Monroe County,Brinkley,5095,"100 Tigers Dr, Brinkley, Arkansas, 72021",950100,5095950100,2021,950100,Monroe County,Arkansas,277,104,47,110,16,2241,174,335,1002,454,62,171,43,37.5,17,39.7,5.8,7.8,14.9,44.7,20.3,2.8,7.6,1.9,1308,33773,45071,3163,0,0,3163,100,1348,42.6,1774,56.1,0,0,8,0.3,0,0,0,0,33,1,14.5,14
CLARENDON SCHOOL DISTRICT,CLARENDON HIGH SCHOOL,24,13.6,8.30%,15.9,4.20%,13.9,4.20%,15.5,4.20%,0.00%,Arkansas,34.6952361,-91.3060175,320 North 7th Street,72029,Monroe County,Clarendon,5095,"320 North 7th Street, Clarendon, Arkansas, 72029",950200,5095950200,2021,950200,Monroe County,Arkansas,137,23,61,50,3,1533,119,202,548,279,97,172,116,16.8,44.5,36.5,2.2,7.8,13.2,35.7,18.2,6.3,11.2,7.6,844,38571,58790,2187,24,1.1,2163,98.9,1538,70.3,535,24.5,23,1.1,0,0,0,0,0,0,67,3.1,15.9,13.9
CADDO HILLS SCHOOL DISTRICT,CADDO HILLS HIGH SCHOOL,25,17.7,48.00%,17.2,12.00%,18.9,36.00%,18.3,20.00%,12.00%,Arkansas,34.4198507,-93.6312389,2268 Arkansas 8,71935,Montgomery County,Caddo Gap,5097,"2268 Arkansas 8, Caddo Gap, Arkansas, 71935",953200,5097953200,2021,953200,Montgomery County,Arkansas,237,38,112,87,0,2626,98,324,1028,579,248,265,84,16,47.3,36.7,0,3.7,12.3,39.1,22,9.4,10.1,3.2,1489,39102,52642,3471,245,7.1,3226,92.9,3006,86.6,7,0.2,21,0.6,52,1.5,0,0,0,0,140,4,17.2,18.9
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA HIGH SCHOOL,30,15.1,26.70%,16.9,10.00%,16.5,16.70%,17.2,10.00%,3.30%,Arkansas,34.5565539,-93.6377032,338 Whittington Street,71957,Montgomery County,Mount Ida,5097,"338 Whittington Street, Mount Ida, Arkansas, 71957",953000,5097953000,2021,953000,Montgomery County,Arkansas,140,2,92,46,0,2356,142,239,652,834,121,248,120,1.4,65.7,32.9,0,6,10.1,27.7,35.4,5.1,10.5,5.1,1341,43911,59375,3041,23,0.8,3018,99.2,2918,96,21,0.7,49,1.6,0,0,0,0,0,0,30,1,16.9,16.5
PRESCOTT SCHOOL DISTRICT,PRESCOTT HIGH SCHOOL,54,15.2,31.50%,16,7.40%,16.4,22.20%,16.6,13.00%,5.60%,Arkansas,33.7913217,-93.3775516,736 Martin Street,71857,Nevada County,Prescott,5099,"736 Martin Street, Prescott, Arkansas, 71857",90200,5099090200,2021,90200,Nevada County,Arkansas,387,1,255,131,0,2873,42,181,1444,638,278,265,25,0.3,65.9,33.9,0,1.5,6.3,50.3,22.2,9.7,9.2,0.9,1637,40744,45791,4379,0,0,4379,100,2546,58.1,1792,40.9,0,0,0,0,0,0,0,0,41,0.9,16,16.4
NEVADA SCHOOL DISTRICT,NEVADA HIGH  SCHOOL,19,16.1,36.80%,15.8,10.50%,17.1,21.10%,18.2,21.10%,5.30%,Arkansas,33.6185131,-93.2986106,,N/A,Nevada County,N/A,5099,,90100,5099090100,2021,90100,Nevada County,Arkansas,231,48,34,144,5,1818,144,68,968,301,133,113,91,20.8,14.7,62.3,2.2,7.9,3.7,53.2,16.6,7.3,6.2,5,840,54167,56713,2493,1,0,2492,100,1585,63.6,799,32,14,0.6,0,0,0,0,2,0.1,92,3.7,15.8,17.1
JASPER SCHOOL DISTRICT,JASPER HIGH SCHOOL,26,17.2,38.50%,16.2,3.80%,18.5,23.10%,18.6,15.40%,3.80%,Arkansas,36.0050667,-93.1899672,600 School Street,72641,Newton County,Jasper,5101,"600 School Street, Jasper, Arkansas, 72641",180100,5101180100,2021,180100,Newton County,Arkansas,253,43,149,61,0,2556,117,286,867,672,205,259,150,17,58.9,24.1,0,4.6,11.2,33.9,26.3,8,10.1,5.9,1283,43836,54409,3602,16,0.4,3586,99.6,3364,93.4,4,0.1,4,0.1,0,0,20,0.6,0,0,194,5.4,16.2,18.5
JASPER SCHOOL DISTRICT,KINGSTON HIGH SCHOOL,18,15.1,22.20%,16.9,5.60%,16.3,16.70%,18.4,22.20%,0.00%,Arkansas,36.0540657,-93.5163726,220 Madison 2620,72742,Madison County,Kingston,5087,"220 Madison 2620, Kingston, Arkansas, 72742",960400,5087960400,2021,960400,Madison County,Arkansas,130,2,91,37,0,2496,217,150,1241,489,69,188,142,1.5,70,28.5,0,8.7,6,49.7,19.6,2.8,7.5,5.7,1361,40594,54308,3211,54,1.7,3157,98.3,2867,89.3,0,0,0,0,5,0.2,26,0.8,0,0,259,8.1,16.9,16.3
JASPER SCHOOL DISTRICT,OARK HIGH SCHOOL,10,12.5,10.00%,15.3,0.00%,14.6,10.00%,15.6,0.00%,0.00%,Arkansas,35.6886138,-93.5770339,338 Arkansas 215,72952,Johnson County,Oark,5071,"338 Arkansas 215, Oark, Arkansas, 72952",951700,5071951700,2021,951700,Johnson County,Arkansas,318,61,102,132,23,3294,62,247,1418,644,213,592,118,19.2,32.1,41.5,7.2,1.9,7.5,43,19.6,6.5,18,3.6,1790,51295,61348,4650,43,0.9,4607,99.1,4486,96.5,9,0.2,29,0.6,20,0.4,0,0,0,0,63,1.4,15.3,14.6
DEER-MT. JUDEA SCHOOL DISTRICT,DEER K-12 SCHOOL,16,17.9,56.30%,16.3,6.30%,18.3,37.50%,17.5,18.80%,6.30%,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2021,180200,Newton County,Arkansas,268,0,115,147,6,2789,130,257,1159,608,167,339,129,0,42.9,54.9,2.2,4.7,9.2,41.6,21.8,6,12.2,4.6,1486,42250,55641,3741,67,1.8,3674,98.2,3417,91.3,0,0,201,5.4,7,0.2,0,0,0,0,49,1.3,16.3,18.3
DEER-MT. JUDEA SCHOOL DISTRICT,MT. JUDEA K-12 SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2021,180200,Newton County,Arkansas,268,0,115,147,6,2789,130,257,1159,608,167,339,129,0,42.9,54.9,2.2,4.7,9.2,41.6,21.8,6,12.2,4.6,1486,42250,55641,3741,67,1.8,3674,98.2,3417,91.3,0,0,201,5.4,7,0.2,0,0,0,0,49,1.3,,
BEARDEN SCHOOL DISTRICT,BEARDEN HIGH SCHOOL,27,15,25.90%,16.2,7.40%,16,18.50%,16.6,7.40%,7.40%,Arkansas,33.7309841,-92.6212832,635 North Plum Street,71720,Ouachita County,Bearden,5103,"635 North Plum Street, Bearden, Arkansas, 71720",950102,5103950102,2021,950102,Ouachita County,Arkansas,153,59,16,78,0,2103,187,308,779,502,99,197,31,38.6,10.5,51,0,8.9,14.6,37,23.9,4.7,9.4,1.5,1194,43185,52251,2781,135,4.9,2646,95.1,1912,68.8,734,26.4,0,0,0,0,0,0,0,0,0,0,16.2,16
CAMDEN FAIRVIEW SCHOOL DISTRICT,CAMDEN FAIRVIEW HIGH SCHOOL,131,14.3,26.00%,15.1,3.80%,15.5,13.70%,16.1,6.90%,1.50%,Arkansas,33.5513511,-92.8530052,1750 Cash Road Southwest,71701,Ouachita County,Camden,5103,"1750 Cash Road Southwest, Camden, Arkansas, 71701",950600,5103950600,2021,950600,Ouachita County,Arkansas,79,36,38,5,0,2430,89,298,950,683,157,196,57,45.6,48.1,6.3,0,3.7,12.3,39.1,28.1,6.5,8.1,2.3,1379,36989,43173,3313,60,1.8,3253,98.2,1347,40.7,1834,55.4,0,0,0,0,0,0,0,0,72,2.2,15.1,15.5
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),SPARKMAN K-12 SCHOOL,11,11.1,0.00%,14.6,0.00%,13.3,0.00%,14.7,0.00%,0.00%,Arkansas,33.7197577,-92.8178291,,N/A,Ouachita County,N/A,5103,,950102,5103950102,2021,950102,Ouachita County,Arkansas,153,59,16,78,0,2103,187,308,779,502,99,197,31,38.6,10.5,51,0,8.9,14.6,37,23.9,4.7,9.4,1.5,1194,43185,52251,2781,135,4.9,2646,95.1,1912,68.8,734,26.4,0,0,0,0,0,0,0,0,0,0,14.6,13.3
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),HARMONY GROVE HIGH SCHOOL,45,17.6,42.20%,17.6,13.30%,18.9,26.70%,18.2,17.80%,11.10%,Arkansas,33.6514941,-92.7799058,401 Ouachita Road 88,71701,Ouachita County,Camden,5103,"401 Ouachita Road 88, Camden, Arkansas, 71701",950102,5103950102,2021,950102,Ouachita County,Arkansas,153,59,16,78,0,2103,187,308,779,502,99,197,31,38.6,10.5,51,0,8.9,14.6,37,23.9,4.7,9.4,1.5,1194,43185,52251,2781,135,4.9,2646,95.1,1912,68.8,734,26.4,0,0,0,0,0,0,0,0,0,0,17.6,18.9
EAST END SCHOOL DISTRICT,BIGELOW HIGH SCHOOL,27,18.5,51.90%,19.4,25.90%,18.9,29.60%,19.6,18.50%,11.10%,Arkansas,34.9981436,-92.6326964,101 Panther Drive,72016,Perry County,Bigelow,5105,"101 Panther Drive, Bigelow, Arkansas, 72016",952700,5105952700,2021,952700,Perry County,Arkansas,342,86,104,132,20,3745,104,206,1715,798,178,525,219,25.1,30.4,38.6,5.8,2.8,5.5,45.8,21.3,4.8,14,5.8,1875,47525,66805,5203,153,2.9,5050,97.1,4806,92.4,192,3.7,4,0.1,6,0.1,0,0,0,0,42,0.8,19.4,18.9
PERRYVILLE SCHOOL DISTRICT,PERRYVILLE HIGH SCHOOL,64,17.2,40.60%,17.8,10.90%,19.1,35.90%,18.1,21.90%,7.80%,Arkansas,34.9583939,-92.9775558,,N/A,Perry County,N/A,5105,,952900,5105952900,2021,952900,Perry County,Arkansas,90,9,20,60,1,1356,38,46,517,360,155,141,99,10,22.2,66.7,1.1,2.8,3.4,38.1,26.5,11.4,10.4,7.3,730,51974,68605,1844,26,1.4,1818,98.6,1674,90.8,41,2.2,3,0.2,0,0,0,0,0,0,100,5.4,17.8,19.1
BARTON SCHOOL DISTRICT,BARTON HIGH SCHOOL,31,13.8,16.10%,15.6,3.20%,15,9.70%,18,16.10%,0.00%,Arkansas,34.5523289,-90.7673009,9546 Arkansas 85,72390,Phillips County,N/A,5107,"9546 Arkansas 85, N/A, Arkansas, 72390",480202,5107480202,2021,480202,Phillips County,Arkansas,164,0,35,89,40,1741,54,191,543,581,123,195,54,0,21.3,54.3,24.4,3.1,11,31.2,33.4,7.1,11.2,3.1,843,53472,64283,2465,127,5.2,2338,94.8,1609,65.3,726,29.5,3,0.1,0,0,0,0,0,0,0,0,15.6,15
HELENA/ WEST HELENA SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,63,12.5,6.30%,14.2,0.00%,13.8,3.20%,15.2,3.20%,0.00%,Arkansas,34.5440852,-90.6273814,103 School Road,72390,Phillips County,Helena-West Helena,5107,"103 School Road, Helena-West Helena, Arkansas, 72390",480300,5107480300,2021,480300,Phillips County,Arkansas,397,115,108,95,79,2857,260,221,1051,578,463,228,56,29,27.2,23.9,19.9,9.1,7.7,36.8,20.2,16.2,8,2,1772,27737,38775,5153,0,0,5153,100,942,18.3,4177,81.1,0,0,0,0,0,0,0,0,34,0.7,14.2,13.8
MARVELL-ELAINE SCHOOL DISTRICT,MARVELL-ELAINE HIGH SCHOOL,20,13.1,15.00%,13.9,5.00%,14.5,0.00%,15.9,0.00%,0.00%,Arkansas,34.5492072,-90.9438468,,N/A,Phillips County,N/A,5107,,480202,5107480202,2021,480202,Phillips County,Arkansas,164,0,35,89,40,1741,54,191,543,581,123,195,54,0,21.3,54.3,24.4,3.1,11,31.2,33.4,7.1,11.2,3.1,843,53472,64283,2465,127,5.2,2338,94.8,1609,65.3,726,29.5,3,0.1,0,0,0,0,0,0,0,0,13.9,14.5
KIPP DELTA PUBLIC SCHOOLS,KIPP:DELTA COLLEGIATE HIGH SCHOOL,41,14.8,17.10%,15.8,2.40%,14,4.90%,16.5,2.40%,0.00%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,15.8,14
KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,14,13.1,7.10%,14.5,0.00%,14.8,0.00%,14.2,0.00%,0.00%,Arkansas,35.9284963,-89.9080319,,72315,Mississippi County,Blytheville,5093,,10100,5093010100,2021,10100,Mississippi County,Arkansas,52,0,40,5,7,966,47,102,487,236,19,48,27,0,76.9,9.6,13.5,4.9,10.6,50.4,24.4,2,5,2.8,522,35093,33386,1674,44,2.6,1630,97.4,218,13,1308,78.1,0,0,0,0,0,0,73,4.4,31,1.9,14.5,14.8
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT HIGH SCHOOL,77,17.9,50.60%,17.5,14.30%,19.5,42.90%,19.7,26.00%,9.10%,Arkansas,34.2874409,-93.5117152,755 Arkansas 8,71921,Pike County,Amity,5109,"755 Arkansas 8, Amity, Arkansas, 71921",953300,5109953300,2021,953300,Pike County,Arkansas,314,23,99,158,34,2487,257,116,878,652,91,316,177,7.3,31.5,50.3,10.8,10.3,4.7,35.3,26.2,3.7,12.7,7.1,1401,39263,62769,3628,517,14.3,3111,85.7,2951,81.3,71,2,12,0.3,2,0.1,0,0,0,0,75,2.1,17.5,19.5
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT ACADEMY OF AGRICULTURE & SKILLED TRADE,12,12.7,8.30%,15.4,0.00%,14.7,16.70%,16.2,16.70%,0.00%,Arkansas,34.2874409,-93.5117152,755 Arkansas 8,71921,Pike County,Amity,5109,"755 Arkansas 8, Amity, Arkansas, 71921",953300,5109953300,2021,953300,Pike County,Arkansas,314,23,99,158,34,2487,257,116,878,652,91,316,177,7.3,31.5,50.3,10.8,10.3,4.7,35.3,26.2,3.7,12.7,7.1,1401,39263,62769,3628,517,14.3,3111,85.7,2951,81.3,71,2,12,0.3,2,0.1,0,0,0,0,75,2.1,15.4,14.7
KIRBY SCHOOL DISTRICT,KIRBY HIGH SCHOOL,15,16.3,40.00%,16.6,13.30%,17.6,26.70%,18.8,20.00%,13.30%,Arkansas,34.2482513,-93.6399655,2614 Arkansas 27,71950,Pike County,Kirby,5109,"2614 Arkansas 27, Kirby, Arkansas, 71950",953300,5109953300,2021,953300,Pike County,Arkansas,314,23,99,158,34,2487,257,116,878,652,91,316,177,7.3,31.5,50.3,10.8,10.3,4.7,35.3,26.2,3.7,12.7,7.1,1401,39263,62769,3628,517,14.3,3111,85.7,2951,81.3,71,2,12,0.3,2,0.1,0,0,0,0,75,2.1,16.6,17.6
SOUTH PIKE COUNTY SCHOOL DISTRICT,MURFREESBORO HIGH SCHOOL,49,16.9,49.00%,16.6,8.20%,17.1,24.50%,18,10.20%,8.20%,Arkansas,34.0582807,-93.6875104,605 3rd Avenue,71958,Pike County,Murfreesboro,5109,"605 3rd Avenue, Murfreesboro, Arkansas, 71958",953500,5109953500,2021,953500,Pike County,Arkansas,349,21,147,142,39,3138,162,212,1090,800,307,417,150,6,42.1,40.7,11.2,5.2,6.8,34.7,25.5,9.8,13.3,4.8,1841,47100,52071,4462,115,2.6,4347,97.4,3789,84.9,338,7.6,0,0,8,0.2,0,0,4,0.1,208,4.7,16.6,17.1
HARRISBURG SCHOOL DISTRICT,HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,43,18,55.80%,16.5,4.70%,17.9,30.20%,17.3,11.60%,2.30%,Arkansas,35.5203142,-90.6393702,,N/A,Poinsett County,N/A,5111,,490200,5111490200,2021,490200,Poinsett County,Arkansas,105,8,40,57,0,1022,164,83,395,160,37,93,90,7.6,38.1,54.3,0,16,8.1,38.6,15.7,3.6,9.1,8.8,585,45625,53306,1429,1,0.1,1428,99.9,1409,98.6,0,0,0,0,0,0,0,0,0,0,19,1.3,16.5,17.9
MARKED TREE SCHOOL DISTRICT,MARKED TREE HIGH SCHOOL,32,14.5,21.90%,15.8,6.30%,15.3,6.30%,16.1,6.30%,0.00%,Arkansas,35.5276217,-90.4209489,406 Saint Francis Street,72365,Poinsett County,Marked Tree,5111,"406 Saint Francis Street, Marked Tree, Arkansas, 72365",490700,5111490700,2021,490700,Poinsett County,Arkansas,173,59,82,17,15,1470,116,281,523,305,61,117,67,34.1,47.4,9.8,8.7,7.9,19.1,35.6,20.7,4.1,8,4.6,854,33173,44431,2045,40,2,2005,98,1642,80.3,221,10.8,1,0,2,0.1,0,0,5,0.2,134,6.6,15.8,15.3
TRUMANN SCHOOL DISTRICT,TRUMANN HIGH SCHOOL,98,15.6,33.70%,17,16.30%,16.7,22.40%,17.8,15.30%,8.20%,Arkansas,35.6725246,-90.5323769,1620 West Main Street,72472,Poinsett County,Trumann,5111,"1620 West Main Street, Trumann, Arkansas, 72472",490400,5111490400,2021,490400,Poinsett County,Arkansas,241,13,75,147,6,3135,417,175,1209,767,96,306,165,5.4,31.1,61,2.5,13.3,5.6,38.6,24.5,3.1,9.8,5.3,1806,54107,59869,4668,58,1.2,4610,98.8,4197,89.9,91,1.9,0,0,0,0,0,0,11,0.2,311,6.7,17,16.7
EAST POINSETT CO. SCHOOL DISTRICT,EAST POINSETT COUNTY HIGH SCHOOL,39,15.6,33.30%,16.2,10.30%,15.8,15.40%,16.9,10.30%,5.10%,Arkansas,35.6083508,-90.3404851,616 McClellan Avenue,72354,Poinsett County,Lepanto,5111,"616 McClellan Avenue, Lepanto, Arkansas, 72354",490100,5111490100,2021,490100,Poinsett County,Arkansas,328,86,101,123,18,2726,310,244,1260,469,131,256,56,26.2,30.8,37.5,5.5,11.4,9,46.2,17.2,4.8,9.4,2.1,1441,41016,63288,3807,175,4.6,3632,95.4,3131,82.2,203,5.3,2,0.1,2,0.1,0,0,0,0,294,7.7,16.2,15.8
MENA SCHOOL DISTRICT,MENA HIGH SCHOOL,92,16.6,40.20%,17.9,13.00%,18.5,31.50%,18.2,14.10%,8.70%,Arkansas,34.5800952,-94.2180163,1200 Dallas Avenue,71953,Polk County,Mena,5113,"1200 Dallas Avenue, Mena, Arkansas, 71953",950400,5113950400,2021,950400,Polk County,Arkansas,409,164,87,158,0,2036,34,78,946,468,156,182,172,40.1,21.3,38.6,0,1.7,3.8,46.5,23,7.7,8.9,8.4,1111,46689,58659,2894,117,4,2777,96,2554,88.3,30,1,63,2.2,43,1.5,0,0,0,0,87,3,17.9,18.5
MENA SCHOOL DISTRICT,POLK COUNTY VIRTUAL ACADEMY,3,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,34.4839376,-94.1104449,,N/A,Polk County,N/A,5113,,950100,5113950100,2021,950100,Polk County,Arkansas,142,19,50,73,0,2903,60,244,1047,816,195,297,244,13.4,35.2,51.4,0,2.1,8.4,36.1,28.1,6.7,10.2,8.4,1643,41169,55947,3657,242,6.6,3415,93.4,3257,89.1,0,0,87,2.4,13,0.4,0,0,0,0,58,1.6,,
OUACHITA RIVER SCHOOL DISTRICT,ACORN HIGH SCHOOL,32,16,31.30%,17.1,18.80%,17.3,21.90%,17.7,12.50%,9.40%,Arkansas,34.637519,-94.2075185,143 Polk County Road 96,71953,Polk County,Mena,5113,"143 Polk County Road 96, Mena, Arkansas, 71953",950202,5113950202,2021,950202,Polk County,Arkansas,173,0,173,0,0,2291,41,141,683,836,272,248,70,0,100,0,0,1.8,6.2,29.8,36.5,11.9,10.8,3.1,1331,43250,76095,3079,16,0.5,3063,99.5,2979,96.8,35,1.1,24,0.8,0,0,0,0,25,0.8,0,0,17.1,17.3
OUACHITA RIVER SCHOOL DISTRICT,ODEN SCHOOLS,11,18,45.50%,16.6,9.10%,19.6,36.40%,18.2,9.10%,9.10%,Arkansas,34.5803987,-93.8655303,,N/A,Montgomery County,N/A,5097,,953100,5097953100,2021,953100,Montgomery County,Arkansas,159,42,35,80,2,1439,78,149,431,316,197,188,80,26.4,22,50.3,1.3,5.4,10.4,30,22,13.7,13.1,5.6,839,37623,49667,2013,115,5.7,1898,94.3,1792,89,15,0.7,24,1.2,31,1.5,0,0,0,0,36,1.8,16.6,19.6
COSSATOT RIVER SCHOOL DISTRICT,COSSATOT RIVER HIGH SCHOOL,61,16,32.80%,16.7,9.80%,18,26.20%,17.2,11.50%,6.60%,Arkansas,34.3832364,-94.3869121,6330 U.S. 71,71937,Polk County,Cove,5113,"6330 U.S. 71, Cove, Arkansas, 71937",950500,5113950500,2021,950500,Polk County,Arkansas,106,21,33,52,0,1580,84,177,674,376,114,96,59,19.8,31.1,49.1,0,5.3,11.2,42.7,23.8,7.2,6.1,3.7,839,47417,71170,2199,42,1.9,2157,98.1,1817,82.6,0,0,96,4.4,0,0,45,2,55,2.5,144,6.5,16.7,18
COSSATOT RIVER SCHOOL DISTRICT,UMPIRE K-12 SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,34.2775266,-94.0526464,142 School Street,71971,Howard County,Umpire,5061,"142 School Street, Umpire, Arkansas, 71971",950100,5061950100,2021,950100,Howard County,Arkansas,167,0,44,104,19,2555,83,195,1133,534,233,233,144,0,26.3,62.3,11.4,3.2,7.6,44.3,20.9,9.1,9.1,5.6,1562,40523,64525,3748,268,7.2,3480,92.8,3272,87.3,168,4.5,0,0,0,0,0,0,0,0,40,1.1,,
ATKINS SCHOOL DISTRICT,ATKINS HIGH SCHOOL,45,18.5,60.00%,17.5,13.30%,19.4,35.60%,18.7,15.60%,4.40%,Arkansas,35.2453482,-92.941787,403 Avenue 3 Northwest,72823,Pope County,Atkins,5115,"403 Avenue 3 Northwest, Atkins, Arkansas, 72823",951100,5115951100,2021,951100,Pope County,Arkansas,242,70,47,85,40,2687,113,243,1055,892,79,185,120,28.9,19.4,35.1,16.5,4.2,9,39.3,33.2,2.9,6.9,4.5,1478,51483,63394,3720,28,0.8,3692,99.2,3505,94.2,75,2,0,0,0,0,0,0,0,0,112,3,17.5,19.4
DOVER SCHOOL DISTRICT,DOVER HIGH SCHOOL,79,18.9,57.00%,17.9,22.80%,19.6,38.00%,19.9,27.80%,13.90%,Arkansas,35.3971901,-93.1164735,101 Pirate Loop,72837,Pope County,Dover,5115,"101 Pirate Loop, Dover, Arkansas, 72837",950902,5115950902,2021,950902,Pope County,Arkansas,186,13,102,69,2,3027,148,377,1052,769,319,301,61,7,54.8,37.1,1.1,4.9,12.5,34.8,25.4,10.5,9.9,2,1709,33373,53510,4207,303,7.2,3904,92.8,3635,86.4,36,0.9,12,0.3,3,0.1,0,0,0,0,218,5.2,17.9,19.6
HECTOR SCHOOL DISTRICT,HECTOR HIGH SCHOOL,30,18.3,53.30%,17.2,16.70%,19,33.30%,19.3,20.00%,6.70%,Arkansas,35.4696088,-92.9737878,11601 Arkansas 27,72843,Pope County,Hector,5115,"11601 Arkansas 27, Hector, Arkansas, 72843",950700,5115950700,2021,950700,Pope County,Arkansas,190,12,78,94,6,2928,361,458,1268,370,120,252,99,6.3,41.1,49.5,3.2,12.3,15.6,43.3,12.6,4.1,8.6,3.4,1545,36705,51552,3917,21,0.5,3896,99.5,3811,97.3,42,1.1,0,0,0,0,0,0,0,0,43,1.1,17.2,19
