,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
11,ARKANSAS CONSOLIDATED HIGH SCHOOL-HARRISBURG,7-12,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,N<10,N<10,N<10,N<10,N<10,18,100%,50%,0%,44%,6%,50%,3,5,N<10,N/A,N<10,N<10,N<10,N<10,0,PULASKI,6094006,6094000,2021
12,ARKANSAS CONSOLIDATED HIGH SCHOOL-MANSFIELD,7-12,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,N<10,N<10,N<10,N<10,N<10,23,100%,48%,9%,39%,4%,52%,3,2,N<10,N/A,N<10,N<10,N<10,N<10,0,PULASKI,6094005,6094000,2021
13,ARKANSAS HIGH SCHOOL,9-12,TEXARKANA SCHOOL DISTRICT,10%,36%,18%,13%,5%,1123,59%,32%,6%,56%,7%,68%,4,235,168,71%,15.9,16.1,16.3,17.1,0,MILLER,4605026,4605000,2021
14,ARKANSAS SCHOOL FOR THE BLIND HIGH SCHOOL,7-12,ARKANSAS SCHOOL FOR THE BLIND,0%,40%,30%,0%,0%,45,38%,64%,2%,22%,11%,36%,3,13,10,77%,15.3,14.7,19.5,17.3,0,PULASKI,6091002,6091000,2021
15,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,9-12,ARKANSAS VIRTUAL ACADEMY,16%,54%,38%,25%,12%,1444,64%,71%,6%,17%,5%,29%,3,417,97,23%,17,18.4,19.6,18.7,1,PULASKI,6043703,6043700,2021
16,ARMOREL HIGH SCHOOL,7-12,ARMOREL SCHOOL DISTRICT,20%,60%,45%,25%,15%,197,42%,84%,4%,9%,3%,16%,2,24,20,83%,17.9,19.3,20,19.7,0,MISSISSIPPI,4701002,4701000,2021
17,ASHDOWN HIGH SCHOOL,9-12,ASHDOWN SCHOOL DISTRICT,17%,37%,20%,21%,13%,395,63%,62%,5%,27%,6%,38%,4,102,90,88%,17.2,16.5,17.4,17.7,0,LITTLE RIVER,4101004,4101000,2021
18,ATKINS HIGH SCHOOL,9-12,ATKINS SCHOOL DISTRICT,17%,47%,28%,11%,6%,296,68%,92%,2%,2%,4%,8%,1,76,47,62%,17.8,17.5,18.5,18.2,0,POPE,5801002,5801000,2021
19,AUGUSTA HIGH SCHOOL,6-12,AUGUSTA SCHOOL DISTRICT,10%,50%,20%,15%,10%,168,85%,37%,2%,55%,7%,63%,2,20,20,100%,16.3,17.9,17.7,18.3,0,WOODRUFF,7401003,7401000,2021
20,BALD KNOB HIGH SCHOOL,9-12,BALD KNOB SCHOOL DISTRICT,20%,49%,42%,26%,14%,368,53%,88%,7%,1%,4%,12%,2,78,55,71%,18.5,19,19.7,19.3,0,WHITE,7301003,7301000,2021
21,BARTON HIGH SCHOOL,7-12,BARTON SCHOOL DISTRICT,5%,23%,5%,11%,2%,323,85%,55%,2%,40%,3%,45%,5,51,44,86%,15.9,15,15.2,17.1,0,PHILLIPS,5401003,5401000,2021
22,BAUXITE HIGH SCHOOL,9-12,BAUXITE SCHOOL DISTRICT,11%,44%,28%,20%,7%,466,29%,89%,7%,3%,1%,11%,3,110,108,98%,16.8,17.1,17.8,18.3,0,SALINE,6301002,6301000,2021
23,BAY HIGH SCHOOL,7-12,BAY SCHOOL DISTRICT,7%,36%,21%,14%,7%,259,59%,93%,2%,3%,3%,7%,2,44,44,100%,16,16,17,17.5,0,CRAIGHEAD,1601002,1601000,2021
24,BEARDEN HIGH SCHOOL,7-12,BEARDEN SCHOOL DISTRICT,3%,38%,31%,6%,0%,211,74%,53%,5%,36%,6%,47%,4,33,32,97%,15.7,17.2,17.8,17,0,OUACHITA,5201002,5201000,2021
25,BEEBE HIGH SCHOOL,9-12,BEEBE SCHOOL DISTRICT,28%,51%,36%,25%,14%,1040,41%,85%,6%,5%,3%,15%,2,253,211,83%,18.7,18.4,19,19.2,0,WHITE,7302010,7302000,2021
26,BELLE POINT ALTERNATIVE CENTER,6-12,FORT SMITH SCHOOL DISTRICT,N<10,N<10,N<10,N<10,N<10,52,90%,42%,19%,21%,17%,58%,1,14,N<10,N/A,N<10,N<10,N<10,N<10,0,SEBASTIAN,6601005,6601000,2021
27,BENTON HIGH SCHOOL,10-12,BENTON SCHOOL DISTRICT,37%,58%,44%,35%,24%,1244,33%,74%,12%,8%,6%,26%,3,429,393,92%,19.9,19.8,20.4,20.3,0,SALINE,6302012,6302000,2021
28,BENTONVILLE HIGH SCHOOL,9-12,BENTONVILLE SCHOOL DISTRICT,44%,75%,58%,48%,34%,3159,16%,75%,11%,2%,12%,25%,1,796,718,90%,21.2,22.7,22.7,22,0,BENTON,401003,401000,2021
29,BENTONVILLE WEST HIGH SCHOOL,9-12,BENTONVILLE SCHOOL DISTRICT,34%,67%,48%,36%,24%,2279,27%,69%,16%,4%,11%,31%,1,557,495,89%,19.8,20.4,21,20.6,0,BENTON,401019,401000,2021
30,BERGMAN HIGH SCHOOL,9-12,BERGMAN SCHOOL DISTRICT,24%,61%,36%,37%,14%,309,53%,94%,4%,0%,2%,6%,1,74,59,80%,18.7,20.2,20.5,20.8,0,BOONE,502007,502000,2021
31,BERRYVILLE HIGH SCHOOL,9-12,BERRYVILLE SCHOOL DISTRICT,20%,57%,34%,29%,14%,545,66%,64%,30%,0%,6%,36%,1,142,118,83%,17.8,19,19.3,19.6,0,CARROLL,801002,801000,2021
