school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
tantasqua - tantasqua regional vocational,7700605,49,529,114.0,10.3,483.0,42.2,57.8,27.1,0.4,13.5,7700000.0,0.2,0.2,5.6,90.7,0.2,0.2,2.9,Tantasqua,"          $26,131,484.00",1782.4,"              $14,660.84","          $26,442,193.00",1822.5,14508.75,2019.0,540.0,541.0,567.0,548.0,533.0
taunton - taunton high,2930505,544,506,988.0,20.7,2705.0,50.2,49.8,43.3,4.6,15.1,2930000.0,19.3,1.6,13.4,61.0,0.3,0.2,4.2,Taunton,"         $110,347,339.31",8052.1,"              $13,704.17","         $122,045,635.31",8400.0,14529.24,2019.0,490.0,531.0,514.0,505.0,489.0
tewksbury - tewksbury memorial high,2950505,247,555,405.0,19.6,860.0,52.9,47.0,15.8,0.6,13.1,2950000.0,3.3,3.8,4.9,87.1,0.1,0.0,0.8,Tewksbury,"          $57,847,394.97",3438.2,"              $16,824.91","          $65,824,816.47",3609.6,18236.04,2019.0,560.0,565.0,545.0,530.0,568.0
tri-county regional vocational technical - tri-county regional vocational technical,8780605,151,522,825.0,15.7,974.0,40.4,59.5,18.2,0.0,29.0,8780000.0,0.9,0.9,6.6,86.7,0.3,0.1,4.5,Tri-County Regional Vocational Technical,"          $21,045,382.00",1042.2,"              $20,193.23","          $21,085,803.00",1044.2,20193.26,2019.0,519.0,509.0,520.0,532.0,516.0
triton - triton regional high school,7730505,185,558,331.0,14.3,665.0,49.9,50.1,19.7,1.7,13.1,7730000.0,1.2,2.0,3.9,91.6,0.2,0.2,1.1,Triton,"          $41,945,927.00",2368.8,"              $17,707.67","          $46,389,313.00",2546.3,18218.32,2019.0,551.0,550.0,585.0,542.0,545.0
tyngsborough - tyngsborough high school,3010505,144,561,378.0,15.4,458.0,53.9,46.1,10.0,1.3,10.3,3010000.0,2.0,7.0,5.2,82.1,0.2,0.0,3.5,Tyngsborough,"          $24,623,054.00",1624.7,"              $15,155.45","          $28,033,102.00",1765.9,15874.68,2019.0,565.0,568.0,573.0,577.0,585.0
upper cape cod regional vocational technical - upper cape cod vocational technical,8790605,115,518,356.0,14.1,692.0,36.6,63.4,27.2,0.0,22.0,8790000.0,4.3,1.7,2.9,83.8,0.9,0.1,6.2,Upper Cape Cod Regional Vocational Technical,"          $17,680,564.52",728.8,"              $24,259.83","          $17,687,164.52",730.1,24225.67,2019.0,513.0,517.0,462.0,497.0,503.0
uxbridge - uxbridge high,3040505,113,545,340.0,14.5,588.0,44.6,55.4,19.4,1.5,15.5,3040000.0,1.5,1.7,4.9,88.6,0.3,0.0,2.9,Uxbridge,"          $26,532,261.00",1679.7,"              $15,795.83","          $31,170,328.00",1917.9,16252.32,2019.0,536.0,546.0,519.0,547.0,535.0
wachusett - wachusett regional high,7750505,612,568,1152.0,16.3,2038.0,50.4,49.6,11.5,0.5,13.7,7750000.0,2.1,3.3,5.2,87.1,0.1,0.0,2.2,Wachusett,"          $91,996,782.52",7108.6,"              $12,941.62","         $100,984,903.78",7341.9,13754.6,2019.0,569.0,573.0,581.0,572.0,565.0
wakefield - wakefield memorial high,3050505,317,565,533.0,14.9,990.0,51.7,48.2,12.6,1.6,15.8,3050000.0,3.6,3.3,6.7,84.4,0.1,0.1,1.7,Wakefield,"          $53,478,747.51",3499.8,"              $15,280.52","          $58,961,303.61",3629.4,16245.47,2019.0,566.0,551.0,561.0,557.0,549.0
walpole - walpole high,3070505,388,572,510.0,17.5,1095.0,49.0,51.1,12.9,2.5,14.9,3070000.0,3.4,5.2,6.1,82.7,0.5,0.0,2.2,Walpole,"          $59,130,327.36",3768.6,"              $15,690.26","          $64,011,429.24",3886.0,16472.32,2019.0,566.0,547.0,569.0,550.0,565.0
waltham - waltham sr high,3080505,379,525,878.0,15.3,1661.0,45.2,54.7,40.0,20.8,14.3,3080000.0,9.9,4.0,45.1,39.1,0.1,0.0,1.8,Waltham,"         $119,090,108.00",5582.8,"              $21,331.61","         $127,009,430.00",5781.5,21968.25,2019.0,526.0,542.0,555.0,534.0,538.0
ware - ware junior/senior high school,3090505,64,542,254.0,16.2,474.0,49.0,51.1,44.7,0.6,20.0,3090000.0,2.1,0.8,4.4,86.9,0.2,0.6,4.9,Ware,"          $17,989,905.68",1166.5,"              $15,422.12","          $20,631,224.50",1379.0,14961.0,2019.0,532.0,533.0,534.0,549.0,531.0
watertown - watertown high,3140505,163,548,414.0,14.1,697.0,48.2,51.8,31.4,9.6,15.5,3140000.0,4.7,7.8,21.5,61.3,1.0,0.0,3.7,Watertown,"          $55,747,752.54",2644.8,"              $21,078.25","          $62,615,504.23",2792.5,22422.74,2019.0,561.0,583.0,568.0,575.0,574.0
wayland - wayland high school,3150505,204,618,444.0,14.0,838.0,49.8,50.2,5.1,1.0,20.8,3150000.0,4.4,17.9,4.9,66.0,0.0,0.1,6.7,Wayland,"          $50,694,164.73",2707.1,"              $18,726.37","          $53,689,167.16",2761.4,19442.73,2019.0,638.0,661.0,657.0,650.0,652.0
wellesley - wellesley sr high,3170505,349,625,679.0,16.5,1503.0,49.1,50.8,5.9,0.5,15.6,3170000.0,3.9,12.6,4.4,73.8,0.0,0.0,5.4,Wellesley,"          $97,780,268.76",4954.8,"              $19,734.45","         $105,659,336.95",5027.5,21016.28,2019.0,628.0,628.0,670.0,650.0,649.0
west boylston - west boylston junior/senior high,3220505,55,572,365.0,13.5,502.0,53.6,46.4,19.9,2.0,14.5,3220000.0,2.8,1.6,11.8,80.7,0.2,0.0,3.0,West Boylston,"          $14,937,057.06",891.2,"              $16,760.61","          $17,293,431.06",996.9,17347.21,2019.0,550.0,526.0,536.0,534.0,526.0
west bridgewater - west bridgewater junior/senior,3230505,129,552,446.0,17.2,641.0,52.9,47.1,18.1,0.8,9.1,3230000.0,5.8,1.3,4.5,85.2,0.3,0.0,3.0,West Bridgewater,"          $17,099,102.50",1346.6,"              $12,697.98","          $18,842,713.20",1387.5,13580.33,2019.0,536.0,542.0,542.0,553.0,546.0
west springfield - west springfield high,3320505,198,549,702.0,16.3,1241.0,47.5,52.5,43.8,7.6,19.5,3320000.0,4.0,7.5,20.2,66.0,0.2,0.0,2.3,West Springfield,"          $57,095,812.00",4097.0,"              $13,936.00","          $63,805,250.00",4282.5,14899.07,2019.0,549.0,556.0,547.0,549.0,541.0
westborough - westborough high,3210505,315,593,705.0,15.2,1157.0,49.0,50.9,11.2,3.4,8.7,3210000.0,1.6,26.8,7.6,60.3,0.0,0.1,3.5,Westborough,"          $64,489,874.72",3946.4,"              $16,341.44","          $67,972,966.98",3998.7,16998.77,2019.0,610.0,619.0,639.0,641.0,638.0
westfield - westfield high,3250505,240,553,681.0,14.9,1175.0,52.6,47.2,29.6,3.4,18.7,3250000.0,2.3,3.4,14.8,76.8,0.2,0.0,2.6,Westfield,"          $79,145,979.64",5305.7,"              $14,917.16","          $86,879,488.64",5605.6,15498.7,2019.0,535.0,530.0,556.0,549.0,538.0
westford - westford academy,3260505,533,608,733.0,18.7,1685.0,47.7,52.2,5.1,0.6,11.2,3260000.0,1.1,25.2,1.7,68.5,0.1,0.1,3.5,Westford,"          $72,795,144.70",5084.3,"              $14,317.63","          $78,167,478.70",5166.2,15130.56,2019.0,624.0,641.0,654.0,621.0,631.0
weston - weston high,3300505,148,627,520.0,13.6,663.0,48.3,51.7,6.0,2.1,19.5,3300000.0,6.3,18.6,3.5,67.0,0.5,0.0,4.2,Weston,"          $52,262,282.61",2092.8,"              $24,972.42","          $55,013,702.14",2128.5,25846.23,2019.0,652.0,645.0,657.0,658.0,672.0
westwood - westwood high,3350505,356,596,516.0,14.5,1005.0,54.7,45.3,5.7,0.3,14.0,3350000.0,3.7,9.9,3.3,81.0,0.0,0.0,2.2,Westwood,"          $58,330,737.00",3098.8,"              $18,823.65","          $60,329,359.00",3122.1,19323.33,2019.0,611.0,620.0,632.0,607.0,597.0
weymouth - weymouth high school,3360505,485,536,916.0,15.4,1852.0,49.2,50.6,27.7,3.2,17.1,3360000.0,5.9,5.0,9.8,75.3,0.2,0.1,3.7,Weymouth,"          $88,107,775.58",5797.3,"              $15,198.07","         $100,764,928.51",6211.7,16221.8,2019.0,531.0,537.0,538.0,535.0,528.0
whitman-hanson - whitman hanson regional,7800505,333,541,431.0,21.2,1156.0,49.2,50.8,15.8,1.0,13.1,7800000.0,3.4,1.1,4.2,88.2,0.6,0.3,2.2,Whitman-Hanson,"          $50,989,597.96",3804.3,"              $13,403.15","          $55,505,931.27",3939.2,14090.66,2019.0,526.0,518.0,524.0,524.0,537.0
whittier regional vocational technical - whittier regional vocational,8850605,183,514,604.0,15.3,1247.0,46.0,53.8,31.1,1.6,19.8,8850000.0,2.6,1.3,23.8,69.1,0.4,0.0,2.8,Whittier Regional Vocational Technical,"          $25,178,735.00",1216.1,"              $20,704.49","          $25,241,624.00",1216.1,20756.21,2019.0,490.0,488.0,527.0,525.0,515.0
wilmington - wilmington high,3420505,266,558,435.0,15.7,803.0,50.8,48.9,8.0,0.6,12.5,3420000.0,1.4,5.5,4.4,85.8,0.0,0.0,3.0,Wilmington,"          $54,164,567.00",3186.7,"              $16,997.07","          $61,192,272.00",3277.0,18673.26,2019.0,543.0,554.0,580.0,568.0,576.0
winchendon - murdock high school,3430515,59,529,117.0,12.6,263.0,48.7,51.3,38.0,1.9,24.0,3430000.0,1.5,4.9,8.0,82.5,0.4,0.0,2.7,Winchendon,"          $17,938,547.00",1256.9,"              $14,272.06","          $20,624,970.00",1456.2,14163.56,2019.0,512.0,474.0,527.0,459.0,454.0
winchester - winchester high school,3440505,380,617,667.0,16.8,1419.0,51.4,48.6,6.5,0.8,16.9,3440000.0,1.5,18.9,4.1,71.5,0.3,0.1,3.7,Winchester,"          $64,961,404.21",4635.8,"              $14,012.99","          $69,152,878.26",4701.1,14709.94,2019.0,636.0,645.0,643.0,651.0,656.0
winthrop - winthrop high school,3460505,155,539,218.0,18.0,596.0,50.0,50.0,26.9,4.4,15.3,3460000.0,1.2,1.0,15.6,81.7,0.0,0.0,0.5,Winthrop,"          $26,504,844.36",1977.7,"              $13,401.85","          $28,618,489.47",2034.3,14067.98,2019.0,525.0,523.0,552.0,555.0,552.0
woburn - woburn high,3470505,294,549,647.0,15.2,1281.0,51.5,48.4,26.8,8.5,16.3,3470000.0,7.0,6.3,13.6,71.0,0.6,0.1,1.6,Woburn,"          $79,508,427.98",4533.6,"              $17,537.59","          $86,647,131.64",4683.9,18498.93,2019.0,551.0,555.0,536.0,530.0,550.0
worcester - burncoat senior high,3480503,293,458,674.0,13.1,1064.0,49.0,51.0,59.5,24.3,25.1,3480000.0,18.6,3.7,42.8,30.5,0.0,0.0,4.5,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,454.0,468.0,497.0,421.0,435.0
worcester - claremont academy,3480350,111,428,267.0,18.6,559.0,48.3,51.7,68.7,34.7,10.9,3480000.0,11.3,8.6,72.3,5.9,0.2,0.0,1.8,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,421.0,439.0,477.0,398.0,400.0
worcester - doherty memorial high,3480512,471,494,908.0,13.3,1448.0,45.0,55.0,45.1,18.3,15.2,3480000.0,16.7,6.1,33.3,39.4,0.2,0.0,4.4,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,499.0,521.0,535.0,467.0,463.0
worcester - north high,3480515,296,425,649.0,15.1,1154.0,49.3,50.7,69.2,28.6,21.2,3480000.0,21.9,6.0,50.9,18.0,0.1,0.0,3.1,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,420.0,457.0,461.0,391.0,389.0
worcester - south high community,3480520,322,466,741.0,15.1,1308.0,48.2,51.8,63.3,30.0,21.2,3480000.0,18.4,11.6,45.5,21.4,0.1,0.0,3.0,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,473.0,508.0,572.0,453.0,446.0
worcester - university pk campus school,3480285,53,484,134.0,17.1,243.0,51.9,48.2,65.0,21.0,12.4,3480000.0,13.2,18.9,54.3,8.6,0.4,0.0,4.5,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,486.0,491.0,506.0,445.0,439.0
worcester - worcester technical high,3480605,420,486,710.0,16.0,1468.0,55.8,44.2,46.2,5.5,11.4,3480000.0,16.4,7.9,36.7,35.4,0.1,0.1,3.4,Worcester,"         $376,560,759.76",25430.4,"              $14,807.50","         $431,856,728.52",28580.4,15110.24,2019.0,487.0,506.0,513.0,469.0,478.0
