school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
bristol county agricultural - bristol county agricultural high,9100705,99,533,235.0,17.4,451.0,71.2,28.4,23.1,0.0,11.8,9100000.0,1.8,0.4,4.7,91.6,0.0,0.2,1.3,Bristol County Agricultural,"          $12,399,742.40",450.3,"              $27,536.63","          $12,399,742.40",450.3,27536.63,2019.0,522.0,542.0,505.0,519.0,526.0
bristol-plymouth regional vocational technical - bristol-plymouth vocational technical,8100605,147,509,969.0,17.5,1290.0,43.0,57.0,27.8,0.3,18.3,8100000.0,2.9,0.7,6.2,85.7,0.6,0.0,3.9,Bristol-Plymouth Regional Vocational Technical,"          $25,076,215.32",1289.6,"              $19,444.96","          $25,151,441.32",1304.3,19283.48,2019.0,511.0,508.0,536.0,510.0,507.0
brockton - brockton high,440505,638,498,1956.0,18.1,4079.0,46.7,53.3,56.5,25.4,12.1,440000.0,63.6,2.4,14.4,15.2,0.4,0.2,3.8,Brockton,"         $245,238,171.92",16225.4,"              $15,114.46","         $271,418,388.13",17798.9,15249.17,2019.0,494.0,479.0,496.0,500.0,488.0
brookline - brookline high,460505,494,627,1190.0,13.8,2091.0,48.8,50.7,11.6,2.6,17.3,460000.0,7.9,16.4,11.5,54.4,0.0,0.1,9.7,Brookline,"         $155,846,461.00",7863.5,"              $19,818.97","         $162,641,415.00",7939.0,20486.39,2019.0,638.0,624.0,652.0,650.0,661.0
burlington - burlington high,480505,307,571,567.0,13.6,1084.0,46.4,53.6,14.3,4.3,9.6,480000.0,7.1,15.2,7.7,65.9,0.5,0.0,3.7,Burlington,"          $71,076,670.36",3531.1,"              $20,128.76","          $80,497,849.04",3650.5,22051.18,2019.0,563.0,556.0,534.0,575.0,575.0
cambridge - cambridge rindge and latin,490506,527,557,1111.0,14.9,2002.0,50.2,49.9,31.0,4.8,18.3,490000.0,27.8,10.5,15.0,38.4,0.4,0.4,7.6,Cambridge,"         $196,730,109.39",7063.1,"              $27,853.22","         $230,271,785.03",7741.4,29745.5,2019.0,563.0,560.0,601.0,590.0,587.0
canton - canton high,500505,330,572,515.0,17.1,984.0,53.0,46.7,15.2,1.5,9.2,500000.0,11.8,11.5,5.9,66.3,0.0,0.0,4.6,Canton,"          $52,818,900.90",3298.5,"              $16,013.01","          $59,072,430.90",3378.3,17485.85,2019.0,578.0,572.0,567.0,569.0,555.0
carver - carver middle/high school,520405,81,568,417.0,15.1,757.0,48.0,52.1,22.3,1.1,20.9,520000.0,1.2,0.1,1.3,95.6,0.5,0.1,1.1,Carver,"          $23,588,608.87",1565.2,"              $15,070.67","          $25,995,815.63",1652.4,15732.16,2019.0,568.0,555.0,521.0,528.0,529.0
central berkshire - wahconah regional high,6350505,119,551,259.0,14.2,499.0,47.9,52.1,26.1,0.6,8.8,6350000.0,0.2,0.8,3.6,93.2,0.2,0.0,2.0,Central Berkshire,"          $26,456,827.72",1595.9,"              $16,578.00","          $29,284,881.72",1826.2,16035.97,2019.0,552.0,530.0,533.0,530.0,535.0
chelmsford - chelmsford high,560505,464,573,760.0,15.8,1416.0,51.6,48.5,8.6,1.1,12.2,560000.0,3.5,15.6,4.1,74.2,0.0,0.1,2.5,Chelmsford,"          $72,549,337.57",5011.3,"              $14,477.15","          $82,455,051.45",5273.2,15636.63,2019.0,586.0,599.0,579.0,583.0,587.0
