District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DEWITT SCHOOL DISTRICT,DEWITT HIGH SCHOOL,74,18.1,24.30%,18,52.70%,18.3,21.60%,19.3,25.70%,10.80%,Arkansas,34.2772634,-91.3494126,1614 South Grandview Drive,72042,Arkansas County,DeWitt,5001,"1614 South Grandview Drive, DeWitt, Arkansas, 72042",480600,5001480600,2022,480600,Arkansas County,Arkansas,150,19,52,74,5,1449,63,48,745,159,180,162,92,12.7,34.7,49.3,3.3,4.3,3.3,51.4,11,12.4,11.2,6.3,729,69679,79095,1900,153,8.1,1747,91.9,1693,89.1,32,1.7,0,0,0,0,0,0,0,0,22,1.2,18.1,18.3
STUTTGART SCHOOL DISTRICT,STUTTGART HIGH SCHOOL,83,17.4,20.50%,15.3,26.50%,17.3,21.70%,17.2,9.60%,8.40%,Arkansas,34.4787942,-91.5575788,401 West 22nd Street,72160,Arkansas County,Stuttgart,5001,"401 West 22nd Street, Stuttgart, Arkansas, 72160",480500,5001480500,2022,480500,Arkansas County,Arkansas,326,75,85,140,26,2431,47,203,919,400,421,325,116,23,26.1,42.9,8,1.9,8.4,37.8,16.5,17.3,13.4,4.8,1370,71392,66466,3597,25,0.7,3572,99.3,2361,65.6,1172,32.6,0,0,0,0,0,0,0,0,39,1.1,17.4,17.3
CROSSETT SCHOOL DISTRICT,CROSSETT HIGH SCHOOL,92,16,6.50%,15.6,30.40%,17,20.70%,17.9,13.00%,5.40%,Arkansas,33.1074892,-92.027319,,N/A,Ashley County,N/A,5003,,960700,5003960700,2022,960700,Ashley County,Arkansas,86,0,48,38,0,1178,72,106,519,268,73,78,62,0,55.8,44.2,0,6.1,9,44.1,22.8,6.2,6.6,5.3,581,55234,76596,1719,84,4.9,1635,95.1,1152,67,423,24.6,0,0,5,0.3,55,3.2,0,0,0,0,16,17
HAMBURG SCHOOL DISTRICT,HAMBURG HIGH SCHOOL,104,16.8,13.50%,16,30.80%,17,16.30%,17.1,12.50%,6.70%,Arkansas,33.2078742,-91.7967227,1119 South Main Street,71646,Ashley County,Hamburg,5003,"1119 South Main Street, Hamburg, Arkansas, 71646",960300,5003960300,2022,960300,Ashley County,Arkansas,460,181,129,150,0,2721,210,393,1243,395,159,215,106,39.3,28,32.6,0,7.7,14.4,45.7,14.5,5.8,7.9,3.9,1566,29038,53497,4174,673,16.1,3501,83.9,2730,65.4,719,17.2,0,0,0,0,0,0,26,0.6,26,0.6,16.8,17
COTTER SCHOOL DISTRICT,COTTER HIGH SCHOOL,44,16.8,15.90%,17.5,40.90%,18.1,27.30%,18.1,18.20%,11.40%,Arkansas,36.2789437,-92.5212095,181 Mabel,72626,Baxter County,Cotter,5005,"181 Mabel, Cotter, Arkansas, 72626",950900,5005950900,2022,950900,Baxter County,Arkansas,341,97,129,112,3,4188,14,441,1685,1058,451,323,216,28.4,37.8,32.8,0.9,0.3,10.5,40.2,25.3,10.8,7.7,5.2,2500,44308,56667,5779,67,1.2,5712,98.8,5349,92.6,29,0.5,0,0,24,0.4,0,0,6,0.1,304,5.3,16.8,18.1
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME CAREER ACADEMIES,249,18.2,22.90%,18.7,55.40%,19.6,37.80%,19.9,28.90%,14.50%,Arkansas,36.3315465,-92.3969759,500 Bomber Boulevard,72653,Baxter County,Mountain Home,5005,"500 Bomber Boulevard, Mountain Home, Arkansas, 72653",950400,5005950400,2022,950400,Baxter County,Arkansas,447,72,144,231,0,2389,38,132,834,428,428,365,164,16.1,32.2,51.7,0,1.6,5.5,34.9,17.9,17.9,15.3,6.9,1492,45606,83559,3395,62,1.8,3333,98.2,3115,91.8,50,1.5,27,0.8,1,0,12,0.4,0,0,128,3.8,18.2,19.6
NORFORK SCHOOL DISTRICT,NORFORK HIGH SCHOOL,35,17.3,14.30%,16.9,40.00%,18.1,22.90%,18.3,14.30%,8.60%,Arkansas,36.1955167,-92.269522,136 Mildred Simpson Drive,72658,Baxter County,Norfork,5005,"136 Mildred Simpson Drive, Norfork, Arkansas, 72658",950500,5005950500,2022,950500,Baxter County,Arkansas,196,6,122,65,3,3653,103,350,1328,801,420,439,212,3.1,62.2,33.2,1.5,2.8,9.6,36.4,21.9,11.5,12,5.8,2039,48433,62603,4952,112,2.3,4840,97.7,4720,95.3,15,0.3,11,0.2,8,0.2,0,0,0,0,86,1.7,17.3,18.1
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE HIGH SCHOOL,718,21.2,44.30%,22.7,75.10%,22.7,57.90%,22,47.90%,34.00%,Arkansas,36.3517242,-94.1954077,1801 Southeast J Street,72712,Benton County,Bentonville,5007,"1801 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2022,20503,Benton County,Arkansas,538,130,243,145,20,2537,37,117,608,501,134,749,391,24.2,45.2,27,3.7,1.5,4.6,24,19.7,5.3,29.5,15.4,1878,63906,72744,4131,655,15.9,3476,84.1,1874,45.4,219,5.3,10,0.2,821,19.9,153,3.7,0,0,399,9.7,21.2,22.7
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE WEST HIGH SCHOOL,495,19.8,34.30%,20.4,67.10%,21,47.70%,20.6,36.20%,24.20%,Arkansas,36.3775561,-94.2963597,1351 Gamble Road,72719,Benton County,Centerton,5007,"1351 Gamble Road, Centerton, Arkansas, 72719",20906,5007020906,2022,20906,Benton County,Arkansas,493,29,251,213,0,3738,41,88,926,1088,331,879,385,5.9,50.9,43.2,0,1.1,2.4,24.8,29.1,8.9,23.5,10.3,2031,96472,124012,5766,661,11.5,5105,88.5,4285,74.3,59,1,68,1.2,44,0.8,0,0,0,0,649,11.3,19.8,21
DECATUR SCHOOL DISTRICT,DECATUR HIGH SCHOOL,30,15.2,3.30%,13.7,30.00%,15.2,13.30%,14.7,13.30%,3.30%,Arkansas,36.3422712,-94.4696765,,N/A,Benton County,N/A,5007,,21003,5007021003,2022,21003,Benton County,Arkansas,199,36,85,75,3,1757,50,187,799,266,142,269,44,18.1,42.7,37.7,1.5,2.8,10.6,45.5,15.1,8.1,15.3,2.5,946,63115,71415,2752,422,15.3,2330,84.7,1544,56.1,81,2.9,50,1.8,90,3.3,93,3.4,0,0,472,17.2,15.2,15.2
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,125,18.6,21.60%,18.6,53.60%,19.5,35.20%,19.7,28.80%,17.60%,Arkansas,36.4208184,-94.4351717,325 Lion Drive South,72736,Benton County,Gravette,5007,"325 Lion Drive South, Gravette, Arkansas, 72736",20905,5007020905,2022,20905,Benton County,Arkansas,256,110,26,120,0,1996,50,99,745,412,74,383,233,43,10.2,46.9,0,2.5,5,37.3,20.6,3.7,19.2,11.7,1058,72453,96840,3074,54,1.8,3020,98.2,2621,85.3,8,0.3,43,1.4,0,0,0,0,9,0.3,339,11,18.6,19.5
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,464,18.3,24.10%,18.4,51.30%,18.8,32.50%,19.3,28.70%,17.50%,Arkansas,36.299969,-94.1467358,2300 South Dixieland Road,72758,Benton County,Rogers,5007,"2300 South Dixieland Road, Rogers, Arkansas, 72758",20405,5007020405,2022,20405,Benton County,Arkansas,570,21,42,352,155,3447,9,120,612,523,269,1023,891,3.7,7.4,61.8,27.2,0.3,3.5,17.8,15.2,7.8,29.7,25.8,2127,106968,143207,5137,479,9.3,4658,90.7,3956,77,42,0.8,0,0,532,10.4,0,0,0,0,128,2.5,18.3,18.8
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,458,17.1,15.90%,16,34.10%,17.4,24.00%,17.7,18.60%,10.70%,Arkansas,36.3237956,-94.1230579,1114 South 5th Street,72756,Benton County,Rogers,5007,"1114 South 5th Street, Rogers, Arkansas, 72756",20206,5007020206,2022,20206,Benton County,Arkansas,908,74,470,276,88,4481,1035,636,1419,527,212,537,115,8.1,51.8,30.4,9.7,23.1,14.2,31.7,11.8,4.7,12,2.6,2293,67820,73950,8017,5041,62.9,2976,37.1,1814,22.6,47,0.6,9,0.1,235,2.9,284,3.5,237,3,350,4.4,17.1,17.4
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,127,17.8,15.00%,17.8,44.90%,19.9,34.60%,19.8,22.00%,8.70%,Arkansas,36.3016266,-94.1192513,2922 South 1st Street,72758,Benton County,Rogers,5007,"2922 South 1st Street, Rogers, Arkansas, 72758",20206,5007020206,2022,20206,Benton County,Arkansas,908,74,470,276,88,4481,1035,636,1419,527,212,537,115,8.1,51.8,30.4,9.7,23.1,14.2,31.7,11.8,4.7,12,2.6,2293,67820,73950,8017,5041,62.9,2976,37.1,1814,22.6,47,0.6,9,0.1,235,2.9,284,3.5,237,3,350,4.4,17.8,19.9
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,254,18.8,27.60%,17.7,48.80%,19.3,36.60%,19.6,32.70%,17.30%,Arkansas,36.1909275,-94.5138466,700 North Progress Avenue,72761,Benton County,Siloam Springs,5007,"700 North Progress Avenue, Siloam Springs, Arkansas, 72761",21101,5007021101,2022,21101,Benton County,Arkansas,401,72,157,146,26,3320,346,248,973,662,227,635,229,18,39.2,36.4,6.5,10.4,7.5,29.3,19.9,6.8,19.1,6.9,1760,66803,79952,4986,1467,29.4,3519,70.6,2519,50.5,9,0.2,245,4.9,246,4.9,35,0.7,0,0,465,9.3,18.8,19.3
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,162,17.8,17.90%,16.8,43.20%,18.8,32.70%,19.1,24.10%,11.70%,Arkansas,36.4566192,-94.135008,1925 West Pickens Road,72751,Benton County,Pea Ridge,5007,"1925 West Pickens Road, Pea Ridge, Arkansas, 72751",20103,5007020103,2022,20103,Benton County,Arkansas,341,33,148,160,0,3140,113,190,1223,709,390,400,115,9.7,43.4,46.9,0,3.6,6.1,38.9,22.6,12.4,12.7,3.7,1640,79583,92947,4630,492,10.6,4138,89.4,3140,67.8,297,6.4,26,0.6,60,1.3,0,0,0,0,615,13.3,17.8,18.8
ARKANSAS ARTS ACADEMY,ARKANSAS ARTS ACADEMY HIGH SCHOOL,93,17.5,14.00%,17.8,44.10%,19.7,39.80%,19.1,28.00%,14.00%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,17.5,19.7
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,20,21.8,55.00%,22.6,80.00%,22.6,65.00%,23.1,45.00%,30.00%,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2022,11006,Washington County,Arkansas,481,140,173,143,25,4038,47,117,1338,1082,258,818,378,29.1,36,29.7,5.2,1.2,2.9,33.1,26.8,6.4,20.3,9.4,2210,76000,91290,6173,72,1.2,6101,98.8,5350,86.7,183,3,53,0.9,68,1.1,0,0,0,0,447,7.2,21.8,22.6
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,WEST LITTLE ROCK CLASSICAL ACADEMY,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2022,11006,Washington County,Arkansas,481,140,173,143,25,4038,47,117,1338,1082,258,818,378,29.1,36,29.7,5.2,1.2,2.9,33.1,26.8,6.4,20.3,9.4,2210,76000,91290,6173,72,1.2,6101,98.8,5350,86.7,183,3,53,0.9,68,1.1,0,0,0,0,447,7.2,,
ARKANSAS CONNECTIONS ACADEMY,ARKANSAS CONNECTIONS ACADEMY HIGH,119,16.3,11.80%,18.1,47.90%,19.3,36.10%,19.2,19.30%,9.20%,Arkansas,36.383142,-94.170508,1009 Beau Terre Drive,72712,Benton County,Bentonville,5007,"1009 Beau Terre Drive, Bentonville, Arkansas, 72712",20102,5007020102,2022,20102,Benton County,Arkansas,235,66,84,60,25,5026,110,238,1653,859,497,1234,435,28.1,35.7,25.5,10.6,2.2,4.7,32.9,17.1,9.9,24.6,8.7,2646,100743,120616,7186,569,7.9,6617,92.1,5362,74.6,150,2.1,25,0.3,167,2.3,0,0,357,5,556,7.7,16.3,19.3
ALPENA SCHOOL DISTRICT,ALPENA HIGH SCHOOL,30,18.1,20.00%,18.9,53.30%,19.7,36.70%,19.6,36.70%,16.70%,Arkansas,36.2916191,-93.2950719,300 South Denver Street,72611,Boone County,Alpena,5009,"300 South Denver Street, Alpena, Arkansas, 72611",790400,5009790400,2022,790400,Boone County,Arkansas,424,80,159,82,103,4519,129,235,1866,1055,361,595,278,18.9,37.5,19.3,24.3,2.9,5.2,41.3,23.3,8,13.2,6.2,2393,58202,79070,5956,172,2.9,5784,97.1,5555,93.3,7,0.1,0,0,43,0.7,0,0,0,0,179,3,18.1,19.7
BERGMAN SCHOOL DISTRICT,BERGMAN HIGH SCHOOL,59,18.7,23.70%,20.2,61.00%,20.5,35.60%,20.8,37.30%,13.60%,Arkansas,36.3137275,-93.0172222,8949 Arkansas 7,72601,Boone County,Harrison,5009,"8949 Arkansas 7, Harrison, Arkansas, 72601",790400,5009790400,2022,790400,Boone County,Arkansas,424,80,159,82,103,4519,129,235,1866,1055,361,595,278,18.9,37.5,19.3,24.3,2.9,5.2,41.3,23.3,8,13.2,6.2,2393,58202,79070,5956,172,2.9,5784,97.1,5555,93.3,7,0.1,0,0,43,0.7,0,0,0,0,179,3,18.7,20.5
HARRISON SCHOOL DISTRICT,HARRISON HIGH SCHOOL CONVERSION CHARTER,202,19.6,33.20%,19.6,63.40%,20.2,37.10%,19.7,31.70%,19.30%,Arkansas,36.2394152,-93.1333448,925 Goblin Drive,72601,Boone County,Harrison,5009,"925 Goblin Drive, Harrison, Arkansas, 72601",790501,5009790501,2022,790501,Boone County,Arkansas,346,124,110,88,24,3202,62,176,1067,830,392,497,178,35.8,31.8,25.4,6.9,1.9,5.5,33.3,25.9,12.2,15.5,5.6,1888,42442,69530,4560,118,2.6,4442,97.4,4288,94,13,0.3,0,0,17,0.4,0,0,0,0,124,2.7,19.6,20.2
OMAHA SCHOOL DISTRICT,OMAHA HIGH SCHOOL,23,20.2,30.40%,22,73.90%,22.4,69.60%,21.1,47.80%,26.10%,Arkansas,36.4484634,-93.1959457,522 College Road West,72662,Boone County,Omaha,5009,"522 College Road West, Omaha, Arkansas, 72662",790100,5009790100,2022,790100,Boone County,Arkansas,640,36,393,211,0,4182,161,270,1541,1108,359,387,356,5.6,61.4,33,0,3.8,6.5,36.8,26.5,8.6,9.3,8.5,2454,59146,73017,6310,158,2.5,6152,97.5,5917,93.8,28,0.4,18,0.3,0,0,0,0,0,0,189,3,20.2,22.4
VALLEY SPRINGS SCHOOL DISTRICT,VALLEY SPRINGS HIGH SCHOOL,64,18.5,18.80%,19.2,53.10%,20.6,39.10%,20.5,31.30%,14.10%,Arkansas,36.1595918,-93.0375914,,N/A,Boone County,N/A,5009,,790300,5009790300,2022,790300,Boone County,Arkansas,470,59,245,139,27,3856,116,233,1281,1160,536,318,212,12.6,52.1,29.6,5.7,3,6,33.2,30.1,13.9,8.2,5.5,2168,61296,70537,5873,54,0.9,5819,99.1,5670,96.5,14,0.2,24,0.4,0,0,0,0,21,0.4,90,1.5,18.5,20.6
LEAD HILL SCHOOL DISTRICT,LEAD HILL HIGH SCHOOL,16,18.8,25.00%,21.2,75.00%,22.6,68.80%,20.5,18.80%,18.80%,Arkansas,36.4050121,-92.9089864,6967 Milum Road,72644,Boone County,Lead Hill,5009,"6967 Milum Road, Lead Hill, Arkansas, 72644",790200,5009790200,2022,790200,Boone County,Arkansas,464,109,104,242,9,4313,136,314,1417,1251,670,413,112,23.5,22.4,52.2,1.9,3.2,7.3,32.9,29,15.5,9.6,2.6,2372,56667,78533,6298,185,2.9,6113,97.1,5724,90.9,19,0.3,37,0.6,61,1,2,0,33,0.5,237,3.8,18.8,22.6
HERMITAGE SCHOOL DISTRICT,HERMITAGE HIGH SCHOOL,32,16,9.40%,13.5,18.80%,14.2,6.30%,15.6,0.00%,0.00%,Arkansas,33.4519677,-92.1703737,,71647,Bradley County,Hermitage,5011,,950500,5011950500,2022,950500,Bradley County,Arkansas,138,72,53,6,7,1355,57,71,673,294,81,103,76,52.2,38.4,4.3,5.1,4.2,5.2,49.7,21.7,6,7.6,5.6,827,37216,52291,2062,178,8.6,1884,91.4,1466,71.1,319,15.5,0,0,0,0,0,0,27,1.3,72,3.5,16,14.2
WARREN SCHOOL DISTRICT,WARREN HIGH SCHOOL,107,15,0.90%,14.5,24.30%,14.4,7.50%,15.4,2.80%,0.00%,Arkansas,33.625611,-92.0661035,800 North Walnut Street,71671,Bradley County,Warren,5011,"800 North Walnut Street, Warren, Arkansas, 71671",950100,5011950100,2022,950100,Bradley County,Arkansas,251,8,107,69,67,2024,39,163,1088,380,137,135,82,3.2,42.6,27.5,26.7,1.9,8.1,53.8,18.8,6.8,6.7,4.1,906,57500,65820,2913,535,18.4,2378,81.6,1649,56.6,700,24,0,0,0,0,0,0,0,0,29,1,15,14.4
HAMPTON SCHOOL DISTRICT,HAMPTON HIGH SCHOOL,30,15.3,3.30%,15.3,26.70%,16.9,26.70%,18.1,10.00%,3.30%,Arkansas,33.5367924,-92.4638249,419 Main,71744,Calhoun County,Hampton,5013,"419 Main, Hampton, Arkansas, 71744",480100,5013480100,2022,480100,Calhoun County,Arkansas,169,0,50,110,9,1748,44,259,853,345,70,71,106,0,29.6,65.1,5.3,2.5,14.8,48.8,19.7,4,4.1,6.1,813,57284,62055,2302,5,0.2,2297,99.8,1599,69.5,652,28.3,21,0.9,0,0,0,0,0,0,25,1.1,15.3,16.9
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE HIGH SCHOOL,118,17.8,19.50%,19,56.80%,19.3,33.90%,19.6,28.80%,13.60%,Arkansas,36.3699834,-93.5773979,602 West College Avenue,72616,Carroll County,Berryville,5015,"602 West College Avenue, Berryville, Arkansas, 72616",950301,5015950301,2022,950301,Carroll County,Arkansas,218,54,145,0,19,2831,505,115,869,580,226,354,182,24.8,66.5,0,8.7,17.8,4.1,30.7,20.5,8,12.5,6.4,1681,55958,77552,3986,1240,31.1,2746,68.9,2384,59.8,0,0,0,0,0,0,0,0,0,0,362,9.1,17.8,19.3
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS HIGH SCHOOL,53,18.2,18.90%,18.1,52.80%,20.3,45.30%,20.2,30.20%,9.40%,Arkansas,36.3812141,-93.7346801,2 Lake Lucerne Road,72632,Carroll County,Eureka Springs,5015,"2 Lake Lucerne Road, Eureka Springs, Arkansas, 72632",950100,5015950100,2022,950100,Carroll County,Arkansas,137,19,58,46,14,2123,13,86,575,582,174,490,203,13.9,42.3,33.6,10.2,0.6,4.1,27.1,27.4,8.2,23.1,9.6,1276,46585,69125,2668,94,3.5,2574,96.5,2365,88.6,10,0.4,52,1.9,0,0,0,0,13,0.5,134,5,18.2,20.3
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST HIGH SCHOOL,77,16.3,11.70%,14.2,26.00%,16.5,16.90%,16.9,14.30%,6.50%,Arkansas,36.3293203,-93.4345152,800 Tommy Ratzlaff Avenue,72638,Carroll County,Green Forest,5015,"800 Tommy Ratzlaff Avenue, Green Forest, Arkansas, 72638",950502,5015950502,2022,950502,Carroll County,Arkansas,550,221,220,60,49,2955,599,322,1050,445,148,338,53,40.2,40,10.9,8.9,20.3,10.9,35.5,15.1,5,11.4,1.8,1561,45653,57717,4722,1817,38.5,2905,61.5,2394,50.7,0,0,29,0.6,87,1.8,232,4.9,0,0,163,3.5,16.3,16.5
DERMOTT SCHOOL DISTRICT,DERMOTT HIGH SCHOOL,25,14.2,4.00%,14.2,16.00%,15.4,20.00%,15.7,0.00%,0.00%,Arkansas,33.5232086,-91.4289779,525 East Speedway Street,71638,Chicot County,Dermott,5017,"525 East Speedway Street, Dermott, Arkansas, 71638",80200,5017080200,2022,80200,Chicot County,Arkansas,203,14,111,78,0,1401,106,195,563,303,54,174,6,6.9,54.7,38.4,0,7.6,13.9,40.2,21.6,3.9,12.4,0.4,914,24390,48812,2150,1,0,2149,100,562,26.1,1567,72.9,0,0,13,0.6,0,0,0,0,7,0.3,14.2,15.4
LAKESIDE SCHOOL DISTRICT (CHICOT),LAKESIDE HIGH SCHOOL,62,14.7,0.00%,13,12.90%,14.5,8.10%,15.8,6.50%,0.00%,Arkansas,33.3252057,-91.3104254,1110 South Lakeshore Drive,71653,Chicot County,Lake Village,5017,"1110 South Lakeshore Drive, Lake Village, Arkansas, 71653",80300,5017080300,2022,80300,Chicot County,Arkansas,287,26,157,104,0,1763,129,213,712,300,96,193,120,9.1,54.7,36.2,0,7.3,12.1,40.4,17,5.4,10.9,6.8,1080,38229,49255,2669,249,9.3,2420,90.7,965,36.2,1381,51.7,0,0,13,0.5,0,0,0,0,61,2.3,14.7,14.5
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA HIGH SCHOOL,129,16.7,12.40%,17.7,45.00%,18.1,27.90%,18.4,21.70%,7.00%,Arkansas,34.1229219,-93.0971477,401 High School Drive,71923,Clark County,Arkadelphia,5019,"401 High School Drive, Arkadelphia, Arkansas, 71923",953602,5019953602,2022,953602,Clark County,Arkansas,1807,30,267,1415,95,1686,108,103,334,297,129,306,409,1.7,14.8,78.3,5.3,6.4,6.1,19.8,17.6,7.7,18.1,24.3,1088,66850,79115,4208,162,3.8,4046,96.2,3058,72.7,764,18.2,0,0,124,2.9,0,0,3,0.1,97,2.3,16.7,18.1
GURDON SCHOOL DISTRICT,GURDON HIGH SCHOOL,27,15.5,3.70%,15.4,22.20%,17.9,25.90%,18.3,29.60%,3.70%,Arkansas,33.9082021,-93.1906511,7777 U.S. 67,71743,Clark County,Gurdon,5019,"7777 U.S. 67, Gurdon, Arkansas, 71743",953902,5019953902,2022,953902,Clark County,Arkansas,325,0,147,175,3,2004,78,86,784,592,131,266,67,0,45.2,53.8,0.9,3.9,4.3,39.1,29.5,6.5,13.3,3.3,1208,49958,56301,3157,239,7.6,2918,92.4,2161,68.5,715,22.6,2,0.1,0,0,0,0,0,0,40,1.3,15.5,17.9
CORNING SCHOOL DISTRICT,CORNING HIGH SCHOOL,48,16.1,4.20%,17.9,50.00%,18.4,25.00%,18.4,18.80%,4.20%,Arkansas,36.4186782,-90.5798737,500 Bobcat Lane,72422,Clay County,Corning,5021,"500 Bobcat Lane, Corning, Arkansas, 72422",950400,5021950400,2022,950400,Clay County,Arkansas,199,7,100,58,34,2274,190,224,900,429,128,236,167,3.5,50.3,29.1,17.1,8.4,9.9,39.6,18.9,5.6,10.4,7.3,1341,40898,56771,3125,66,2.1,3059,97.9,2992,95.7,0,0,12,0.4,0,0,0,0,0,0,55,1.8,16.1,18.4
PIGGOTT SCHOOL DISTRICT,PIGGOTT HIGH SCHOOL,58,15.5,1.70%,15.1,31.00%,16.2,25.90%,17.2,13.80%,0.00%,Arkansas,36.3814856,-90.1849826,533 East Main Street,72454,Clay County,Piggott,5021,"533 East Main Street, Piggott, Arkansas, 72454",950600,5021950600,2022,950600,Clay County,Arkansas,345,32,182,122,9,2307,65,157,953,509,209,232,182,9.3,52.8,35.4,2.6,2.8,6.8,41.3,22.1,9.1,10.1,7.9,1476,42917,57718,3624,32,0.9,3592,99.1,3494,96.4,13,0.4,22,0.6,0,0,0,0,0,0,63,1.7,15.5,16.2
RECTOR SCHOOL DISTRICT,RECTOR HIGH SCHOOL,39,18.2,20.50%,17.4,38.50%,18.7,35.90%,20.8,35.90%,12.80%,Arkansas,36.2631972,-90.2981985,604 West 5th Street,72461,Clay County,Rector,5021,"604 West 5th Street, Rector, Arkansas, 72461",950500,5021950500,2022,950500,Clay County,Arkansas,136,20,43,50,23,1391,97,208,506,327,88,84,81,14.7,31.6,36.8,16.9,7,15,36.4,23.5,6.3,6,5.8,881,41728,49580,1911,7,0.4,1904,99.6,1744,91.3,0,0,0,0,0,0,0,0,0,0,160,8.4,18.2,18.7
CONCORD SCHOOL DISTRICT,CONCORD HIGH SCHOOL,15,17.7,13.30%,16.1,26.70%,18.5,20.00%,18.6,13.30%,6.70%,Arkansas,35.6633763,-91.8477224,10920 Heber Springs Road North,72523,Cleburne County,Concord,5023,"10920 Heber Springs Road North, Concord, Arkansas, 72523",480100,5023480100,2022,480100,Cleburne County,Arkansas,213,53,75,85,0,2963,180,241,1290,545,182,382,143,24.9,35.2,39.9,0,6.1,8.1,43.5,18.4,6.1,12.9,4.8,1702,48938,61784,3914,39,1,3875,99,3754,95.9,2,0.1,60,1.5,21,0.5,0,0,0,0,38,1,17.7,18.5
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS HIGH SCHOOL,75,19.2,26.70%,20.5,76.00%,20.4,44.00%,20.7,38.70%,17.30%,Arkansas,35.4962133,-92.038822,1100 West Pine Street,72543,Cleburne County,Heber Springs,5023,"1100 West Pine Street, Heber Springs, Arkansas, 72543",480302,5023480302,2022,480302,Cleburne County,Arkansas,277,60,94,123,0,2183,35,117,625,652,325,300,129,21.7,33.9,44.4,0,1.6,5.4,28.6,29.9,14.9,13.7,5.9,1411,59869,86876,3119,48,1.5,3071,98.5,2985,95.7,6,0.2,32,1,0,0,0,0,0,0,48,1.5,19.2,20.4
