District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
GOSNELL SCHOOL DISTRICT,GOSNELL HIGH SCHOOL,64,18.7,25.0%,19.0,60.9%,19.0,34.4%,19.4,18.8%,15.6%
MANILA SCHOOL DISTRICT,MANILA HIGH SCHOOL,61,17.1,13.1%,16.8,42.6%,18.1,27.9%,18.1,21.3%,9.8%
OSCEOLA SCHOOL DISTRICT,OSCEOLA HIGH SCHOOL,56,14.8,3.6%,12.6,12.5%,13.8,5.4%,14.8,3.6%,1.8%
BRINKLEY SCHOOL DISTRICT,BRINKLEY HIGH SCHOOL,26,15.2,7.7%,12.7,15.4%,14.4,11.5%,14.8,3.8%,0.0%
CLARENDON SCHOOL DISTRICT,CLARENDON HIGH SCHOOL,34,16.0,5.9%,15.6,32.4%,16.5,11.8%,15.9,5.9%,0.0%
CADDO HILLS SCHOOL DISTRICT,CADDO HILLS HIGH SCHOOL,33,16.8,9.1%,16.1,36.4%,16.8,18.2%,17.7,12.1%,9.1%
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA HIGH SCHOOL,22,17.7,18.2%,16.8,36.4%,17.2,27.3%,18.3,22.7%,13.6%
PRESCOTT SCHOOL DISTRICT,PRESCOTT HIGH SCHOOL,63,15.4,3.2%,14.6,17.5%,16.1,19.0%,16.1,11.1%,1.6%
NEVADA SCHOOL DISTRICT,NEVADA HIGH  SCHOOL,26,15.7,7.7%,15.8,30.8%,16.5,15.4%,17.7,3.8%,0.0%
JASPER SCHOOL DISTRICT,JASPER HIGH SCHOOL,34,16.1,8.8%,15.1,35.3%,16.1,17.6%,16.4,5.9%,2.9%
JASPER SCHOOL DISTRICT,KINGSTON HIGH SCHOOL,15,14.5,0.0%,14.6,13.3%,16.1,13.3%,16.5,6.7%,0.0%
JASPER SCHOOL DISTRICT,OARK HIGH SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
DEER-MT. JUDEA SCHOOL DISTRICT,DEER K-12 SCHOOL,14,16.9,21.4%,19.3,71.4%,19.1,28.6%,20.6,35.7%,7.1%
DEER-MT. JUDEA SCHOOL DISTRICT,MT. JUDEA K-12 SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BEARDEN SCHOOL DISTRICT,BEARDEN HIGH SCHOOL,32,15.7,3.1%,17.2,37.5%,17.8,31.3%,17.0,6.3%,0.0%
CAMDEN FAIRVIEW SCHOOL DISTRICT,CAMDEN FAIRVIEW HIGH SCHOOL,145,15.3,3.4%,14.5,26.2%,16.0,15.2%,16.3,13.1%,2.8%
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),SPARKMAN K-12 SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),HARMONY GROVE HIGH SCHOOL,55,16.5,7.3%,16.8,41.8%,17.1,20.0%,17.3,9.1%,3.6%
EAST END SCHOOL DISTRICT,BIGELOW HIGH SCHOOL,26,17.2,7.7%,15.6,26.9%,16.2,15.4%,17.1,7.7%,7.7%
PERRYVILLE SCHOOL DISTRICT,PERRYVILLE HIGH SCHOOL,62,16.5,8.1%,16.8,38.7%,17.7,24.2%,18.1,17.7%,6.5%
BARTON SCHOOL DISTRICT,BARTON HIGH SCHOOL,44,15.9,4.5%,15.0,22.7%,15.2,4.5%,17.1,11.4%,2.3%
HELENA/ WEST HELENA SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,73,14.8,4.1%,13.7,17.8%,15.4,11.0%,16.3,5.5%,0.0%
MARVELL-ELAINE SCHOOL DISTRICT,MARVELL-ELAINE HIGH SCHOOL,25,13.5,0.0%,11.5,8.0%,12.9,0.0%,14.7,0.0%,0.0%
KIPP DELTA PUBLIC SCHOOLS,KIPP:DELTA COLLEGIATE HIGH SCHOOL,28,15.4,3.6%,14.4,25.0%,14.7,7.1%,16.5,3.6%,0.0%
KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,16,16.5,12.5%,17.4,50.0%,16.8,12.5%,16.9,18.8%,6.3%
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT ACADEMY OF AGRICULTURE & SKILLED TRADE,16,14.1,0.0%,12.6,12.5%,13.9,18.8%,14.4,0.0%,0.0%
KIRBY SCHOOL DISTRICT,KIRBY HIGH SCHOOL,23,16.4,13.0%,15.2,26.1%,16.3,17.4%,16.3,21.7%,8.7%
SOUTH PIKE COUNTY SCHOOL DISTRICT,MURFREESBORO HIGH SCHOOL,24,16.2,4.2%,17.3,54.2%,18.2,29.2%,18.9,25.0%,0.0%
MARKED TREE SCHOOL DISTRICT,MARKED TREE HIGH SCHOOL,35,15.2,0.0%,12.0,2.9%,15.4,14.3%,15.4,5.7%,0.0%
TRUMANN SCHOOL DISTRICT,TRUMANN HIGH SCHOOL,95,16.3,10.5%,15.3,22.1%,16.8,17.9%,16.3,12.6%,6.3%
EAST POINSETT CO. SCHOOL DISTRICT,EAST POINSETT COUNTY HIGH SCHOOL,46,17.0,8.7%,16.8,43.5%,18.7,28.3%,18.3,13.0%,2.2%
MENA SCHOOL DISTRICT,MENA HIGH SCHOOL,118,17.7,19.5%,16.0,33.1%,17.7,20.3%,18.0,16.9%,8.5%
OUACHITA RIVER SCHOOL DISTRICT,ACORN HIGH SCHOOL,45,16.4,13.3%,17.0,46.7%,18.3,31.1%,18.8,17.8%,11.1%
OUACHITA RIVER SCHOOL DISTRICT,ODEN SCHOOLS,13,17.2,0.0%,16.8,61.5%,18.3,30.8%,17.6,7.7%,0.0%
COSSATOT RIVER SCHOOL DISTRICT,COSSATOT RIVER HIGH SCHOOL,53,16.7,7.5%,16.3,45.3%,17.8,18.9%,17.8,9.4%,1.9%
COSSATOT RIVER SCHOOL DISTRICT,UMPIRE K-12 SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
ATKINS SCHOOL DISTRICT,ATKINS HIGH SCHOOL,47,17.8,17.0%,17.5,46.8%,18.5,27.7%,18.2,10.6%,6.4%
DOVER SCHOOL DISTRICT,DOVER HIGH SCHOOL,72,17.3,18.1%,18.7,56.9%,19.8,38.9%,19.5,30.6%,12.5%
HECTOR SCHOOL DISTRICT,HECTOR HIGH SCHOOL,29,17.8,13.8%,18.6,44.8%,20.0,31.0%,19.2,10.3%,10.3%
POTTSVILLE SCHOOL DISTRICT,POTTSVILLE HIGH SCHOOL,123,17.6,17.9%,18.6,50.4%,19.0,31.7%,18.8,24.4%,10.6%
RUSSELLVILLE SCHOOL DISTRICT,RUSSELLVILLE HIGH SCHOOL,283,18.4,24.0%,18.5,51.9%,19.8,37.1%,19.8,29.7%,16.6%
DES ARC SCHOOL DISTRICT,DES ARC HIGH SCHOOL,32,18.2,25.0%,18.7,62.5%,18.8,31.3%,19.1,28.1%,12.5%
HAZEN SCHOOL DISTRICT,HAZEN HIGH SCHOOL,43,16.6,11.6%,15.3,32.6%,16.4,25.6%,16.4,11.6%,7.0%
LITTLE ROCK SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,414,19.3,31.2%,19.3,53.6%,20.1,41.5%,20.0,36.2%,25.8%
LITTLE ROCK SCHOOL DISTRICT,PARKVIEW MAGNET HIGH SCHOOL,254,17.0,13.8%,16.1,35.0%,17.7,24.4%,18.2,21.3%,9.4%
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK WEST HIGH SCHOOL OF INNOVATION,51,16.4,9.8%,14.7,27.5%,16.7,17.6%,16.7,15.7%,5.9%
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK SOUTHWEST HIGH SCHOOL,291,14.4,0.7%,12.3,9.3%,13.3,4.8%,14.5,2.1%,0.3%
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK HALL STEAM MAGNET HIGH SCHOOL,66,14.1,0.0%,13.2,13.6%,15.0,7.6%,15.5,1.5%,0.0%
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK HIGH SCHOOL,333,16.6,13.2%,16.1,32.7%,17.2,22.5%,17.2,15.6%,7.5%
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK CENTER OF EXCELLENCE,51,15.9,5.9%,15.1,29.4%,16.2,15.7%,16.3,7.8%,2.0%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MILLS UNIVERSITY STUDIES HIGH SCHOOL,108,14.7,2.8%,13.4,21.3%,14.8,11.1%,15.7,2.8%,0.9%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,JOE T. ROBINSON HIGH SCHOOL,175,17.6,19.4%,18.9,50.3%,19.6,39.4%,19.2,26.9%,14.3%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,SYLVAN HILLS HIGH SCHOOL,254,17.5,23.6%,17.7,46.1%,18.4,29.9%,18.9,22.8%,15.0%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MAUMELLE HIGH SCHOOL,176,16.6,13.6%,16.7,39.8%,17.6,23.9%,18.1,16.5%,9.1%
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,JACKSONVILLE HIGH SCHOOL,199,15.6,5.5%,14.1,23.1%,16.0,18.1%,16.1,8.0%,4.5%
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,MAUMELLE CHARTER HIGH SCHOOL,60,19.3,31.7%,20.6,60.0%,20.6,40.0%,20.4,33.3%,23.3%
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,SCOTT CHARTER SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
LISA ACADEMY,LISA ACADEMY WEST HIGH SCHOOL,105,17.2,16.2%,15.9,35.2%,16.7,19.0%,17.6,13.3%,4.8%
LISA ACADEMY,LISA ACADEMY NORTH HIGH SCHOOL,63,18.5,22.2%,18.3,42.9%,18.1,22.2%,18.6,17.5%,14.3%
